,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,79,5.5,-0.1,-0.0179,5.5,5.5,5.5,-33000.0,8.49,5.5,5.5,5.5,5.73,6.29,5.92,6.05,6.21,6.92,5.86,6.01,6.27,6.69,DOWNTREND,SIDEWAYS,SIDEWAYS,41.3114,-0.0725,0.0409,NEUTRAL,-131.8112,0.0,-100.0,2766620.0,1844793.33,1384390.0,16865056.3,11245602.33,8438910.4,White Marubozu,None,None,-0.2848,-0.0517,-0.0368,-369378.0,-368756.0,-782056.0,-1001656.0,-1518605.0,0.13,-0.675,42.31,0.0,1.49,0.0,2019-10-22
1,82,5.59,0.4,0.0771,5.59,5.59,5.59,0.0,8.09,4.8,5.19,4.95,5.7,5.95,5.56,5.78,5.96,6.62,5.58,5.76,6.03,6.49,DOWNTREND,DOWNTREND,SIDEWAYS,49.4728,-0.08900000000000001,0.0657,HIGH,20.7275,56.1111,-34.1667,85380.0,106000.0,85000.0,448013.2,568910.47,456336.85,White Marubozu,None,Morning Star,-0.2731,0.0771,0.0771,-106712.0,-4031543.0,-4506921.0,-4919599.0,-4825223.0,0.14,-0.6409999999999999,39.93,0.0,1.52,0.0,2019-12-03
2,81,5.8,0.41,0.0761,5.39,5.39,5.8,0.0,8.4,5.0,5.2,5.15,5.95,6.17,5.69,5.91,6.07,6.73,5.73,5.87,6.13,6.57,DOWNTREND,DOWNTREND,SIDEWAYS,50.86,-0.0816,0.0492,NEUTRAL,2.92,69.1686,-20.0,107760.0,79573.33,70355.0,584369.6,432538.27,386270.9,White Marubozu,Bullish Engulfing,None,-0.2458,0.0943,-0.0169,-1009891.0,-3305269.0,-3304647.0,-3937547.0,-3420481.0,0.14,-0.6409999999999999,41.43,0.0,1.58,0.0,2019-11-20
3,82,5.68,0.08,0.0143,5.12,5.12,5.68,0.0,7.93,4.8,5.16,4.95,5.69,5.95,5.58,5.77,5.95,6.61,5.59,5.75,6.02,6.47,DOWNTREND,DOWNTREND,SIDEWAYS,50.7561,-0.0826,0.0684,HIGH,-11.2135,68.6111,-26.6667,73970.0,92160.0,90865.0,388170.8,496862.47,486270.2,White Marubozu,None,Three White Soldiers,-0.2614,0.0944,0.0143,0.0,-2211543.0,-4506921.0,-4919599.0,-4883323.0,0.14,-0.6409999999999999,40.57,0.0,1.54,0.0,2019-12-09
4,78,6.15,-0.09,-0.0144,6.15,6.15,6.15,0.0,9.3,5.5,5.75,5.62,6.35,6.6,6.1,6.09,6.43,7.16,6.08,6.18,6.44,6.85,DOWNTREND,SIDEWAYS,DOWNTREND,51.3898,-0.0514,0.0459,NEUTRAL,15.844000000000001,64.96600000000001,-44.898,58120.0,82033.33,80230.0,357846.2,499764.6,495709.45,White Marubozu,None,None,-0.2003,0.0603,0.0603,-87000.0,-413300.0,-632900.0,-7233961.0,-2079177.0,0.13,-0.675,47.31,0.0,1.67,0.0,2019-09-06
5,78,6.05,-0.12,-0.0194,6.1,6.05,6.1,0.0,9.0,5.5,5.78,5.62,6.17,6.4,6.01,6.1,6.29,7.01,6.03,6.11,6.35,6.75,UPTREND,SIDEWAYS,SIDEWAYS,50.0709,-0.0287,0.0485,NEUTRAL,31.546999999999997,47.3406,-42.1053,2739280.0,1832773.33,1385245.0,16707977.4,11179762.87,8447636.95,Black Marubozu,None,Evening Star,-0.2133,0.0431,0.0431,0.0,622.0,-412678.0,-2291416.0,-1717217.0,0.13,-0.675,46.54,0.0,1.64,0.0,2019-10-03
6,82,5.59,0.4,0.0771,5.59,5.59,5.59,0.0,8.09,4.8,5.19,4.95,5.7,5.95,5.56,5.78,5.96,6.62,5.58,5.76,6.03,6.49,DOWNTREND,DOWNTREND,SIDEWAYS,49.4728,-0.08900000000000001,0.0657,HIGH,20.7275,56.1111,-34.1667,85380.0,106000.0,85000.0,448013.2,568910.47,456336.85,White Marubozu,None,Morning Star,-0.2731,0.0771,0.0771,-106712.0,-4031543.0,-4506921.0,-4919599.0,-4825223.0,0.14,-0.6409999999999999,39.93,0.0,1.52,0.0,2019-12-02
7,81,5.1,-0.7,-0.1207,5.5,4.8,5.5,-988240.0,8.4,4.8,4.95,4.95,5.95,6.17,5.63,5.88,6.05,6.71,5.67,5.84,6.11,6.56,SIDEWAYS,DOWNTREND,SIDEWAYS,38.7343,-0.0843,0.066,HIGH,-154.2378,48.0,-75.0,130410.0,92873.33,82825.0,696249.0,496566.0,448274.75,None,None,None,-0.3368,-0.0377,-0.1356,-1998131.0,-4013231.0,-4292887.0,-4925787.0,-4408721.0,0.14,-0.6409999999999999,36.43,0.0,1.39,0.0,2019-11-21
8,82,5.5,0.21,0.0397,5.2,5.2,5.5,0.0,7.93,4.8,4.98,4.9,5.68,5.9,5.45,5.68,5.88,6.52,5.45,5.64,5.92,6.39,DOWNTREND,DOWNTREND,SIDEWAYS,50.0735,-0.1056,0.08,HIGH,-8.6022,66.0946,-28.2609,144080.0,104206.67,115725.0,767714.4,554597.8,613740.5,White Marubozu,None,None,-0.2848,0.0597,0.0476,-511.0,-107223.0,-4171054.0,-4920110.0,-5558838.0,0.14,-0.6409999999999999,39.29,0.0,1.49,0.0,2019-12-23
9,78,6.17,0.37,0.0638,6.17,6.17,6.17,0.0,9.3,5.5,5.76,5.62,6.22,6.57,5.99,6.11,6.33,7.06,6.03,6.13,6.37,6.78,UPTREND,SIDEWAYS,SIDEWAYS,51.9953,-0.0393,0.0515,HIGH,79.8349,59.8456,-28.5714,2160.0,12486.67,32840.0,12764.5,75964.53,201269.85,White Marubozu,None,None,-0.1977,0.0638,0.0638,622.0,-86378.0,-412678.0,-3937065.0,-1867845.0,0.13,-0.675,47.46,0.0,1.67,0.0,2019-09-24
