,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),RSI(14).1,"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,81,3.6,-0.11,-0.0296,3.71,3.58,3.83,3.71,76444000.0,281179080.0,2804520.0,7.18,1.0,3.06,2.16,3.82,3.97,2.8,2.41,2.17,3.33,2.93,2.54,2.59,3.13,UPTREND,UPTREND,UPTREND,75.8311,OVERBOUGHT,0.2549,0.0597,HIGH,159.1073,84.7351,-21.7687,72380000.0,69868000.0,59602300.0,237029599.0,214980186.0,177840396.5,None,None,None,0.0465,0.6,0.1111,-1932170.0,39205010.0,42258660.0,89801040.0,-21517524.0,0.0,0.0,72.0,0.0,2.31,0.0,2020-06-24
1,81,2.27,0.11,0.0509,2.17,2.15,2.27,2.16,29070000.0,64888060.0,-906740.0,7.18,1.0,2.12,2.0,2.36,2.9,2.16,1.82,2.36,3.59,2.13,2.09,2.48,3.22,DOWNTREND,UPTREND,DOWNTREND,62.162,NEUTRAL,0.0802,0.0497,NEUTRAL,81.8675,74.8457,0.0,17823600.0,19123000.0,32287400.0,38394650.0,41479798.67,70500424.0,White Long Day,None,None,-0.3401,0.0318,0.0607,-4352310.0,-7507040.0,24146810.0,46883490.0,-51585620.0,0.0,0.0,45.4,0.0,1.46,0.0,2020-05-21
2,81,2.15,0.06,0.0287,2.09,2.08,2.15,2.09,12706000.0,26939790.0,-142950.0,7.18,1.0,2.06,1.86,2.22,2.39,2.15,1.75,2.45,3.72,2.07,2.07,2.52,3.29,SIDEWAYS,UPTREND,DOWNTREND,56.8621,NEUTRAL,0.1115,0.0621,HIGH,-10.0233,28.3688,-63.8298,33234800.0,46557800.0,52479600.0,70259373.0,102578836.0,112795449.5,White Long Day,Bullish Engulfing,None,-0.375,-0.0227,0.0238,-4170510.0,-13566880.0,45722190.0,54228830.0,-24234738.0,0.0,0.0,43.0,0.0,1.38,0.0,2020-05-12
3,83,6.81,0.0,0.0,7.0,5.2,8.05,6.81,355083100.0,2538156369.0,22016466.0,8.05,1.0,4.85,3.32,7.43,7.56,4.41,3.59,3.22,2.83,4.73,3.92,3.45,3.36,UPTREND,UPTREND,UPTREND,92.1049,OVERBOUGHT,0.4786,0.0759,HIGH,197.34099999999998,87.8227,-28.0543,147308640.0,118726893.33,98647820.0,851823837.5,648401585.67,520352713.75,None,None,None,0.9797,0.3898,0.1823,78176256.0,101009636.0,134018356.0,123800636.0,177181098.0,0.0,0.0,227.0,0.0,4.57,0.0,2020-10-06
4,84,6.4,0.01,0.0016,6.38,6.21,6.45,6.39,35163200.0,222528169.0,315949.0,8.05,1.0,5.79,5.34,6.8,7.44,6.38,5.36,4.23,3.2,6.24,5.51,4.64,4.06,DOWNTREND,UPTREND,UPTREND,56.0265,NEUTRAL,0.3186,0.0757,HIGH,-6.314,73.03699999999999,-28.8889,108044350.0,88992493.33,74543015.0,667596395.9,557215389.33,466299726.55,None,None,None,0.8605,-0.0616,0.0159,1705388.0,8213956.0,170999582.0,234134332.0,269478119.0,0.0,0.0,-640.0,0.0,4.3,0.0,2020-11-20
5,81,1.6,-0.1,-0.0588,1.75,1.57,1.78,1.7,100339000.0,168551260.0,5282800.0,7.18,1.0,1.38,1.03,1.74,2.04,1.39,2.14,3.07,4.3,1.5,2.04,2.83,3.66,DOWNTREND,DOWNTREND,DOWNTREND,49.6964,NEUTRAL,-0.2485,0.1131,HIGH,92.2421,85.3425,-23.0769,40336900.0,35787400.0,35527650.0,59705490.0,50566594.0,51834004.0,Black Long Day,None,None,-0.5349,-0.0588,0.0458,18342030.0,19646360.0,22369650.0,36878240.0,-84131842.0,0.0,0.0,32.0,0.0,1.03,0.0,2020-04-01
6,83,3.69,0.08,0.0222,3.64,3.63,3.71,3.61,18657000.0,68621410.0,31160.0,5.47,1.0,3.41,3.13,3.72,3.84,3.37,3.1,2.86,2.79,3.38,3.17,3.0,3.15,UPTREND,UPTREND,UPTREND,71.6242,OVERBOUGHT,0.1195,0.0344,NEUTRAL,181.7271,80.8642,-11.1111,25334600.0,24572066.67,29549400.0,89453696.0,85134038.67,100665986.5,None,None,None,0.0727,0.1015,0.0758,18909890.0,36447720.0,27523970.0,38910900.0,70611332.0,0.0,0.0,123.0,0.0,2.48,0.0,2020-09-17
7,82,2.97,-0.03,-0.01,3.02,2.94,3.02,3.0,39831000.0,118294990.0,1151110.0,6.17,1.0,2.78,2.56,3.02,3.8,3.22,2.81,2.27,3.12,3.06,2.87,2.78,3.14,DOWNTREND,UPTREND,UPTREND,47.8307,NEUTRAL,0.0612,0.0709,HIGH,-59.3946,24.1256,-73.4177,30819700.0,64655533.33,65997250.0,92397277.0,203213978.67,215687573.5,None,None,None,-0.1366,-0.1973,-0.0133,7844660.0,22649330.0,39549810.0,45352390.0,12415905.0,0.0,0.0,74.25,0.0,2.01,0.0,2020-07-21
8,84,8.35,0.42,0.053,8.0,7.96,8.43,7.93,79158200.0,653480378.0,34115358.0,8.43,1.0,7.63,6.18,8.39,8.39,7.07,6.59,4.96,3.6,7.25,6.43,5.44,4.59,UPTREND,UPTREND,UPTREND,75.5883,OVERBOUGHT,0.3904,0.039,NEUTRAL,138.261,95.4976,-3.8462,52407470.0,45750180.0,41421775.0,398279570.2,338258684.4,298447616.85,White Long Day,None,None,1.4273,0.315,0.053,30200382.0,88675633.0,101408252.0,295429000.0,373575181.0,0.0,0.0,-835.0,0.0,5.6,0.0,2020-12-21
9,84,10.9,1.09,0.1111,10.0,10.0,11.52,9.81,257080800.0,2762857934.0,26309372.0,11.52,1.0,8.13,6.22,11.21,11.21,7.69,6.85,5.22,3.76,8.01,6.88,5.75,4.78,UPTREND,UPTREND,UPTREND,88.1395,OVERBOUGHT,0.5571,0.0492,NEUTRAL,271.4561,90.9113,-13.7168,80310520.0,76671153.33,64131035.0,739974508.8,662118706.8,540455592.75,None,None,None,2.1686,0.7165,0.2529,141983081.0,205069957.0,202684697.0,393222203.0,497114925.0,0.0,0.0,-1090.0,0.0,7.32,0.0,2020-12-29
