,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,80,7.79,0.19,0.025,7.5,7.45,7.79,0.0,9.3,6.8,7.5,7.2,7.95,8.38,7.85,7.83,7.79,7.82,7.81,7.83,7.82,7.78,DOWNTREND,SIDEWAYS,SIDEWAYS,48.2163,-0.0201,0.0351,NEUTRAL,-73.0085,48.8095,-33.3333,4250.0,6280.0,11400.0,32087.9,47726.33,87918.1,White Long Day,None,None,0.0715,-0.0013,0.013000000000000001,0.0,0.0,-23945.0,164124.0,-299605.0,-0.05,0.0,-155.8,0.0,-70.82,0.0,2019-10-22
1,83,7.45,0.06,0.0081,7.6,7.23,7.6,0.0,9.3,7.0,7.3,7.0,7.6,7.88,7.68,7.8,7.77,7.85,7.65,7.74,7.77,7.76,DOWNTREND,SIDEWAYS,SIDEWAYS,38.7257,-0.0578,0.0444,NEUTRAL,-107.6768,38.1643,-63.7681,13140.0,10146.67,8320.0,96042.5,74576.67,61240.7,None,None,None,0.0248,-0.0132,-0.0132,0.0,0.0,0.0,193840.0,-294860.0,-0.05,0.0,-149.0,0.0,-53.21,0.0,2019-12-03
2,82,7.7,-0.06,-0.0077,7.76,7.7,7.76,0.0,9.3,6.98,7.45,7.12,7.88,8.38,7.77,7.84,7.79,7.85,7.78,7.8,7.8,7.78,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.4271,-0.0233,0.0407,NEUTRAL,35.2416,77.2947,-27.5362,13350.0,9933.33,8590.0,98050.0,73105.53,63419.55,Black Marubozu,Tweezer Tops,None,0.0591,0.0013,-0.0052,0.0,0.0,0.0,193840.0,-297150.0,-0.05,0.0,-154.0,0.0,-55.0,0.0,2019-11-20
3,83,7.49,-0.09,-0.0119,7.44,7.4,7.56,0.0,9.3,7.0,7.3,7.0,7.59,7.88,7.64,7.77,7.77,7.85,7.6,7.7,7.75,7.75,DOWNTREND,SIDEWAYS,SIDEWAYS,43.089,-0.0756,0.0394,NEUTRAL,-52.5799,52.2248,-49.1228,50630.0,41313.33,31990.0,373741.1,304347.0,235895.55,None,Bullish Harami,None,0.0303,-0.0079,-0.0119,0.0,0.0,0.0,-27080.0,-294860.0,-0.05,0.0,-149.8,0.0,-53.5,0.0,2019-12-09
4,79,7.79,-0.09,-0.0114,7.83,7.79,7.83,0.0,9.3,6.8,7.77,7.53,7.88,8.12,7.82,7.78,7.83,7.72,7.81,7.79,7.79,7.75,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5258,0.0217,0.0189,LOW,-10.2136,60.3333,-66.6667,3470.0,5393.33,5915.0,27173.7,42334.8,46179.95,Black Marubozu,None,None,0.0715,-0.0076,-0.0076,0.0,217785.0,212339.0,188069.0,-312172.0,-0.05,0.0,-155.8,0.0,-70.82,0.0,2019-09-06
5,79,7.92,0.12,0.0154,7.78,7.7,7.98,0.0,9.3,6.8,7.62,7.31,7.95,8.38,7.91,7.82,7.8,7.79,7.88,7.85,7.82,7.78,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.7518,0.0198,0.0294,LOW,-4.6337,38.4701,-43.5897,8620.0,30993.33,24180.0,66272.1,248460.87,193684.25,None,None,None,0.0894,0.0154,0.0141,0.0,-23945.0,-27080.0,164124.0,-368392.0,-0.05,0.0,-158.4,0.0,-72.0,0.0,2019-10-03
6,83,7.39,-0.16,-0.0212,7.23,7.23,7.59,0.0,9.3,7.0,7.3,7.0,7.6,7.88,7.69,7.8,7.78,7.85,7.67,7.75,7.78,7.76,DOWNTREND,SIDEWAYS,SIDEWAYS,35.2587,-0.0502,0.0443,NEUTRAL,-138.9532,42.9952,-72.4638,12700.0,9806.67,8130.0,92816.7,72058.2,59847.8,None,None,None,0.0165,-0.0212,-0.0212,0.0,0.0,0.0,193840.0,-294860.0,-0.05,0.0,-147.8,0.0,-52.79,0.0,2019-12-02
7,82,7.5,-0.2,-0.026000000000000002,7.27,7.24,7.6,0.0,9.3,7.0,7.35,7.12,7.76,8.18,7.75,7.83,7.78,7.85,7.75,7.79,7.8,7.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.5618,-0.0273,0.0432,NEUTRAL,-187.4106,65.7005,-56.5217,13700.0,10080.0,8590.0,100623.1,74159.67,63371.75,None,None,None,0.0316,-0.0247,-0.031,0.0,0.0,0.0,193840.0,-295634.0,-0.05,0.0,-150.0,0.0,-53.57,0.0,2019-11-21
8,83,6.92,0.01,0.0014,6.91,6.91,7.32,0.0,9.3,6.87,6.88,6.8,7.14,7.6,7.27,7.59,7.7,7.81,7.22,7.48,7.62,7.68,DOWNTREND,DOWNTREND,SIDEWAYS,30.1611,-0.1769,0.0466,NEUTRAL,-91.5033,5.0998,-92.9577,364330.0,275733.33,207480.0,2539865.6,1935712.93,1456803.35,Inverted Hammer,None,None,-0.0481,-0.0834,0.0014,0.0,-711.0,-711.0,-24656.0,-295571.0,-0.05,0.0,-138.4,0.0,-49.43,0.0,2019-12-23
9,79,7.9,-0.09,-0.0113,7.75,7.74,7.9,0.0,9.3,6.8,7.8,7.53,7.99,8.38,7.91,7.81,7.81,7.77,7.92,7.86,7.82,7.78,UPTREND,SIDEWAYS,SIDEWAYS,50.119,0.052000000000000005,0.0277,LOW,-29.7952,33.3333,-73.4177,40680.0,28400.0,22030.0,328223.9,228862.73,177346.95,White Long Day,None,None,0.0867,0.0064,-0.0088,0.0,-23945.0,193840.0,164124.0,-368392.0,-0.05,0.0,-158.0,0.0,-71.82,0.0,2019-09-24
