,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,81,9.0,0.04,0.0045,8.96,8.94,9.01,13085031.0,13.86,8.15,8.68,8.2,9.1,9.46,8.68,8.9,9.61,10.73,8.81,9.04,9.56,10.34,UPTREND,SIDEWAYS,DOWNTREND,55.0837,-0.0595,0.0256,LOW,121.6012,91.0138,-11.9048,10133300.0,8721660.0,8684190.0,89873238.4,76644568.27,75540179.8,None,None,None,-0.2958,0.083,-0.011000000000000001,27676429.0,-192715916.0,-626293883.0,-1448526907.0,-3374322811.0,0.95,-0.1949,9.47,0.0,1.52,0.0,2019-10-22
1,84,6.5,0.1,0.0156,6.5,6.41,6.64,-70119393.0,13.0,6.24,6.32,6.32,6.9,8.36,7.23,8.04,8.81,10.01,7.14,7.87,8.64,9.63,DOWNTREND,DOWNTREND,DOWNTREND,29.65,-0.4545,0.0448,NEUTRAL,-85.973,12.6959,-84.2424,74572350.0,56334106.67,48857615.0,496874342.1,381831025.6,338137657.4,Doji,None,None,-0.4914,0.0,0.0,-316065151.0,-2072595814.0,-2507836356.0,-3179643562.0,-5475870608.0,1.01,-0.0098,6.44,0.0,1.06,0.0,2019-12-03
2,83,6.98,-0.64,-0.084,7.59,6.96,7.59,-124575559.0,13.86,6.96,6.97,6.97,7.78,8.94,8.02,8.48,9.14,10.28,7.94,8.43,9.04,9.92,DOWNTREND,DOWNTREND,DOWNTREND,26.6117,-0.2564,0.0404,NEUTRAL,-174.6593,9.6434,-98.6207,26400200.0,22544720.0,20261240.0,200659669.9,174591263.2,158975313.0,Black Long Day,None,None,-0.4538,-0.1498,-0.0804,-442269615.0,-771853122.0,-1053044717.0,-1849946434.0,-3939418790.0,1.01,-0.0098,6.91,0.0,1.14,0.0,2019-11-20
3,84,5.96,-0.09,-0.0149,6.0,5.94,6.15,-22483948.0,13.0,5.94,5.95,5.95,6.57,8.08,6.86,7.84,8.64,9.89,6.79,7.61,8.44,9.49,DOWNTREND,DOWNTREND,DOWNTREND,23.2024,-0.4944,0.0471,NEUTRAL,-109.8532,0.0,-98.7879,64412280.0,56853073.33,47114330.0,423845171.7,377120334.33,317425851.15,None,None,None,-0.5336,-0.0831,-0.0149,-170412334.0,-1967501491.0,-2597054911.0,-3118171637.0,-5423116857.0,1.01,-0.0098,5.9,0.0,0.97,0.0,2019-12-09
4,80,8.82,-0.08,-0.009000000000000001,8.91,8.8,8.91,-42998832.0,13.86,8.75,8.8,8.78,9.2,9.92,9.15,9.86,10.34,11.35,9.21,9.71,10.26,10.93,DOWNTREND,DOWNTREND,DOWNTREND,35.7383,-0.3073,0.0279,LOW,-97.0934,14.8965,-95.5882,8088120.0,7401513.33,6843340.0,72434907.6,66629581.13,62265191.8,Black Long Day,Bearish Engulfing,None,-0.3099,-0.0254,-0.0254,-200862799.0,-428860173.0,-790578833.0,-1299228705.0,-3210876683.0,0.95,-0.1949,9.28,0.0,1.48,0.0,2019-09-06
5,80,8.41,-0.04,-0.0047,8.34,8.26,8.49,-17918134.0,13.86,8.15,8.2,8.2,8.6,9.22,8.8,9.27,9.8,10.97,8.73,9.19,9.79,10.56,DOWNTREND,DOWNTREND,DOWNTREND,33.5116,-0.2167,0.0246,LOW,-114.6063,20.0722,-75.2381,7524750.0,7117140.0,6935170.0,64127156.6,61851058.4,60809403.25,None,None,None,-0.3419,0.012,-0.0106,-151020325.0,-403666095.0,-867739810.0,-1475457216.0,-3507293944.0,0.95,-0.1949,8.85,0.0,1.42,0.0,2019-10-03
6,84,6.4,-0.1,-0.0154,6.5,6.24,6.52,1351952.0,13.0,6.24,6.32,6.32,6.9,8.36,7.32,8.09,8.84,10.04,7.21,7.93,8.68,9.66,DOWNTREND,DOWNTREND,DOWNTREND,26.4004,-0.4448,0.0461,NEUTRAL,-110.2047,18.3129,-91.2568,74550660.0,55666473.33,48735470.0,499006097.1,378784865.27,339179398.8,None,None,None,-0.4992,-0.0154,-0.0154,-1064951228.0,-1995368372.0,-2430991907.0,-3120722132.0,-5415923813.0,1.01,-0.0098,6.34,0.0,1.04,0.0,2019-12-02
7,83,6.7,-0.28,-0.0401,6.97,6.67,7.05,-136530030.0,13.86,6.67,6.68,6.68,7.65,8.82,7.91,8.43,9.1,10.25,7.82,8.36,8.99,9.89,DOWNTREND,DOWNTREND,DOWNTREND,23.7822,-0.2833,0.0431,NEUTRAL,-212.3035,7.4971,-98.2759,29074270.0,24400933.33,21987785.0,217049864.8,186065992.13,170189577.9,Black Long Day,None,None,-0.4757,-0.1839,-0.1173,-507922818.0,-853403206.0,-1155983076.0,-1934561764.0,-4070799376.0,1.01,-0.0098,6.63,0.0,1.09,0.0,2019-11-21
8,84,6.4,0.02,0.0031,6.38,6.34,6.51,14383069.0,13.0,4.95,5.26,5.0,6.49,6.9,6.09,7.28,8.17,9.57,6.22,7.02,7.96,9.14,DOWNTREND,DOWNTREND,DOWNTREND,49.6939,-0.4838,0.06,HIGH,50.1868,89.1683,-7.0513,26454260.0,24788806.67,45433270.0,150574795.1,144832799.67,287209983.4,None,Bullish Engulfing,None,-0.4992,-0.0154,0.0031,-66573680.0,-361251420.0,-2356619792.0,-3059929074.0,-5622988534.0,1.01,-0.0098,6.34,0.0,1.04,0.0,2019-12-23
9,80,8.7,-0.1,-0.0114,8.79,8.69,8.85,-32825808.0002,13.86,8.69,8.7,8.7,9.02,9.46,8.97,9.55,10.0,11.13,9.03,9.43,9.99,10.71,SIDEWAYS,DOWNTREND,DOWNTREND,33.9572,-0.1781,0.0207,LOW,-153.1646,0.0,-98.2143,6516190.0,6341240.0,6889400.0,58799847.2,57009899.4,61928239.8,None,None,None,-0.3192,-0.0387,-0.0158,-103276943.0,-451331226.0,-845156458.0,-1351122888.0,-3361206904.0,0.95,-0.1949,9.16,0.0,1.46,0.0,2019-09-24
