,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,83,10.1,0.2,0.0202,10.04,10.04,10.1,0.0,10.5,9.7,9.9,9.7,10.3,10.5,10.17,10.13,10.14,10.14,10.12,10.14,10.14,10.14,DOWNTREND,SIDEWAYS,SIDEWAYS,49.0071,-0.0173,0.0137,LOW,-54.0323,0.0,-50.0,4870.0,6468.67,6310.5,48884.64,65313.43,63876.82,White Marubozu,None,None,0.0,-0.0194,0.0202,0.0,0.0,178840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,86,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.5,9.7,9.9,9.7,10.2,10.5,10.09,10.14,10.13,10.13,10.08,10.11,10.13,10.13,DOWNTREND,SIDEWAYS,SIDEWAYS,46.324,-0.0321,0.0114,LOW,-76.9587,43.3333,-50.0,4876.0,3666.67,4677.5,48467.92,36511.96,46918.02,White Marubozu,Bullish Harami,Three White Soldiers,-0.0099,0.0,0.0,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,85,10.0,-0.2,-0.0196,10.0,10.0,10.0,0.0,10.5,9.7,9.9,9.7,10.2,10.5,10.12,10.15,10.14,10.14,10.1,10.13,10.13,10.13,DOWNTREND,SIDEWAYS,SIDEWAYS,46.324,-0.0264,0.0143,LOW,-91.6464,48.3333,-60.0,4712.0,4995.33,6163.0,46871.14,49918.29,61981.47,White Marubozu,Bullish Harami,Three White Soldiers,-0.0099,0.0,-0.0196,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,86,10.3,0.0,0.0,10.3,10.3,10.3,0.0,10.5,9.7,10.0,9.7,10.5,10.5,10.09,10.15,10.14,10.13,10.13,10.13,10.13,10.13,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.841,-0.0185,0.0107,LOW,188.2146,100.0,0.0,4214.0,4311.33,4000.0,42179.84,43144.12,40057.74,White Marubozu,Bullish Harami,Three White Soldiers,0.0198,0.03,0.0,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,82,10.3,0.1,0.0098,10.3,10.3,10.3,0.0,10.5,9.7,10.1,9.7,10.5,10.5,10.21,10.14,10.11,0.0,10.2,10.17,10.15,0.0,UPTREND,SIDEWAYS,SIDEWAYS,53.5775,0.0286,0.0118,LOW,57.6923,40.0,-40.0,7479.0,5641.33,5721.0,76049.4,57373.67,58183.3,White Marubozu,None,Three White Soldiers,0.0198,0.0198,0.0198,101000.0,128441.0,229840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,82,10.3,0.28,0.0279,10.3,10.3,10.3,0.0,10.5,9.7,10.02,9.7,10.5,10.5,10.21,10.15,10.13,0.0,10.19,10.17,10.15,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.3463,0.0133,0.0144,LOW,55.1039,0.0,-41.6667,9227.0,7328.0,6057.5,93384.7,74448.6,61551.45,White Marubozu,None,None,0.0198,0.0198,0.0279,0.0,108140.0,178840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,86,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.5,9.7,9.9,9.7,10.2,10.5,10.09,10.14,10.13,10.13,10.08,10.11,10.13,10.13,DOWNTREND,SIDEWAYS,SIDEWAYS,46.324,-0.0321,0.0114,LOW,-76.9587,43.3333,-50.0,4876.0,3666.67,4677.5,48467.92,36511.96,46918.02,White Marubozu,Bullish Harami,Three White Soldiers,-0.0099,0.0,0.0,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,85,10.0,-0.2,-0.0196,10.0,10.0,10.0,0.0,10.5,9.7,9.9,9.7,10.2,10.5,10.12,10.15,10.14,10.14,10.1,10.13,10.13,10.13,DOWNTREND,SIDEWAYS,SIDEWAYS,46.324,-0.0264,0.0143,LOW,-91.6464,48.3333,-60.0,4712.0,4995.33,6163.0,46871.14,49918.29,61981.47,White Marubozu,Bullish Harami,Three White Soldiers,-0.0099,0.0,-0.0196,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,86,10.28,0.28,0.027999999999999997,10.28,10.0,10.28,0.0,10.5,9.7,10.0,9.7,10.3,10.5,10.09,10.15,10.14,10.13,10.12,10.13,10.13,10.13,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.2273,-0.0104,0.0123,LOW,100.9615,58.6667,-4.0,4864.0,4955.33,4608.0,49231.38,49810.04,46252.46,Dragonfly Doji,None,None,0.0178,0.027999999999999997,0.027999999999999997,0.0,0.0,101000.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,82,10.3,0.28,0.0279,10.3,10.3,10.3,0.0,10.5,9.7,10.02,9.7,10.5,10.5,10.21,10.15,10.13,0.0,10.19,10.17,10.15,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.3463,0.0133,0.0144,LOW,55.1039,0.0,-41.6667,9227.0,7328.0,6057.5,93384.7,74448.6,61551.45,White Marubozu,None,None,0.0198,0.0198,0.0279,0.0,108140.0,178840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,86,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.5,9.7,9.9,9.7,10.2,10.5,10.1,10.14,10.13,10.13,10.09,10.12,10.13,10.13,DOWNTREND,SIDEWAYS,SIDEWAYS,46.324,-0.0302,0.0123,LOW,-80.0654,40.0,-60.0,4865.0,4268.0,4665.5,48367.84,42547.96,46824.12,White Marubozu,Bullish Harami,Three White Soldiers,-0.0099,0.0,0.0,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,82,10.3,0.2,0.0198,10.3,10.3,10.3,0.0,10.5,9.7,10.1,9.7,10.5,10.5,10.22,10.14,10.12,0.0,10.2,10.17,10.15,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.2099,0.0245,0.0128,LOW,48.7805,46.6667,-40.0,7751.0,6236.67,6002.0,78869.0,63536.8,61142.6,White Marubozu,Bullish Harami,None,0.0198,0.0198,0.0198,0.0,108140.0,229840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,83,9.9,-0.14,-0.0139,10.04,9.9,10.04,0.0,10.5,9.7,9.7,9.7,10.1,10.5,10.18,10.13,10.13,10.14,10.12,10.14,10.14,10.14,DOWNTREND,SIDEWAYS,SIDEWAYS,42.5381,-0.0122,0.0135,LOW,-135.4108,11.9048,-100.0,5393.0,7340.0,6387.5,54344.46,74116.37,64731.38,Black Marubozu,None,None,-0.0198,-0.0388,-0.0198,0.0,101000.0,178840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,82,10.1,0.0,0.0,10.1,10.1,10.1,0.0,10.5,9.7,10.0,9.7,10.5,10.5,10.2,10.14,10.11,0.0,10.19,10.16,10.15,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.4429,0.0326,0.0123,LOW,-71.7949,26.6667,-80.0,7608.0,5891.33,6509.0,77362.2,59905.47,66212.2,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.01,-0.0098,108140.0,178840.0,232240.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,82,10.3,0.28,0.0279,10.3,10.3,10.3,0.0,10.5,9.7,10.02,9.7,10.5,10.5,10.21,10.15,10.13,0.0,10.19,10.17,10.15,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.3463,0.0133,0.0144,LOW,55.1039,0.0,-41.6667,9227.0,7328.0,6057.5,93384.7,74448.6,61551.45,White Marubozu,None,None,0.0198,0.0198,0.0279,0.0,108140.0,178840.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,86,10.3,0.0,0.0,10.3,10.3,10.3,0.0,10.5,9.7,10.0,9.7,10.5,10.5,10.09,10.15,10.14,10.13,10.13,10.13,10.13,10.13,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.841,-0.0185,0.0107,LOW,188.2146,100.0,0.0,4214.0,4311.33,4000.0,42179.84,43144.12,40057.74,White Marubozu,Bullish Harami,Three White Soldiers,0.0198,0.03,0.0,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
16,82,10.1,0.0,0.0,10.1,10.1,10.1,0.0,10.5,9.7,10.0,9.7,10.5,10.5,10.2,10.14,10.11,0.0,10.19,10.16,10.15,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.4429,0.0326,0.0123,LOW,-71.7949,26.6667,-80.0,7608.0,5891.33,6509.0,77362.2,59905.47,66212.2,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.01,-0.0098,108140.0,178840.0,232240.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
17,84,10.2,0.2,0.02,9.9,9.8,10.2,0.0,10.5,9.7,9.9,9.7,10.3,10.5,10.12,10.15,10.14,10.14,10.12,10.13,10.14,10.13,DOWNTREND,SIDEWAYS,SIDEWAYS,52.5072,-0.0254,0.0136,LOW,-43.2099,51.6667,-20.0,4352.0,5308.0,6789.5,43273.54,53218.76,68329.12,White Long Day,None,Three White Soldiers,0.0099,0.02,0.02,0.0,0.0,108140.0,282640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-06
