,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,84,9.81,0.11,0.0113,9.8,9.58,9.82,941566.0,12.46,7.5,9.62,9.2,9.82,10.53,9.75,9.65,9.9,10.01,9.74,9.78,9.87,9.7,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.7329,0.0194,0.0213,LOW,0.1796,65.3595,-27.451,75550.0,195246.67,213955.0,737005.2,1910940.47,2090094.25,Hammer,None,None,0.2577,0.0062,0.0,1022718.0,18527180.0,31033598.0,18644240.0,0.0,0.77,0.0694,12.74,0.0,1.72,0.0,2019-10-22
1,87,10.4,0.04,0.0039,10.38,10.2,10.4,0.0,12.46,7.68,10.21,9.91,10.42,10.85,10.26,10.03,9.98,10.24,10.25,10.11,10.04,9.84,UPTREND,SIDEWAYS,SIDEWAYS,61.4324,0.0864,0.0161,LOW,106.4073,96.4912,0.0,325160.0,234653.33,211710.0,3338401.4,2407937.73,2173127.15,Hammer,None,None,0.3333,0.0058,0.0058,1373112.0,28644604.0,71875398.0,101824236.0,0.0,0.7,0.0,14.86,0.0,1.79,0.0,2019-12-03
2,86,10.26,0.1,0.0098,10.22,10.0,10.3,2562462.0,12.46,7.5,10.08,9.76,10.28,11.58,10.2,9.9,9.96,10.2,10.15,10.02,9.98,9.79,SIDEWAYS,UPTREND,SIDEWAYS,56.8582,0.1088,0.0198,LOW,5.8997,62.5,-28.125,120690.0,163400.0,278900.0,1236491.7,1675895.8,2846856.15,None,None,None,0.3154,0.0039,0.0039,3584486.0,17850090.0,47205906.0,80202482.0,0.0,0.7,0.0,14.66,0.0,1.77,0.0,2019-11-20
3,87,10.12,-0.2,-0.0194,10.32,9.99,10.34,-121425.0,12.46,7.68,10.06,9.62,10.42,11.0,10.27,10.08,10.0,10.24,10.26,10.13,10.06,9.85,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.7619,0.0762,0.0176,LOW,-126.6166,59.6296,-71.1111,78170.0,234966.67,189830.0,805199.9,2412340.73,1948153.45,None,Bearish Engulfing,None,0.2974,-0.0213,-0.0194,-301083.0,27321497.0,44983817.0,105169862.0,0.0,0.7,0.0,14.46,0.0,1.74,0.0,2019-12-09
4,83,9.69,0.0,0.0,9.69,9.45,9.79,220499.0,12.46,7.5,9.1,8.7,9.74,11.0,9.71,10.03,10.24,9.71,9.68,9.95,10.03,9.7,DOWNTREND,DOWNTREND,SIDEWAYS,48.3097,-0.2393,0.0375,NEUTRAL,-13.0233,56.7031,-32.0261,649980.0,731073.33,860075.0,5914614.6,6851493.6,8372167.8,Doji,None,None,0.2423,0.0243,0.0243,1091389.0,-22930434.0,-10936552.0,-9687598.0,0.0,0.77,0.0694,12.58,0.0,1.7,0.0,2019-09-06
5,83,9.88,0.18,0.0186,9.7,9.7,9.91,3627907.0002,12.46,7.5,9.6,9.2,9.9,11.0,9.63,9.91,9.94,9.89,9.69,9.79,9.91,9.69,UPTREND,SIDEWAYS,SIDEWAYS,54.8684,-0.0269,0.0271,LOW,110.0886,77.6702,-5.0847,272720.0,287986.67,263245.0,2657408.4,2791317.53,2536175.25,White Long Day,None,None,0.2667,0.0133,0.0165,10255780.0,25233553.0,-3314761.0,5456478.0,0.0,0.77,0.0694,12.83,0.0,1.73,0.0,2019-10-03
6,87,10.36,0.02,0.0019,10.34,10.22,10.36,0.0,12.46,7.68,10.21,9.91,10.37,11.0,10.26,10.02,9.98,10.23,10.24,10.1,10.03,9.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.6221,0.087,0.0159,LOW,82.0106,82.2055,0.0,326090.0,235533.33,238325.0,3347126.6,2416614.93,2447484.65,Hammer,None,None,0.3282,0.0019,0.0019,3764862.0,28644604.0,71842740.0,101754474.0,0.0,0.7,0.0,14.8,0.0,1.79,0.0,2019-12-02
7,86,10.26,0.0,0.0,10.26,10.24,10.28,17275718.0,12.46,7.5,10.08,9.78,10.28,11.38,10.22,9.91,9.96,10.21,10.16,10.03,9.99,9.8,SIDEWAYS,UPTREND,SIDEWAYS,56.8582,0.1047,0.0187,LOW,59.1698,66.6667,-28.125,281700.0,270020.0,357540.0,2891338.0,2770209.13,3655984.7,Doji,None,None,0.3154,0.0039,0.0039,20860204.0,34064168.0,64419294.0,95335009.0,0.0,0.7,0.0,14.66,0.0,1.77,0.0,2019-11-21
8,87,9.97,0.01,0.001,10.0,9.95,10.0,2238696.0,12.46,7.68,9.68,9.33,10.09,10.42,10.19,10.14,9.98,10.23,10.11,10.1,10.06,9.87,DOWNTREND,SIDEWAYS,SIDEWAYS,41.1427,-0.0207,0.0186,LOW,-100.6503,40.4494,-52.809,151110.0,118313.33,114640.0,1508471.1,1186570.4,1156835.5,None,None,None,0.2782,-0.0358,0.001,1306412.0,687905.0,29332509.0,91658697.0,186869750.0,0.7,0.0,14.24,0.0,1.72,0.0,2019-12-23
9,83,9.7,-0.06,-0.0061,9.85,9.54,9.85,359617.0,12.46,7.5,9.58,8.95,9.86,10.53,9.51,9.93,10.05,9.82,9.63,9.81,9.93,9.69,UPTREND,DOWNTREND,SIDEWAYS,50.7117,-0.1114,0.03,NEUTRAL,89.1959,83.7842,-27.5362,271930.0,263366.67,283210.0,2598353.5,2495980.33,2650455.75,None,None,None,0.2436,0.0254,-0.0132,8013118.0,5033108.0,-1501234.0,-15430828.0,0.0,0.77,0.0694,12.6,0.0,1.7,0.0,2019-09-24
10,87,10.34,0.1,0.0098,10.24,10.18,10.34,0.0,12.46,7.68,10.21,9.91,10.35,11.0,10.26,10.01,9.97,10.23,10.23,10.08,10.02,9.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,58.7226,0.0886,0.0161,LOW,51.7763,74.26899999999999,-10.5263,326960.0,255640.0,245665.0,3355613.2,2625443.87,2522904.95,None,None,None,0.3256,0.0117,0.0058,5947472.0,31370788.0,71923124.0,101974973.0,0.0,0.7,0.0,14.77,0.0,1.78,0.0,2019-11-29
11,83,9.34,0.0,0.0,9.34,9.32,9.4,11208.0,12.46,7.5,9.2,8.7,9.7,10.09,9.44,9.99,10.12,9.76,9.56,9.83,9.96,9.69,SIDEWAYS,DOWNTREND,SIDEWAYS,44.3526,-0.2022,0.0376,NEUTRAL,-29.1321,55.8292,-41.2844,252370.0,346726.67,574765.0,2348723.0,3160425.2,5373233.3,Doji,None,None,0.1974,-0.0127,0.0,-3635501.0,-6647939.0,-9412007.0,-17761111.0,0.0,0.77,0.0694,12.13,0.0,1.64,0.0,2019-09-16
