,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,85,8.75,0.21,0.0246,8.58,8.58,8.85,6491732.0,12.0,8.3,8.3,8.3,8.8,9.14,8.63,8.87,9.58,10.42,8.64,8.97,9.44,9.96,DOWNTREND,SIDEWAYS,DOWNTREND,51.2202,-0.1692,0.0202,LOW,28.0565,0.0,-18.1818,3734580.0,3029500.0,3813165.0,31671007.0,25789151.4,33040113.55,None,None,None,-0.2031,-0.0169,0.0542,-16613247.0,-46288403.0,-53711093.0,-113974999.0,-610142617.0,0.43,0.0,20.35,0.0,3.92,0.0,2019-10-22
1,88,8.72,-0.03,-0.0034,8.75,8.72,8.75,-3036984.0,12.0,8.24,8.66,8.37,8.82,9.22,8.75,8.67,9.1,10.01,8.73,8.79,9.12,9.64,SIDEWAYS,SIDEWAYS,DOWNTREND,49.7376,0.0242,0.0141,LOW,-12.2788,40.2778,-70.8333,1173230.0,1163886.67,1310150.0,10314764.6,10243339.0,11430397.3,Black Marubozu,None,None,-0.2058,-0.0057,-0.0057,-10076484.0,-7468450.0,42672577.0,-18473800.0,-475921608.0,0.39,-0.1136,22.36,0.0,3.76,0.0,2019-12-03
2,87,8.85,-0.01,-0.0011,8.85,8.84,8.87,367055.0,12.0,8.24,8.78,8.25,8.88,9.31,8.66,8.74,9.25,10.14,8.71,8.81,9.19,9.73,UPTREND,SIDEWAYS,DOWNTREND,56.1783,0.0015,0.0157,LOW,88.5682,91.7949,-6.1538,1252020.0,2046426.67,1941135.0,10938837.9,17479184.2,16639289.7,Doji,None,None,-0.19399999999999998,0.0375,0.0057,-11470002.0,16312512.0,-442935.0,-47100688.0,-524890293.0,0.39,-0.1136,22.69,0.0,3.81,0.0,2019-11-20
3,88,8.35,-0.13,-0.0153,8.5,8.35,8.5,-4214247.0,12.0,8.24,8.25,8.25,8.78,9.26,8.73,8.64,9.03,9.94,8.66,8.75,9.07,9.6,DOWNTREND,SIDEWAYS,DOWNTREND,35.6678,0.0019,0.0171,LOW,-296.0536,19.369,-100.0,1826430.0,1374906.67,1366790.0,15821167.8,11931222.6,11905068.8,Black Marubozu,None,None,-0.2395,-0.0479,-0.0153,-18963735.0,-11257870.0,6543691.0,-30480093.0,-474406758.0,0.39,-0.1136,21.41,0.0,3.6,0.0,2019-12-09
4,84,8.83,-0.08,-0.009000000000000001,8.95,8.83,9.03,-15042461.0,12.0,8.75,8.77,8.77,9.08,9.78,9.03,9.82,10.21,10.69,9.16,9.63,10.06,10.41,DOWNTREND,DOWNTREND,DOWNTREND,33.2734,-0.2946,0.0233,LOW,-91.1458,23.2121,-94.0,1131000.0,1147633.33,2171010.0,10195132.2,10325867.6,19947380.4,None,None,None,-0.1958,-0.0371,-0.0371,-16777289.0,-41467272.0,-31483891.0,-161243599.0,-822178215.0,0.43,0.0,20.53,0.0,3.96,0.0,2019-09-06
5,84,8.65,-0.06,-0.0069,8.73,8.64,8.73,-876993.0,12.0,8.64,8.64,8.64,9.0,9.31,9.0,9.3,9.81,10.54,8.98,9.29,9.72,10.16,DOWNTREND,DOWNTREND,DOWNTREND,32.6425,-0.1041,0.0182,LOW,-203.7872,0.0,-98.5507,3622940.0,2560800.0,2172330.0,32250193.0,22828133.27,19370037.8,Black Long Day,None,None,-0.2122,-0.0281,-0.0335,-9989133.0,-11361871.0,-45861950.0,-71648946.0,-743167326.0,0.43,0.0,20.12,0.0,3.88,0.0,2019-10-03
6,88,8.75,-0.02,-0.0023,8.77,8.7,8.79,-1233029.0,12.0,8.24,8.66,8.25,8.84,9.26,8.72,8.68,9.12,10.02,8.73,8.8,9.12,9.65,UPTREND,SIDEWAYS,DOWNTREND,51.2034,0.0254,0.0149,LOW,12.9948,37.5,-58.3333,1169000.0,1226813.33,1735365.0,10282375.9,10797119.73,14958404.9,Spinning Top,None,None,-0.2031,-0.0023,-0.0023,9932592.0,-5895389.0,47583805.0,-18880267.0,-481936214.0,0.39,-0.1136,22.44,0.0,3.77,0.0,2019-12-02
7,87,8.75,-0.1,-0.0113,8.85,8.73,8.85,-1909714.0,12.0,8.24,8.74,8.25,8.88,9.31,8.66,8.73,9.23,10.12,8.71,8.81,9.18,9.72,UPTREND,SIDEWAYS,DOWNTREND,51.7884,0.0093,0.0157,LOW,52.9654,89.2308,-21.5385,1128960.0,1921520.0,1825765.0,9914560.7,16417376.33,15624322.35,Black Long Day,Bearish Engulfing,None,-0.2031,0.0258,-0.0057,-10882739.0,4209505.0,3003566.0,-47284202.0,-525345153.0,0.39,-0.1136,22.44,0.0,3.77,0.0,2019-11-21
8,88,9.5,0.2,0.0215,9.32,9.32,9.65,-1005023.0,12.0,8.24,9.19,8.28,9.64,10.33,8.85,8.72,8.9,9.82,8.97,8.86,9.07,9.55,UPTREND,SIDEWAYS,SIDEWAYS,65.865,0.0907,0.0223,LOW,143.3656,86.2333,-13.2867,3820810.0,3142780.0,2823620.0,34438080.3,28035025.53,25129624.05,None,Bullish Harami,None,-0.1348,0.0832,0.0215,57662684.0,11874427.0,5979038.0,2257683.0,-442056753.0,0.39,-0.1136,24.36,0.0,4.09,0.0,2019-12-23
9,84,9.1,-0.1,-0.0109,9.29,9.1,9.33,865399.0,12.0,8.75,9.01,8.77,9.31,10.25,9.04,9.5,9.95,10.59,9.13,9.43,9.85,10.26,UPTREND,DOWNTREND,DOWNTREND,46.7874,-0.1232,0.0191,LOW,97.4551,76.9231,-44.2308,599870.0,736326.67,839905.0,5483676.0,6657604.8,7606386.25,Black Long Day,None,None,-0.1712,-0.0076,-0.0205,585210.0,-25538974.0,-82257971.0,-32315665.0,-837439221.0,0.43,0.0,21.16,0.0,4.08,0.0,2019-09-24
