,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,86,2.08,0.08,0.04,2.08,2.08,2.08,0.0,2.43,2.0,2.0,2.0,2.14,2.27,2.12,2.12,2.15,2.19,2.1,2.13,2.15,2.2,DOWNTREND,SIDEWAYS,SIDEWAYS,48.2897,-0.0133,0.0452,NEUTRAL,-33.8801,0.0,-69.2308,74100.0,52066.67,40400.0,153621.0,108194.0,83940.5,White Marubozu,None,Three White Soldiers,-0.0326,-0.0142,0.04,0.0,6310.0,6310.0,-104990.0,826100.0,-0.13,-0.4444,-16.0,0.0,1.12,0.0,2019-10-22
1,89,2.04,0.0,0.0,1.97,1.97,2.04,-9850.0,2.42,1.95,2.0,1.98,2.06,2.26,2.09,2.12,2.15,2.18,2.08,2.11,2.14,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3168,-0.0234,0.0386,NEUTRAL,-72.6991,34.7143,-64.0,71600.0,55000.0,46500.0,148068.0,113692.0,96348.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0512,0.0,0.0,-9850.0,-7680.0,-3540.0,-16140.0,816250.0,-0.07,0.65,-29.14,0.0,1.15,0.0,2019-12-03
2,88,2.04,0.0,0.0,2.04,2.04,2.04,0.0,2.43,1.95,2.0,1.98,2.08,2.27,2.11,2.12,2.15,2.18,2.09,2.11,2.14,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3168,-0.0212,0.0393,NEUTRAL,-61.7792,30.1242,-67.8571,71500.0,59466.67,46650.0,147924.0,123043.33,96709.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0512,-0.0049,0.0,0.0,6310.0,6310.0,-6290.0,826100.0,-0.07,0.65,-29.14,0.0,1.15,0.0,2019-11-20
3,89,2.04,0.0,0.0,1.96,1.96,2.04,0.0,2.42,1.95,2.0,1.98,2.08,2.26,2.08,2.12,2.14,2.17,2.07,2.11,2.14,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3168,-0.0241,0.0386,NEUTRAL,-73.9854,37.6364,-59.0909,69400.0,49266.67,45750.0,143645.0,101860.67,94607.0,White Marubozu,None,Three White Soldiers,-0.0512,0.0,0.0,-9850.0,-7680.0,-3540.0,-16140.0,816250.0,-0.07,0.65,-29.14,0.0,1.15,0.0,2019-12-09
4,85,2.26,0.0,0.0,2.26,2.26,2.26,0.0,2.43,2.0,2.06,1.92,2.27,2.38,2.16,2.13,2.16,2.21,2.17,2.15,2.17,2.21,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.1665,0.0083,0.0335,NEUTRAL,89.0575,78.1609,-20.6897,6600.0,6800.0,5850.0,14052.0,14718.67,12656.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0512,0.0044,0.0044,0.0,0.0,0.0,-111300.0,791040.0,-0.13,-0.4444,-17.38,0.0,1.22,0.0,2019-09-06
5,85,2.0,-0.11,-0.0521,2.0,2.0,2.0,0.0,2.43,2.0,2.0,2.0,2.17,2.27,2.13,2.13,2.15,2.19,2.12,2.13,2.16,2.2,DOWNTREND,SIDEWAYS,SIDEWAYS,43.931999999999995,-0.0065,0.0512,HIGH,-134.2939,29.5802,-100.0,22100.0,17200.0,14350.0,45517.0,35702.0,29784.5,White Marubozu,None,Three White Soldiers,-0.0698,-0.0521,-0.0654,2170.0,6310.0,6310.0,-104990.0,826100.0,-0.13,-0.4444,-15.38,0.0,1.08,0.0,2019-10-03
6,89,2.04,0.0,0.0,1.97,1.97,2.04,0.0,2.42,1.95,2.0,1.98,2.06,2.26,2.1,2.12,2.15,2.18,2.08,2.11,2.14,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3168,-0.0225,0.0389,NEUTRAL,-77.877,33.4286,-64.0,71100.0,59666.67,46750.0,147093.0,123400.67,96885.5,White Marubozu,None,Three White Soldiers,-0.0512,-0.0049,0.0,0.0,6310.0,6310.0,-6290.0,826100.0,-0.07,0.65,-29.14,0.0,1.15,0.0,2019-12-02
7,88,2.04,0.0,0.0,1.97,1.97,2.04,0.0,2.42,1.95,2.0,1.98,2.06,2.26,2.1,2.12,2.15,2.18,2.08,2.11,2.14,2.19,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3168,-0.0225,0.0389,NEUTRAL,-77.877,33.4286,-64.0,71100.0,59666.67,46750.0,147093.0,123400.67,96885.5,White Marubozu,None,Three White Soldiers,-0.0512,-0.0049,0.0,0.0,6310.0,6310.0,-6290.0,826100.0,-0.07,0.65,-29.14,0.0,1.15,0.0,2019-11-21
8,89,2.03,0.13,0.0684,2.03,2.03,2.03,0.0,2.42,1.9,1.9,1.9,2.04,2.18,2.04,2.11,2.13,2.17,2.04,2.08,2.12,2.18,DOWNTREND,DOWNTREND,SIDEWAYS,48.4679,-0.0319,0.0396,NEUTRAL,-7.7183,0.0,-27.7778,6800.0,49266.67,39200.0,13430.0,101669.33,80825.0,White Marubozu,None,Three White Soldiers,-0.0558,-0.0049,0.0684,-17640.0,-27490.0,-21180.0,-21180.0,798610.0,-0.07,0.65,-29.0,0.0,1.15,0.0,2019-12-23
9,85,2.02,-0.15,-0.0691,2.02,2.02,2.02,0.0,2.43,2.0,2.0,2.0,2.2,2.32,2.14,2.13,2.15,2.2,2.13,2.14,2.16,2.21,UPTREND,SIDEWAYS,SIDEWAYS,44.2287,0.0004,0.0482,NEUTRAL,-111.7385,29.1667,-100.0,22400.0,16733.33,13200.0,46678.0,34845.33,27517.0,White Marubozu,None,None,-0.0605,-0.1022,-0.0691,6310.0,6310.0,6310.0,-104990.0,826100.0,-0.13,-0.4444,-15.54,0.0,1.09,0.0,2019-09-24
