,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,87,15.12,-0.04,-0.0026,15.12,15.12,15.36,340352.0,16.7,13.98,15.06,14.43,15.51,16.03,15.41,15.28,15.34,15.59,15.35,15.33,15.37,15.45,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4629,0.011000000000000001,0.0205,LOW,-102.6027,22.5,-80.0,149200.0,132380.0,438130.0,2309938.8,2043868.67,6849998.3,Gravestone Doji,Tweezer Bottoms,None,-0.022000000000000002,-0.0118,-0.0013,1402908.0,9895340.0,264638528.0,307707998.0,834011422.0,1.13,0.2283,13.38,0.0,2.39,0.0,2019-10-22
1,90,14.7,-0.18,-0.0121,15.0,14.7,15.0,114324.0,16.7,13.98,14.67,13.99,15.16,15.68,15.09,15.26,15.14,15.52,15.06,15.17,15.26,15.37,DOWNTREND,SIDEWAYS,SIDEWAYS,36.6419,-0.0748,0.0161,LOW,-212.2867,7.9487,-100.0,141030.0,133960.0,178985.0,2107690.4,2008256.8,2716858.3,Black Marubozu,None,Three Black Crows,-0.0492,-0.0187,-0.0187,-3943234.0,-6320896.0,15412120.0,313742260.0,574585468.0,1.18,0.3721,12.46,0.0,2.22,0.0,2019-12-03
2,89,15.08,-0.12,-0.0079,15.2,15.08,15.2,-40730.0,16.7,13.98,15.03,14.43,15.38,15.88,15.22,15.37,15.19,15.57,15.21,15.26,15.32,15.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.6811,-0.0412,0.0183,LOW,-95.7037,18.75,-87.5,215650.0,211993.33,180950.0,3306301.8,3254154.13,2773784.1,Black Marubozu,None,None,-0.0246,-0.0271,0.0027,677202.0,21704836.0,34465924.0,338114262.0,611687144.0,1.18,0.3721,12.78,0.0,2.28,0.0,2019-11-20
3,90,14.7,0.08,0.0055,15.0,14.7,15.0,-30928.0,16.7,13.98,14.61,13.99,14.85,15.38,14.97,15.18,15.11,15.5,14.93,15.1,15.21,15.34,DOWNTREND,SIDEWAYS,SIDEWAYS,38.5287,-0.1137,0.018000000000000002,LOW,-103.7184,7.2811,-83.87100000000001,338030.0,233906.67,213395.0,5050059.8,3495650.27,3194883.0,Black Marubozu,Tweezer Tops,None,-0.0492,-0.0187,0.0055,-2135912.0,-11916422.0,10680072.0,263480198.0,569630880.0,1.18,0.3721,12.46,0.0,2.22,0.0,2019-12-09
4,86,15.1,0.1,0.0067,15.1,15.0,15.12,7412522.0,16.7,13.98,15.0,14.37,15.16,15.76,14.98,15.04,15.51,15.54,14.99,15.1,15.32,15.45,UPTREND,SIDEWAYS,SIDEWAYS,53.7686,0.009000000000000001,0.0166,LOW,49.9831,81.7497,-14.8148,1136670.0,830160.0,925345.0,17104575.6,12472497.33,13841039.9,Doji,None,None,-0.0233,0.0,0.0,9832804.0,20022458.0,-2565980.0,-10656218.0,898778080.0,1.13,0.2283,13.36,0.0,2.39,0.0,2019-09-06
5,86,15.28,-0.2,-0.0129,15.22,15.2,15.28,220832.0,16.7,13.98,15.21,14.43,15.75,16.46,15.49,15.07,15.43,15.56,15.46,15.33,15.38,15.46,UPTREND,SIDEWAYS,SIDEWAYS,46.2233,0.151,0.0184,LOW,-62.341,49.2754,-69.5652,1327500.0,1246373.33,1127965.0,20900579.2,19563853.33,17591646.9,White Long Day,None,None,-0.0116,-0.0013,-0.027999999999999997,76445230.0,245110986.0,303742440.0,274229140.0,1046560220.0,1.13,0.2283,13.52,0.0,2.41,0.0,2019-10-03
6,90,14.88,-0.1,-0.0067,14.98,14.86,15.0,-2808818.0,16.7,13.98,14.87,14.43,15.16,15.68,15.12,15.28,15.14,15.53,15.1,15.19,15.27,15.37,DOWNTREND,SIDEWAYS,SIDEWAYS,41.2505,-0.0677,0.0156,LOW,-168.9922,20.5924,-96.1538,138970.0,143266.67,185680.0,2079071.2,2150241.2,2820096.8,Black Long Day,None,None,-0.0375,-0.0067,-0.0067,-10412814.0,-6088698.0,15579410.0,313869536.0,581705690.0,1.18,0.3721,12.61,0.0,2.25,0.0,2019-12-02
7,89,15.1,0.02,0.0013,15.08,15.0,15.1,99556.0,16.7,13.98,15.02,14.43,15.28,15.75,15.21,15.36,15.19,15.57,15.2,15.26,15.31,15.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.29,-0.0438,0.0174,LOW,-128.7978,19.7917,-84.375,214220.0,201560.0,181935.0,3284361.2,3094012.27,2788498.4,Hammer,None,None,-0.0233,-0.0258,0.004,813050.0,20209160.0,35036392.0,337883492.0,610926492.0,1.18,0.3721,12.8,0.0,2.28,0.0,2019-11-21
8,90,14.14,0.08,0.0057,14.06,14.06,14.8,-149936.0,16.7,13.98,14.05,13.99,14.67,15.16,14.61,14.97,15.07,15.42,14.55,14.85,15.06,15.25,DOWNTREND,SIDEWAYS,SIDEWAYS,28.1837,-0.1981,0.0255,LOW,-117.9639,4.9074,-89.5833,85440.0,198220.0,211735.0,1222117.4,2924347.73,3136088.6,Inverted Hammer,None,None,-0.0854,-0.0561,0.0057,-6906558.0,-9269420.0,-15358118.0,15972132.0,555102814.0,1.18,0.3721,11.98,0.0,2.14,0.0,2019-12-23
9,86,15.72,-0.12,-0.0076,15.6,15.6,15.8,20525640.0,16.7,13.98,15.43,14.92,15.88,16.46,15.32,15.02,15.46,15.56,15.4,15.26,15.36,15.45,UPTREND,SIDEWAYS,SIDEWAYS,66.0069,0.1527,0.0167,LOW,117.0034,86.9565,-21.7391,1266270.0,1057906.67,1315220.0,19844088.6,16451663.2,20189482.8,None,None,None,0.0168,0.0411,-0.0076,131718542.0,201173328.0,211134836.0,183333978.0,1069062360.0,1.13,0.2283,13.91,0.0,2.48,0.0,2019-09-24
10,90,14.98,-0.12,-0.0079,15.18,14.88,15.18,-3202760.0,16.7,13.98,14.9,14.43,15.16,15.68,15.14,15.3,15.15,15.54,15.12,15.2,15.28,15.38,DOWNTREND,SIDEWAYS,SIDEWAYS,44.1126,-0.0642,0.016,LOW,-108.8977,28.9595,-80.0,110140.0,128006.67,173490.0,1650204.2,1925560.0,2639830.7,Black Long Day,Bearish Engulfing,None,-0.031,-0.0335,-0.0013,-7676038.0,-3110514.0,18684830.0,324090876.0,587442400.0,1.18,0.3721,12.69,0.0,2.27,0.0,2019-11-29
11,86,15.48,0.02,0.0013,15.46,15.0,15.5,11576012.0,16.7,13.98,15.01,14.43,15.49,16.09,15.11,14.99,15.47,15.55,15.13,15.14,15.31,15.44,UPTREND,SIDEWAYS,SIDEWAYS,64.1101,0.057,0.0165,LOW,176.7969,98.9247,-3.2258,579530.0,1083706.67,850765.0,8809253.2,16364840.0,12839101.6,Hammer,None,None,0.0013,0.0252,0.0013,59587838.0,73805648.0,68754654.0,43266518.0,946497436.0,1.13,0.2283,13.7,0.0,2.45,0.0,2019-09-16
12,87,15.42,-0.18,-0.0115,15.6,15.0,15.6,458498.0,16.7,13.98,15.19,14.43,15.68,16.46,15.54,15.23,15.38,15.59,15.45,15.36,15.39,15.46,DOWNTREND,SIDEWAYS,SIDEWAYS,50.0444,0.057999999999999996,0.0209,LOW,-68.2543,62.9694,-43.9024,184160.0,501653.33,842605.0,2846794.6,7838834.27,13238852.3,Hanging Man,None,None,-0.0026,0.0078,-0.0115,8768172.0,93463566.0,305722254.0,289515524.0,934738462.0,1.13,0.2283,13.65,0.0,2.44,0.0,2019-10-16
13,86,15.1,0.04,0.0027,14.94,14.94,15.16,330326.0,16.7,13.98,14.93,13.99,15.18,15.68,14.74,15.17,15.56,15.54,14.91,15.12,15.36,15.48,UPTREND,SIDEWAYS,SIDEWAYS,54.3922,-0.0756,0.0207,LOW,83.1983,80.1932,-18.8406,687850.0,1077186.67,1053895.0,10267704.2,15780827.07,15404778.5,White Long Day,Bullish Engulfing,None,-0.0233,0.0414,0.0,1405030.0,13167294.0,-30431758.0,-15145170.0,897006738.0,1.13,0.2283,13.36,0.0,2.39,0.0,2019-08-28
14,86,15.3,-0.42,-0.0267,15.7,15.26,15.7,323556.0,16.7,13.98,15.28,14.72,15.77,16.46,15.43,15.04,15.44,15.56,15.46,15.31,15.38,15.46,UPTREND,SIDEWAYS,SIDEWAYS,46.6302,0.175,0.0166,LOW,4.1501,62.3188,-67.3913,1667980.0,1438900.0,1123755.0,26243832.8,22472683.6,17526543.0,Black Long Day,None,None,-0.0103,0.0132,-0.0267,116258810.0,288709940.0,309132080.0,278671344.0,1101553598.0,1.13,0.2283,13.54,0.0,2.42,0.0,2019-09-30
15,90,14.6,-0.1,-0.0068,14.9,14.6,14.9,0.0,16.7,13.98,14.4,13.86,14.85,15.38,14.95,15.16,15.1,15.49,14.9,15.08,15.2,15.33,DOWNTREND,SIDEWAYS,SIDEWAYS,35.676,-0.1223,0.0183,LOW,-129.6296,6.3287,-100.0,294260.0,232113.33,204040.0,4396477.4,3468018.53,3053361.3,Black Marubozu,None,None,-0.0556,-0.0254,-0.0014,-2250236.0,-12443452.0,10343978.0,251904186.0,556532836.0,1.18,0.3721,12.37,0.0,2.21,0.0,2019-12-10
16,86,14.96,-0.14,-0.0093,15.16,14.88,15.16,2339814.0,16.7,13.98,14.92,13.99,15.13,15.68,14.77,15.15,15.55,15.54,14.92,15.11,15.35,15.47,UPTREND,SIDEWAYS,SIDEWAYS,50.4566,-0.0588,0.0207,LOW,59.8456,75.5445,-32.7869,644140.0,1029913.33,997190.0,9621147.0,15106851.47,14587878.2,Black Long Day,Tweezer Tops,None,-0.0323,0.0317,-0.0093,2862134.0,16951136.0,-29774614.0,-14928502.0,898913086.0,1.13,0.2283,13.24,0.0,2.36,0.0,2019-08-29
17,88,15.22,0.0,0.0,15.22,15.22,15.28,238948.0,16.7,13.98,15.13,14.43,15.53,16.03,15.29,15.34,15.27,15.59,15.29,15.3,15.35,15.43,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.1873,-0.0325,0.0171,LOW,-47.7528,34.287,-65.3846,146250.0,111500.0,147725.0,2241266.4,1707370.0,2275602.6,Gravestone Doji,None,None,-0.0155,-0.0181,-0.0181,9748358.0,14670684.0,118961498.0,330096334.0,675722440.0,1.13,0.2283,13.47,0.0,2.4,0.0,2019-11-06
18,90,14.52,-0.08,-0.0055,14.56,14.52,14.6,-79882.0,16.7,13.98,14.36,13.86,14.85,15.57,14.88,15.12,15.09,15.48,14.83,15.04,15.18,15.32,DOWNTREND,SIDEWAYS,SIDEWAYS,33.3828,-0.1376,0.018000000000000002,LOW,-155.2142,0.0,-100.0,272000.0,232500.0,181730.0,4059771.2,3472391.87,2715306.4,Spinning Top,None,None,-0.0608,-0.0307,-0.0068,-246718.0,-12642044.0,7567116.0,229444794.0,568006070.0,1.18,0.3721,12.31,0.0,2.2,0.0,2019-12-12
19,86,15.0,-0.1,-0.0066,15.18,15.0,15.18,200386.0,16.7,13.98,14.92,13.99,15.16,15.68,14.89,15.08,15.52,15.54,14.97,15.11,15.33,15.46,UPTREND,SIDEWAYS,SIDEWAYS,50.6554,-0.0049,0.0182,LOW,51.1247,79.0174,-21.5686,1089110.0,887166.67,1129340.0,16386526.6,13306024.67,16681286.7,Black Marubozu,None,None,-0.0298,-0.0066,-0.0066,5893018.0,8932414.0,-16206730.0,-14973196.0,894293120.0,1.13,0.2283,13.27,0.0,2.37,0.0,2019-09-04
20,86,15.02,-0.08,-0.0053,15.16,15.0,15.16,241600.0,16.7,13.98,15.0,14.43,15.14,15.71,15.0,15.03,15.5,15.55,14.99,15.1,15.31,15.45,UPTREND,SIDEWAYS,SIDEWAYS,50.9966,0.0138,0.0163,LOW,38.1075,76.8181,-36.3636,1135190.0,807440.0,865770.0,17082067.4,12142007.07,12970929.3,Black Long Day,None,None,-0.0285,-0.0053,-0.0053,8223714.0,20422140.0,-1866182.0,-10414618.0,898726748.0,1.13,0.2283,13.29,0.0,2.37,0.0,2019-09-09
