,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,89,10.44,-0.04,-0.0038,10.6,10.38,10.6,438756.0,11.4,7.95,10.31,9.94,10.57,11.06,10.49,10.11,10.42,9.65,10.4,10.33,10.2,9.98,DOWNTREND,UPTREND,SIDEWAYS,51.8809,0.0357,0.0259,LOW,0.7194,53.9732,-38.2353,155720.0,263753.33,396195.0,1603696.0,2703615.33,4189595.9,Black Long Day,None,None,0.3132,-0.0492,0.0,-248862.0,-20195820.0,26288734.0,84747909.0,10340289.0,0.55,-0.3605,18.98,0.0,1.32,0.0,2019-10-22
1,92,10.3,0.0,0.0,10.3,10.3,10.46,-1046.0,11.4,7.95,10.29,9.93,10.49,10.91,10.39,10.43,10.36,9.97,10.37,10.37,10.28,10.08,DOWNTREND,SIDEWAYS,SIDEWAYS,46.8654,-0.006999999999999999,0.0156,LOW,-57.4001,0.0,-100.0,479710.0,413846.67,417600.0,4950563.8,4281676.93,4333097.0,Gravestone Doji,None,None,0.2956,0.0,0.0,-32773230.0,-37396256.0,-75933164.0,-31181720.0,-88299933.0,0.62,-0.3673,16.61,0.0,1.29,0.0,2019-12-03
2,91,10.3,-0.12,-0.0115,10.3,10.3,10.34,-13390.0,11.4,7.95,10.29,9.94,10.66,11.06,10.4,10.43,10.42,9.87,10.41,10.37,10.27,10.06,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8843,0.0166,0.0204,LOW,-76.6551,50.5051,-60.6061,354360.0,420173.33,440755.0,3702222.6,4365124.4,4571172.2,Gravestone Doji,None,None,0.2956,0.0039,0.0,-4775788.0,-27665006.0,-44580946.0,31620864.0,-56572103.0,0.62,-0.3673,16.61,0.0,1.29,0.0,2019-11-20
3,92,10.3,0.0,0.0,10.3,10.3,10.32,262650.0,11.4,7.95,10.2,9.88,10.41,10.99,10.37,10.39,10.33,10.0,10.35,10.36,10.28,10.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.9496,-0.0162,0.0144,LOW,-78.4314,50.0,-50.0,557780.0,416846.67,402715.0,5753858.0,4300018.13,4163246.6,Gravestone Doji,None,None,0.2956,0.0,0.0,-2332424.0,-33995104.0,-69460086.0,-55286162.0,-90738817.0,0.62,-0.3673,16.61,0.0,1.29,0.0,2019-12-09
4,88,10.0,0.09,0.0091,9.99,9.86,10.0,89190.0,11.4,7.75,9.88,9.11,10.24,11.11,9.6,10.44,10.11,9.32,9.88,10.1,10.0,9.82,UPTREND,DOWNTREND,SIDEWAYS,50.9074,-0.217,0.0338,NEUTRAL,67.7755,67.9688,-29.6875,471400.0,570113.33,850400.0,4687764.6,5497239.2,8215675.45,Hammer,None,None,0.2579,-0.0099,-0.0099,12102086.0,40997630.0,47305527.0,110197273.0,42880625.0,0.55,-0.3605,18.18,0.0,1.26,0.0,2019-09-06
5,88,10.32,-0.38,-0.0355,10.7,10.24,10.7,-2147454.0,11.4,7.75,10.28,9.9,11.05,11.54,10.46,10.23,10.31,9.5,10.49,10.33,10.16,9.94,UPTREND,SIDEWAYS,SIDEWAYS,47.7853,0.1762,0.0352,NEUTRAL,-0.8218,55.7771,-78.4314,551460.0,492473.33,479330.0,5947559.6,5266219.07,5043673.55,Black Long Day,None,None,0.2981,-0.0601,-0.0532,3695936.0,43065264.0,93004658.0,130135365.0,57962689.0,0.55,-0.3605,18.76,0.0,1.3,0.0,2019-10-03
6,92,10.3,0.0,0.0,10.3,10.3,10.4,-106122.0,11.4,7.95,10.29,9.93,10.49,10.99,10.41,10.43,10.36,9.96,10.38,10.37,10.28,10.08,DOWNTREND,SIDEWAYS,SIDEWAYS,46.8654,-0.004,0.0156,LOW,-83.6763,11.1111,-100.0,480820.0,440653.33,431245.0,4962442.0,4559272.0,4479167.8,Gravestone Doji,Tweezer Bottoms,None,0.2956,0.0,0.0,-33305880.0,-40623578.0,-75946790.0,-31178690.0,-88298887.0,0.62,-0.3673,16.61,0.0,1.29,0.0,2019-12-02
7,91,10.4,0.1,0.0097,10.32,10.3,10.4,-90860.0,11.4,7.95,10.3,9.94,10.56,11.06,10.4,10.43,10.41,9.88,10.41,10.37,10.27,10.06,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.95399999999999,0.013999999999999999,0.0195,LOW,-30.6346,45.6566,-60.0,369160.0,403286.67,438380.0,3853264.8,4191373.07,4546089.9,White Long Day,None,None,0.3082,0.0136,0.0097,-5695252.0,-24708058.0,-44958820.0,31578162.0,-56662963.0,0.62,-0.3673,16.77,0.0,1.31,0.0,2019-11-21
8,92,9.65,-0.07,-0.0072,9.99,9.5,9.99,-1573575.0,11.4,7.95,9.5,9.12,10.04,10.49,10.13,10.3,10.21,10.07,10.05,10.21,10.22,10.08,DOWNTREND,SIDEWAYS,SIDEWAYS,32.0219,-0.1139,0.0271,LOW,-112.3333,28.1735,-76.1468,341170.0,323746.67,449475.0,3356403.9,3229326.07,4555130.95,Black Long Day,None,None,0.2138,-0.0631,-0.0072,-5002775.0,-10357686.0,-50981264.0,-98704510.0,-110412893.0,0.62,-0.3673,15.56,0.0,1.21,0.0,2019-12-23
9,88,10.48,-0.14,-0.0132,10.5,10.48,10.6,-127896.0,11.4,7.75,10.26,9.18,10.63,11.05,10.14,10.28,10.2,9.42,10.22,10.19,10.07,9.87,UPTREND,SIDEWAYS,SIDEWAYS,56.4972,0.0617,0.0274,LOW,107.1511,86.4113,-20.5128,291940.0,358660.0,473455.0,3048963.4,3663826.0,4785223.65,Shooting Star,None,None,0.3182,0.0376,-0.0019,8312682.0,31465958.0,68214696.0,116538555.0,54727417.0,0.55,-0.3605,19.05,0.0,1.32,0.0,2019-09-24
10,92,10.3,-0.1,-0.0096,10.4,10.3,10.4,-2747044.0,11.4,7.95,10.29,9.99,10.49,11.05,10.41,10.44,10.37,9.95,10.38,10.37,10.28,10.08,DOWNTREND,SIDEWAYS,SIDEWAYS,46.8654,-0.0013,0.016,LOW,-76.6962,26.9841,-95.2381,481780.0,512313.33,472480.0,4972393.8,5311760.4,4903619.6,Black Marubozu,Bearish Engulfing,None,0.2956,0.0039,-0.0019,-31959812.0,-45964690.0,-76500430.0,-30983378.0,-88192765.0,0.62,-0.3673,16.61,0.0,1.29,0.0,2019-11-29
11,88,10.46,-0.1,-0.0095,10.5,10.36,10.54,677070.0,11.4,7.75,9.93,9.11,10.57,11.11,9.8,10.34,10.14,9.37,10.03,10.12,10.02,9.84,UPTREND,DOWNTREND,SIDEWAYS,59.4828,-0.0693,0.0299,LOW,124.4042,85.3134,-8.3333,360990.0,510186.67,540640.0,3634746.1,5105731.4,5296395.7,None,Bearish Harami,None,0.3157,0.0356,-0.0095,22450134.0,52956911.0,54191687.0,122548847.0,46265301.0,0.55,-0.3605,19.02,0.0,1.32,0.0,2019-09-16
12,89,10.44,-0.02,-0.0019,10.66,10.4,10.66,345300.0,11.4,7.75,10.13,9.62,10.6,11.06,10.51,10.1,10.4,9.6,10.39,10.32,10.18,9.97,DOWNTREND,UPTREND,SIDEWAYS,52.0899,0.0498,0.0291,LOW,4.4021,40.6061,-61.8182,331100.0,481040.0,463940.0,3377220.2,5090671.47,4902488.6,Black Long Day,None,None,0.3132,-0.0492,-0.0019,162052.0,12051206.0,45906350.0,95039151.0,32850001.0,0.55,-0.3605,18.98,0.0,1.32,0.0,2019-10-16
13,88,9.23,0.09,0.0098,9.14,9.14,9.5,-48158.0,11.4,7.75,9.12,8.85,9.58,11.11,9.91,10.51,10.07,9.29,9.77,10.13,10.0,9.81,DOWNTREND,DOWNTREND,UPTREND,33.0051,-0.3753,0.0387,NEUTRAL,-65.7369,10.2434,-91.875,592630.0,888420.0,742000.0,5490302.7,8529826.93,7225670.9,Inverted Hammer,Bullish Harami,None,0.161,-0.1517,-0.0294,7350149.0,-120781.0,29770067.0,89513392.0,-31879279.0,0.55,-0.3605,16.78,0.0,1.17,0.0,2019-08-28
14,88,10.98,0.08,0.0073,10.86,10.34,11.0,2958214.0,11.4,7.75,10.41,9.88,11.06,11.54,10.36,10.26,10.26,9.47,10.45,10.29,10.13,9.91,UPTREND,SIDEWAYS,SIDEWAYS,63.7044,0.1458,0.0298,LOW,107.4074,89.9341,-11.8644,521310.0,545780.0,441150.0,5607236.4,5739709.13,4620991.25,Hammer,None,None,0.3811,0.0871,0.0073,28785856.0,60124364.0,99022809.0,137788585.0,59339783.0,0.55,-0.3605,19.96,0.0,1.39,0.0,2019-09-30
15,92,10.3,0.0,0.0,10.3,10.28,10.32,-128710.0,11.4,7.95,10.2,9.88,10.41,10.91,10.36,10.38,10.32,10.01,10.34,10.35,10.28,10.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.9496,-0.0181,0.0137,LOW,-80.1887,50.0,-50.0,557420.0,429133.33,392380.0,5749924.2,4426270.4,4055678.6,Doji,None,None,0.2956,0.0,0.0,-2460088.0,-34409548.0,-66170868.0,-56091942.0,-90878027.0,0.62,-0.3673,16.61,0.0,1.29,0.0,2019-12-10
