,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,90,0.43,-0.015,-0.0337,0.435,0.43,0.44,-164700.0,0.6,0.43,0.43,0.43,0.45,0.46,0.44,0.45,0.47,0.48,0.44,0.45,0.46,0.49,DOWNTREND,SIDEWAYS,SIDEWAYS,36.0634,-0.0052,0.0189,LOW,-133.1169,38.3333,-100.0,349000.0,386000.0,459500.0,151880.0,168943.33,203482.5,None,Bearish Harami,None,-0.1134,-0.0444,-0.0227,-311500.0,-268000.0,-782200.0,-3598950.0,-77213324.0,0.03,-0.25,14.33,0.0,0.25,0.0,2019-10-22
1,93,0.445,0.005,0.0114,0.435,0.435,0.445,0.0,0.6,0.43,0.4375,0.43,0.45,0.485,0.4563,0.4544,0.4608,0.4787,0.4525,0.4565,0.4625,0.4806,DOWNTREND,SIDEWAYS,SIDEWAYS,44.5752,-0.0029,0.0273,LOW,-99.7151,0.0,-77.7778,2257000.0,1744666.6667,1844500.0,1012115.0,786130.0,842147.5,White Marubozu,None,None,-0.0825,0.0114,0.0114,-220500.0,-6187850.0,-18719760.0,-19483660.0,-89683593.9993,0.03,0.5,14.83,0.0,0.26,0.0,2019-12-03
2,92,0.455,0.005,0.0111,0.46,0.45,0.465,0.0,0.6,0.43,0.45,0.4325,0.47,0.53,0.4688,0.4567,0.4633,0.4808,0.4622,0.461,0.4656,0.4835,DOWNTREND,SIDEWAYS,SIDEWAYS,47.0254,0.003,0.0371,NEUTRAL,-64.7059,0.0,-88.8889,741000.0,1706133.3333,8970100.0,342000.0,811997.3333,4434033.0,None,None,None,-0.0619,-0.0714,-0.0109,-98750.0,-724510.0,-12623160.0,-14325260.0,-84122253.9993,0.03,0.5,15.17,0.0,0.27,0.0,2019-11-20
3,93,0.43,-0.01,-0.0227,0.435,0.43,0.435,0.0,0.6,0.43,0.43,0.43,0.45,0.49,0.45,0.45,0.46,0.48,0.45,0.45,0.46,0.48,DOWNTREND,SIDEWAYS,SIDEWAYS,37.4823,-0.004,0.0276,LOW,-143.3447,12.1693,-100.0,2231000.0,1620666.67,1486000.0,998880.0,726490.0,670440.0,Black Marubozu,None,None,-0.1134,-0.0227,-0.0227,-43500.0,-6221750.0,-18478160.0,-19260360.0,-89727094.0,0.03,0.5,14.33,0.0,0.25,0.0,2019-12-09
4,89,0.455,-0.005,-0.0109,0.46,0.455,0.46,0.0,0.6,0.45,0.4525,0.4525,0.4675,0.4825,0.4625,0.4694,0.4773,0.4914,0.4631,0.4686,0.4778,0.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.5622,-0.0027,0.0204,LOW,-107.0707,50.0,-75.0,764000.0,1072000.0,1065000.0,349305.0,490906.6667,488567.5,Black Marubozu,Bearish Engulfing,None,-0.0619,0.0,0.0,-266800.0,-2430250.0,-2816750.0,-25406000.0,-100538253.9991,0.03,-0.25,15.17,0.0,0.26,0.0,2019-09-06
5,89,0.445,0.005,0.0114,0.44,0.435,0.445,0.0,0.6,0.435,0.4375,0.4375,0.4525,0.4675,0.45399999999999996,0.4614,0.4691,0.4865,0.4526,0.4603,0.4703,0.4923,DOWNTREND,SIDEWAYS,SIDEWAYS,37.7355,-0.004,0.0175,LOW,-166.6667,0.0,-71.4286,614000.0,432000.0,490500.0,275115.0,193740.0,221235.0,None,Bullish Engulfing,None,-0.0825,-0.0111,-0.0111,-163800.0,-345800.0,-2903050.0,-16802850.0,-88985203.9991,0.03,-0.25,14.83,0.0,0.25,0.0,2019-10-03
6,93,0.44,0.0,0.0,0.44,0.435,0.44,0.0,0.6,0.43,0.44,0.43,0.45,0.49,0.46,0.45,0.46,0.48,0.45,0.46,0.46,0.48,DOWNTREND,SIDEWAYS,SIDEWAYS,41.305,-0.0023,0.027999999999999997,LOW,-128.328,0.0,-90.9091,2285000.0,1801333.33,1984500.0,1024795.0,812976.67,909960.0,Dragonfly Doji,None,None,-0.0928,0.0,0.0,-3505500.0,-6211600.0,-18746160.0,-19483660.0,-89683594.0,0.03,0.5,14.67,0.0,0.26,0.0,2019-12-02
7,92,0.45,-0.005,-0.011000000000000001,0.455,0.45,0.455,0.0,0.6,0.43,0.45,0.43,0.46,0.53,0.47,0.46,0.46,0.48,0.46,0.46,0.47,0.48,DOWNTREND,SIDEWAYS,SIDEWAYS,45.0117,0.0022,0.0356,NEUTRAL,-95.8231,0.0,-100.0,861000.0,1437333.33,8973100.0,395345.0,675686.67,4436923.0,Black Marubozu,None,Evening Star,-0.0722,-0.0816,-0.0217,-98750.0,-661450.0,-12623160.0,-14325260.0,-84121604.0,0.03,0.5,15.0,0.0,0.26,0.0,2019-11-21
8,93,0.41,0.0,0.0,0.41,0.41,0.41,0.0,0.6,0.41,0.41,0.41,0.43,0.45,0.43,0.45,0.45,0.47,0.43,0.44,0.45,0.47,DOWNTREND,DOWNTREND,SIDEWAYS,34.0788,-0.0089,0.0255,LOW,-131.3725,0.0,-100.0,694000.0,655333.33,1462500.0,291085.0,278120.0,644982.5,White Marubozu,Tweezer Bottoms,None,-0.1546,-0.0682,0.0,-671300.0,-710400.0,-6890300.0,-19576860.0,-90393994.0,0.03,0.5,13.67,0.0,0.24,0.0,2019-12-23
9,89,0.45,-0.005,-0.011000000000000001,0.455,0.45,0.47,0.0,0.6,0.45,0.45,0.45,0.47,0.48,0.46,0.47,0.47,0.49,0.46,0.46,0.47,0.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,34.309,-0.0023,0.0202,LOW,-51.9481,19.4444,-100.0,206000.0,360666.67,500500.0,93905.0,164746.67,228697.5,Shooting Star,Bearish Engulfing,None,-0.0722,-0.011000000000000001,-0.011000000000000001,-182000.0,-617200.0,-2873150.0,-21251650.0,-98962934.0,0.03,-0.25,15.0,0.0,0.26,0.0,2019-09-24
