,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,91,7.0,0.0,0.0,6.99,6.99,7.03,-11458852.0,7.85,6.85,6.98,6.88,7.02,7.24,7.03,7.18,7.38,7.42,7.04,7.17,7.28,7.33,DOWNTREND,SIDEWAYS,SIDEWAYS,21.7246,-0.0633,0.0098,LOW,-50.571000000000005,14.2857,-85.7143,2043080.0,2713113.33,2749100.0,14305248.0,19122925.87,19400377.05,Inverted Hammer,None,None,-0.0155,-0.0141,0.0,-25961126.0,-149922677.0,-247193039.0,-432406628.0,-1157819053.0,0.43,0.0,16.28,0.0,1.77,0.0,2019-10-22
1,94,7.2,0.0,0.0,7.2,7.19,7.2,-374896.0,7.85,6.95,7.19,6.98,7.22,7.44,7.2,7.09,7.25,7.38,7.18,7.16,7.22,7.28,SIDEWAYS,SIDEWAYS,SIDEWAYS,60.4378,0.0388,0.0069,LOW,3.003,26.1905,-71.4286,2180390.0,2111086.67,3518115.0,15734636.5,15244318.87,25082996.45,Dragonfly Doji,None,None,0.0127,0.0,0.0,-48887436.0,-70987743.0,-300826694.0,-538072421.0,-1373952835.0,0.43,-0.0227,16.74,0.0,1.75,0.0,2019-12-03
2,93,7.23,0.0,0.0,7.23,7.22,7.24,-2539140.0,7.85,6.88,7.18,6.96,7.3,7.62,7.1,7.09,7.28,7.4,7.14,7.14,7.22,7.29,UPTREND,SIDEWAYS,SIDEWAYS,69.8248,0.0299,0.0101,LOW,75.5518,57.3643,-44.18600000000001,5080870.0,3540086.67,2812255.0,36072378.2,25117422.07,19938386.3,Doji,Tweezer Bottoms,None,0.0169,0.0329,-0.0014,-13757042.0,-225066656.0,-315328782.0,-604604459.0,-1342123022.0,0.43,-0.0227,16.81,0.0,1.76,0.0,2019-11-20
3,94,7.19,0.0,0.0,7.19,7.18,7.25,-454140.0,7.85,6.95,7.17,6.96,7.22,7.45,7.22,7.1,7.23,7.37,7.18,7.17,7.22,7.28,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.7309,0.0303,0.0067,LOW,-49.8688,26.1383,-63.6364,3719150.0,3413220.0,2702810.0,26695654.2,24545703.8,19443239.6,Doji,None,None,0.0113,-0.0014,0.0,-156328750.0,-216537431.0,-441984363.0,-684660015.0,-1483895418.0,0.43,-0.0227,16.72,0.0,1.75,0.0,2019-12-09
4,90,7.25,0.01,0.0014,7.24,7.23,7.25,-1749977.0,7.85,6.85,7.21,6.99,7.32,7.64,7.36,7.5,7.49,7.4,7.33,7.43,7.46,7.42,DOWNTREND,SIDEWAYS,SIDEWAYS,30.5725,-0.0775,0.0125,LOW,-76.2082,14.6169,-78.125,2988290.0,2472786.67,2118600.0,21738132.8,18013079.0,15514719.4,Spinning Top,None,None,0.0197,0.0,0.0,-53851140.0,-185390060.0,-182443743.0,-190441054.0,-991872335.0,0.43,0.0,16.86,0.0,1.83,0.0,2019-09-06
5,90,7.04,-0.04,-0.0056,7.02,7.02,7.1,-37671996.0,7.85,6.85,7.02,6.88,7.14,7.38,7.16,7.32,7.45,7.42,7.15,7.28,7.36,7.37,DOWNTREND,SIDEWAYS,SIDEWAYS,24.8907,-0.0683,0.011000000000000001,LOW,-135.0817,31.9444,-83.3333,2984870.0,2576186.67,2172400.0,21184707.3,18341767.2,15492264.0,Inverted Hammer,None,None,-0.0098,-0.0085,-0.0056,-67979194.0,-133031831.0,-311537798.0,-323689432.0,-1122695852.0,0.43,0.0,16.37,0.0,1.78,0.0,2019-10-03
6,94,7.2,0.0,0.0,7.2,7.19,7.22,-1664981.0,7.85,6.95,7.19,6.98,7.22,7.45,7.19,7.09,7.25,7.38,7.18,7.16,7.22,7.28,UPTREND,SIDEWAYS,SIDEWAYS,60.4378,0.0403,0.0073,LOW,17.1131,33.7209,-71.4286,2919200.0,2136660.0,3538680.0,21076610.8,15429689.53,25226268.3,Doji,None,None,0.0127,0.0,0.0,-52193670.0,-71367710.0,-303671000.0,-538968987.0,-1392829716.0,0.43,-0.0227,16.74,0.0,1.75,0.0,2019-12-02
7,93,7.22,-0.01,-0.0014,7.23,7.22,7.25,-1790663.0,7.85,6.88,7.2,6.98,7.3,7.58,7.11,7.09,7.28,7.39,7.15,7.15,7.22,7.29,UPTREND,SIDEWAYS,SIDEWAYS,67.2202,0.0342,0.0097,LOW,67.3205,55.0388,-46.5116,5099400.0,3523980.0,2807640.0,36213131.0,25012213.67,19911504.55,Shooting Star,Bearish Engulfing,None,0.0155,0.0314,-0.0028,-11844236.0,-223212257.0,-296820025.0,-595931975.0,-1343876975.0,0.43,-0.0227,16.79,0.0,1.76,0.0,2019-11-21
8,94,7.21,0.01,0.0014,7.2,7.19,7.25,-83468.0,7.85,6.95,7.17,6.96,7.24,7.64,7.2,7.13,7.2,7.35,7.19,7.18,7.21,7.27,SIDEWAYS,SIDEWAYS,SIDEWAYS,62.2612,0.0138,0.0066,LOW,94.9495,50.0,-45.4545,379800.0,1720286.67,2049475.0,2726888.2,12312555.4,14711271.2,Inverted Hammer,None,None,0.0141,0.0014,0.0014,-3828135.0,-164111733.0,-235479443.0,-618309970.0,-1481761161.0,0.43,-0.0227,16.77,0.0,1.75,0.0,2019-12-23
9,90,7.16,-0.01,-0.0014,7.24,7.15,7.24,-8493977.0,7.85,6.85,7.05,6.88,7.21,7.43,7.21,7.39,7.48,7.42,7.23,7.34,7.4,7.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,21.5744,-0.0679,0.0098,LOW,-88.3449,9.0643,-94.4444,1763370.0,1889886.67,2106775.0,12685305.1,13635607.2,15233044.5,Black Long Day,None,None,0.006999999999999999,-0.0124,-0.0028,-48658623.0,-101768235.0,-253288226.0,-232916709.0,-1042165452.0,0.43,0.0,16.65,0.0,1.81,0.0,2019-09-24
10,94,7.2,-0.01,-0.0014,7.23,7.18,7.23,-334548.0,7.85,6.95,7.19,6.98,7.22,7.54,7.18,7.09,7.25,7.38,7.18,7.16,7.22,7.28,UPTREND,SIDEWAYS,SIDEWAYS,60.4378,0.0414,0.0076,LOW,22.2222,42.0266,-78.5714,2949480.0,4556960.0,3540795.0,21296800.9,32503263.33,25238427.1,None,None,None,0.0127,0.0286,-0.0028,-51410958.0,-261328652.0,-303392719.0,-539053983.0,-1396428628.0,0.43,-0.0227,16.74,0.0,1.75,0.0,2019-11-29
11,90,7.2,0.0,0.0,7.19,7.19,7.22,-609842.0,7.85,6.85,7.19,6.97,7.22,7.44,7.25,7.44,7.49,7.41,7.28,7.38,7.43,7.41,DOWNTREND,SIDEWAYS,SIDEWAYS,26.1975,-0.0769,0.0102,LOW,-101.6028,7.197,-90.9091,1644910.0,2104993.33,1908390.0,11923245.8,15297348.93,13870704.05,Inverted Hammer,None,None,0.0127,-0.0069,0.0,-9976102.0,-143278795.0,-196035225.0,-175996131.0,-992719698.0,0.43,0.0,16.74,0.0,1.82,0.0,2019-09-16
12,91,7.0,0.0,0.0,7.03,6.97,7.03,-3008600.0,7.85,6.85,6.98,6.88,7.02,7.24,7.07,7.23,7.4,7.42,7.06,7.19,7.3,7.34,DOWNTREND,SIDEWAYS,SIDEWAYS,21.7246,-0.0704,0.0114,LOW,-81.7458,14.2857,-85.7143,3448780.0,3226740.0,3114325.0,24328595.1,22785918.93,22076971.75,Spinning Top,None,None,-0.0155,-0.0141,0.0,-39250912.0,-161769278.0,-252785114.0,-402292822.0,-1153818713.0,0.43,0.0,16.28,0.0,1.77,0.0,2019-10-16
13,90,7.26,0.01,0.0014,7.25,7.24,7.3,-10463147.0,7.85,6.85,7.24,6.99,7.42,7.66,7.47,7.54,7.5,7.39,7.42,7.49,7.49,7.43,DOWNTREND,SIDEWAYS,SIDEWAYS,29.8567,-0.0517,0.0132,LOW,-118.8099,3.2133,-95.12200000000001,1710180.0,1452720.0,1446290.0,12550210.2,10748055.07,10751445.8,Inverted Hammer,None,None,0.0211,-0.0359,0.0014,-59581368.0,-76565676.0,-67228495.0,-111175831.0,-890098588.0,0.43,0.0,16.88,0.0,1.83,0.0,2019-08-28
14,90,7.1,0.02,0.0028,7.1,7.08,7.18,-4184950.0,7.85,6.85,7.02,6.88,7.2,7.44,7.18,7.35,7.46,7.42,7.18,7.3,7.38,7.38,DOWNTREND,SIDEWAYS,SIDEWAYS,29.1969,-0.0686,0.0108,LOW,-108.1081,29.1667,-58.3333,2439490.0,1900353.33,2042200.0,17422347.9,13589751.73,14672796.85,Doji,None,None,-0.0014,-0.0207,0.0028,-36646879.0,-87684238.0,-263722502.0,-268775401.0,-1069555070.0,0.43,0.0,16.51,0.0,1.79,0.0,2019-09-30
15,94,7.19,0.0,0.0,7.19,7.17,7.24,-933428.0,7.85,6.95,7.17,6.96,7.22,7.44,7.22,7.1,7.23,7.37,7.19,7.17,7.22,7.28,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.7309,0.0281,0.0069,LOW,-64.2643,33.1313,-63.6364,3611990.0,2927766.67,2688945.0,25922469.2,21035214.93,19342332.1,Doji,None,None,0.0113,-0.0014,0.0,-156887282.0,-215968340.0,-439618595.0,-684983601.0,-1483374653.0,0.43,-0.0227,16.72,0.0,1.75,0.0,2019-12-10
