,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,92,1.62,0.02,0.0125,1.62,1.62,1.62,0.0,2.0,1.46,1.59,1.51,1.64,1.78,1.68,1.67,1.65,1.67,1.66,1.67,1.66,1.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.338,-0.0094,0.0217,LOW,-69.5652,0.0,-85.0,249000.0,168066.67,128850.0,398597.0,269250.0,206778.0,White Marubozu,None,Three White Soldiers,-0.0471,-0.0122,0.0125,0.0,1730.0,28130.0,77770.0,400170.0,0.03,0.5,54.0,0.0,1.31,0.0,2019-10-22
1,95,1.6,0.0,0.0,1.6,1.6,1.6,0.0,2.0,1.5,1.59,1.5,1.65,1.78,1.64,1.67,1.65,1.67,1.64,1.65,1.66,1.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.4537,-0.0157,0.0217,LOW,-64.6388,20.5128,-92.3077,3900.0,167666.67,127000.0,6360.0,268392.0,203436.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0588,0.0063,0.0,0.0,0.0,14770.0,64210.0,403830.0,0.04,0.0,40.0,0.0,1.27,0.0,2019-12-03
2,94,1.6,-0.05,-0.0303,1.59,1.59,1.6,0.0,2.0,1.46,1.59,1.5,1.65,1.78,1.65,1.67,1.65,1.67,1.64,1.66,1.66,1.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.4537,-0.0154,0.0234,LOW,-75.7467,33.3333,-92.3077,242000.0,167733.33,127250.0,387320.0,268505.33,203878.0,White Marubozu,None,Three White Soldiers,-0.0588,0.0063,-0.0303,0.0,0.0,14770.0,64210.0,403830.0,0.04,0.0,40.0,0.0,1.27,0.0,2019-11-20
3,95,1.6,0.0,0.0,1.6,1.6,1.6,0.0,2.0,1.5,1.59,1.5,1.65,1.78,1.64,1.67,1.65,1.67,1.64,1.65,1.66,1.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.4537,-0.0157,0.0217,LOW,-64.6388,20.5128,-92.3077,3900.0,167666.67,127000.0,6360.0,268392.0,203436.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0588,0.0063,0.0,0.0,0.0,14770.0,64210.0,403830.0,0.04,0.0,40.0,0.0,1.27,0.0,2019-12-09
4,91,1.7,0.07,0.0429,1.63,1.63,1.7,0.0,2.0,1.46,1.63,1.57,1.74,1.88,1.69,1.67,1.63,1.67,1.68,1.67,1.66,1.67,UPTREND,SIDEWAYS,SIDEWAYS,51.7512,0.0078,0.0268,LOW,-6.0606,38.0952,-28.5714,7800.0,6733.33,7050.0,13347.0,11425.33,11953.0,White Marubozu,None,Three White Soldiers,0.0,0.0059,0.0429,3260.0,13040.0,65680.0,76040.0,334410.0,0.03,0.5,56.67,0.0,1.37,0.0,2019-09-06
5,91,1.64,-0.01,-0.0061,1.65,1.64,1.65,0.0,2.0,1.46,1.62,1.57,1.78,1.88,1.69,1.68,1.64,1.67,1.69,1.68,1.67,1.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.391999999999996,0.0084,0.0264,LOW,-78.6885,26.3158,-78.9474,5200.0,7200.0,6700.0,8803.0,12322.67,11375.0,Black Marubozu,Bearish Engulfing,None,-0.0353,-0.0353,-0.0061,0.0,4990.0,67410.0,77770.0,400170.0,0.03,0.5,54.67,0.0,1.32,0.0,2019-10-03
6,95,1.6,0.0,0.0,1.6,1.6,1.6,0.0,2.0,1.5,1.59,1.5,1.65,1.78,1.64,1.67,1.65,1.67,1.64,1.65,1.66,1.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.4537,-0.0157,0.0217,LOW,-64.6388,20.5128,-92.3077,3900.0,167666.67,127000.0,6360.0,268392.0,203436.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0588,0.0063,0.0,0.0,0.0,14770.0,64210.0,403830.0,0.04,0.0,40.0,0.0,1.27,0.0,2019-12-02
7,94,1.6,-0.05,-0.0303,1.59,1.59,1.6,0.0,2.0,1.46,1.59,1.5,1.65,1.78,1.65,1.67,1.65,1.67,1.64,1.66,1.66,1.67,DOWNTREND,SIDEWAYS,SIDEWAYS,44.4537,-0.0154,0.0234,LOW,-75.7467,33.3333,-92.3077,242000.0,167733.33,127250.0,387320.0,268505.33,203878.0,White Marubozu,None,Three White Soldiers,-0.0588,0.0063,-0.0303,0.0,0.0,14770.0,64210.0,403830.0,0.04,0.0,40.0,0.0,1.27,0.0,2019-11-21
8,95,1.6,-0.01,-0.0062,1.6,1.6,1.6,0.0,2.0,1.51,1.59,1.5,1.77,1.88,1.63,1.67,1.66,1.67,1.64,1.65,1.66,1.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.1958,-0.0121,0.0296,LOW,-50.7875,7.0175,-94.7368,5600.0,163400.0,127350.0,9130.0,261608.0,203925.0,White Marubozu,None,Three White Soldiers,-0.0588,0.0,-0.0062,-1600.0,-1600.0,3390.0,62610.0,402230.0,0.04,0.0,40.0,0.0,1.27,0.0,2019-12-23
9,91,1.66,-0.11,-0.0621,1.66,1.66,1.66,0.0,2.0,1.46,1.62,1.57,1.78,1.88,1.7,1.68,1.64,1.67,1.7,1.68,1.67,1.67,UPTREND,SIDEWAYS,SIDEWAYS,46.2301,0.0116,0.0292,LOW,-60.0733,71.3033,-68.4211,8100.0,7400.0,6650.0,13886.0,12662.0,11307.0,White Marubozu,None,None,-0.0235,-0.0235,-0.0621,1730.0,14770.0,67410.0,77770.0,400170.0,0.03,0.5,55.33,0.0,1.34,0.0,2019-09-24
