,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,93,0.121,-0.001,-0.0082,0.122,0.121,0.122,0.0,0.17300000000000001,0.10300000000000001,0.11599999999999999,0.1105,0.122,0.134,0.1241,0.125,0.1258,0.1212,0.1231,0.1245,0.1244,0.1261,DOWNTREND,SIDEWAYS,SIDEWAYS,44.826,-0.0011,0.0178,LOW,-54.4218,7.4074,-100.0,410000.0,304666.6667,279000.0,49934.0,37122.6667,34480.5,Black Marubozu,Bearish Engulfing,None,0.0,0.0,-0.0082,0.0,1300.0,1300.0,-2660.0,-675580.0002,-0.16,0.0,-0.76,0.0,0.61,0.0,2019-10-22
1,96,0.121,0.0,0.0,0.121,0.121,0.121,0.0,0.17300000000000001,0.105,0.1205,0.1145,0.122,0.13,0.1218,0.1245,0.1263,0.1211,0.1221,0.1237,0.124,0.1258,DOWNTREND,SIDEWAYS,SIDEWAYS,44.826,-0.0012,0.0119,LOW,-45.1977,50.0,-50.0,432000.0,318000.0,265000.0,52590.0,38690.6667,32248.0,White Marubozu,Bullish Harami,None,0.0,0.0,0.0,0.0,0.0,1300.0,-2660.0,-675580.0002,0.0,0.0,0.0,0.0,0.61,0.0,2019-12-03
2,95,0.121,0.0,0.0,0.121,0.121,0.121,0.0,0.17300000000000001,0.105,0.12,0.11599999999999999,0.122,0.134,0.1228,0.1248,0.1261,0.1212,0.1225,0.1241,0.1242,0.1259,DOWNTREND,SIDEWAYS,SIDEWAYS,44.826,-0.0012,0.0142,LOW,-50.4505,0.0,-100.0,417000.0,314000.0,251000.0,50781.0,38217.3333,30639.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,0.0,0.0,1300.0,1300.0,-2660.0,-675580.0002,0.0,0.0,0.0,0.0,0.61,0.0,2019-11-20
3,96,0.121,0.0,0.0,0.121,0.121,0.121,0.0,0.17300000000000001,0.105,0.1205,0.11599999999999999,0.122,0.13,0.1216,0.1243,0.1264,0.1211,0.122,0.1236,0.124,0.1258,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.826,-0.0012,0.0111,LOW,-43.1655,50.0,-50.0,450000.0,324000.0,270500.0,54768.0,39416.6667,32895.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,0.0,0.0,0.0,1300.0,-2660.0,-675580.0002,0.0,0.0,0.0,0.0,0.61,0.0,2019-12-09
4,92,0.121,-0.004,-0.032,0.121,0.121,0.121,0.0,0.17300000000000001,0.10300000000000001,0.12,0.11599999999999999,0.134,0.14,0.1259,0.126,0.125,0.1217,0.1263,0.1261,0.1251,0.1266,UPTREND,SIDEWAYS,SIDEWAYS,42.8645,0.0004,0.0255,LOW,-86.0215,14.3939,-100.0,140000.0,3451333.3333,2614000.0,18117.0,425197.3333,322007.0,White Marubozu,None,Three White Soldiers,0.0,-0.032,-0.032,0.0,0.0,0.0,90080.0,-651280.0002,-0.16,0.0,-0.76,0.0,0.61,0.0,2019-09-06
5,92,0.121,0.0,0.0,0.121,0.121,0.121,0.0,0.17300000000000001,0.10300000000000001,0.12,0.11599999999999999,0.13,0.134,0.1262,0.1256,0.1256,0.1214,0.1249,0.1255,0.1249,0.1264,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7179,-0.0003,0.0273,LOW,-87.0552,0.0,-100.0,85000.0,129333.3333,2615500.0,10498.0,16441.3333,322170.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,-0.0692,1300.0,1300.0,1300.0,-140.0,-672420.0002,-0.16,0.0,-0.76,0.0,0.61,0.0,2019-10-03
6,96,0.121,0.0,0.0,0.121,0.121,0.121,0.0,0.17300000000000001,0.105,0.1205,0.1145,0.122,0.13,0.1218,0.1245,0.1263,0.1211,0.1221,0.1237,0.124,0.1258,DOWNTREND,SIDEWAYS,SIDEWAYS,44.826,-0.0012,0.0119,LOW,-45.1977,50.0,-50.0,432000.0,318000.0,265000.0,52590.0,38690.6667,32248.0,White Marubozu,Bullish Harami,None,0.0,0.0,0.0,0.0,0.0,1300.0,-2660.0,-675580.0002,0.0,0.0,0.0,0.0,0.61,0.0,2019-12-02
7,95,0.121,0.0,0.0,0.121,0.12,0.121,0.0,0.17300000000000001,0.105,0.1205,0.11599999999999999,0.1215,0.13,0.1222,0.1247,0.1262,0.1211,0.1224,0.124,0.1242,0.1259,DOWNTREND,SIDEWAYS,SIDEWAYS,44.826,-0.0012,0.0138,LOW,-63.1001,0.0,-50.0,452000.0,320666.6667,266000.0,55011.0,39019.3333,32387.0,Dragonfly Doji,None,None,0.0,0.0,0.0,0.0,1300.0,1300.0,-2660.0,-675580.0002,0.0,0.0,0.0,0.0,0.61,0.0,2019-11-21
8,96,0.1,-0.008,-0.0741,0.10099999999999999,0.1,0.10099999999999999,0.0,0.17300000000000001,0.1,0.1,0.1,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,DOWNTREND,DOWNTREND,SIDEWAYS,16.8283,-0.0017,0.0296,LOW,-426.1321,28.7879,-100.0,701000.0,704666.67,551000.0,74408.0,78538.0,61626.5,Black Marubozu,None,None,-0.1736,-0.1736,-0.1736,-1210.0,-1210.0,90.0,-3870.0,-676790.0,0.0,0.0,0.0,0.0,0.5,0.0,2019-12-23
9,92,0.121,0.0,0.0,0.121,0.121,0.121,0.0,0.17300000000000001,0.10300000000000001,0.11900000000000001,0.1105,0.13,0.134,0.1263,0.1257,0.1255,0.1215,0.1253,0.1257,0.125,0.1265,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7179,-0.0002,0.0294,LOW,-88.6981,0.0,-100.0,144000.0,128666.6667,2615000.0,18369.0,16368.6667,322110.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,-0.0692,1300.0,1300.0,1300.0,-140.0,-670840.0002,-0.16,0.0,-0.76,0.0,0.61,0.0,2019-09-24
