,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,94,12.18,-0.02,-0.0016,12.24,12.12,12.3,439040.0,13.6,10.28,12.07,11.61,12.37,12.89,11.99,11.93,11.94,12.07,12.04,12.0,11.99,12.28,UPTREND,SIDEWAYS,SIDEWAYS,57.3368,0.0157,0.016,LOW,100.73299999999999,67.4074,-35.5556,575450.0,501373.33,476870.0,6990410.0,6052947.87,5748470.7,None,None,None,0.0235,0.0201,-0.0049,7197702.0,10637144.0,34967098.0,12893292.0,-451925170.0,2.61,0.1704,4.67,0.0,0.6,0.0,2019-10-22
1,97,13.08,0.32,0.0251,12.8,12.8,13.08,9006944.0,13.64,10.74,12.73,12.25,13.61,14.6,13.04,12.49,12.28,12.12,12.89,12.62,12.38,12.43,DOWNTREND,UPTREND,SIDEWAYS,56.6949,0.149,0.0218,LOW,-12.3878,29.8742,-50.0,373200.0,463120.0,853535.0,4796448.8,6057746.0,11209861.3,White Marubozu,None,None,0.0992,0.0203,0.0203,13348848.0,26024858.0,84622950.0,119565160.0,-323800796.0,3.37,0.6439,3.88,0.0,0.62,0.0,2019-12-03
2,96,13.06,0.16,0.0124,12.9,12.58,13.06,3820764.0,13.64,10.48,12.74,12.16,13.49,14.22,12.84,12.34,12.2,12.12,12.89,12.51,12.28,12.38,UPTREND,UPTREND,SIDEWAYS,57.3081,0.2934,0.0238,LOW,14.9343,59.1263,-43.2836,1367830.0,1220326.67,1034945.0,18053881.0,15942824.53,13420723.2,Hammer,None,None,0.0975,0.0382,-0.0254,6253338.0,72558316.0,82038758.0,114812024.0,-361351766.0,3.37,0.6439,3.88,0.0,0.62,0.0,2019-11-20
3,97,12.74,-0.12,-0.0093,12.86,12.7,12.86,-921950.0,13.64,10.74,12.72,12.17,13.19,13.61,13.02,12.56,12.31,12.11,12.89,12.66,12.42,12.45,DOWNTREND,UPTREND,SIDEWAYS,47.2151,0.1084,0.0207,LOW,-85.9655,33.8164,-75.7576,438580.0,430353.33,606700.0,5677244.0,5555277.73,7985164.3,Black Long Day,None,None,0.0706,-0.0062,-0.0093,11876156.0,17907968.0,87270344.0,115992854.0,-328092316.0,3.37,0.6439,3.78,0.0,0.61,0.0,2019-12-09
4,93,12.16,0.06,0.005,12.12,12.1,12.2,5987882.0,14.34,10.28,11.84,11.34,12.18,12.69,11.8,12.04,11.8,11.97,11.92,11.94,11.97,12.38,UPTREND,SIDEWAYS,SIDEWAYS,57.4555,-0.0573,0.0178,LOW,116.5424,86.0551,-4.878,482570.0,469393.33,544360.0,5695820.8,5503843.47,6403543.2,None,None,None,0.0218,0.0218,0.0218,6920764.0,5477908.0,-27090916.0,-138007414.0,-309034311.5,2.61,0.1704,4.66,0.0,0.6,0.0,2019-09-06
5,93,11.86,-0.26,-0.0215,12.08,11.7,12.08,-26360.0,13.6,10.28,11.78,11.34,12.14,12.52,12.05,12.01,11.87,12.07,12.01,11.99,11.99,12.32,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.7014,0.0196,0.0166,LOW,-152.5641,32.6984,-73.3333,401230.0,387293.33,405160.0,4812639.6,4640593.73,4872469.8,None,None,None,-0.0034,-0.0067,-0.0198,3848506.0,20490820.0,35986444.0,-43665662.0,-424853510.0,2.61,0.1704,4.54,0.0,0.59,0.0,2019-10-03
6,97,12.76,-0.06,-0.0047,12.9,12.76,12.94,-278478.0,13.64,10.74,12.73,12.17,12.97,13.61,13.03,12.47,12.27,12.12,12.87,12.6,12.37,12.42,DOWNTREND,UPTREND,SIDEWAYS,48.8179,0.162,0.0221,LOW,-65.244,22.6415,-83.0189,327160.0,596686.67,830265.0,4198870.4,7890854.93,10905114.8,Black Long Day,None,None,0.0723,-0.0047,-0.0047,3909446.0,35449168.0,77481880.0,111948700.0,-326480544.0,3.37,0.6439,3.79,0.0,0.61,0.0,2019-12-02
7,96,12.66,-0.4,-0.0306,13.06,12.62,13.06,-576446.0,13.64,10.58,12.62,12.16,13.45,14.22,12.86,12.35,12.21,12.12,12.87,12.51,12.29,12.39,UPTREND,UPTREND,SIDEWAYS,47.7516,0.2805,0.0253,LOW,-13.0193,36.8801,-92.4528,1123620.0,1179866.67,1023885.0,14877795.8,15451430.67,13294313.4,Black Long Day,Tweezer Tops,None,0.0639,0.0064,-0.0552,4598298.0,69913566.0,80829840.0,113400180.0,-361375956.0,3.37,0.6439,3.76,0.0,0.6,0.0,2019-11-21
8,97,12.24,0.0,0.0,12.32,12.0,12.32,898276.0,13.64,10.74,11.94,11.55,12.98,13.61,12.81,12.73,12.33,12.11,12.73,12.67,12.47,12.47,DOWNTREND,SIDEWAYS,SIDEWAYS,37.4178,-0.0017,0.0257,LOW,-218.8004,23.6927,-68.4932,513250.0,554413.33,475915.0,6392452.8,7017666.0,6034848.4,Hanging Man,None,None,0.0286,-0.0452,0.0,5797312.0,21780282.0,57229450.0,105958140.0,-337150848.0,3.37,0.6439,3.63,0.0,0.58,0.0,2019-12-23
9,93,12.1,0.02,0.0017,11.98,11.9,12.1,2622734.0,13.6,10.28,11.95,11.55,12.2,12.69,12.01,12.07,11.84,12.06,12.02,11.98,11.99,12.34,UPTREND,SIDEWAYS,SIDEWAYS,54.2218,0.0268,0.0152,LOW,21.075,59.1954,-50.0,412520.0,373126.67,442935.0,4965355.0,4497610.13,5285522.3,None,Bullish Engulfing,None,0.0168,0.0168,0.0,9981348.0,26135330.0,18960502.0,-104478950.0,-397353938.0,2.61,0.1704,4.64,0.0,0.6,0.0,2019-09-24
10,97,12.82,-0.06,-0.0047,12.88,12.7,12.92,4441982.0,13.64,10.74,12.76,12.16,12.97,13.61,13.04,12.45,12.26,12.12,12.88,12.59,12.36,12.42,DOWNTREND,UPTREND,SIDEWAYS,50.4145,0.1801,0.0226,LOW,-67.2885,27.673000000000002,-77.3585,367240.0,785446.67,896335.0,4737744.8,10385446.8,11754186.5,None,Bearish Engulfing,None,0.0773,0.0191,-0.0062,4019456.0,58824354.0,80931014.0,118215060.0,-323184322.0,3.37,0.6439,3.8,0.0,0.61,0.0,2019-11-29
