,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,95,0.53,0.01,0.0192,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.57,0.59,0.53,0.58,0.62,0.65,0.54,0.57,0.6,0.64,DOWNTREND,DOWNTREND,DOWNTREND,43.2741,-0.0191,0.0221,LOW,-16.317,0.0,0.0,27800.0,24466.67,24000.0,14607.0,12868.67,12639.0,White Marubozu,Bullish Harami,None,-0.2639,0.0,0.0,0.0,0.0,55000.0,55000.0,-4039470.0,0.51,0.0,1.04,0.0,1.15,0.0,2019-10-22
1,98,0.59,0.0,0.0,0.59,0.59,0.59,0.0,0.72,0.52,0.52,0.44,0.67,0.71,0.54,0.58,0.62,0.65,0.55,0.57,0.6,0.64,SIDEWAYS,DOWNTREND,DOWNTREND,61.15,-0.0148,0.0239,LOW,184.5238,100.0,0.0,20400.0,22533.33,19900.0,10703.0,11834.67,10475.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1806,0.0,0.0,0.0,0.0,55000.0,55000.0,-4039470.0,-0.54,-12.5,-1.09,0.0,1.37,0.0,2019-12-03
2,97,0.53,0.01,0.0192,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.57,0.59,0.53,0.58,0.62,0.65,0.54,0.57,0.6,0.64,DOWNTREND,DOWNTREND,DOWNTREND,43.2741,-0.0191,0.0221,LOW,-16.317,0.0,0.0,27800.0,24466.67,24000.0,14607.0,12868.67,12639.0,White Marubozu,Bullish Harami,None,-0.2639,0.0,0.0,0.0,0.0,55000.0,55000.0,-4039470.0,-0.54,-12.5,-0.98,0.0,1.23,0.0,2019-11-20
3,98,0.59,0.0,0.0,0.59,0.59,0.59,0.0,0.72,0.52,0.52,0.44,0.61,0.69,0.55,0.58,0.62,0.64,0.56,0.58,0.6,0.63,UPTREND,DOWNTREND,DOWNTREND,61.15,-0.0042,0.0178,LOW,111.1111,100.0,0.0,12600.0,19066.67,19350.0,6803.0,10132.67,10249.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1806,0.0,0.0,0.0,0.0,55000.0,55000.0,-4039470.0,-0.54,-12.5,-1.09,0.0,1.37,0.0,2019-12-09
4,94,0.53,0.0,0.0,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.59,0.61,0.53,0.6,0.63,0.65,0.54,0.58,0.61,0.64,DOWNTREND,DOWNTREND,DOWNTREND,41.9086,-0.0225,0.0263,LOW,-25.3165,14.2857,-85.7143,26100.0,23133.33,30150.0,13696.0,12181.33,16116.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.2639,0.0,0.0,0.0,0.0,55000.0,55690.0,-4013270.0,0.51,0.0,1.04,0.0,1.15,0.0,2019-09-06
5,94,0.53,0.0,0.0,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.59,0.67,0.53,0.59,0.62,0.65,0.54,0.58,0.61,0.64,DOWNTREND,DOWNTREND,DOWNTREND,41.9086,-0.0208,0.0227,LOW,-18.5759,14.2857,-85.7143,20700.0,20533.33,28100.0,10876.0,10804.0,14977.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2639,0.0,0.0,0.0,0.0,55000.0,55690.0,-4049270.0,0.51,0.0,1.04,0.0,1.15,0.0,2019-10-03
6,98,0.59,0.0,0.0,0.59,0.59,0.59,0.0,0.72,0.52,0.52,0.44,0.67,0.71,0.54,0.58,0.62,0.65,0.55,0.57,0.6,0.64,SIDEWAYS,DOWNTREND,DOWNTREND,61.15,-0.0148,0.0239,LOW,184.5238,100.0,0.0,20400.0,22533.33,19900.0,10703.0,11834.67,10475.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1806,0.0,0.0,0.0,0.0,55000.0,55000.0,-4039470.0,-0.54,-12.5,-1.09,0.0,1.37,0.0,2019-12-02
7,97,0.53,0.01,0.0192,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.57,0.59,0.53,0.58,0.62,0.65,0.54,0.57,0.6,0.64,DOWNTREND,DOWNTREND,DOWNTREND,43.2741,-0.0191,0.0221,LOW,-16.317,0.0,0.0,27800.0,24466.67,24000.0,14607.0,12868.67,12639.0,White Marubozu,Bullish Harami,None,-0.2639,0.0,0.0,0.0,0.0,55000.0,55000.0,-4039470.0,-0.54,-12.5,-0.98,0.0,1.23,0.0,2019-11-21
8,98,0.6,0.0,0.0,0.6,0.6,0.6,-600.0,0.72,0.52,0.56,0.52,0.64,0.69,0.56,0.58,0.61,0.64,0.57,0.58,0.6,0.63,UPTREND,SIDEWAYS,DOWNTREND,64.092,0.0042,0.0217,LOW,84.3034,100.0,0.0,3900.0,9400.0,15850.0,2298.0,5107.33,8452.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1667,0.0169,0.0,-1730.0,-1730.0,-1730.0,53270.0,-4041200.0,-0.54,-12.5,-1.11,0.0,1.4,0.0,2019-12-23
9,94,0.53,0.0,0.0,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.59,0.67,0.53,0.59,0.62,0.65,0.54,0.58,0.61,0.64,DOWNTREND,DOWNTREND,DOWNTREND,41.9086,-0.0208,0.0227,LOW,-18.5759,14.2857,-85.7143,20700.0,20533.33,28100.0,10876.0,10804.0,14977.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2639,0.0,0.0,0.0,0.0,55000.0,55690.0,-4049270.0,0.51,0.0,1.04,0.0,1.15,0.0,2019-09-24
10,98,0.59,0.06,0.1132,0.59,0.59,0.59,0.0,0.72,0.52,0.52,0.44,0.61,0.69,0.54,0.58,0.62,0.65,0.54,0.57,0.6,0.64,SIDEWAYS,DOWNTREND,DOWNTREND,61.15,-0.0173,0.0257,LOW,253.0864,0.0,0.0,26000.0,24066.67,22350.0,13665.0,12643.33,11770.5,White Marubozu,None,None,-0.1806,0.1132,0.1132,0.0,0.0,55000.0,55000.0,-4039470.0,-0.54,-12.5,-1.09,0.0,1.37,0.0,2019-11-29
11,94,0.53,0.0,0.0,0.53,0.53,0.53,0.0,0.72,0.52,0.52,0.44,0.59,0.67,0.53,0.59,0.62,0.65,0.54,0.58,0.61,0.64,DOWNTREND,DOWNTREND,DOWNTREND,41.9086,-0.0217,0.0244,LOW,-22.0994,14.2857,-85.7143,24600.0,20400.0,28000.0,12901.0,10732.67,14925.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2639,0.0,0.0,0.0,0.0,55000.0,55690.0,-4049270.0,0.51,0.0,1.04,0.0,1.15,0.0,2019-09-16
