,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,96,92.0,0.3,0.0033,91.0,91.0,92.0,80270.0,118.2,79.5,90.25,83.85,92.15,99.5,90.78,92.55,98.73,100.08,91.07,93.24,96.28,95.58,SIDEWAYS,SIDEWAYS,DOWNTREND,53.1812,-0.7003,0.0173,LOW,170.3704,97.0696,0.0,205728.0,189099.33,199298.0,18598342.35,17073652.13,18003716.95,White Marubozu,None,None,0.122,0.0,0.0055,35145342.0,43485175.5,-91430769.5,-256633056.5,248749023.5,2.69,-0.1063,34.2,0.0,7.24,0.0,2019-10-22
1,99,90.0,0.05,0.0006,89.95,89.35,90.0,638223.0,118.2,79.5,88.48,83.85,90.48,93.98,90.15,90.84,94.19,100.32,90.2,91.38,93.82,94.37,DOWNTREND,SIDEWAYS,SIDEWAYS,47.7803,-0.48700000000000004,0.0222,LOW,-8.5592,73.2843,-26.4706,162574.0,162905.33,179214.5,14471344.75,14625137.1,16128658.6,Hammer,None,None,0.0976,0.0,0.0,318130.0,-9746096.0,-38262323.5,-132974562.0,80771418.5,2.76,-0.10099999999999999,32.61,0.0,6.87,0.0,2019-12-03
2,98,90.0,-1.0,-0.011000000000000001,90.0,89.9,90.95,11211031.0,118.2,79.5,89.88,83.85,91.8,99.5,91.49,91.15,95.61,100.62,91.11,92.19,94.67,94.83,DOWNTREND,SIDEWAYS,DOWNTREND,43.9881,-0.1903,0.0179,LOW,-89.8802,33.8936,-85.2941,180968.0,187912.67,176779.0,16404969.45,17094681.47,16124329.18,Doji,None,None,0.0976,-0.0217,-0.011000000000000001,19987389.0,-47662508.5,26772931.0,-280778005.5,153584749.0,2.76,-0.10099999999999999,32.61,0.0,6.87,0.0,2019-11-20
3,99,88.7,0.0,0.0,88.6,87.15,88.7,-1462258.0,118.2,79.5,87.82,83.75,90.0,92.9,89.89,90.67,93.61,100.25,89.78,91.02,93.45,94.16,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7603,-0.5162,0.0219,LOW,-95.8735,63.5061,-37.8151,114761.0,133450.67,153745.0,10159602.05,11866522.9,13780165.55,Hammer,None,None,0.0817,-0.0144,0.0,-13853840.0,-13832237.0,-50969289.0,-147497900.0,46231335.5,2.76,-0.10099999999999999,32.14,0.0,6.77,0.0,2019-12-09
4,95,90.0,0.0,0.0,90.0,89.95,90.0,-8297996.5,118.2,79.5,89.75,86.38,97.75,105.0,96.12,100.71,105.26,98.84,94.77,99.26,101.06,97.32,DOWNTREND,DOWNTREND,DOWNTREND,26.8916,-2.9035,0.0223,LOW,-93.25200000000001,4.3263,-95.5357,314427.0,252943.33,231573.0,28660079.75,23362646.6,21762808.6,Dragonfly Doji,None,None,0.0976,0.0,0.0,-84972564.0,-188013722.0,-155910370.0,-313649278.0,355929411.0,2.69,-0.1063,33.46,0.0,7.09,0.0,2019-09-06
5,95,91.5,-0.3,-0.0033,91.65,88.0,91.65,-1072293.0,118.2,79.5,88.18,84.5,92.0,98.18,91.21,95.49,101.04,99.54,91.71,94.98,97.95,96.27,SIDEWAYS,DOWNTREND,DOWNTREND,46.7075,-1.4987,0.0255,LOW,-68.7751,58.5757,-19.0476,256569.0,249960.0,236162.5,23229181.2,22662741.53,21394162.18,Hanging Man,None,None,0.1159,-0.0054,0.0144,-25394822.0,-130753378.0,-319967542.0,-268140966.0,321868718.0,2.69,-0.1063,34.01,0.0,7.2,0.0,2019-10-03
6,99,89.95,-0.05,-0.0006,88.1,88.0,90.0,-1155443.5,118.2,79.5,86.0,81.12,90.0,92.9,90.29,90.86,94.34,100.35,90.22,91.44,93.9,94.42,DOWNTREND,SIDEWAYS,SIDEWAYS,47.5256,-0.4922,0.0234,LOW,-49.0965,72.7941,-27.2059,159840.0,178102.67,178836.0,14226495.65,15991361.6,16099265.45,White Long Day,None,None,0.09699999999999999,-0.0006,-0.0006,-13241921.0,-29455080.0,-36390200.0,-134671321.0,98908286.5,2.76,-0.10099999999999999,32.59,0.0,6.87,0.0,2019-12-02
7,98,90.0,0.0,0.0,85.0,85.0,90.0,4683627.5,118.2,79.5,87.5,84.05,91.0,93.98,91.34,91.12,95.45,100.59,91.01,92.1,94.58,94.78,DOWNTREND,SIDEWAYS,DOWNTREND,43.9881,-0.2163,0.0206,LOW,-217.5227,40.7049,-36.7089,199435.0,187931.33,187327.5,18053853.55,17055072.17,17062199.2,White Marubozu,None,None,0.0976,-0.0217,-0.011000000000000001,24912174.5,-42386433.0,32686001.0,-264447432.0,152372703.0,2.76,-0.10099999999999999,32.61,0.0,6.87,0.0,2019-11-21
8,99,85.2,-0.3,-0.0035,85.2,85.15,86.4,-1273235.0,118.2,80.0,85.1,81.12,87.7,91.0,88.28,90.04,92.06,99.61,88.0,89.75,92.32,93.51,DOWNTREND,SIDEWAYS,SIDEWAYS,28.6265,-0.8582,0.0214,LOW,-146.4174,11.3468,-95.9596,89228.0,86376.0,101994.5,7718927.8,7528144.33,8939264.93,Doji,None,None,0.039,-0.0533,-0.0035,3613630.0,-19647696.0,-49102776.0,-35806951.0,99943731.5,2.76,-0.10099999999999999,30.87,0.0,6.5,0.0,2019-12-23
9,95,91.0,0.0,0.0,89.55,89.55,91.0,-20075465.5,118.2,79.5,90.25,83.85,91.38,94.35,91.06,97.27,102.77,99.28,92.31,96.23,98.98,96.65,SIDEWAYS,DOWNTREND,DOWNTREND,38.3256,-2.1857,0.0197,LOW,-36.7734,57.1429,-42.8571,280598.0,275122.67,287883.0,25445157.8,24904753.97,26095105.43,White Marubozu,None,None,0.1098,0.0111,0.0,-80191010.5,-160313789.5,-262791240.5,-390094036.0,266816438.0,2.69,-0.1063,33.83,0.0,7.17,0.0,2019-09-24
10,99,90.0,0.1,0.0011,89.0,88.5,90.0,108672.5,118.2,79.5,86.0,81.1,91.0,93.98,90.44,90.88,94.48,100.39,90.25,91.5,93.98,94.46,DOWNTREND,SIDEWAYS,SIDEWAYS,47.7418,-0.4875,0.0235,LOW,-45.2946,73.0392,-26.4706,182507.0,179051.33,178173.5,16292458.95,16079347.6,16044058.45,White Long Day,None,None,0.0976,-0.0217,0.0,-13398637.5,-30796212.0,-33266152.5,-141813874.0,120552312.0,2.76,-0.10099999999999999,32.61,0.0,6.87,0.0,2019-11-29
