,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,98,13.4,0.0,0.0,13.06,13.06,13.4,-1306.0,16.3,7.08,13.21,12.67,13.41,13.84,13.36,13.57,13.78,13.91,13.41,13.55,13.63,13.05,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.431999999999995,-0.0802,0.0212,LOW,-19.918,91.2698,-4.1667,25570.0,26260.0,64600.0,339439.0,348695.47,853047.6,White Marubozu,None,None,0.1356,0.0308,0.0,-86898.0,-495988.0,-1017960.0,-58713940.0,-89682958.0,1.24,0.2653,10.81,0.0,0.91,0.0,2019-10-22
1,101,13.3,-0.06,-0.0045,13.2,13.2,13.3,-2457328.0,16.3,9.49,13.15,12.67,13.38,13.84,13.35,13.37,13.6,14.0,13.35,13.42,13.52,13.13,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.2037,-0.0158,0.0189,LOW,-46.2633,86.6667,-25.0,106990.0,86346.67,67965.0,1419777.8,1146488.13,902643.2,White Marubozu,Bullish Harami,Three White Soldiers,0.1271,-0.006,-0.006,-4686446.0,-6184408.0,-6590394.0,-7702318.0,-96214449.0,1.25,0.1261,10.64,0.0,0.9,0.0,2019-12-03
2,100,13.38,0.24,0.0183,13.38,13.38,13.38,0.0,16.3,7.34,13.12,12.67,13.4,13.84,13.36,13.43,13.65,13.97,13.35,13.44,13.54,13.11,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.4231,-0.0273,0.019,LOW,145.1713,66.6667,-6.6667,29200.0,23973.33,22085.0,388918.8,319254.4,294177.6,White Marubozu,Bullish Harami,None,0.1339,0.0121,-0.0015,-1486124.0,-1741736.0,-2067190.0,-4950252.0,-91496416.0,1.25,0.1261,10.7,0.0,0.91,0.0,2019-11-20
3,101,13.3,0.3,0.0231,13.2,13.0,13.3,0.0,16.3,9.66,12.98,12.48,13.38,13.84,13.3,13.33,13.56,14.0,13.27,13.37,13.48,13.12,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.1166,-0.04,0.0194,LOW,-59.6206,0.0,-19.0476,159970.0,111553.33,93480.0,2112785.6,1474039.87,1236082.5,Hammer,None,None,0.1271,-0.006,0.0231,-6556586.0,-8885728.0,-10589166.0,-11649420.0,-100322861.0,1.25,0.1261,10.64,0.0,0.9,0.0,2019-12-09
4,97,13.6,0.1,0.0074,13.62,13.5,13.62,-108860.0,16.3,6.91,13.5,12.87,13.72,14.18,13.72,13.88,14.14,13.25,13.72,13.86,13.79,12.89,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.1174,-0.0732,0.0166,LOW,-130.4608,0.0,-66.6667,122610.0,384100.0,302140.0,1668737.0,5248693.6,4129855.2,Hanging Man,None,None,0.1525,-0.0073,-0.0073,-1853178.0,-58148270.0,-57585354.0,-62289780.0,-88515598.0,1.24,0.2653,10.97,0.0,0.93,0.0,2019-09-06
5,97,13.4,0.0,0.0,13.2,12.94,13.4,-5176.0,16.3,7.0,12.97,12.48,13.64,14.18,13.58,13.72,13.88,13.75,13.54,13.7,13.72,13.01,DOWNTREND,SIDEWAYS,SIDEWAYS,42.3109,-0.0788,0.0207,LOW,-151.638,53.3371,-43.9024,118150.0,88866.67,71305.0,1566564.0,1182296.13,949926.2,None,None,None,0.1356,0.0308,-0.0147,-966436.0,-770546.0,-13814242.0,-62237846.0,-89438300.0,1.24,0.2653,10.81,0.0,0.91,0.0,2019-10-03
6,101,13.36,-0.02,-0.0015,13.1,13.1,13.36,-536016.0,16.3,9.49,13.15,12.67,13.38,13.84,13.36,13.38,13.6,14.0,13.36,13.42,13.52,13.12,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5036,-0.0166,0.0194,LOW,-38.7454,93.3333,-10.0,42470.0,41400.0,34645.0,562244.8,548900.0,459695.9,White Marubozu,Bullish Harami,None,0.1322,-0.0015,-0.0015,-2229118.0,-3748168.0,-4140986.0,-5353850.0,-93757121.0,1.25,0.1261,10.69,0.0,0.91,0.0,2019-12-02
7,100,13.38,0.0,0.0,13.38,13.38,13.38,0.0,16.3,7.6,13.13,12.67,13.4,13.84,13.36,13.42,13.64,13.98,13.36,13.44,13.54,13.11,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.4231,-0.0264,0.0176,LOW,145.1713,66.6667,-6.6667,28550.0,23540.0,20930.0,380292.6,313565.6,278723.7,White Marubozu,Bullish Harami,None,0.1339,0.0121,-0.0015,-1315010.0,-1740420.0,-2035906.0,-4950252.0,-91496416.0,1.25,0.1261,10.7,0.0,0.91,0.0,2019-11-21
8,101,13.3,0.1,0.0076,13.2,13.2,13.4,0.0,16.3,11.06,13.1,12.67,13.35,13.84,13.25,13.32,13.48,13.97,13.26,13.33,13.44,13.14,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.3728,-0.0313,0.0187,LOW,114.0741,77.6203,-22.7273,90910.0,143846.67,125440.0,1204418.0,1902155.33,1658601.8,None,None,None,0.1271,-0.006,0.0076,92972.0,-6464916.0,-10213084.0,-11753640.0,-101023239.0,1.25,0.1261,10.64,0.0,0.9,0.0,2019-12-23
9,97,13.6,-0.1,-0.0073,13.5,13.48,13.6,0.0,16.3,7.0,13.54,12.87,13.7,14.13,13.68,13.81,13.99,13.61,13.7,13.79,13.77,12.98,SIDEWAYS,SIDEWAYS,SIDEWAYS,38.9109,-0.0398,0.0145,LOW,-109.0589,53.6232,-60.8696,35540.0,31206.67,33685.0,484672.0,425062.8,459230.3,White Long Day,None,None,0.1525,-0.0073,-0.0073,246580.0,-177776.0,-59016716.0,-64048636.0,-88471864.0,1.24,0.2653,10.97,0.0,0.93,0.0,2019-09-24
