,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,99,4.7,-0.15,-0.0309,4.85,4.7,4.85,0.0,6.2,3.7,4.65,4.33,4.9,5.3,4.89,5.0,4.88,4.72,4.88,4.94,4.87,4.69,DOWNTREND,SIDEWAYS,SIDEWAYS,42.9244,-0.0822,0.0495,NEUTRAL,-49.9154,27.555,-80.3279,238700.0,362226.67,367625.0,1139181.0,1748870.87,1813203.6,Black Marubozu,Bearish Engulfing,None,0.0515,-0.0962,-0.0042,0.0,133980.0,5905186.0,6070166.0,6323646.0,0.0,1.0,0.0,0.0,9.22,0.0,2019-10-22
1,102,4.29,0.0,0.0,4.04,4.04,4.29,0.0,6.2,3.75,4.14,3.91,4.34,4.8,4.44,4.72,4.81,4.69,4.43,4.62,4.7,4.64,DOWNTREND,DOWNTREND,SIDEWAYS,38.5542,-0.1185,0.0388,NEUTRAL,-119.4605,42.4242,-50.0,68000.0,85466.67,86250.0,287021.0,368670.0,377156.5,White Marubozu,None,None,-0.0403,0.0094,0.0094,0.0,0.0,-121140.0,5784046.0,6222506.0,0.02,1.3333,214.5,0.0,8.41,0.0,2019-12-03
2,101,4.44,0.11,0.0254,4.33,4.33,4.45,0.0,6.2,3.72,4.32,4.14,4.54,4.88,4.58,4.89,4.86,4.71,4.57,4.73,4.77,4.67,DOWNTREND,DOWNTREND,SIDEWAYS,42.2264,-0.1101,0.0378,NEUTRAL,-93.0861,16.6667,-76.9231,93200.0,121066.67,202700.0,413348.0,542916.0,928872.5,White Long Day,None,None,-0.0067,-0.0133,-0.0022,0.0,-130500.0,12840.0,5809016.0,6222506.0,0.02,1.3333,222.0,0.0,8.71,0.0,2019-11-20
3,102,4.03,-0.02,-0.0049,4.04,4.03,4.04,0.0,6.2,3.83,3.98,3.82,4.3,4.66,4.38,4.65,4.79,4.69,4.36,4.57,4.68,4.63,DOWNTREND,DOWNTREND,SIDEWAYS,29.5567,-0.1269,0.0401,NEUTRAL,-176.8197,17.3333,-100.0,63900.0,64333.33,78550.0,267989.0,274606.0,340668.5,Black Marubozu,None,None,-0.0984,-0.0518,-0.0049,0.0,0.0,-121140.0,5784046.0,6222506.0,0.02,1.3333,201.5,0.0,7.9,0.0,2019-12-09
4,98,4.82,-0.08,-0.0163,4.81,4.78,4.82,0.0,5.54,3.6,4.77,4.45,4.9,5.24,4.84,4.82,4.72,4.55,4.84,4.8,4.72,4.55,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5697,0.0218,0.0378,NEUTRAL,-26.3289,16.8724,-88.8889,277900.0,436866.67,411000.0,1348546.0,2178490.0,2038621.0,Hammer,None,None,0.0783,-0.0143,-0.0143,0.0,164980.0,164980.0,192560.0,428360.0,0.0,1.0,0.0,0.0,9.45,0.0,2019-09-06
5,98,4.8,-0.39,-0.0751,5.19,4.8,5.19,0.0,6.2,3.6,4.78,4.45,5.27,6.05,5.28,4.99,4.86,4.68,5.19,5.06,4.9,4.68,DOWNTREND,UPTREND,SIDEWAYS,39.7123,0.1002,0.0556,HIGH,-97.7705,7.7686,-100.0,784120.0,1329180.0,1231250.0,4193263.7,7329044.53,6781241.55,Black Marubozu,None,None,0.0738,-0.0769,-0.0751,8274.0,2700888.0,5936186.0,5936186.0,6189666.0,0.0,1.0,0.0,0.0,9.41,0.0,2019-10-03
6,102,4.29,0.04,0.0094,4.29,4.29,4.29,0.0,6.2,3.75,4.18,3.88,4.37,4.8,4.46,4.75,4.81,4.7,4.44,4.63,4.71,4.65,DOWNTREND,DOWNTREND,SIDEWAYS,38.5542,-0.1184,0.0373,NEUTRAL,-82.7034,39.5257,-56.8182,78200.0,95600.0,92150.0,331485.0,413996.67,403764.5,White Marubozu,None,None,-0.0403,0.0094,0.0094,0.0,0.0,-121140.0,5784046.0,6222506.0,0.02,1.3333,214.5,0.0,8.41,0.0,2019-12-02
7,101,4.37,-0.07,-0.0158,4.33,4.23,4.37,0.0,6.2,3.72,4.28,4.14,4.51,4.88,4.57,4.88,4.85,4.71,4.55,4.72,4.76,4.67,DOWNTREND,DOWNTREND,SIDEWAYS,39.8786,-0.1118,0.0391,NEUTRAL,-130.3669,15.9836,-77.0492,110700.0,119466.67,207900.0,487584.0,532054.67,948867.5,Hammer,None,None,-0.0224,-0.0289,-0.018000000000000002,0.0,-130500.0,12840.0,5679726.0,6222506.0,0.02,1.3333,218.5,0.0,8.57,0.0,2019-11-21
8,102,4.0,-0.08,-0.0196,4.04,3.84,4.04,0.0,6.2,3.83,3.84,3.72,4.11,4.37,4.16,4.45,4.72,4.66,4.16,4.4,4.56,4.58,DOWNTREND,DOWNTREND,DOWNTREND,40.3329,-0.1402,0.0463,NEUTRAL,-88.0788,32.0493,-63.0435,65900.0,60266.67,64900.0,260111.0,240572.0,264050.0,Hanging Man,None,None,-0.1051,-0.0588,-0.0196,0.0,15800.0,15800.0,53404.0,6230986.0,0.02,1.3333,200.0,0.0,7.84,0.0,2019-12-23
9,98,5.4,-0.19,-0.034,5.64,5.39,5.64,16290.0,6.2,3.6,5.35,4.75,5.97,6.05,5.17,4.94,4.83,4.64,5.27,5.03,4.86,4.65,UPTREND,UPTREND,SIDEWAYS,55.0818,0.1653,0.0591,HIGH,57.5496,52.8736,-55.1724,2031050.0,1369966.67,1101725.0,11376952.9,7660971.27,6102214.45,Black Long Day,Bearish Engulfing,None,0.2081,0.1043,-0.0288,410001.0,5762732.0,5927712.0,5927712.0,6181192.0,0.0,1.0,0.0,0.0,10.59,0.0,2019-09-24
