,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,100,920.0,0.0,0.0,920.0,920.0,920.0,0.0,960.0,890.0,890.0,890.0,925.0,955.0,905.53,896.96,898.34,912.85,907.73,901.32,902.33,913.49,UPTREND,SIDEWAYS,SIDEWAYS,57.4928,4.9835,0.0091,LOW,77.9777,90.4762,-14.2857,1115.0,838.67,756.0,999020.5,751436.0,676610.0,White Marubozu,Bullish Harami,None,0.0337,0.0011,-0.0054,97955.0,-848810.0,-1222610.0,-3189680.0,-27642760.0,48.38,0.5521,19.02,0.0,2.07,0.0,2019-10-22
1,103,910.0,19.5,0.0219,910.0,910.0,910.0,0.0,960.0,890.0,890.5,890.0,926.0,955.0,911.28,902.65,899.08,907.57,909.01,905.16,904.36,913.13,DOWNTREND,SIDEWAYS,SIDEWAYS,50.5608,2.0145,0.013999999999999999,LOW,-3.7489,52.3148,-44.4444,1203.0,824.0,701.0,1073880.5,736170.33,627835.5,White Marubozu,None,Three White Soldiers,0.0225,-0.0162,0.0,0.0,195910.0,-652900.0,-1204900.0,-27916850.0,48.38,0.5521,18.81,0.0,2.05,0.0,2019-12-03
2,102,926.0,36.0,0.0404,926.0,926.0,926.0,0.0,960.0,890.0,890.0,890.0,955.0,994.0,911.98,901.22,898.62,909.09,909.16,904.51,903.97,913.3,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.5623,3.2191,0.0103,LOW,83.0388,0.0,0.0,1066.0,753.33,1090.5,950309.5,671993.33,974665.0,White Marubozu,None,None,0.0404,0.0011,0.0399,195910.0,293865.0,-652900.0,-3047200.0,-27916850.0,48.38,0.5521,19.14,0.0,2.09,0.0,2019-11-20
3,103,890.5,-19.5,-0.0214,893.0,890.5,893.0,62335.0,960.0,890.0,890.0,890.0,926.0,955.0,909.85,902.66,899.09,907.2,907.24,904.59,904.08,912.91,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1303,1.4412,0.0149,LOW,-97.8372,19.4444,-98.6111,1221.0,835.33,658.5,1089866.0,746214.0,588500.75,Black Marubozu,None,Evening Star,0.0006,-0.0214,-0.0214,62335.0,258245.0,-590565.0,-1142565.0,-27854515.0,48.38,0.5521,18.41,0.0,2.01,0.0,2019-12-09
4,99,890.0,0.0,0.0,890.0,890.0,890.0,0.0,960.0,890.0,890.0,890.0,890.25,920.0,891.43,891.8,896.05,919.25,891.44,893.02,899.28,913.91,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.8198,-0.1273,0.0021,LOW,-47.9958,0.0,-100.0,423.0,365.33,1924.0,377197.0,325647.33,1712735.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,0.0,0.0,-373800.0,-552000.0,-2305190.0,-26793950.0,29.68,-0.1347,29.99,0.0,2.1,0.0,2019-09-06
5,99,890.0,-29.0,-0.0316,890.5,890.0,890.5,97955.0,960.0,890.0,890.0,890.0,920.0,955.0,901.33,895.0,897.74,914.34,903.42,898.76,901.2,913.39,UPTREND,SIDEWAYS,SIDEWAYS,43.5592,4.5321,0.0089,LOW,-64.4719,65.5556,-100.0,1124.0,982.67,818.5,1007180.0,879124.0,732238.5,Black Marubozu,None,None,0.0,-0.0316,-0.0316,-866995.0,-848810.0,-1222610.0,-3171860.0,-27642760.0,18.83,0.3261,47.27,0.0,2.02,0.0,2019-10-03
6,103,910.0,19.5,0.0219,910.0,910.0,910.0,0.0,960.0,890.0,890.5,890.0,926.0,955.0,911.28,902.65,899.08,907.57,909.01,905.16,904.36,913.13,DOWNTREND,SIDEWAYS,SIDEWAYS,50.5608,2.0145,0.013999999999999999,LOW,-3.7489,52.3148,-44.4444,1203.0,824.0,701.0,1073880.5,736170.33,627835.5,White Marubozu,None,Three White Soldiers,0.0225,-0.0162,0.0,0.0,195910.0,-652900.0,-1204900.0,-27916850.0,48.38,0.5521,18.81,0.0,2.05,0.0,2019-12-02
7,102,926.0,36.0,0.0404,926.0,926.0,926.0,0.0,960.0,890.0,890.0,890.0,955.0,994.0,911.98,901.22,898.62,909.09,909.16,904.51,903.97,913.3,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.5623,3.2191,0.0103,LOW,83.0388,0.0,0.0,1066.0,753.33,1090.5,950309.5,671993.33,974665.0,White Marubozu,None,None,0.0404,0.0011,0.0399,195910.0,293865.0,-652900.0,-3047200.0,-27916850.0,48.38,0.5521,19.14,0.0,2.09,0.0,2019-11-21
8,103,890.5,0.0,0.0,890.5,890.5,890.5,0.0,960.0,890.0,890.25,890.0,891.0,926.0,903.38,902.73,898.46,905.47,899.72,901.6,902.56,911.61,DOWNTREND,SIDEWAYS,SIDEWAYS,45.1533,-2.52,0.0097,LOW,-61.7855,1.8519,-98.6111,306.0,966.67,740.5,272691.0,862493.67,661137.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0006,-0.0214,0.0,382915.0,854880.0,-12115.0,-367730.0,-27267400.0,48.38,0.5521,18.41,0.0,2.01,0.0,2019-12-23
9,99,920.0,0.0,0.0,920.0,920.0,920.0,0.0,960.0,890.0,890.5,890.0,955.0,994.0,898.63,894.19,897.35,915.39,901.59,897.42,900.69,913.51,UPTREND,SIDEWAYS,SIDEWAYS,63.2772,3.2397,0.0079,LOW,156.9947,67.2316,0.0,1302.0,994.67,756.5,1162338.5,888100.33,675435.25,White Marubozu,Bullish Harami,Three White Soldiers,0.0337,0.0337,0.0011,9190.0,18185.0,-355615.0,-2295965.0,-26775765.0,18.83,0.3261,48.86,0.0,2.08,0.0,2019-09-24
