,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,101,7.71,0.0,0.0,7.71,7.71,7.71,0.0,8.99,7.19,7.7,7.46,8.63,8.95,7.78,7.82,8.27,8.48,7.81,7.94,8.13,8.21,UPTREND,SIDEWAYS,DOWNTREND,47.2844,-0.0339,0.0254,LOW,-46.0358,0.7168,-100.0,2180.0,2373.33,6865.0,16849.8,18327.13,53452.4,White Marubozu,Bullish Harami,Three White Soldiers,0.0533,0.0,0.0,863.0,-45397.0,-7177.0,-28892.0,-596599.0,0.21,1.5833,36.71,0.0,1.76,0.0,2019-10-22
1,104,7.7,0.0,0.0,7.7,7.7,7.7,0.0,8.99,7.19,7.62,7.32,7.77,8.63,7.76,7.81,8.2,8.43,7.77,7.88,8.08,8.17,DOWNTREND,SIDEWAYS,DOWNTREND,46.9731,-0.0372,0.0162,LOW,-50.6912,0.0,-100.0,10090.0,7553.33,6240.0,77896.2,58315.87,48183.3,White Marubozu,Tweezer Bottoms,None,0.0519,-0.009000000000000001,0.0,0.0,-2992.0,-11032.0,-15562.0,-600454.0,0.18,1.36,42.78,0.0,1.79,0.0,2019-12-03
2,103,7.73,-0.04,-0.0051,7.73,7.73,7.73,0.0,8.99,7.19,7.71,7.4,7.77,8.63,7.76,7.81,8.23,8.45,7.79,7.91,8.1,8.19,UPTREND,SIDEWAYS,DOWNTREND,47.8374,-0.0356,0.0197,LOW,-26.682,0.0,-97.8261,4140.0,3740.0,4005.0,32071.0,28957.27,30970.5,White Marubozu,Bullish Harami,Three White Soldiers,0.055999999999999994,-0.0051,-0.0051,-3855.0,-2992.0,-11032.0,-32747.0,-600454.0,0.18,1.36,42.94,0.0,1.8,0.0,2019-11-20
3,104,7.58,-0.12,-0.0156,7.58,7.58,7.58,0.0,8.99,7.19,7.36,7.12,7.74,8.63,7.76,7.81,8.19,8.43,7.75,7.87,8.07,8.17,DOWNTREND,SIDEWAYS,DOWNTREND,43.3406,-0.0398,0.0164,LOW,-133.5341,0.0,-100.0,9810.0,7573.33,6180.0,75729.6,58464.8,47716.05,White Marubozu,None,None,0.0355,-0.0156,-0.0156,0.0,-2992.0,-11032.0,-15562.0,-600454.0,0.18,1.36,42.11,0.0,1.76,0.0,2019-12-09
4,100,7.71,0.0,0.0,7.73,7.71,7.73,0.0,8.99,7.0,7.7,7.4,7.8,8.95,7.83,7.89,8.35,8.49,7.79,7.96,8.17,8.23,DOWNTREND,SIDEWAYS,DOWNTREND,46.0503,-0.0684,0.019,LOW,-56.339,14.9237,-94.1176,3870.0,8740.0,6715.0,29870.0,68086.93,52362.9,Black Marubozu,None,None,0.0533,0.0,0.0,0.0,-8040.0,-8040.0,-29755.0,-597462.0,0.21,1.5833,36.71,0.0,1.76,0.0,2019-09-06
5,100,7.71,-0.92,-0.1066,7.72,7.71,7.72,0.0,8.99,7.0,7.7,7.32,8.63,8.95,7.8,7.86,8.31,8.49,7.85,7.96,8.16,8.22,SIDEWAYS,SIDEWAYS,DOWNTREND,47.2844,-0.0427,0.0317,NEUTRAL,-51.4286,36.0727,-98.9247,2390.0,3046.67,6735.0,18470.4,23538.13,52479.45,Black Marubozu,None,None,0.0533,0.0,-0.1066,863.0,-69577.0,-7177.0,-28892.0,-596599.0,0.21,1.5833,36.71,0.0,1.76,0.0,2019-10-03
6,104,7.7,0.0,0.0,7.7,7.7,7.7,0.0,8.99,7.19,7.62,7.32,7.77,8.63,7.76,7.81,8.2,8.43,7.77,7.88,8.08,8.17,DOWNTREND,SIDEWAYS,DOWNTREND,46.9731,-0.0372,0.0162,LOW,-50.6912,0.0,-100.0,10090.0,7553.33,6240.0,77896.2,58315.87,48183.3,White Marubozu,Tweezer Bottoms,None,0.0519,-0.009000000000000001,0.0,0.0,-2992.0,-11032.0,-15562.0,-600454.0,0.18,1.36,42.78,0.0,1.79,0.0,2019-12-02
7,103,7.73,0.0,0.0,7.73,7.73,7.73,0.0,8.99,7.19,7.71,7.46,7.77,8.63,7.77,7.8,8.22,8.45,7.78,7.9,8.1,8.18,UPTREND,SIDEWAYS,DOWNTREND,47.8374,-0.0359,0.0183,LOW,-27.5112,3.6232,-97.8261,4130.0,3766.67,3515.0,31994.4,29163.53,27193.1,White Marubozu,Bullish Harami,Three White Soldiers,0.055999999999999994,-0.0051,0.0,-3855.0,-2992.0,-11032.0,-32747.0,-600454.0,0.18,1.36,42.94,0.0,1.8,0.0,2019-11-21
8,104,7.02,0.01,0.0014,7.02,7.02,7.02,0.0,8.99,7.0,7.0,6.62,7.74,8.63,7.58,7.74,8.1,8.4,7.46,7.71,7.97,8.11,DOWNTREND,SIDEWAYS,DOWNTREND,31.748,-0.1316,0.017,LOW,-130.9907,1.7316,-97.4026,8900.0,8300.0,7000.0,66724.3,62822.93,53101.0,White Marubozu,None,Three White Soldiers,-0.040999999999999995,-0.0883,0.0014,-11201.0,-15056.0,-60453.0,-26763.0,-611655.0,0.18,1.36,39.0,0.0,1.63,0.0,2019-12-23
9,100,8.63,0.92,0.1193,8.63,8.63,8.63,863.0,8.99,7.0,7.71,7.24,8.95,9.38,7.86,7.87,8.33,8.49,7.86,7.97,8.17,8.23,DOWNTREND,SIDEWAYS,DOWNTREND,68.0392,-0.0522,0.0223,LOW,228.3196,37.6751,0.0,2870.0,8680.0,6705.0,22170.1,67613.33,52284.8,White Marubozu,None,None,0.179,0.1193,0.1193,863.0,-7177.0,-7177.0,-28892.0,-596599.0,0.21,1.5833,41.1,0.0,1.97,0.0,2019-09-24
