,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,102,25.0,0.2,0.0081,24.8,24.7,25.15,-6226200.0,27.65,15.54,24.75,23.8,25.3,26.5,24.67,25.49,25.62,23.35,24.93,25.22,24.86,23.38,UPTREND,DOWNTREND,SIDEWAYS,49.5631,-0.2249,0.0256,LOW,63.3646,65.812,-30.7692,1607970.0,1470166.67,1578665.0,40209461.5,36469908.67,38933607.25,None,Bullish Engulfing,None,0.2513,0.0163,0.0,66148770.0,160936755.0,279885020.0,403346970.0,1852917480.0,0.08,1.6667,312.5,0.0,44.64,0.0,2019-10-22
1,105,24.8,-0.25,-0.01,25.0,24.8,25.45,1743895.0,27.65,17.6,23.65,22.58,25.25,26.1,24.24,24.6,25.42,23.97,24.32,24.66,24.69,23.66,DOWNTREND,SIDEWAYS,SIDEWAYS,54.1619,-0.2636,0.0312,NEUTRAL,84.9214,92.8962,-21.3115,1878170.0,1796793.33,1539555.0,44696275.5,42721087.67,36828769.5,Shooting Star,None,None,0.2412,-0.008,-0.008,75530330.0,-120660665.0,-210684260.0,106268660.0,1693311052.0,0.04,0.0,620.0,0.0,0.0,0.0,2019-12-03
2,104,22.75,-0.3,-0.013000000000000001,23.0,22.6,23.0,-43094775.0,27.65,17.0,22.68,21.55,24.7,25.95,24.72,24.89,25.69,23.8,24.39,24.86,24.79,23.61,DOWNTREND,SIDEWAYS,SIDEWAYS,29.4683,-0.2195,0.0291,LOW,-215.135,4.9176,-95.5224,1369600.0,1686560.0,1525285.0,32508667.5,41143253.33,37459379.0,None,None,None,0.1386,-0.0827,-0.055999999999999994,-147368160.0,-259401165.0,-81881395.0,73467295.0,1648357299.0,0.04,0.0,568.75,0.0,0.0,0.0,2019-11-20
3,105,24.5,-0.25,-0.0101,24.75,24.1,24.75,279725.0,27.65,18.32,23.7,22.58,25.12,25.95,24.09,24.6,25.33,24.04,24.36,24.63,24.67,23.69,UPTREND,SIDEWAYS,SIDEWAYS,50.7999,-0.1422,0.0323,NEUTRAL,55.2206,63.9344,-31.1475,1387220.0,1710253.33,1604255.0,33744413.0,40736708.0,38300629.0,Hanging Man,Tweezer Tops,None,0.2262,-0.02,-0.0101,27526235.0,-39447685.0,-195543990.0,22913105.0,1728821856.0,0.04,0.0,612.5,0.0,0.0,0.0,2019-12-09
4,101,26.5,-0.3,-0.0112,26.8,26.35,26.8,-1003390.0,27.65,15.2,26.25,24.85,27.18,27.58,26.16,26.49,24.49,22.25,26.34,25.9,24.72,22.74,UPTREND,SIDEWAYS,UPTREND,52.7828,0.0774,0.0288,LOW,69.1586,68.0861,-40.3846,2082340.0,2010546.67,1974305.0,55381503.5,53027946.67,51738468.0,Black Long Day,None,None,0.3263,0.0038,0.0038,-1888975.0,65251110.0,103655215.0,843189285.0,1455974422.0,0.08,1.6667,331.25,0.0,47.32,0.0,2019-09-06
5,101,24.1,-0.6,-0.0243,24.8,23.65,24.8,-784465.0,27.65,15.2,23.88,22.88,24.8,26.65,25.37,25.91,25.15,23.02,25.15,25.5,24.88,23.18,DOWNTREND,SIDEWAYS,SIDEWAYS,32.7797,-0.3845,0.0301,NEUTRAL,-99.3396,36.2626,-78.1818,2112490.0,2382386.67,2137220.0,51935233.0,59913907.67,54142320.25,None,None,None,0.2062,-0.0203,-0.0203,19863815.0,95016210.0,175171605.0,329488755.0,1670259171.0,0.08,1.6667,301.25,0.0,43.04,0.0,2019-10-03
6,105,25.05,0.05,0.002,24.95,24.25,25.05,25127200.0,27.65,17.6,23.25,21.2,25.95,27.18,24.28,24.6,25.45,23.95,24.27,24.65,24.69,23.65,DOWNTREND,SIDEWAYS,SIDEWAYS,56.9447,-0.305,0.0313,NEUTRAL,57.2215,86.5385,0.0,2076500.0,1813086.67,1590110.0,49134452.0,43087098.67,38140125.25,Hammer,None,None,0.2538,0.002,0.002,63100210.0,-134690665.0,-213116115.0,106728395.0,1689759457.0,0.04,0.0,626.25,0.0,0.0,0.0,2019-12-02
7,104,24.0,1.25,0.0549,22.4,22.4,24.0,-10706920.0,27.65,17.0,22.58,21.02,24.4,25.95,24.68,24.84,25.66,23.82,24.35,24.82,24.77,23.62,DOWNTREND,SIDEWAYS,SIDEWAYS,45.0781,-0.2634,0.0304,NEUTRAL,-117.1732,18.1554,-54.9296,1643220.0,1699940.0,1648165.0,38889659.0,41102018.67,40316197.0,White Marubozu,Bullish Engulfing,None,0.2012,-0.0323,-0.0041,-162672650.0,-262239870.0,-97097135.0,57511400.0,1637472129.0,0.04,0.0,600.0,0.0,0.0,0.0,2019-11-21
8,105,23.75,0.85,0.0371,22.9,22.9,23.75,-3274580.0,27.65,19.5,22.6,21.2,24.32,25.45,24.2,24.49,25.07,24.19,24.07,24.41,24.54,23.72,DOWNTREND,SIDEWAYS,SIDEWAYS,46.9345,-0.1192,0.0423,NEUTRAL,-111.2851,0.0,-53.9683,1151110.0,1093326.67,1269165.0,27687558.0,26438778.67,30715985.5,White Marubozu,Bullish Harami,None,0.1887,-0.05,0.0371,-26272000.0,-2098395.0,-136789060.0,-18025720.0,1785596290.0,0.04,0.0,593.75,0.0,0.0,0.0,2019-12-23
9,101,25.0,0.25,0.0101,24.8,24.8,25.45,30234665.0,27.65,15.2,24.62,23.65,26.05,27.18,26.08,26.21,24.94,22.78,25.84,25.84,24.94,23.09,DOWNTREND,SIDEWAYS,UPTREND,35.9089,-0.1065,0.0241,LOW,-174.6471,0.0,-79.1667,2640610.0,2340480.0,2397975.0,67822162.0,60509775.0,62562760.75,Inverted Hammer,None,None,0.2513,-0.053,0.0081,14686825.0,208076200.0,257194050.0,664174555.0,1672912926.0,0.08,1.6667,312.5,0.0,44.64,0.0,2019-09-24
