,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,103,109.5,1.8,0.0167,107.7,107.7,109.5,-49275.0,111.0,100.0,107.7,104.05,109.65,113.95,108.2,106.44,105.41,103.89,108.19,107.02,105.97,105.88,UPTREND,SIDEWAYS,SIDEWAYS,57.3616,0.7122,0.009000000000000001,LOW,61.3668,56.6667,-20.0,838436.0,561102.67,422163.5,90787846.1,60757461.73,45711191.75,White Marubozu,Bullish Engulfing,None,0.08199999999999999,0.0186,0.0167,-49275.0,482925.0,348706.0,581550.0,254720.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,106,113.0,4.0,0.0367,112.0,110.0,113.0,0.0,113.0,100.0,109.0,105.6,114.5,118.5,109.88,108.41,106.87,104.6,109.88,108.61,107.23,106.58,SIDEWAYS,SIDEWAYS,SIDEWAYS,60.3846,0.5872,0.0121,LOW,205.6075,0.0,0.0,10653.0,10091.33,8981.0,1176753.5,1112201.0,988407.95,Hammer,None,None,0.1166,0.0089,0.0089,0.0,-3705480.0,-5389780.0,-4920275.0,-4188265.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,105,112.5,3.5,0.0321,112.5,112.5,112.5,0.0,112.5,100.0,109.0,105.0,114.25,118.5,109.53,107.83,106.38,104.35,109.41,108.14,106.84,106.35,SIDEWAYS,SIDEWAYS,SIDEWAYS,69.5623,0.6277,0.0065,LOW,477.839,78.2609,0.0,9177.0,7006.67,23470.5,1004841.5,765895.0,2560268.1,White Marubozu,None,Three White Soldiers,0.1117,0.0274,0.0321,-661380.0,-5282280.0,-4750080.0,-4920275.0,-4188265.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,106,108.0,-4.9,-0.0434,108.0,108.0,108.0,0.0,113.0,100.0,107.7,104.05,113.0,117.0,109.9,108.68,107.06,104.71,109.82,108.73,107.37,106.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.9884,0.5506,0.0193,LOW,-123.3333,0.0,-100.0,10112.0,9342.67,9680.5,1115211.6,1028647.07,1063941.7,White Marubozu,None,Three White Soldiers,0.0672,-0.0357,-0.0357,0.0,-683280.0,-5282280.0,-4884299.0,-4188265.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,102,105.8,-1.7,-0.0158,105.8,105.8,105.8,0.0,111.0,100.0,105.0,101.6,107.5,113.95,105.68,105.71,104.3,103.6,105.75,105.25,104.75,105.32,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.5027,0.2546,0.0156,LOW,3.3841,57.1429,-60.7143,10082.0,12058.67,32083.0,1063795.8,1274139.33,3388489.05,White Marubozu,None,Three White Soldiers,0.0455,0.0076,0.0076,-21000.0,-134219.0,-46345.0,25615.0,-5415980.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,102,108.0,0.5,0.0047,108.2,108.0,109.7,0.0,111.0,100.0,107.5,104.05,109.35,113.95,107.29,105.82,104.98,103.74,107.28,106.34,105.5,105.64,UPTREND,SIDEWAYS,SIDEWAYS,54.6274,0.6015,0.0095,LOW,121.4012,38.3873,-62.963,805339.0,538534.67,404396.0,87175909.4,58293111.07,43772877.45,Shooting Star,None,None,0.0672,0.0047,0.0047,-107500.0,532200.0,397981.0,630825.0,-3515280.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,106,109.0,-3.0,-0.0268,109.0,109.0,109.0,0.0,112.5,100.0,107.7,104.05,112.0,115.5,109.62,108.25,106.79,104.55,109.55,108.43,107.12,106.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.9559,0.5598,0.0107,LOW,-69.0532,0.0,-100.0,8137.0,8944.67,7375.0,892134.1,979812.73,806860.05,White Marubozu,None,None,0.0771,-0.0268,-0.0268,0.0,-5183730.0,-5389780.0,-4920275.0,-4188265.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,105,112.5,3.5,0.0321,112.5,112.5,112.5,0.0,112.5,100.0,109.0,105.0,114.25,118.5,109.53,107.83,106.38,104.35,109.41,108.14,106.84,106.35,SIDEWAYS,SIDEWAYS,SIDEWAYS,69.5623,0.6277,0.0065,LOW,477.839,78.2609,0.0,9177.0,7006.67,23470.5,1004841.5,765895.0,2560268.1,White Marubozu,None,Three White Soldiers,0.1117,0.0274,0.0321,-661380.0,-5282280.0,-4750080.0,-4920275.0,-4188265.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,106,108.0,0.1,0.0009,108.1,108.0,108.1,0.0,113.0,100.0,107.9,104.7,112.8,117.0,110.01,109.02,107.35,104.91,109.81,108.94,107.61,106.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8065,0.4235,0.019,LOW,-85.0534,0.0,-98.0392,10606.0,9664.0,9199.0,1162337.7,1059411.87,1008438.4,Black Marubozu,None,None,0.0672,-0.0357,0.0009,0.0,0.0,-5282280.0,-4884299.0,-4188265.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,102,108.8,0.8,0.0074,108.0,108.0,108.8,0.0,111.0,100.0,107.0,101.6,109.0,113.95,106.7,105.81,104.73,103.66,106.91,106.0,105.25,105.52,UPTREND,SIDEWAYS,SIDEWAYS,58.3859,0.5442,0.0102,LOW,138.2429,88.8889,0.0,5540.0,4353.33,7811.0,594749.0,467224.87,829272.4,White Marubozu,None,Three White Soldiers,0.0751,0.0362,0.0168,639700.0,618700.0,469505.0,722680.0,-3407780.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
