,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,104,1873.51,16.7,0.009000000000000001,1850.41,1850.23,1873.51,127390141.0,1881.46,1540.66,1825.76,1748.62,1879.37,1942.49,1811.4,1810.86,1794.74,1780.11,1822.98,1811.5,1798.43,1790.37,UPTREND,SIDEWAYS,SIDEWAYS,66.1472,5.7656,0.0117,LOW,165.4495,95.7204,0.0,9326878.6,10059331.27,10181646.75,763855764.3,866051813.65,857083572.58,White Long Day,None,None,0.0526,0.0381,0.0175,390342598.5,109499530.0,-1110534222.5,-2127085059.0,-18887550286.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,107,1880.14,2.09,0.0011,1883.7,1873.77,1892.06,-41249102.0,1964.51,1654.38,1840.95,1778.92,1891.84,1955.15,1898.86,1863.85,1844.47,1793.11,1884.5,1870.23,1843.09,1818.27,DOWNTREND,SIDEWAYS,SIDEWAYS,49.3007,2.5343,0.0142,LOW,-41.5358,30.2579,-54.3704,14118477.0,12429787.07,11561877.25,1300593194.85,1059199434.91,971084354.95,None,None,None,0.0563,0.0208,0.0208,-482361976.0,-1367532086.5,1113220269.0,-292287964.5,-13605455275.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,106,1913.0,-6.01,-0.0031,1911.32,1900.77,1914.89,-60910578.0,1964.51,1654.38,1903.44,1825.76,1924.35,2010.3,1917.4,1852.69,1831.9,1791.93,1906.8,1870.72,1837.96,1813.49,SIDEWAYS,UPTREND,SIDEWAYS,54.8843,24.0183,0.0117,LOW,-18.2161,23.2817,-78.2114,9117176.8,10686046.07,10666601.15,646643559.46,828882841.73,856759211.3,Hammer,None,None,0.0748,-0.0028,-0.0041,153198830.0,1591364783.5,2963851265.0,815151415.0,-13716461518.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,107,1895.05,20.44,0.0109,1887.67,1877.87,1896.16,265930282.4996,1964.51,1654.38,1873.62,1778.92,1895.6,1964.51,1888.65,1870.89,1847.38,1794.36,1885.49,1872.78,1846.5,1820.98,DOWNTREND,SIDEWAYS,SIDEWAYS,52.5197,-0.036000000000000004,0.0126,LOW,7.5021,59.9278,-26.5276,14711069.6,12975493.93,12054861.25,1366393563.48,1184686395.95,1048764443.8,None,None,None,0.0647,0.0289,0.0109,164169845.0,-1380428129.5,922880420.5,453746509.5,-12504523687.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,103,1804.17,-11.54,-0.0064,1811.98,1804.17,1816.54,-118467615.0,1881.46,1510.87,1793.82,1732.81,1821.27,1879.37,1815.54,1807.7,1768.16,1766.1,1812.81,1803.62,1786.07,1782.49,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.1609,-1.0596,0.0151,LOW,-22.9082,59.0581,-53.9174,10759315.9,19176013.13,17738391.7,886068880.84,1104615603.55,1112520213.35,None,None,None,0.0137,-0.0159,-0.0159,-505772177.0,-910246172.5,-647836305.5,3172887859.5,-22955445256.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,103,1752.46,-9.71,-0.0055,1753.72,1744.79,1757.16,-112302655.0,1881.46,1510.87,1748.62,1689.92,1809.78,1864.81,1801.3,1816.6,1779.33,1776.77,1795.49,1800.4,1790.27,1785.56,DOWNTREND,SIDEWAYS,SIDEWAYS,35.641,-5.9179,0.0123,LOW,-228.9847,0.0,-91.3441,12150473.8,12641050.53,12181007.75,1036745511.87,1036292916.6,997528178.22,Hanging Man,None,None,-0.0154,-0.028999999999999998,-0.0283,-276082446.0,-1122717393.0,-2240371549.5,1405848363.5,-20418703310.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,107,1878.05,36.25,0.0197,1858.91,1842.8,1878.05,-49393156.5,1964.51,1654.38,1840.95,1778.92,1891.84,1964.51,1903.08,1861.93,1843.02,1792.95,1884.96,1869.82,1842.34,1817.65,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8675,4.105,0.0146,LOW,-87.6558,24.5463,-56.7521,13429703.2,12050789.87,11602633.25,1216875049.72,1024916228.93,983439600.44,None,None,None,0.0552,0.0197,0.0197,-978107986.5,-1211728198.5,1190443343.0,-279609807.0,-14175722476.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,106,1880.29,-32.71,-0.0171,1906.8,1875.6,1906.8,-159667296.5,1964.51,1654.38,1877.94,1796.68,1924.35,2010.3,1918.44,1853.8,1833.51,1792.13,1904.28,1871.1,1838.8,1814.15,SIDEWAYS,UPTREND,SIDEWAYS,45.8464,21.9924,0.0125,LOW,-112.3626,19.3259,-94.725,8807905.8,10409075.0,10720631.9,647599643.38,811141857.32,862299129.11,Black Long Day,None,None,0.0564,-0.0199,-0.0211,-35995013.0,1062198068.0,2856186911.5,863817626.5,-13745222645.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,107,1849.34,6.18,0.0034,1849.61,1832.71,1853.87,-91721400.5,1964.51,1654.38,1790.55,1732.81,1854.84,1919.01,1867.46,1884.47,1847.19,1799.56,1865.53,1867.61,1848.62,1824.58,DOWNTREND,SIDEWAYS,SIDEWAYS,45.6003,-7.0485,0.016,LOW,-67.6554,42.5854,-40.6366,13762550.6,13197392.2,14236810.1,1279239778.36,1226262881.71,1322816670.92,None,None,None,0.039,0.0041,0.0034,-1358264170.0,-1327982446.0,-2539710644.5,-209190885.0,-12519131611.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,103,1794.88,10.74,0.006,1787.98,1787.98,1799.12,-38204297.5,1881.46,1510.87,1782.88,1726.92,1802.02,1859.91,1808.7,1825.66,1776.92,1776.24,1806.61,1804.86,1790.73,1785.42,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0993,-2.8275,0.0113,LOW,-81.8473,0.0,-76.03399999999999,13465788.4,11683575.13,11684721.85,1048977373.23,937935140.26,926581756.31,None,None,None,0.0084,-0.0209,0.0046,-618692150.0,-1706781742.0,-2384088215.0,1177604520.0,-21099533821.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,107,1841.8,-29.74,-0.0159,1874.99,1840.1,1874.99,-243758799.9996,1964.51,1654.38,1840.95,1763.89,1891.84,1964.51,1906.33,1860.1,1841.58,1792.85,1885.69,1869.49,1841.62,1817.04,DOWNTREND,SIDEWAYS,SIDEWAYS,40.7073,6.1484,0.0145,LOW,-136.9082,25.711,-98.1037,12717368.7,11740600.53,11625615.1,1152181576.5,993890401.94,978362642.04,Black Long Day,None,None,0.0348,-0.0399,-0.0173,-1120093837.5,-1130323214.5,1258940901.5,-348684265.5,-14417594207.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,103,1829.57,-3.05,-0.0017,1831.64,1827.45,1833.4,22115064.5,1881.46,1510.87,1815.6,1750.06,1834.8,1894.48,1813.12,1819.49,1773.67,1773.63,1819.01,1808.46,1790.61,1785.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.3926,0.6823,0.0122,LOW,136.0661,84.6866,-13.8401,10538486.6,11475640.4,11456706.3,832805302.39,909504070.25,892689271.35,Hanging Man,None,None,0.0279,-0.002,-0.0017,-518500462.5,-1069461034.5,-1277846833.5,2220347590.5,-21473604683.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,104,1835.89,6.47,0.0035,1829.61,1815.64,1835.89,51261503.5,1881.46,1540.66,1796.68,1727.19,1836.44,1894.48,1798.69,1808.47,1788.72,1778.35,1806.65,1803.87,1793.7,1787.73,SIDEWAYS,SIDEWAYS,SIDEWAYS,58.8529,-1.547,0.0127,LOW,173.8515,97.4615,0.0,9855296.3,10089083.4,10578898.85,833199297.82,856244510.54,874308450.58,Hammer,None,None,0.0315,0.0172,0.0081,143221773.5,-193183985.5,-1917803871.0,-1962055727.0,-19872502245.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,103,1800.32,8.23,0.0046,1788.94,1785.3,1800.32,-208333508.0,1881.46,1510.87,1788.04,1727.19,1827.12,1894.48,1825.39,1797.54,1763.66,1758.57,1816.8,1801.8,1782.57,1780.53,DOWNTREND,SIDEWAYS,SIDEWAYS,47.1586,3.7521,0.0181,LOW,-86.8105,39.0579,-67.0551,24450284.5,20966154.53,18864034.65,1289343634.81,1266415641.57,1163987957.13,White Long Day,None,None,0.0115,-0.0229,-0.0147,-392638116.0,-690500991.0,2974866066.5,3251717033.0,-23175621016.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,103,1804.77,1.22,0.0007,1802.39,1788.51,1804.77,55204739.5,1881.46,1510.87,1785.22,1726.24,1811.16,1873.53,1806.74,1822.94,1778.8,1777.18,1805.23,1804.47,1791.6,1786.07,DOWNTREND,SIDEWAYS,SIDEWAYS,49.3298,-4.0764,0.0115,LOW,-40.883,46.0447,-54.8349,11487151.2,12021197.0,11012818.9,932587360.86,942119520.19,882696331.63,Hammer,None,None,0.013999999999999999,-0.0156,0.0007,-16958339.0,-1314625684.0,-2053201864.0,1722521388.0,-20354968232.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,107,1872.21,-22.84,-0.0121,1894.76,1872.21,1894.76,13754875.5,1964.51,1654.38,1840.95,1778.92,1895.6,1955.15,1886.09,1872.24,1847.59,1794.79,1884.23,1872.76,1847.01,1821.49,DOWNTREND,SIDEWAYS,SIDEWAYS,47.3936,-0.4069,0.0127,LOW,-24.564,55.1156,-51.8591,12509158.2,12918467.6,11951952.5,1110192779.19,1194068062.4,1039654025.55,Black Marubozu,None,None,0.0519,0.0165,-0.0013,219173822.5,-1389457967.0,619743180.5,445386320.5,-11972176795.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
16,103,1809.89,9.57,0.0053,1799.44,1783.44,1809.89,43486094.5003,1881.46,1510.87,1787.76,1729.86,1827.12,1894.48,1823.44,1799.26,1764.21,1759.8,1816.15,1802.11,1783.11,1780.82,DOWNTREND,SIDEWAYS,SIDEWAYS,49.0345,2.5742,0.0177,LOW,-63.1661,33.385999999999996,-57.6042,24316994.4,21075829.53,19089330.4,1284756669.01,1267955475.1,1186777987.81,None,None,None,0.0169,-0.0177,-0.0094,-303725467.0,-482174179.5,2578717813.0,3351885118.0,-23140174921.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
