,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,105,3.76,-0.24,-0.06,4.49,3.76,4.5,0.0,7.1,2.91,3.58,3.44,4.26,4.76,4.29,4.31,4.71,4.82,4.21,4.37,4.56,4.81,DOWNTREND,SIDEWAYS,DOWNTREND,42.2418,-0.0523,0.0896,HIGH,-72.6758,29.3896,-84.2105,31000.0,23266.67,19650.0,124448.0,94754.67,80759.0,Black Long Day,Bearish Engulfing,None,-0.2906,-0.0623,-0.06,0.0,0.0,0.0,0.0,0.0,0.07,2.5,53.71,0.0,0.77,0.0,2019-10-22
1,108,3.99,0.18,0.0472,3.99,3.99,4.0,0.0,7.1,3.01,3.78,3.01,4.0,4.64,4.0,4.21,4.63,4.73,3.97,4.19,4.43,4.72,DOWNTREND,DOWNTREND,DOWNTREND,49.3826,-0.1408,0.0781,HIGH,-1.4647,55.6647,-34.2282,33200.0,33000.0,26850.0,116455.0,121183.33,100489.5,Gravestone Doji,None,None,-0.2472,-0.0612,0.0556,0.0,0.0,0.0,0.0,0.0,0.07,2.5,57.0,0.0,0.82,0.0,2019-12-03
2,107,3.78,-0.1,-0.0258,3.86,3.78,3.86,0.0,7.1,2.91,3.75,3.01,4.27,4.68,4.07,4.21,4.66,4.74,3.99,4.22,4.45,4.74,DOWNTREND,DOWNTREND,DOWNTREND,46.3052,-0.1438,0.0909,HIGH,-49.8439,49.99,-52.4691,42300.0,33400.0,27000.0,153056.0,124396.67,102096.0,Black Marubozu,None,Evening Star,-0.2868,-0.1106,-0.0105,0.0,0.0,0.0,0.0,0.0,0.07,2.5,54.0,0.0,0.77,0.0,2019-11-20
3,108,3.8,-0.19,-0.0476,3.81,3.8,3.81,0.0,7.1,3.01,3.78,3.01,4.0,4.64,3.98,4.19,4.61,4.72,3.95,4.18,4.42,4.71,DOWNTREND,DOWNTREND,DOWNTREND,46.7453,-0.1376,0.0797,HIGH,-40.068000000000005,57.4944,-46.9799,24500.0,33000.0,27750.0,83310.0,120252.0,103879.0,Black Marubozu,None,Evening Star,-0.28300000000000003,-0.0476,-0.0476,0.0,0.0,0.0,0.0,0.0,0.07,2.5,54.29,0.0,0.78,0.0,2019-12-09
4,104,4.6,0.0,0.0,4.29,4.11,4.72,0.0,8.61,2.91,4.12,3.9,4.76,5.0,4.3,4.5,4.73,4.93,4.38,4.49,4.66,4.89,UPTREND,DOWNTREND,DOWNTREND,54.5982,-0.0462,0.0671,HIGH,51.7199,75.3472,-27.0833,16900.0,17133.33,13550.0,70714.0,71784.67,56848.0,None,None,None,-0.1321,-0.015,-0.015,0.0,0.0,0.0,0.0,0.0,0.07,2.5,65.71,0.0,0.94,0.0,2019-09-06
5,104,4.01,0.0,0.0,4.01,4.01,4.01,0.0,8.61,2.91,3.58,3.34,4.63,4.88,4.33,4.35,4.72,4.84,4.28,4.41,4.59,4.83,DOWNTREND,SIDEWAYS,DOWNTREND,45.5579,-0.0232,0.0819,HIGH,-80.8703,0.0,-64.4628,9800.0,8666.67,13350.0,42504.0,38040.67,56609.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2434,0.0,0.1201,0.0,0.0,0.0,0.0,0.0,0.07,2.5,57.29,0.0,0.82,0.0,2019-10-03
6,108,3.99,0.18,0.0472,3.99,3.99,4.0,0.0,7.1,3.01,3.78,3.01,4.0,4.64,4.0,4.21,4.63,4.73,3.97,4.19,4.43,4.72,DOWNTREND,DOWNTREND,DOWNTREND,49.3826,-0.1408,0.0781,HIGH,-1.4647,55.6647,-34.2282,33200.0,33000.0,26850.0,116455.0,121183.33,100489.5,Gravestone Doji,None,None,-0.2472,-0.0612,0.0556,0.0,0.0,0.0,0.0,0.0,0.07,2.5,57.0,0.0,0.82,0.0,2019-12-02
7,107,3.78,-0.1,-0.0258,3.86,3.78,3.86,0.0,7.1,2.91,3.75,3.01,4.27,4.68,4.07,4.21,4.66,4.74,3.99,4.22,4.45,4.74,DOWNTREND,DOWNTREND,DOWNTREND,46.3052,-0.1438,0.0909,HIGH,-49.8439,49.99,-52.4691,42300.0,33400.0,27000.0,153056.0,124396.67,102096.0,Black Marubozu,None,Evening Star,-0.2868,-0.1106,-0.0105,0.0,0.0,0.0,0.0,0.0,0.07,2.5,54.0,0.0,0.77,0.0,2019-11-21
8,108,4.24,0.44,0.1158,4.24,4.24,4.24,0.0,5.3,3.01,3.78,3.01,4.27,4.64,3.96,4.19,4.6,4.71,3.98,4.18,4.42,4.71,DOWNTREND,DOWNTREND,DOWNTREND,53.0046,-0.1275,0.0738,HIGH,65.1097,67.1141,-17.4497,14600.0,31666.67,27700.0,53634.0,115522.67,103627.0,White Marubozu,None,None,-0.2,0.0627,0.1158,0.0,0.0,0.0,0.0,0.0,0.07,2.5,60.57,0.0,0.87,0.0,2019-12-23
9,104,3.58,-0.92,-0.2044,3.58,3.58,3.58,0.0,8.61,2.91,3.24,3.24,4.64,4.88,4.32,4.38,4.73,4.86,4.35,4.45,4.61,4.85,UPTREND,SIDEWAYS,DOWNTREND,38.9377,0.0018,0.0972,HIGH,-176.4937,43.5294,-100.0,11900.0,9266.67,13350.0,52115.0,40513.33,56599.0,White Marubozu,None,Three White Soldiers,-0.3245,-0.2334,-0.1394,0.0,0.0,0.0,0.0,0.0,0.07,2.5,51.14,0.0,0.73,0.0,2019-09-24
