,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,108,118.7,0.5,0.0042,118.2,118.2,118.8,-10692.0,125.0,103.0,117.8,113.5,118.8,123.05,117.02,117.85,119.32,118.29,117.62,118.05,118.3,117.78,UPTREND,SIDEWAYS,SIDEWAYS,56.0263,-0.2048,0.0085,LOW,85.5002,90.566,-1.8868,4640.0,7437.33,7526.0,545367.6,862696.0,875245.2,White Long Day,None,None,0.0646,0.0145,0.0059,-337849.0,-342714.0,162006.0,2118815.0,13681188.0,13.84,2.2959,8.58,0.0,0.99,0.0,2019-10-22
1,111,117.5,0.4,0.0034,117.8,117.3,118.0,0.0,125.0,110.1,115.9,110.45,117.75,121.9,118.15,117.98,118.96,118.42,117.7,118.18,118.36,117.97,DOWNTREND,SIDEWAYS,SIDEWAYS,48.0325,-0.4297,0.0091,LOW,-32.0071,31.3714,-46.875,10826.0,8693.33,9769.0,1263092.5,1017263.67,1153198.7,Spinning Top,None,None,0.0538,0.0129,0.0129,1474487.0,1580995.0,5685442.0,5860510.0,18249073.0,8.68,1.6803,13.54,0.0,1.01,0.0,2019-12-03
2,110,118.2,-0.3,-0.0025,118.2,118.0,118.4,0.0,125.0,107.0,118.05,113.5,118.85,122.9,119.48,118.35,119.31,118.55,119.03,118.8,118.68,118.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.6179,0.3401,0.0081,LOW,-93.8837,5.4422,-95.9184,8345.0,8928.0,8209.0,997393.5,1071838.07,983503.3,Doji,None,None,0.0601,-0.0101,-0.0042,85338.0,4189832.0,3868615.0,4668399.0,16919883.0,8.68,1.6803,13.62,0.0,1.02,0.0,2019-11-20
3,111,116.6,-0.2,-0.0017,117.2,116.6,117.2,0.0,125.0,110.1,115.8,110.45,117.75,122.9,117.43,117.87,118.7,118.37,117.37,117.97,118.23,117.92,DOWNTREND,SIDEWAYS,SIDEWAYS,43.9964,-0.5043,0.0081,LOW,-52.799,32.6021,-69.2308,9505.0,8639.33,7724.0,1108416.3,1008462.4,904340.6,Black Marubozu,Bearish Engulfing,None,0.0457,0.0052,-0.0017,35001.0,1518768.0,5720436.0,5841885.0,18170446.0,8.68,1.6803,13.43,0.0,1.0,0.0,2019-12-09
4,107,118.9,0.3,0.0025,118.7,118.3,119.6,9496.0,125.0,102.6,117.1,112.95,119.25,123.65,118.24,120.32,119.12,116.99,118.68,119.32,118.91,117.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.778999999999996,-0.6738,0.0116,LOW,97.4952,71.6527,-21.2121,7631.0,9416.0,10606.5,898718.8,1106801.27,1246141.35,Spinning Top,None,None,0.0664,-0.0059,-0.0059,140626.0,1769805.0,1567632.0,2859632.0,13665081.0,13.84,2.2959,8.59,0.0,0.99,0.0,2019-09-06
5,107,113.5,-0.7,-0.0061,114.1,113.5,114.5,0.0,125.0,102.6,113.2,107.75,117.75,122.1,117.98,118.84,119.08,117.91,117.34,118.41,118.55,117.83,DOWNTREND,SIDEWAYS,SIDEWAYS,25.0789,-0.5382,0.0096,LOW,-270.0477,0.0,-100.0,10045.0,8598.0,7335.0,1168672.5,1005475.07,859469.8,None,None,None,0.0179,-0.0299,-0.0316,348228.0,467246.0,1177644.0,2826579.0,14902481.0,13.84,2.2959,8.2,0.0,0.95,0.0,2019-10-03
6,111,117.1,1.1,0.0095,116.6,116.5,117.1,23320.0,125.0,110.1,115.8,110.45,117.4,122.9,118.42,117.98,118.99,118.43,117.72,118.21,118.38,117.98,DOWNTREND,SIDEWAYS,SIDEWAYS,46.0106,-0.3953,0.0092,LOW,-71.877,18.5242,-63.8889,10599.0,8725.33,10788.5,1236522.5,1021673.4,1277929.05,White Long Day,None,None,0.0502,0.0095,0.0095,1474487.0,1700795.0,5674782.0,5860510.0,18315465.0,8.68,1.6803,13.49,0.0,1.01,0.0,2019-12-02
7,110,116.6,-1.6,-0.0135,118.3,116.5,118.3,0.0,125.0,107.3,116.55,112.95,118.85,122.9,119.37,118.3,119.28,118.54,118.8,118.71,118.64,118.07,DOWNTREND,SIDEWAYS,SIDEWAYS,38.4448,0.2412,0.0088,LOW,-162.0456,5.2827,-98.4375,9805.0,9826.0,8645.5,1167194.9,1176097.27,1034100.5,Black Long Day,Bearish Engulfing,None,0.0457,-0.0235,-0.0177,85338.0,4189832.0,3868615.0,4668399.0,16900078.0,8.68,1.6803,13.43,0.0,1.0,0.0,2019-11-21
8,111,117.4,0.8,0.0069,116.4,115.6,117.4,35023.0,125.0,110.4,113.8,110.45,118.2,122.9,116.53,117.98,118.01,118.33,116.72,117.43,117.89,117.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.1717,-0.5199,0.0114,LOW,39.2418,55.0656,-15.7895,12244.0,9736.0,10874.5,1416773.1,1128629.47,1262594.7,None,None,None,0.0529,0.0121,0.0069,268258.0,1976741.0,3677536.0,7652857.0,18487283.0,8.68,1.6803,13.53,0.0,1.01,0.0,2019-12-23
9,107,118.4,0.7,0.0059,118.0,117.7,119.0,-35400.0,125.0,102.6,117.65,112.95,118.8,123.05,118.66,119.86,119.24,117.74,118.67,119.11,118.89,117.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.3104,-0.2178,0.009000000000000001,LOW,-22.6667,30.9006,-60.8696,5465.0,5308.67,5643.0,648548.6,629547.73,668437.55,None,None,None,0.0619,-0.01,0.0051,-3274.0,64640.0,1580334.0,2556438.0,14370328.0,13.84,2.2959,8.55,0.0,0.99,0.0,2019-09-24
