,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,110,0.69,0.01,0.0147,0.68,0.67,0.7,0.0,1.23,0.64,0.68,0.66,0.72,0.75,0.69,0.7,0.74,0.86,0.69,0.71,0.75,0.8,UPTREND,SIDEWAYS,DOWNTREND,47.7352,-0.0047,0.0361,NEUTRAL,17.094,38.0952,-57.1429,883400.0,660200.0,692050.0,614614.0,457500.67,475775.0,None,None,None,-0.3491,0.0147,0.0,0.0,-17080.0,-239120.0,345010.0,-10636680.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,113,0.59,0.02,0.0351,0.6,0.56,0.6,0.0,1.23,0.56,0.56,0.54,0.62,0.66,0.61,0.66,0.7,0.79,0.61,0.65,0.69,0.76,DOWNTREND,DOWNTREND,DOWNTREND,40.3159,-0.0228,0.0466,NEUTRAL,-76.154,17.1717,-66.6667,371900.0,590466.67,697050.0,221181.0,355204.67,432518.0,Hanging Man,None,None,-0.4434,0.0351,0.0351,-6100.0,-9200.0,127300.0,-111820.0,-10555740.0,0.0,0.0,0.0,0.0,29.5,0.0,2019-12-03
2,112,0.61,0.01,0.0167,0.6,0.59,0.61,0.0,1.23,0.57,0.58,0.56,0.64,0.7,0.65,0.68,0.72,0.81,0.64,0.67,0.71,0.77,DOWNTREND,DOWNTREND,DOWNTREND,31.4971,-0.0165,0.0411,NEUTRAL,-131.3264,25.0,-66.6667,852800.0,1008133.33,906200.0,530622.0,642386.67,584285.5,None,None,None,-0.4245,-0.1029,0.0,-3100.0,133400.0,98900.0,-84570.0,-10436040.0,0.0,0.0,0.0,0.0,30.5,0.0,2019-11-20
3,113,0.57,0.0,0.0,0.58,0.57,0.58,0.0,1.23,0.56,0.56,0.53,0.6,0.66,0.6,0.65,0.69,0.78,0.6,0.64,0.68,0.75,DOWNTREND,DOWNTREND,DOWNTREND,35.6975,-0.0229,0.0447,NEUTRAL,-89.2688,14.2857,-85.7143,434600.0,371533.33,541200.0,256364.0,219257.33,325227.5,Black Marubozu,Bearish Harami,None,-0.4623,0.0,0.0,0.0,-12100.0,127300.0,-108270.0,-10211330.0,0.0,0.0,0.0,0.0,28.5,0.0,2019-12-09
4,109,0.71,0.0,0.0,0.7,0.69,0.71,0.0,1.3,0.64,0.68,0.66,0.72,0.75,0.71,0.76,0.78,0.91,0.71,0.75,0.79,0.84,SIDEWAYS,DOWNTREND,SIDEWAYS,45.7464,-0.0188,0.0433,NEUTRAL,3.4364,54.5455,-45.4545,1051400.0,1015800.0,884250.0,746794.0,713204.0,623023.5,None,None,None,-0.3302,-0.0139,-0.0139,10650.0,43980.0,680680.0,765820.0,-10975690.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,109,0.68,0.0,0.0,0.68,0.66,0.68,0.0,1.23,0.64,0.67,0.62,0.69,0.74,0.7,0.72,0.74,0.88,0.7,0.72,0.76,0.81,DOWNTREND,SIDEWAYS,SIDEWAYS,41.6996,-0.0087,0.0349,NEUTRAL,-109.2279,22.2222,-77.7778,767000.0,1007266.67,877250.0,531883.0,712137.33,618824.0,Dragonfly Doji,None,None,-0.3585,0.0,-0.0145,-59060.0,-222040.0,-201560.0,779360.0,-10317700.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,113,0.57,0.0,0.0,0.6,0.57,0.6,0.0,1.23,0.56,0.56,0.53,0.62,0.67,0.62,0.66,0.7,0.79,0.61,0.65,0.7,0.76,DOWNTREND,DOWNTREND,DOWNTREND,32.5081,-0.0227,0.0465,NEUTRAL,-89.1848,18.1818,-90.9091,383600.0,605800.0,891600.0,229034.0,367068.67,561337.5,Black Marubozu,None,Three Black Crows,-0.4623,0.0,0.0,-6100.0,-9200.0,127300.0,-101320.0,-10555740.0,0.0,0.0,0.0,0.0,28.5,0.0,2019-12-02
7,112,0.6,-0.01,-0.0164,0.6,0.59,0.6,0.0,1.23,0.57,0.58,0.56,0.62,0.7,0.65,0.68,0.72,0.81,0.64,0.67,0.71,0.77,DOWNTREND,DOWNTREND,DOWNTREND,28.9704,-0.0178,0.0412,NEUTRAL,-127.6596,27.7778,-75.0,847800.0,1011000.0,890400.0,526510.0,643677.33,572926.5,Dragonfly Doji,None,None,-0.434,-0.1176,-0.0164,-3100.0,133400.0,98900.0,-84570.0,-10436040.0,0.0,0.0,0.0,0.0,30.0,0.0,2019-11-21
8,113,0.51,-0.03,-0.0556,0.52,0.5,0.53,30100.0,1.23,0.5,0.5,0.5,0.56,0.62,0.56,0.62,0.66,0.76,0.56,0.61,0.66,0.73,DOWNTREND,DOWNTREND,DOWNTREND,30.2135,-0.024,0.0519,HIGH,-157.672,16.4286,-90.0,777100.0,633866.67,605850.0,409017.0,339246.0,332690.5,None,None,None,-0.5189,-0.1053,-0.0556,32700.0,32160.0,22960.0,83320.0,-9450920.0,0.0,0.0,0.0,0.0,25.5,0.0,2019-12-23
9,109,0.7,-0.03,-0.0411,0.71,0.69,0.73,0.0,1.23,0.64,0.69,0.66,0.74,0.78,0.71,0.74,0.75,0.89,0.71,0.73,0.77,0.82,SIDEWAYS,DOWNTREND,SIDEWAYS,44.4837,-0.0061,0.0369,NEUTRAL,-4.1667,57.9365,-83.3333,1172200.0,952733.33,1117900.0,842565.0,680772.0,800109.0,None,None,None,-0.3396,-0.0278,-0.0541,-93990.0,-178630.0,322070.0,674490.0,-12048410.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,113,0.57,-0.03,-0.05,0.59,0.57,0.6,0.0,1.23,0.56,0.56,0.52,0.62,0.68,0.62,0.66,0.7,0.8,0.62,0.65,0.7,0.76,DOWNTREND,DOWNTREND,DOWNTREND,32.5081,-0.0222,0.046,NEUTRAL,-95.0218,33.3333,-90.9091,495300.0,657933.33,896100.0,294061.0,401379.33,564804.5,Black Long Day,None,None,-0.4623,-0.1618,-0.0339,-6100.0,-5950.0,127300.0,-101320.0,-10555740.0,0.0,0.0,0.0,0.0,28.5,0.0,2019-11-29
