,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,111,79.0,-0.25,-0.0032,79.75,78.95,79.95,-11579142.5,94.2,61.0,78.95,76.45,79.6,82.35,79.49,81.22,82.56,78.92,79.68,80.99,80.98,78.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,37.6039,-0.8312,0.0108,LOW,-36.134,30.303,-72.7273,215948.0,240465.33,304621.5,17070369.35,19090176.3,24279335.9,Black Long Day,Bearish Engulfing,None,0.2201,-0.0162,0.0,-147701346.5,-183122230.0,-319081401.0,-396574802.0,-1021599212.5,25.34,0.9344,3.12,0.0,0.35,0.0,2019-10-22
1,114,75.05,0.05,0.0007,75.0,75.0,75.15,-17993.5,94.2,61.7,74.95,72.65,75.98,79.08,77.26,78.56,81.63,79.84,76.88,78.51,79.5,78.21,DOWNTREND,SIDEWAYS,SIDEWAYS,15.0881,-0.8747,0.0094,LOW,-114.4157,23.7179,-75.9615,127276.0,142122.67,121659.5,9656584.45,10927160.83,9380300.33,Inverted Hammer,Bullish Harami,None,0.1591,0.0,0.0,-50862674.0,-125837717.5,-180366066.0,-484114277.5,-1150223685.0,24.57,0.6048,3.05,0.0,0.33,0.0,2019-12-03
2,113,77.75,-0.25,-0.0032,78.0,76.8,78.0,-1353810.0,94.2,61.0,77.28,73.7,78.7,81.75,78.74,79.65,82.71,79.74,78.66,79.7,80.23,78.43,DOWNTREND,SIDEWAYS,SIDEWAYS,27.5214,-0.4369,0.0082,LOW,-205.3084,18.1011,-63.4615,120709.0,112006.0,102272.5,9461134.2,8798008.0,8042672.88,Hanging Man,None,None,0.2008,-0.0146,-0.0077,-35158603.0,-90426850.0,-258275119.5,-416147360.0,-1112878704.5,24.57,0.6048,3.16,0.0,0.34,0.0,2019-11-20
3,114,73.5,-0.05,-0.0007,73.5,73.35,73.55,1087521.0,94.2,63.15,73.3,69.25,75.1,78.75,76.22,77.98,80.96,79.85,75.77,77.77,79.04,78.03,DOWNTREND,SIDEWAYS,SIDEWAYS,11.1,-1.1492,0.0095,LOW,-119.3897,8.3815,-91.8367,144580.0,123842.0,135228.0,10783851.25,9314340.27,10305859.53,Doji,None,None,0.1351,-0.0207,-0.0007,-7057586.0,-74258033.0,-164410597.5,-481548227.5,-1158041057.0,24.57,0.6048,2.99,0.0,0.32,0.0,2019-12-09
4,110,83.2,-0.8,-0.0095,84.0,83.15,84.0,-113241.5,94.2,61.0,82.15,76.6,85.0,89.12,82.81,85.73,81.86,76.26,83.42,83.6,81.68,77.64,SIDEWAYS,DOWNTREND,UPTREND,47.1186,-0.7226,0.0168,LOW,33.2993,54.2743,-54.902,109453.0,145901.33,159409.5,9116243.85,12105977.43,13224336.1,Black Long Day,Bearish Harami,None,0.2849,0.0128,0.0128,8487682.5,23173990.5,-102590173.5,-244542109.5,-633696124.0,25.34,0.9344,3.28,0.0,0.37,0.0,2019-09-06
5,110,78.5,-1.65,-0.0206,80.15,78.25,80.15,-737821.0,94.2,61.0,78.38,73.8,81.05,83.6,81.42,83.13,82.23,77.96,81.14,82.26,81.53,78.27,DOWNTREND,SIDEWAYS,SIDEWAYS,29.908,-0.8145,0.0148,LOW,-165.9653,0.0,-94.8454,469431.0,347038.67,283020.0,37687632.45,27914062.9,22821805.3,Black Long Day,Bearish Engulfing,None,0.2124,-0.0224,-0.0248,-131833922.5,-147628665.5,-153422723.5,-381550298.5,-819452294.5,25.34,0.9344,3.1,0.0,0.35,0.0,2019-10-03
6,114,75.0,-0.05,-0.0007,75.75,74.9,75.75,-4436307.5,94.2,61.7,74.95,72.65,76.1,79.12,77.46,78.68,81.78,79.83,77.07,78.65,79.58,78.24,DOWNTREND,SIDEWAYS,SIDEWAYS,13.8718,-0.8206,0.01,LOW,-123.0213,28.2051,-76.9231,129437.0,142753.33,129262.5,9825724.75,10977288.93,9981264.18,Black Long Day,None,None,0.1583,-0.0007,-0.0007,-51455720.5,-126194984.5,-290011111.5,-485136611.0,-1149990930.0,24.57,0.6048,3.05,0.0,0.33,0.0,2019-12-02
7,113,76.9,-0.85,-0.0109,77.7,76.8,77.7,-7859329.5,94.2,61.0,76.85,73.7,78.7,81.75,78.63,79.52,82.65,79.76,78.5,79.59,80.16,78.42,DOWNTREND,SIDEWAYS,SIDEWAYS,20.6706,-0.4587,0.0086,LOW,-210.0367,17.3831,-96.1538,125870.0,110314.0,102088.5,9840724.4,8644843.27,8013513.0,Black Long Day,None,None,0.1876,-0.0253,-0.0185,-16058359.5,-92325406.0,-265087815.5,-422806157.5,-1119660748.0,24.57,0.6048,3.13,0.0,0.34,0.0,2019-11-21
8,114,67.0,0.05,0.0007,68.2,66.6,68.25,-2368841.5,94.2,63.8,66.05,63.8,69.32,76.1,71.77,75.87,78.99,79.61,71.06,74.76,77.17,77.15,DOWNTREND,DOWNTREND,DOWNTREND,18.325,-2.336,0.0254,LOW,-111.7347,13.127,-88.9503,88888.0,96809.33,116734.0,6164031.55,6873211.47,8473941.4,Black Long Day,None,None,0.0347,-0.1073,0.0007,-8457566.5,-30481352.0,-156676336.5,-492000175.0,-1179857696.5,24.57,0.6048,2.73,0.0,0.29,0.0,2019-12-23
9,110,81.0,-0.2,-0.0025,80.6,80.6,81.25,-603521.0,94.2,61.0,80.8,78.12,82.25,85.0,82.35,84.54,82.07,77.35,82.26,82.95,81.74,78.13,DOWNTREND,SIDEWAYS,SIDEWAYS,35.5552,-0.643,0.0131,LOW,-149.1228,6.4691,-92.5926,171450.0,155780.67,136007.5,14005072.4,12800249.03,11188726.2,None,None,None,0.251,-0.013999999999999999,-0.0049,-4573626.0,-13185850.0,-25206431.5,-247559165.0,-662494042.0,25.34,0.9344,3.2,0.0,0.36,0.0,2019-09-24
10,114,75.05,-0.7,-0.0092,75.75,75.05,75.75,-13169968.5,94.2,61.0,74.42,67.35,76.55,79.2,77.66,78.81,81.94,79.82,77.29,78.8,79.68,78.27,DOWNTREND,SIDEWAYS,SIDEWAYS,14.0588,-0.7602,0.0099,LOW,-138.3512,32.4394,-75.9615,117804.0,141966.0,123461.5,8966921.5,10951208.87,9554549.5,Black Marubozu,Tweezer Tops,None,0.1591,-0.0488,-0.0253,-50221961.0,-126771988.5,-305703340.5,-480813545.0,-1145418645.0,24.57,0.6048,3.05,0.0,0.33,0.0,2019-11-29
11,110,82.0,-0.5,-0.0061,82.5,81.8,82.5,-8010551.0,94.2,61.0,81.9,77.35,83.42,86.3,82.93,85.62,81.99,76.82,83.07,83.41,81.79,77.94,SIDEWAYS,DOWNTREND,UPTREND,39.9466,-0.5419,0.0145,LOW,-128.6872,7.9164,-95.2381,126688.0,111422.67,127128.0,10516920.0,9249528.13,10567783.18,Black Long Day,None,None,0.2664,-0.0018,-0.0061,-17616193.5,-16664388.5,-52634623.5,-248986422.5,-655349795.0,25.34,0.9344,3.24,0.0,0.37,0.0,2019-09-16
12,111,79.15,0.05,0.0006,79.3,79.05,79.3,-4728058.5,94.2,61.0,79.05,76.45,80.18,82.85,79.91,81.68,82.45,78.63,79.97,81.32,81.14,78.34,DOWNTREND,SIDEWAYS,SIDEWAYS,37.4907,-0.9235,0.0121,LOW,-75.9494,24.0237,-73.1343,53949.0,271424.67,254353.0,4262463.3,21710541.7,20398907.83,Spinning Top,None,None,0.2224,-0.0143,-0.0019,-11323151.0,-149234160.5,-168981903.0,-286859662.0,-870768734.0,25.34,0.9344,3.12,0.0,0.36,0.0,2019-10-16
