,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,112,498.0,8.0,0.0163,498.0,498.0,498.0,0.0,500.0,418.0,490.0,425.0,500.0,517.5,474.92,461.74,477.11,0.0,481.1,471.9,480.63,0.0,UPTREND,SIDEWAYS,SIDEWAYS,60.9354,9.5487,0.0193,LOW,69.8316,91.0569,-2.439,112.0,122.0,473.0,55204.0,58785.47,208926.1,White Marubozu,None,Three White Soldiers,0.071,-0.004,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,115,472.0,-18.0,-0.0367,471.0,471.0,472.0,9420.0,500.0,418.0,450.2,434.0,499.0,515.0,489.86,467.54,475.35,0.0,483.12,475.69,481.43,0.0,SIDEWAYS,UPTREND,SIDEWAYS,47.2204,7.0681,0.0278,LOW,-132.9593,73.8956,-56.2249,400.0,310.67,266.0,197592.8,153328.53,131252.9,White Marubozu,None,None,0.0151,-0.0541,-0.0541,24210.0,24210.0,24210.0,24210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,114,500.0,0.0,0.0,500.0,500.0,500.0,0.0,500.0,418.0,490.0,434.0,505.0,517.5,484.36,464.73,476.86,0.0,486.0,475.08,481.76,0.0,UPTREND,UPTREND,SIDEWAYS,61.7267,10.21,0.0157,LOW,63.5339,100.0,0.0,382.0,298.67,245.0,190228.0,148494.0,120556.1,White Marubozu,Bullish Harami,Three White Soldiers,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,115,482.0,10.0,0.0212,473.2,472.0,482.0,0.0,500.0,418.0,450.2,434.0,499.0,515.0,490.96,468.18,475.17,0.0,483.01,475.93,481.44,0.0,DOWNTREND,UPTREND,SIDEWAYS,50.4371,6.3546,0.0268,LOW,-101.6034,62.5167,-36.1446,445.0,348.0,294.5,218976.2,171177.47,144929.6,White Long Day,None,None,0.0366,-0.0341,-0.0341,24210.0,24210.0,24210.0,24210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,111,495.0,5.0,0.0102,495.0,495.0,495.0,0.0,500.0,418.0,490.0,425.0,499.0,515.0,465.4,456.8,477.88,0.0,472.91,467.09,479.26,0.0,UPTREND,SIDEWAYS,DOWNTREND,62.6055,6.5442,0.0222,LOW,108.0211,94.6502,-4.9383,111.0,582.67,458.5,52848.2,255014.8,201070.3,White Marubozu,None,Three White Soldiers,0.0645,0.0102,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,111,490.0,0.0,0.0,490.0,490.0,490.0,0.0,500.0,418.0,489.8,425.0,500.0,517.5,472.51,460.78,477.23,0.0,479.32,470.84,480.28,0.0,UPTREND,SIDEWAYS,SIDEWAYS,57.6858,9.2288,0.0199,LOW,53.396,91.8699,-12.1951,144.0,125.33,475.0,70883.0,60122.8,209730.7,White Marubozu,Bullish Harami,Three White Soldiers,0.0538,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,115,490.0,-9.0,-0.018000000000000002,499.0,490.0,499.0,14790.0,500.0,418.0,450.2,434.1,500.0,516.5,490.32,467.11,475.73,0.0,484.29,475.84,481.62,0.0,SIDEWAYS,UPTREND,SIDEWAYS,52.966,7.8264,0.0259,LOW,22.5279,0.0,-20.0803,336.0,278.0,245.0,167423.0,138211.33,120805.8,Black Marubozu,Bearish Engulfing,None,0.0538,-0.018000000000000002,-0.018000000000000002,14790.0,14790.0,14790.0,14790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,114,500.0,0.0,0.0,500.0,500.0,500.0,0.0,500.0,418.0,490.0,434.0,505.0,517.5,484.36,464.73,476.86,0.0,486.0,475.08,481.76,0.0,UPTREND,UPTREND,SIDEWAYS,61.7267,10.21,0.0157,LOW,63.5339,100.0,0.0,382.0,298.67,245.0,190228.0,148494.0,120556.1,White Marubozu,Bullish Harami,Three White Soldiers,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,115,490.0,8.0,0.0166,490.0,490.0,490.0,0.0,500.0,418.0,471.5,450.2,499.0,515.0,490.56,468.97,474.92,0.0,483.68,476.48,481.61,0.0,DOWNTREND,UPTREND,SIDEWAYS,52.9096,5.8197,0.0256,LOW,-6.8683,62.5167,-20.0803,442.0,342.67,277.0,217466.2,168530.8,136335.1,White Marubozu,None,Three White Soldiers,0.0538,-0.018000000000000002,0.0166,24210.0,24210.0,24210.0,24210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,111,490.0,-5.0,-0.0101,490.0,490.0,490.0,0.0,500.0,418.0,434.0,424.0,499.0,515.0,467.1,457.5,477.73,0.0,474.53,467.98,479.47,0.0,UPTREND,SIDEWAYS,DOWNTREND,59.6798,7.4432,0.0216,LOW,78.5077,90.9465,-11.1111,157.0,166.0,470.5,75548.6,76850.53,207392.3,White Marubozu,None,Three White Soldiers,0.0538,0.0,-0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,115,499.0,48.8,0.1084,499.0,499.0,499.0,0.0,500.0,418.0,450.2,434.0,500.0,517.5,488.32,466.31,475.91,0.0,483.69,475.26,481.45,0.0,UPTREND,UPTREND,SIDEWAYS,56.1373,8.3638,0.026000000000000002,LOW,60.1975,0.0,-2.008,334.0,279.33,245.5,166444.0,138885.33,120996.3,White Marubozu,None,None,0.0731,-0.002,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,111,490.0,-5.0,-0.0101,490.0,490.0,490.0,0.0,500.0,418.0,434.0,424.0,499.0,515.0,467.1,457.5,477.73,0.0,474.53,467.98,479.47,0.0,UPTREND,SIDEWAYS,DOWNTREND,59.6798,7.4432,0.0216,LOW,78.5077,90.9465,-11.1111,157.0,166.0,470.5,75548.6,76850.53,207392.3,White Marubozu,None,Three White Soldiers,0.0538,0.0,-0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,112,490.0,0.0,0.0,490.0,490.0,490.0,0.0,500.0,418.0,489.8,425.0,500.0,517.5,472.51,460.78,477.23,0.0,479.32,470.84,480.28,0.0,UPTREND,SIDEWAYS,SIDEWAYS,57.6858,9.2288,0.0199,LOW,53.396,91.8699,-12.1951,144.0,125.33,475.0,70883.0,60122.8,209730.7,White Marubozu,Bullish Harami,Three White Soldiers,0.0538,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
