,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,113,0.22699999999999998,0.009000000000000001,0.0413,0.218,0.21600000000000003,0.22699999999999998,0.0,0.34,0.188,0.21600000000000003,0.2095,0.22899999999999998,0.24600000000000002,0.2323,0.2358,0.2461,0.2348,0.22899999999999998,0.2358,0.2386,0.2341,DOWNTREND,SIDEWAYS,DOWNTREND,46.6021,-0.0044,0.0405,NEUTRAL,-53.6829,0.0,-57.6923,207000.0,164666.6667,226500.0,45799.0,36724.6667,51506.0,White Long Day,None,Three White Soldiers,0.0365,0.0271,0.0509,0.0,22200.0,-175099.9997,-17999.9997,-75879.9995,0.0,1.0,0.0,0.0,0.78,0.0,2019-10-22
1,116,0.21,0.004,0.0194,0.21,0.21,0.21,0.0,0.34,0.201,0.21,0.2,0.21,0.22,0.21,0.22,0.24,0.23,0.21,0.22,0.23,0.23,DOWNTREND,DOWNTREND,DOWNTREND,46.0961,-0.0061,0.0279,LOW,-4.6918,31.8841,-60.8696,225000.0,295333.33,258000.0,47115.0,60946.67,53564.0,White Marubozu,Bullish Harami,None,-0.0411,0.0048,0.0048,0.0,0.0,19800.0,-84900.0,-113380.0,0.0,1.0,0.0,0.0,0.75,0.0,2019-12-03
2,115,0.204,-0.006999999999999999,-0.0332,0.21,0.204,0.22399999999999998,0.0,0.34,0.19699999999999998,0.201,0.1925,0.2175,0.22899999999999998,0.2146,0.2288,0.2417,0.2348,0.2144,0.2255,0.2322,0.2313,DOWNTREND,DOWNTREND,DOWNTREND,37.7277,-0.0071,0.0355,NEUTRAL,-36.9004,17.9487,-88.4615,349000.0,313333.3333,282000.0,71893.0,65386.6667,59324.0,Shooting Star,None,None,-0.0685,-0.0893,-0.0332,0.0,0.0,22200.0,-20229.9997,-109189.9995,0.0,1.0,0.0,0.0,0.73,0.0,2019-11-20
3,116,0.228,0.002,0.0088,0.228,0.228,0.228,0.0,0.34,0.201,0.20600000000000002,0.19699999999999998,0.22899999999999998,0.242,0.2104,0.2245,0.2365,0.2351,0.2139,0.2215,0.2289,0.2296,SIDEWAYS,DOWNTREND,DOWNTREND,61.3217,-0.0047,0.027999999999999997,LOW,185.915,77.241,0.0,258000.0,281333.3333,249000.0,54794.0,58668.6667,51882.0,White Marubozu,Bullish Harami,None,0.0411,0.0909,0.0909,0.0,0.0,19800.0,-84899.9997,-113379.9995,0.0,1.0,0.0,0.0,0.81,0.0,2019-12-09
4,112,0.24600000000000002,-0.002,-0.0081,0.23600000000000002,0.23600000000000002,0.24600000000000002,0.0,0.34,0.188,0.2375,0.2225,0.2775,0.2875,0.2377,0.244,0.2478,0.2326,0.24100000000000002,0.243,0.2423,0.2347,UPTREND,SIDEWAYS,SIDEWAYS,53.3125,-0.0009,0.0607,HIGH,62.1955,40.8988,-67.1233,1225000.0,981333.3333,817000.0,319545.0,252251.3333,207284.5,White Marubozu,Tweezer Bottoms,None,0.1233,-0.0538,-0.0538,-92349.9997,-92349.9997,64750.0003,64750.0003,-59439.9995,0.0,1.0,0.0,0.0,0.85,0.0,2019-09-06
5,112,0.217,-0.004,-0.0181,0.21899999999999997,0.21600000000000003,0.21899999999999997,0.0,0.34,0.188,0.2165,0.2095,0.2295,0.2775,0.2381,0.2381,0.247,0.2344,0.23399999999999999,0.2391,0.2404,0.2347,DOWNTREND,SIDEWAYS,SIDEWAYS,30.7835,-0.002,0.046,NEUTRAL,-177.0738,0.0,-96.5517,181000.0,258000.0,779000.0,40715.0,59093.3333,197815.5,Black Long Day,None,None,-0.0091,-0.0181,-0.0524,19800.0,-82750.0,-109099.9997,-17999.9997,-123029.9995,0.0,1.0,0.0,0.0,0.75,0.0,2019-10-03
6,116,0.20600000000000002,-0.003,-0.0144,0.214,0.20600000000000002,0.214,0.0,0.34,0.201,0.205,0.198,0.212,0.22699999999999998,0.2108,0.2254,0.2382,0.2349,0.21100000000000002,0.2215,0.2294,0.2298,DOWNTREND,DOWNTREND,DOWNTREND,41.3744,-0.0064,0.0291,LOW,-26.2525,31.8841,-78.2609,357000.0,298000.0,267500.0,73759.0,61517.3333,55637.5,Black Marubozu,Bearish Engulfing,None,-0.0594,-0.0144,-0.0144,0.0,0.0,19800.0,-84899.9997,-111359.9995,0.0,1.0,0.0,0.0,0.74,0.0,2019-12-02
7,115,0.205,0.001,0.0049,0.21,0.205,0.21,0.0,0.34,0.19699999999999998,0.201,0.1925,0.2175,0.22899999999999998,0.2138,0.2284,0.2412,0.2348,0.2135,0.2247,0.2317,0.231,DOWNTREND,DOWNTREND,DOWNTREND,38.819,-0.0072,0.0349,NEUTRAL,-68.6179,22.4638,-82.6087,365000.0,302000.0,265500.0,75234.0,62822.0,55592.0,Black Marubozu,Bearish Harami,None,-0.0639,-0.0848,-0.0284,0.0,0.0,22200.0,-20229.9997,-109189.9995,0.0,1.0,0.0,0.0,0.73,0.0,2019-11-21
8,116,0.20199999999999999,-0.011000000000000001,-0.0516,0.212,0.20199999999999999,0.212,0.0,0.34,0.201,0.201,0.1925,0.228,0.242,0.209,0.223,0.2347,0.2352,0.2128,0.2202,0.2278,0.22899999999999998,UPTREND,DOWNTREND,DOWNTREND,40.7441,-0.0032,0.0338,NEUTRAL,-60.128,32.6211,-100.0,153000.0,202666.6667,261000.0,32728.0,42960.6667,54373.0,Black Marubozu,None,None,-0.0776,-0.0335,-0.0516,-2160.0,-2160.0,-2160.0,-111259.9997,-115539.9995,0.0,1.0,0.0,0.0,0.72,0.0,2019-12-23
9,112,0.24,0.0,0.0,0.22899999999999998,0.22899999999999998,0.24,0.0,0.34,0.188,0.23,0.22,0.24,0.28,0.24,0.24,0.25,0.23,0.24,0.24,0.24,0.24,UPTREND,SIDEWAYS,SIDEWAYS,48.4614,0.0004,0.0507,HIGH,-26.4957,22.9072,-83.3333,246000.0,944666.67,724000.0,57213.0,242802.67,185597.5,White Marubozu,None,Three White Soldiers,0.0959,-0.0769,-0.0083,2400.0,-194900.0,-104700.0,-37800.0,-136030.0,0.0,1.0,0.0,0.0,0.83,0.0,2019-09-24
