,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,116,1896.0,6.0,0.0032,1890.0,1873.0,1900.0,871755.0,2308.0,1690.0,1838.0,1763.0,1898.0,1980.0,1831.75,1892.82,2042.44,1997.73,1856.09,1906.08,1959.8,1977.5,UPTREND,DOWNTREND,DOWNTREND,57.2196,-23.4114,0.0163,LOW,141.4438,98.2544,-2.7778,39241.5,36523.33,38393.5,72632396.0,66976596.0,70527728.25,Spinning Top,None,None,-0.0021,0.0361,0.0112,35510685.0,-56991430.0,-290656495.0,-748887130.0,5179641320.0,151.4,0.2286,12.52,0.0,3.71,0.0,2019-10-22
1,120,1980.0,0.0,0.0,1979.0,1931.0,1980.0,-31883605.0,2308.0,1755.0,1894.0,1824.0,1985.0,2126.0,1916.3,1872.6,1949.43,1980.72,1922.87,1910.42,1936.7,1959.2,UPTREND,SIDEWAYS,DOWNTREND,60.9703,17.2499,0.0213,LOW,151.1834,94.7566,0.0,50476.0,46452.33,41366.0,97837444.5,89663461.0,79537442.5,Hammer,None,None,0.0421,0.0206,0.0206,-8525665.0,206746410.0,161799970.0,-121439095.0,5378214635.0,157.52,0.2847,12.57,0.0,3.74,0.0,2019-12-03
2,118,1900.0,-29.0,-0.015,1900.0,1885.0,1917.0,-15940625.0,2308.0,1755.0,1887.0,1822.0,1941.5,2030.0,1883.55,1870.26,1974.11,1986.04,1886.95,1895.25,1935.1,1960.58,UPTREND,SIDEWAYS,DOWNTREND,52.5191,6.7299,0.0208,LOW,43.6628,73.1019,-40.2985,32552.5,36007.33,38859.75,61942497.0,67738343.33,73153652.0,Doji,None,None,0.0,0.0417,-0.0089,15579110.0,-68744535.0,-61257470.0,-341376215.0,5217629525.0,157.52,0.2847,12.06,0.0,3.59,0.0,2019-11-20
3,120,1937.0,-7.0,-0.0036,1944.0,1934.0,1944.0,-1191570.0,2308.0,1755.0,1932.5,1867.5,1980.0,2182.0,1930.6,1880.18,1939.21,1980.65,1927.77,1914.44,1936.76,1958.35,UPTREND,SIDEWAYS,SIDEWAYS,53.0658,17.8405,0.0196,LOW,45.4169,57.1292,-45.2632,36990.5,41750.67,39325.25,71875101.0,80915732.0,75911537.25,Black Long Day,Bearish Harami,None,0.0195,-0.0015,-0.0036,-37417930.0,211817930.0,114428735.0,-163283020.0,5349023085.0,157.52,0.2847,12.3,0.0,3.66,0.0,2019-12-09
4,115,1947.0,47.0,0.0247,1950.0,1910.0,1954.0,5956505.0,2380.0,1690.0,1900.0,1798.0,2010.0,2182.0,1939.0,2089.76,2063.49,2012.74,1967.65,2033.2,2047.41,2019.88,SIDEWAYS,DOWNTREND,SIDEWAYS,44.8302,-48.6189,0.0305,NEUTRAL,-7.6703,28.6667,-55.3333,51754.5,55279.33,55952.25,99764532.5,106322730.0,108261714.25,Spinning Top,None,None,0.0247,-0.0409,-0.0409,-118076485.0,-60057160.0,-404291285.0,109833935.0,5005709885.0,151.4,0.2286,12.86,0.0,3.81,0.0,2019-09-06
5,115,1770.0,-23.0,-0.0128,1800.0,1756.0,1800.0,-11590085.0,2380.0,1690.0,1763.0,1709.0,1852.0,1985.0,1893.5,1965.26,2069.63,2008.26,1874.68,1950.22,1995.75,1996.95,DOWNTREND,DOWNTREND,DOWNTREND,30.5686,-39.2824,0.0246,LOW,-151.3764,4.0851,-93.4579,43454.5,42065.33,39463.5,80238532.0,78757961.0,74561211.25,Black Long Day,None,None,-0.0684,-0.0328,-0.0354,-2597340.0,-278025510.0,-191563745.0,-347263250.0,5056322295.0,151.4,0.2286,11.69,0.0,3.46,0.0,2019-10-03
6,120,1980.0,40.0,0.0206,1944.0,1933.0,1980.0,32261385.0,2308.0,1755.0,1894.0,1824.0,1985.0,2182.0,1910.7,1870.68,1951.37,1980.97,1916.86,1907.58,1935.82,1958.99,UPTREND,SIDEWAYS,DOWNTREND,60.9703,15.8949,0.0211,LOW,168.3402,85.7678,0.0,51821.5,45230.67,42773.75,100318446.0,87178615.0,81962881.25,White Long Day,None,Three White Soldiers,0.0421,0.0206,0.0206,78527185.0,249437985.0,198097300.0,-76912705.0,5425504555.0,157.52,0.2847,12.57,0.0,3.74,0.0,2019-12-02
7,118,1937.0,37.0,0.0195,1907.0,1901.0,1948.0,140090465.0,2308.0,1755.0,1890.5,1822.0,1945.5,2030.0,1884.4,1870.2,1970.86,1985.01,1891.72,1896.89,1935.13,1960.35,UPTREND,SIDEWAYS,DOWNTREND,57.434,8.2915,0.0207,LOW,109.9882,75.9893,-13.0769,40688.5,39953.67,41310.0,77820957.0,75627462.33,77970694.0,None,None,None,0.0195,0.062,0.0104,123742230.0,85143595.0,105006460.0,-208514275.0,5357266385.0,157.52,0.2847,12.3,0.0,3.66,0.0,2019-11-21
8,120,2012.0,-4.0,-0.002,2012.0,1996.0,2030.0,7264785.0,2308.0,1755.0,1957.5,1894.0,2043.0,2182.0,1961.55,1915.58,1915.82,1985.3,1966.07,1937.31,1945.01,1960.55,UPTREND,SIDEWAYS,SIDEWAYS,57.799,21.3432,0.022000000000000002,LOW,147.8458,69.9561,-28.0702,50557.5,40908.0,43774.0,100784081.5,81226155.67,86329591.25,Doji,None,None,0.0589,0.0371,-0.002,100745555.0,124343200.0,373781185.0,244622170.0,5534388645.0,157.52,0.2847,12.77,0.0,3.8,0.0,2019-12-23
9,115,1826.0,-58.0,-0.0308,1892.0,1826.0,1892.0,-68788480.0,2380.0,1690.0,1775.5,1709.0,1952.0,2030.0,1938.9,2018.78,2072.3,2015.32,1932.08,1991.82,2021.77,2009.55,DOWNTREND,DOWNTREND,SIDEWAYS,34.4481,-27.5003,0.0265,LOW,-205.9713,0.0,-100.0,39764.0,40593.33,40643.25,76228133.0,78109547.33,78557619.0,Black Marubozu,None,None,-0.0389,-0.1005,-0.044000000000000004,-261489665.0,-323784640.0,-357647125.0,-256355445.0,4995058790.0,151.4,0.2286,12.06,0.0,3.57,0.0,2019-09-24
