,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,117,501.0,-2.0,-0.004,501.0,501.0,501.0,0.0,509.5,441.0,500.0,479.0,509.5,526.0,502.38,497.83,492.01,492.5,502.06,498.39,495.11,496.89,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.6446,1.6638,0.0059,LOW,-37.3192,42.6667,-68.0,13211.0,9406.0,8954.0,6613698.5,4709055.67,4487656.75,White Marubozu,None,None,0.0438,0.001,-0.004,0.0,-248500.0,-243584.0,-612644.0,-22745359.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,121,506.0,6.0,0.012,500.0,500.0,506.0,-15180000.0,509.5,460.0,500.0,479.0,509.5,526.0,503.68,502.46,495.38,492.38,503.44,501.18,497.75,498.04,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.4806,0.7072,0.0042,LOW,13.7586,0.0,0.0,6882.0,6814.67,5163.0,3464304.0,3434150.33,2601714.75,White Marubozu,None,Three White Soldiers,0.0542,0.012,0.012,-15180000.0,-15180000.0,-15428500.0,-15418684.0,-36377459.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,119,506.0,0.0,0.0,506.0,506.0,506.0,0.0,509.5,450.0,501.0,479.0,507.75,526.0,503.85,501.26,494.67,492.46,504.16,500.82,497.15,497.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.0487,1.3688,0.003,LOW,58.7393,72.54899999999999,0.0,3613.0,2723.33,8292.5,1825009.5,1376053.0,4159620.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0542,0.01,0.001,0.0,0.0,-248500.0,-238684.0,-21722459.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,121,500.0,0.0,0.0,500.0,500.0,500.0,0.0,509.5,460.0,498.5,479.0,506.0,526.0,503.48,502.58,495.78,492.34,502.81,501.09,497.84,498.08,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.2086,0.4117,0.0045,LOW,-91.2712,0.0,-100.0,7877.0,5500.0,5740.5,3960538.0,2766090.33,2890389.25,White Marubozu,Bullish Harami,Three White Soldiers,0.0417,0.0,0.0,-15180000.0,-15180000.0,-15180000.0,-15418684.0,-36377459.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,116,505.0,5.0,0.01,503.0,503.0,505.0,0.0,509.5,441.0,500.0,479.0,509.5,526.0,500.91,493.76,488.38,493.04,500.32,495.53,492.91,496.11,UPTREND,SIDEWAYS,SIDEWAYS,58.0979,3.1153,0.0062,LOW,60.9056,57.3859,-25.1397,4937.0,4663.33,3848.5,2486007.5,2345764.6,1933935.45,White Marubozu,None,Three White Soldiers,0.0521,0.01,0.01,0.0,4916.0,9816.0,-853194.0,-18227679.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,116,505.0,4.5,0.009000000000000001,505.0,505.0,505.0,0.0,509.5,441.0,500.0,485.0,509.5,526.0,502.78,496.52,490.94,492.7,501.19,497.42,494.37,496.6,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.0427,1.7776,0.0057,LOW,60.6838,62.5,0.0,13531.0,9956.67,9116.0,6770636.5,4981771.0,4568832.0,White Marubozu,None,None,0.0521,0.009000000000000001,0.01,0.0,-248500.0,-243584.0,-612644.0,-22745359.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,121,506.0,6.0,0.012,500.0,500.0,506.0,-15180000.0,509.5,460.0,500.0,479.0,509.5,526.0,503.68,502.46,495.38,492.38,503.44,501.18,497.75,498.04,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.4806,0.7072,0.0042,LOW,13.7586,0.0,0.0,6882.0,6814.67,5163.0,3464304.0,3434150.33,2601714.75,White Marubozu,None,Three White Soldiers,0.0542,0.012,0.012,-15180000.0,-15180000.0,-15428500.0,-15418684.0,-36377459.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,119,506.0,0.0,0.0,506.0,506.0,506.0,0.0,509.5,460.0,505.0,490.0,509.5,526.0,504.15,501.58,494.76,492.46,504.34,501.03,497.32,497.85,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.0487,1.3801,0.0028,LOW,54.4586,86.2745,0.0,3790.0,2596.0,5736.0,1914621.5,1311217.0,2881807.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0542,0.01,0.0,0.0,0.0,-248500.0,-238684.0,-21722459.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,121,508.0,11.0,0.0221,508.0,508.0,508.0,0.0,509.5,475.0,497.0,479.0,509.5,526.0,503.58,502.96,496.43,492.12,502.59,501.17,498.07,498.19,DOWNTREND,SIDEWAYS,SIDEWAYS,57.7952,-0.0032,0.0064,LOW,113.6364,0.0,0.0,8679.0,6086.0,6234.5,4363399.0,3060732.67,3139010.25,White Marubozu,None,None,0.0583,0.016,0.016,0.0,-15180000.0,-15180000.0,-15418684.0,-36377459.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,116,505.0,5.0,0.01,505.0,505.0,505.0,0.0,509.5,441.0,498.5,479.0,509.5,526.0,502.11,494.96,489.58,492.86,501.05,496.56,493.64,496.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.0507,2.5974,0.0064,LOW,59.1504,0.0,-36.0,2257.0,3702.67,3851.0,1129415.0,1862948.33,1935972.95,White Marubozu,None,Three White Soldiers,0.0521,0.01,0.01,-248500.0,-248500.0,-238684.0,-1101794.0,-17445359.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
