,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,119,5.15,0.11,0.0218,5.15,5.15,5.15,0.0,5.85,4.91,5.02,4.91,5.17,5.33,5.11,5.21,5.25,5.35,5.13,5.19,5.26,5.33,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.6814,-0.027999999999999997,0.0158,LOW,86.8033,0.0,-11.7647,90550.0,65246.67,73260.0,458964.4,331016.6,372417.4,White Marubozu,Bullish Harami,None,-0.0392,0.0019,-0.0039,-1257617.0,-465292.0,-2670346.0,-124849337.0,-452111759.0,72.86,-0.5503,0.07,0.0,0.52,0.0,2019-10-22
1,123,5.02,-0.01,-0.002,5.04,5.02,5.04,-204120.0,5.85,4.97,5.01,4.91,5.15,5.36,5.12,5.12,5.22,5.35,5.1,5.14,5.2,5.28,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7398,-0.0128,0.0118,LOW,-146.5721,0.0,-100.0,128950.0,110600.0,102925.0,654138.5,563004.33,524935.4,Black Marubozu,None,Three Black Crows,-0.0634,-0.0059,-0.0059,-4263588.0,-4328268.0,-5805360.0,-7611209.0,-437653869.0,97.77,-0.5056,0.05,0.0,0.5,0.0,2019-12-03
2,121,5.09,-0.11,-0.0212,5.09,5.09,5.09,0.0,5.85,4.97,5.04,4.91,5.24,5.48,5.14,5.14,5.24,5.35,5.15,5.17,5.22,5.3,UPTREND,SIDEWAYS,SIDEWAYS,46.1966,0.0054,0.0138,LOW,-69.6107,39.3939,-77.2727,63240.0,57486.67,99065.0,325940.8,295984.53,503953.4,White Marubozu,Bullish Harami,None,-0.0504,-0.0097,0.0,30108.0,41993.0,-423299.0,-3685391.0,-432185253.0,97.77,-0.5056,0.05,0.0,0.51,0.0,2019-11-20
3,123,5.04,0.0,0.0,5.04,5.03,5.04,-224784.0,5.85,4.97,5.02,4.91,5.11,5.33,5.1,5.11,5.22,5.35,5.08,5.12,5.19,5.27,DOWNTREND,SIDEWAYS,SIDEWAYS,43.8189,-0.0217,0.0114,LOW,-90.8513,11.1111,-88.8889,188620.0,144026.67,125140.0,953791.9,729550.93,635668.65,Dragonfly Doji,Bullish Harami,None,-0.0597,-0.002,0.0,-3296445.0,-7733541.0,-7640068.0,-10310414.0,-435689059.0,97.77,-0.5056,0.05,0.0,0.5,0.0,2019-12-09
4,118,5.2,0.0,0.0,5.2,5.2,5.2,-975520.0,5.85,4.91,5.12,4.97,5.33,5.49,5.27,5.33,5.36,5.35,5.25,5.31,5.35,5.39,DOWNTREND,SIDEWAYS,SIDEWAYS,46.6534,-0.0449,0.0199,LOW,-49.7297,23.5556,-66.6667,2308980.0,1555806.67,1172310.0,12005477.5,8090026.47,6096445.6,White Marubozu,Bullish Harami,Three White Soldiers,-0.0299,0.0039,0.0039,-1423760.0,-2470058.0,-123602751.0,-350406809.0,-563988235.0,72.86,-0.5503,0.07,0.0,0.52,0.0,2019-09-06
5,118,5.08,-0.06,-0.0117,5.14,5.08,5.14,7195.0,5.85,4.91,5.05,4.91,5.16,5.36,5.13,5.25,5.28,5.34,5.14,5.21,5.28,5.35,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.2013,-0.0444,0.0148,LOW,-80.5243,39.3939,-100.0,38760.0,89006.67,1201120.0,197977.0,455446.93,6239793.05,Black Marubozu,Bearish Engulfing,None,-0.0522,-0.0117,-0.0136,439241.0,285541.0,-2619151.0,-348770564.0,-468251983.0,72.86,-0.5503,0.07,0.0,0.51,0.0,2019-10-03
6,123,5.03,-0.02,-0.004,5.04,5.03,5.04,-761544.0,5.85,4.97,5.02,4.91,5.16,5.33,5.13,5.12,5.22,5.35,5.11,5.14,5.2,5.29,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4695,-0.0097,0.0124,LOW,-155.0513,0.0,-100.0,140020.0,116173.33,100655.0,711066.1,592051.33,513503.1,Black Marubozu,None,None,-0.0616,-0.004,-0.004,-4385616.0,-4626273.0,-5601240.0,-7407089.0,-437452820.0,97.77,-0.5056,0.05,0.0,0.5,0.0,2019-12-02
7,121,5.09,0.0,0.0,5.1,5.09,5.1,0.0,5.85,4.97,5.04,4.91,5.2,5.37,5.14,5.13,5.24,5.35,5.14,5.16,5.22,5.3,UPTREND,SIDEWAYS,SIDEWAYS,46.1966,0.0041,0.0129,LOW,-68.3397,38.1674,-80.9524,66800.0,59046.67,85650.0,343989.4,303839.93,436712.3,Black Marubozu,Bearish Engulfing,None,-0.0504,-0.0097,0.0,-51480.0,-91150.0,-671319.0,-3685391.0,-432451631.0,97.77,-0.5056,0.05,0.0,0.51,0.0,2019-11-21
8,123,5.3,0.24,0.0474,5.19,5.19,5.3,1033239.0,5.85,4.97,5.05,4.91,5.36,5.54,5.09,5.12,5.2,5.34,5.12,5.13,5.18,5.26,UPTREND,SIDEWAYS,SIDEWAYS,60.0709,-0.0029,0.016,LOW,203.9289,74.0741,0.0,60160.0,109000.0,114605.0,309777.5,554289.4,582611.0,White Marubozu,None,None,-0.0112,0.0495,0.0474,997367.0,-3601059.0,-6640742.0,-6839864.0,-435390419.0,97.77,-0.5056,0.05,0.0,0.53,0.0,2019-12-23
9,118,5.17,0.09,0.0177,5.1,5.1,5.17,0.0,5.85,4.91,5.08,4.91,5.18,5.36,5.15,5.28,5.31,5.35,5.16,5.24,5.3,5.36,DOWNTREND,SIDEWAYS,SIDEWAYS,49.1971,-0.0527,0.0145,LOW,-7.1685,0.0,-25.0,122580.0,1594206.67,1221425.0,627031.1,8282297.87,6345153.65,White Marubozu,Bullish Harami,None,-0.0354,-0.0019,0.0157,0.0,-2178014.0,-3283572.0,-349809957.0,-547331398.0,72.86,-0.5503,0.07,0.0,0.52,0.0,2019-09-24
