,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,120,11.06,-0.44,-0.0383,10.02,10.02,11.06,0.0,14.0,8.0,10.3,9.7,11.5,14.0,10.84,10.81,11.43,12.3,11.05,10.96,11.42,13.39,UPTREND,SIDEWAYS,DOWNTREND,50.5591,0.1945,0.094,HIGH,3.6456,31.761,-69.3396,1220.0,1820.0,2280.0,13128.2,18660.4,22998.9,White Marubozu,None,Three White Soldiers,0.1016,-0.1138,-0.0383,0.0,1088.0,1088.0,1088.0,58740.0,0.1,9.0,110.6,0.0,1.14,0.0,2019-10-22
1,124,10.54,0.0,0.0,9.89,9.89,10.54,0.0,14.0,9.52,10.22,9.77,11.46,14.0,11.46,10.82,11.29,12.09,11.11,11.05,11.38,13.19,DOWNTREND,UPTREND,DOWNTREND,44.8418,0.1416,0.0852,HIGH,-113.5941,38.3697,-68.2243,1100.0,1140.0,1160.0,11967.5,12235.53,12547.85,White Marubozu,None,Three White Soldiers,0.0498,-0.1158,-0.0366,0.0,0.0,1088.0,1088.0,58740.0,0.17,16.0,62.0,0.0,1.08,0.0,2019-12-03
2,122,11.08,-0.38,-0.0332,10.44,10.44,11.08,0.0,14.0,9.52,10.71,9.82,11.92,14.0,11.34,10.87,11.44,12.16,11.27,11.1,11.43,13.26,UPTREND,UPTREND,DOWNTREND,49.1141,0.2209,0.083,HIGH,-26.1613,44.9371,-42.5926,1120.0,1160.0,1600.0,12271.2,12588.53,16828.0,White Marubozu,None,Three White Soldiers,0.1036,-0.0705,-0.0332,0.0,0.0,1088.0,1088.0,58740.0,0.17,16.0,65.18,0.0,1.14,0.0,2019-11-20
3,124,10.54,0.0,0.0,9.89,9.89,10.54,0.0,14.0,9.52,10.22,9.77,11.46,14.0,11.46,10.82,11.29,12.09,11.11,11.05,11.38,13.19,DOWNTREND,UPTREND,DOWNTREND,44.8418,0.1416,0.0852,HIGH,-113.5941,38.3697,-68.2243,1100.0,1140.0,1160.0,11967.5,12235.53,12547.85,White Marubozu,None,Three White Soldiers,0.0498,-0.1158,-0.0366,0.0,0.0,1088.0,1088.0,58740.0,0.17,16.0,62.0,0.0,1.08,0.0,2019-12-09
4,119,9.82,0.0,0.0,9.82,9.82,9.82,0.0,12.48,8.0,9.77,8.0,12.46,15.72,10.27,10.64,11.43,12.59,10.3,10.72,11.43,13.65,UPTREND,DOWNTREND,DOWNTREND,45.1143,-0.1661,0.0485,NEUTRAL,-54.001999999999995,3.8647,-95.6522,2380.0,2773.33,2130.0,23745.6,27719.33,21293.6,White Marubozu,Bullish Harami,Three White Soldiers,-0.0219,0.0041,0.0041,0.0,0.0,0.0,15400.0,57652.0,0.1,9.0,98.2,0.0,1.01,0.0,2019-09-06
5,119,11.78,-0.06,-0.0051,9.86,9.86,11.78,0.0,14.0,8.0,10.37,9.7,14.0,15.95,10.78,10.68,11.41,12.42,11.01,10.93,11.45,13.51,UPTREND,SIDEWAYS,DOWNTREND,55.0191,0.0929,0.0793,HIGH,31.6721,66.0465,-51.6279,2120.0,2633.33,2100.0,21604.8,26408.0,21216.2,White Marubozu,None,Three White Soldiers,0.1733,-0.0561,0.0827,1088.0,1088.0,1088.0,1088.0,58740.0,0.1,9.0,117.8,0.0,1.21,0.0,2019-10-03
6,124,10.54,0.0,0.0,9.89,9.89,10.54,0.0,14.0,9.52,10.22,9.77,11.46,14.0,11.46,10.82,11.29,12.09,11.11,11.05,11.38,13.19,DOWNTREND,UPTREND,DOWNTREND,44.8418,0.1416,0.0852,HIGH,-113.5941,38.3697,-68.2243,1100.0,1140.0,1160.0,11967.5,12235.53,12547.85,White Marubozu,None,Three White Soldiers,0.0498,-0.1158,-0.0366,0.0,0.0,1088.0,1088.0,58740.0,0.17,16.0,62.0,0.0,1.08,0.0,2019-12-02
7,122,11.08,-0.38,-0.0332,10.44,10.44,11.08,0.0,14.0,9.52,10.71,9.82,11.92,14.0,11.34,10.87,11.44,12.16,11.27,11.1,11.43,13.26,UPTREND,UPTREND,DOWNTREND,49.1141,0.2209,0.083,HIGH,-26.1613,44.9371,-42.5926,1120.0,1160.0,1600.0,12271.2,12588.53,16828.0,White Marubozu,None,Three White Soldiers,0.1036,-0.0705,-0.0332,0.0,0.0,1088.0,1088.0,58740.0,0.17,16.0,65.18,0.0,1.14,0.0,2019-11-21
8,124,10.66,0.12,0.0114,10.66,10.66,10.66,0.0,14.0,9.51,10.02,9.68,11.46,12.0,11.11,10.8,11.1,12.0,10.93,10.98,11.32,13.08,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3718,0.0071,0.0753,HIGH,-35.6942,42.9719,-53.8153,2200.0,1793.33,1670.0,23129.3,19141.27,17741.75,White Marubozu,None,Three White Soldiers,0.0618,0.0114,0.0114,-951.0,-951.0,137.0,137.0,57789.0,0.17,16.0,62.71,0.0,1.1,0.0,2019-12-23
9,119,9.86,0.0,0.0,9.86,9.86,9.86,0.0,12.48,8.0,9.77,8.0,11.98,12.46,10.24,10.59,11.37,12.52,10.22,10.65,11.37,13.57,DOWNTREND,DOWNTREND,DOWNTREND,45.4769,-0.1943,0.0419,NEUTRAL,-44.3017,5.314,-94.2029,3340.0,2393.33,2670.0,32869.6,23793.33,26613.1,White Marubozu,Bullish Harami,Three White Soldiers,-0.0179,0.0082,0.0,0.0,0.0,0.0,14300.0,57652.0,0.1,9.0,98.6,0.0,1.01,0.0,2019-09-24
