,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,121,2.53,-0.01,-0.0039,2.54,2.49,2.54,-1992009.9998,3.55,1.23,2.4,2.33,2.54,2.62,2.46,2.29,2.35,2.47,2.44,2.38,2.35,2.23,SIDEWAYS,UPTREND,SIDEWAYS,63.3587,0.04,0.033,NEUTRAL,105.7602,90.4848,-4.5455,7133300.0,7113400.0,7106650.0,17383179.0,17235924.0,17380893.0,Hanging Man,Tweezer Tops,None,0.2714,0.0,0.0243,-1447870.0,6637480.0,83102290.0,84973500.0,25158590.0,1.33,8.5,1.9,0.0,1.25,0.0,2019-10-22
1,125,1.96,-0.03,-0.0151,1.99,1.94,1.99,400600.0,3.55,1.86,1.87,1.78,2.02,2.3,2.08,2.29,2.25,2.45,2.07,2.19,2.26,2.21,DOWNTREND,DOWNTREND,SIDEWAYS,37.0399,-0.0934,0.044000000000000004,NEUTRAL,-74.4085,0.0,-72.7273,6587100.0,7434600.0,7717800.0,13146448.0,15183562.0,16219266.5,None,Tweezer Tops,None,-0.0151,0.0481,0.0481,5282010.0,-3314950.0,13595560.0,110122200.0,40430160.0,1.5,74.0,1.31,0.0,0.88,0.0,2019-12-03
2,123,2.06,0.03,0.0148,2.04,2.03,2.06,0.0,3.55,1.58,1.97,1.88,2.19,2.52,2.24,2.37,2.3,2.49,2.22,2.29,2.31,2.23,DOWNTREND,DOWNTREND,SIDEWAYS,30.7299,-0.0595,0.0458,NEUTRAL,-135.9016,31.575,-63.4146,8770700.0,8815866.67,8983850.0,19048169.0,19379564.67,20225655.5,White Long Day,None,None,0.0352,-0.0885,-0.055,-11900940.0,7151950.0,8906040.0,101957450.0,34985950.0,1.5,74.0,1.37,0.0,0.93,0.0,2019-11-20
3,125,2.07,-0.01,-0.0048,2.08,2.02,2.08,-265900.0,3.55,1.86,1.94,1.87,2.08,2.2,2.05,2.25,2.23,2.43,2.07,2.18,2.24,2.2,DOWNTREND,DOWNTREND,SIDEWAYS,46.9918,-0.0794,0.0391,NEUTRAL,16.129,86.2591,-9.0909,7469900.0,7208133.33,7741450.0,14958152.0,14492920.0,15857342.5,Hanging Man,None,None,0.0402,0.107,-0.0048,-5677530.0,-5053290.0,8134730.0,72055880.0,34338430.0,1.5,74.0,1.38,0.0,0.93,0.0,2019-12-09
4,120,2.19,0.0,0.0,2.17,2.15,2.19,2530300.0,3.55,1.23,2.1,1.88,2.2,2.3,2.03,2.25,2.39,2.39,2.1,2.2,2.28,2.15,UPTREND,DOWNTREND,DOWNTREND,55.8062,-0.0536,0.042,NEUTRAL,127.5525,90.1961,-5.8824,7347900.0,7577000.0,7431750.0,15243220.0,15355138.0,15056230.0,None,Bullish Harami,None,0.1005,0.0631,0.0631,2003690.0,-5978650.0,-8052240.0,-15298510.0,-77101310.0,1.33,8.5,1.65,0.0,1.08,0.0,2019-09-06
5,120,2.43,-0.06,-0.0241,2.48,2.4,2.48,271830.0,3.55,1.23,2.35,2.17,2.56,2.72,2.42,2.22,2.34,2.45,2.4,2.33,2.33,2.2,UPTREND,UPTREND,DOWNTREND,55.0195,0.0837,0.0445,NEUTRAL,32.4675,57.1717,-50.0,7543900.0,8603466.67,8890950.0,18702661.0,21065362.0,21273465.5,None,Bearish Harami,None,0.2211,-0.0395,-0.0471,4824030.0,69588720.0,87461330.0,78470940.0,20514900.0,1.33,8.5,1.83,0.0,1.2,0.0,2019-10-03
6,125,1.99,0.12,0.0642,1.89,1.87,1.99,96580.0,3.55,1.86,1.87,1.66,2.02,2.3,2.1,2.3,2.26,2.46,2.08,2.2,2.26,2.21,DOWNTREND,DOWNTREND,SIDEWAYS,38.8542,-0.0923,0.0447,NEUTRAL,-88.5276,0.0,-64.7059,7141000.0,7874466.67,7976850.0,14278363.0,16169112.0,16821610.5,White Long Day,Tweezer Bottoms,None,0.0,0.0642,0.0642,5010670.0,5490210.0,13368170.0,110923770.0,40029560.0,1.5,74.0,1.33,0.0,0.9,0.0,2019-12-02
7,123,2.02,-0.04,-0.0194,2.03,1.98,2.07,-756269.9997,3.55,1.58,1.96,1.88,2.19,2.5,2.22,2.36,2.3,2.49,2.2,2.28,2.31,2.23,DOWNTREND,DOWNTREND,SIDEWAYS,28.4155,-0.0652,0.0465,NEUTRAL,-139.882,30.8992,-71.7949,8234900.0,8993000.0,9067650.0,17424321.0,19512008.0,20064209.5,None,None,None,0.0151,-0.1062,-0.0734,-13190940.0,4597160.0,7002220.0,106517770.0,34205190.0,1.5,74.0,1.35,0.0,0.91,0.0,2019-11-21
8,125,1.9,-0.03,-0.0155,1.89,1.86,1.93,-80560.0,3.55,1.86,1.88,1.66,1.99,2.08,1.98,2.16,2.2,2.36,2.0,2.1,2.19,2.18,DOWNTREND,DOWNTREND,SIDEWAYS,36.1524,-0.0572,0.0401,NEUTRAL,-135.3468,22.8245,-82.6087,6219500.0,6593800.0,6844700.0,12173430.0,13089631.33,13565791.0,None,None,None,-0.0452,0.016,-0.0155,3694680.0,-1996120.0,3494090.0,20981180.0,37108110.0,1.5,74.0,1.27,0.0,0.86,0.0,2019-12-23
9,120,2.53,0.14,0.0586,2.37,2.37,2.55,6529820.0,3.55,1.23,2.34,1.94,2.54,2.62,2.28,2.21,2.34,2.44,2.32,2.28,2.3,2.18,UPTREND,UPTREND,DOWNTREND,70.1096,0.0644,0.0406,NEUTRAL,109.5385,86.1111,-4.1667,9455200.0,9517066.67,9429350.0,22773478.0,22272072.0,21468992.0,White Long Day,None,None,0.2714,0.2282,0.0542,26364880.0,85765620.0,74033320.0,56394820.0,10692220.0,1.33,8.5,1.9,0.0,1.25,0.0,2019-09-24
