,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,122,48.5,0.85,0.0178,48.85,48.45,48.95,405805.0,69.8,22.5,46.75,42.38,48.72,50.85,47.44,49.96,53.35,41.39,48.11,49.84,48.96,43.69,UPTREND,DOWNTREND,DOWNTREND,49.7018,-0.9916,0.0366,NEUTRAL,147.1225,79.2208,-11.6883,115500.0,95466.67,105185.0,5473406.0,4508292.0,4970604.5,Black Long Day,None,None,0.8131,0.0308,0.0041,16172220.0,56291390.0,91521949.5,206440230.5,469626693.0,4.0,0.3559,12.13,0.0,2.31,0.0,2019-10-22
1,126,40.5,-0.5,-0.0122,41.0,40.1,41.0,214650.0,69.8,23.6,40.25,35.75,41.0,51.92,44.14,46.31,51.14,44.15,43.21,46.08,47.17,44.06,DOWNTREND,DOWNTREND,DOWNTREND,29.7831,-1.8323,0.0373,NEUTRAL,-75.229,12.2318,-88.8112,27000.0,44373.33,47061.0,1098139.0,1933322.33,2140775.5,None,Tweezer Tops,None,0.514,0.0,0.0,-521830.0,7700880.0,17126852.5,120683757.5,488047483.5,4.18,0.2553,9.69,0.0,1.85,0.0,2019-12-03
2,124,42.55,-0.05,-0.0012,42.6,41.75,44.0,-167970.0,69.8,22.5,42.15,36.6,46.82,51.92,47.47,48.06,52.82,43.55,46.66,48.32,48.41,44.36,DOWNTREND,SIDEWAYS,DOWNTREND,30.6661,-0.6074,0.0428,NEUTRAL,-190.738,4.3497,-92.1951,64782.0,52881.33,46556.0,3053255.0,2504251.0,2211284.25,None,None,None,0.5907,-0.1227,-0.033,3106535.0,10422547.5,60431397.5,162491060.5,485579585.5,4.18,0.2553,10.18,0.0,1.95,0.0,2019-11-20
3,126,40.85,0.0,0.0,40.0,40.0,40.85,-36000.0,69.8,23.85,39.75,35.75,40.95,48.48,42.29,45.75,50.39,44.42,42.41,45.29,46.68,43.93,DOWNTREND,DOWNTREND,DOWNTREND,32.8297,-1.8488,0.0344,NEUTRAL,-55.7956,28.204,-63.0,11300.0,22293.33,36215.0,456288.5,910169.67,1577023.0,White Marubozu,None,None,0.5271,0.0086,0.0,95210.0,1912945.0,13110882.5,106985262.0,516116483.5,4.18,0.2553,9.77,0.0,1.87,0.0,2019-12-09
4,121,50.95,0.0,0.0,51.0,50.8,51.4,5291176.0,69.8,22.5,49.5,47.52,51.38,68.25,53.8,58.06,48.88,37.48,53.28,54.13,49.49,41.89,DOWNTREND,DOWNTREND,UPTREND,40.6664,-2.185,0.0495,NEUTRAL,-48.1341,32.7669,-65.2941,168200.0,164576.67,250410.5,8447790.35,8439445.53,14082349.0,Spinning Top,None,None,0.9047,0.019,0.019,30721845.5,55270876.0,97854527.5,228978311.0,368676333.0,4.0,0.3559,12.74,0.0,2.42,0.0,2019-09-06
5,121,46.5,-1.0,-0.0211,46.0,45.5,47.0,9177265.0,69.8,22.5,46.0,44.32,47.9,53.4,49.37,53.97,52.45,39.9,49.15,51.36,49.37,43.15,DOWNTREND,DOWNTREND,SIDEWAYS,33.5118,-1.7183,0.0428,NEUTRAL,-120.3695,21.7949,-84.6154,107660.0,91099.33,103130.5,5107767.5,4373414.03,5058569.93,None,None,None,0.7383,-0.0117,-0.0272,17156060.0,43789080.5,110984534.0,202864338.5,422750518.0,4.0,0.3559,11.63,0.0,2.21,0.0,2019-10-03
6,126,41.0,0.5,0.0123,40.0,40.0,41.0,-76580.0,69.8,23.6,40.25,35.75,44.15,51.92,44.54,46.49,51.28,44.09,43.5,46.3,47.31,44.1,DOWNTREND,DOWNTREND,DOWNTREND,31.4276,-1.778,0.038,NEUTRAL,-79.0375,12.0252,-83.3333,29140.0,45420.0,46841.0,1192464.5,1987504.0,2133376.25,White Marubozu,Bullish Engulfing,None,0.5327,0.0123,0.0123,155185.0,7187590.0,17871392.5,124855672.5,487832833.5,4.18,0.2553,9.81,0.0,1.88,0.0,2019-12-02
7,124,41.8,-0.75,-0.0176,42.55,40.9,42.55,-136490.0,69.8,22.5,41.35,37.05,45.4,51.92,47.13,47.84,52.61,43.63,46.19,48.07,48.27,44.33,DOWNTREND,SIDEWAYS,DOWNTREND,28.8417,-0.7896,0.0433,NEUTRAL,-180.738,5.6552,-91.8919,54162.0,53014.67,44536.0,2483653.0,2497297.33,2102888.75,None,None,None,0.5626,-0.1381,-0.05,1848860.0,9533962.5,58971877.5,158197525.5,485461913.5,4.18,0.2553,10.0,0.0,1.91,0.0,2019-11-21
8,126,40.0,0.0,0.0,40.05,39.0,40.05,3056070.0,69.8,25.0,39.5,35.75,40.8,44.15,40.55,44.42,48.46,45.1,41.08,43.66,45.53,43.59,DOWNTREND,DOWNTREND,DOWNTREND,36.4837,-1.3503,0.0317,NEUTRAL,-169.8677,63.3333,-50.0,115260.0,79706.67,63280.0,4610988.5,3189185.67,2533638.5,Hanging Man,None,None,0.4953,-0.0123,0.0,41566660.0,42972605.0,50160195.0,120850037.5,559033378.5,4.18,0.2553,9.57,0.0,1.83,0.0,2019-12-23
9,121,49.0,-0.5,-0.0101,49.0,48.1,49.5,668340.0,69.8,22.5,48.55,42.38,50.85,53.4,50.44,55.8,51.37,39.07,51.12,52.7,49.69,42.86,SIDEWAYS,DOWNTREND,UPTREND,37.5852,-1.6347,0.0403,NEUTRAL,-131.3968,22.2222,-83.3333,63518.0,117910.67,113205.0,3210780.25,5968319.2,5710094.48,Doji,None,None,0.8318,-0.02,-0.0101,7766498.0,57287055.0,103402405.5,208452859.0,391073708.0,4.0,0.3559,12.25,0.0,2.33,0.0,2019-09-24
