,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,123,880.0,15.0,0.0173,860.0,857.0,890.0,16197515.0,1047.2222222222001,638.8888888888999,855.25,826.75,885.0,932.5,847.75,873.24,872.81,879.69,859.68,868.33,869.9,873.13,UPTREND,DOWNTREND,SIDEWAYS,58.1751,-7.6524,0.0206,LOW,184.7073,87.2945,-15.625,72884.0,64550.0,67406.0,62495528.0,55053598.33,57246829.75,None,Bullish Engulfing,None,-0.0252,0.0451,0.008,46919170.0,-148262015.0,-471131775.0,-865890870.0,-3060342012.6,66.7,-0.036000000000000004,13.19,0.0,1.14,0.0,2019-10-22
1,127,900.0,0.5,0.0006,905.0,894.5,905.0,11898440.0,1047.2222222222001,737.962962963,876.25,846.5,902.5,932.5,893.45,872.98,888.75,870.69,890.29,884.47,879.47,877.76,DOWNTREND,SIDEWAYS,SIDEWAYS,55.8121,3.3861,0.0194,LOW,90.5999,77.5656,-14.7059,81788.0,75562.67,69465.0,72408677.0,67100348.0,61814207.25,None,None,None,-0.0031,0.0061,0.0061,-4912685.0,-76417920.0,77548025.0,-280985110.0,-2226222852.9,80.56,0.2513,11.17,0.0,1.19,0.0,2019-12-03
2,125,891.0,-9.0,-0.01,890.0,885.0,898.5,-6059890.0,1047.2222222222001,737.962962963,883.0,855.25,900.25,932.5,892.65,875.19,885.8,875.78,890.41,882.45,877.64,876.74,UPTREND,SIDEWAYS,SIDEWAYS,51.6839,7.9776,0.0214,LOW,11.5081,54.6512,-53.4884,55196.0,61144.0,58402.0,49370879.0,54851957.67,52119166.25,Spinning Top,Bullish Harami,None,-0.013000000000000001,-0.0034,-0.01,44148440.0,197208800.0,112648985.0,-80361085.0,-2328861148.3,80.56,0.2513,11.06,0.0,1.18,0.0,2019-11-20
3,127,900.0,0.0,0.0,900.0,890.5,900.0,4951650.0,1047.2222222222001,737.962962963,888.0,861.0,902.5,932.5,893.35,877.76,888.63,869.09,893.04,886.55,880.94,878.57,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.4473,3.5932,0.018000000000000002,LOW,72.4262,80.3922,-14.7059,84664.0,78169.33,72887.0,75319446.0,69517365.0,64870635.5,Dragonfly Doji,None,None,-0.0031,0.0061,0.0,10852545.0,-93042620.0,81073840.0,-440561290.0,-2040150853.1,80.56,0.2513,11.17,0.0,1.19,0.0,2019-12-09
4,122,900.0,-12.5,-0.0137,912.5,900.0,915.0,-25685330.0,1047.2222222222001,611.5740740741,892.75,841.75,916.25,972.0,885.7,893.83,850.36,871.4,895.32,886.39,875.2,875.97,UPTREND,SIDEWAYS,UPTREND,51.2522,0.0549,0.0274,LOW,79.2672,88.5009,-25.9259,126680.0,133592.0,132947.0,112508138.0,117514111.33,116810679.0,Black Long Day,None,None,-0.0031,-0.0088,-0.0088,-5159285.0,-96642530.0,-471742030.0,-284358162.2,-3792310841.3,66.7,-0.036000000000000004,13.49,0.0,1.16,0.0,2019-09-06
5,122,828.0,-7.0,-0.0084,830.0,826.5,830.0,-24222540.0,1047.2222222222001,611.5740740741,827.25,801.16,852.0,932.5,878.08,893.07,864.08,881.15,864.25,877.22,874.5,875.79,DOWNTREND,SIDEWAYS,SIDEWAYS,31.743000000000002,-12.3462,0.0235,LOW,-104.8354,9.8133,-97.3545,96859.0,96272.0,107004.0,82527237.5,83589472.0,94843402.75,Spinning Top,None,None,-0.0828,-0.0166,-0.0096,-27693795.0,-381059190.0,-200138350.0,-650665010.0,-3211188452.1,66.7,-0.036000000000000004,12.41,0.0,1.07,0.0,2019-10-03
6,127,899.5,5.0,0.0056,899.0,894.0,904.0,7683975.0,1047.2222222222001,737.962962963,875.0,844.5,901.75,932.5,893.95,872.18,888.2,871.26,889.27,883.84,879.06,877.54,DOWNTREND,SIDEWAYS,SIDEWAYS,55.6029,3.4049,0.02,LOW,77.1601,68.6147,-13.6364,84442.0,75308.0,72242.5,74791287.0,66837673.67,64360901.25,Spinning Top,None,None,-0.0036,0.0056,0.0056,-86482130.0,-86799075.0,76184355.0,-281191995.0,-2247106142.3,80.56,0.2513,11.17,0.0,1.19,0.0,2019-12-02
7,125,876.5,-14.5,-0.0163,890.0,871.5,890.0,-43803890.0,1047.2222222222001,737.962962963,874.0,836.5,900.25,929.75,893.0,874.12,885.86,875.37,889.09,882.22,877.61,876.74,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5058,7.3383,0.0218,LOW,-95.2584,42.2481,-87.2093,59211.0,61607.33,59241.5,52806165.0,55187694.33,52876687.75,Black Long Day,None,None,-0.0291,-0.0196,-0.0261,16235080.0,136995180.0,88490350.0,-142525850.0,-2343813675.3,80.56,0.2513,10.88,0.0,1.16,0.0,2019-11-21
8,127,854.0,15.0,0.0179,838.0,824.5,855.0,-12717865.0,1047.2222222222001,737.962962963,798.75,773.15,861.75,902.5,874.5,880.71,880.32,866.08,865.93,875.5,876.06,876.29,DOWNTREND,SIDEWAYS,SIDEWAYS,44.708,-7.8158,0.0267,LOW,-89.1763,36.1009,-41.3223,108333.0,94096.67,96498.5,91437393.0,80614769.0,83378419.5,None,None,None,-0.054000000000000006,-0.0453,0.0179,-174861905.0,-194670060.0,-281469135.0,-281902210.0,-2381037958.1,80.56,0.2513,10.6,0.0,1.13,0.0,2019-12-23
9,122,845.0,-15.0,-0.0174,860.0,845.0,861.0,-96928030.0,1047.2222222222001,611.5740740741,837.5,787.5,895.0,932.5,901.55,903.92,862.35,881.33,892.26,890.25,880.14,878.61,DOWNTREND,SIDEWAYS,UPTREND,32.0492,0.9145,0.0258,LOW,-190.0799,7.8552,-100.0,123096.0,124010.0,120968.5,110081497.0,111913384.0,108994253.0,Black Long Day,None,None,-0.064,-0.0694,-0.0398,-249006820.0,-121350980.0,-322368670.0,-600808881.6,-3290433637.5,66.7,-0.036000000000000004,12.67,0.0,1.09,0.0,2019-09-24
