,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,124,970.0,0.0,0.0,970.0,970.0,970.0,0.0,1000.0,800.0,968.5,928.0,999.0,1040.0,978.0,941.28,928.65,958.66,973.2,953.25,946.32,957.37,UPTREND,UPTREND,SIDEWAYS,51.3383,14.2951,0.0115,LOW,-31.7836,9.0909,-90.9091,1836.0,4084.0,3215.0,1797084.0,4034060.33,3170038.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0778,-0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,128,1000.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,800.0,975.0,938.0,1001.5,1040.0,981.43,965.95,936.09,956.03,983.39,967.36,956.07,961.02,UPTREND,SIDEWAYS,SIDEWAYS,63.9056,6.5313,0.0094,LOW,115.63600000000001,100.0,0.0,3756.0,3194.67,2942.0,3722507.5,3139415.67,2889075.75,White Marubozu,Bullish Harami,Three White Soldiers,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,-2444600.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,126,975.0,-0.5,-0.0005,975.0,975.0,975.0,0.0,1000.0,800.0,967.5,938.0,992.5,1030.0,980.58,959.97,933.75,956.17,977.68,963.24,953.37,959.85,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.3017,6.5444,0.0101,LOW,-31.2464,77.9963,-23.8095,2055.0,2170.0,2150.0,2013517.5,2103422.33,2091351.75,White Marubozu,None,None,0.0833,0.0052,-0.0005,0.0,0.0,0.0,0.0,-2444600.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,128,1000.0,29.0,0.0299,991.0,990.0,1000.0,0.0,1000.0,800.0,971.0,938.0,1009.0,1040.0,983.03,971.37,938.53,955.77,985.2,969.96,958.06,961.89,UPTREND,SIDEWAYS,SIDEWAYS,58.2488,6.4906,0.0115,LOW,83.5888,0.0,0.0,3897.5,2977.67,2910.75,3864480.5,2951587.0,2859488.25,White Long Day,None,Three White Soldiers,0.1111,0.0,0.0299,0.0,0.0,0.0,0.0,-2536490.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,123,994.0,-1.0,-0.001,994.0,980.0,994.0,0.0,1000.0,800.0,968.5,920.0,1000.0,1040.0,957.9,925.7,925.6,961.14,958.32,938.34,937.95,954.52,UPTREND,UPTREND,SIDEWAYS,65.2055,14.165999999999999,0.0144,LOW,102.1522,94.9074,-8.3333,4594.0,3444.0,2759.5,4542993.5,3382554.33,2705698.25,Dragonfly Doji,None,None,0.1044,-0.001,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,123,970.0,-29.0,-0.028999999999999998,970.0,970.0,970.0,0.0,1000.0,800.0,968.5,928.0,999.0,1030.0,971.7,936.68,927.73,959.61,974.32,951.12,944.86,956.98,UPTREND,UPTREND,SIDEWAYS,51.3383,17.1111,0.0144,LOW,-2.6879,65.0303,-90.9091,5109.0,3804.67,3160.5,5064629.0,3760951.67,3107083.75,White Marubozu,None,Three White Soldiers,0.0778,-0.028999999999999998,-0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,128,1000.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,800.0,975.0,938.0,1001.5,1040.0,981.43,965.95,936.09,956.03,983.39,967.36,956.07,961.02,UPTREND,SIDEWAYS,SIDEWAYS,63.9056,6.5313,0.0094,LOW,115.63600000000001,100.0,0.0,3756.0,3194.67,2942.0,3722507.5,3139415.67,2889075.75,White Marubozu,Bullish Harami,Three White Soldiers,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,-2444600.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,126,975.0,-0.5,-0.0005,975.0,975.0,975.0,0.0,1000.0,800.0,967.5,938.0,992.5,1030.0,980.58,959.97,933.75,956.17,977.68,963.24,953.37,959.85,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.3017,6.5444,0.0101,LOW,-31.2464,77.9963,-23.8095,2055.0,2170.0,2150.0,2013517.5,2103422.33,2091351.75,White Marubozu,None,None,0.0833,0.0052,-0.0005,0.0,0.0,0.0,0.0,-2444600.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,128,995.0,0.0,0.0,995.0,995.0,995.0,0.0,1000.0,800.0,992.5,938.0,1000.0,1045.0,988.68,975.67,941.32,955.58,989.03,973.95,961.05,963.27,UPTREND,SIDEWAYS,SIDEWAYS,55.4245,6.5634,0.0092,LOW,47.2144,87.3563,-17.2414,3319.5,3279.0,2687.25,3312898.0,3252943.67,2663207.75,White Marubozu,Bullish Harami,None,0.1056,-0.005,0.0,0.0,0.0,0.0,0.0,-2536490.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,123,994.0,2.0,0.002,992.0,992.0,994.0,0.0,1000.0,800.0,979.5,920.0,995.0,1030.0,961.15,929.54,926.65,960.62,967.4,944.56,941.18,955.67,UPTREND,UPTREND,SIDEWAYS,64.7973,16.5544,0.0137,LOW,94.9056,90.7407,-8.3333,4527.0,3334.0,2731.5,4486687.5,3288685.0,2680622.75,White Marubozu,None,None,0.1044,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
