,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,125,970.0,-1.0,-0.001,970.0,970.0,971.0,0.0,1000.0,801.0,950.0,921.0,992.0,1030.0,981.9,964.98,944.3,939.66,978.46,967.12,954.33,953.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.2859,5.7043,0.0076,LOW,-98.9805,2.6667,-100.0,525.0,559.33,614.0,511631.0,544280.67,599010.0,Gravestone Doji,None,None,0.0778,-0.0251,-0.001,0.0,0.0,-9644000.0,-9644000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,129,1005.0,5.0,0.005,1001.0,1001.0,1005.0,0.0,1010.0,801.0,988.5,950.0,1010.0,1045.0,984.1,980.26,958.04,940.51,989.69,977.77,963.71,958.49,UPTREND,SIDEWAYS,SIDEWAYS,57.4829,5.1944,0.0112,LOW,102.7251,83.3333,-8.3333,3968.0,3278.67,2672.5,3955674.0,3268860.0,2658895.0,White Marubozu,None,None,0.1167,0.005,0.005,0.0,9940.0,9940.0,-9634060.0,-27751390.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,127,994.0,0.0,0.0,994.0,994.0,994.0,9940.0,1000.0,801.0,970.5,921.0,1000.0,1035.0,981.95,973.44,952.61,939.66,982.0,972.11,959.28,956.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.2622,2.8109,0.0103,LOW,71.9258,78.6667,-12.0,1325.0,1143.33,925.0,1314628.0,1129056.0,913129.5,White Marubozu,Bullish Harami,None,0.1044,0.0463,0.0,9940.0,9940.0,9940.0,-9634060.0,-27736165.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,129,1009.0,9.0,0.009000000000000001,1000.0,1000.0,1009.0,0.0,1010.0,801.0,995.0,950.0,1010.0,1045.0,989.95,983.34,961.59,940.95,993.21,981.05,966.49,960.11,UPTREND,SIDEWAYS,SIDEWAYS,58.4865,5.8667,0.0098,LOW,93.6937,82.3129,-2.0408,4591.0,3872.67,2958.0,4584287.5,3863492.33,2949457.75,White Marubozu,None,Three White Soldiers,0.1211,0.009000000000000001,0.009000000000000001,0.0,9940.0,9940.0,-9634060.0,-27756465.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,124,980.0,0.0,0.0,980.0,980.0,980.0,0.0,1000.0,801.0,975.5,945.0,990.0,1020.0,968.2,949.6,930.62,939.97,969.4,953.3,943.33,948.14,UPTREND,SIDEWAYS,SIDEWAYS,56.4539,10.4037,0.0117,LOW,66.3771,66.7974,-40.0,4147.0,3421.33,2935.0,4057573.0,3337732.0,2852701.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0889,0.0,0.0,0.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,124,995.0,0.0,0.0,995.0,995.0,995.0,0.0,1000.0,801.0,980.0,950.0,1000.0,1032.5,982.45,957.18,939.61,940.01,979.93,964.29,951.33,951.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.6172,8.1299,0.009000000000000001,LOW,130.8731,93.3333,0.0,448.0,642.0,2281.5,436455.0,627629.33,2231503.5,White Marubozu,Bullish Harami,None,0.1056,0.0,0.0,0.0,0.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,129,1005.0,5.0,0.005,1001.0,1001.0,1005.0,0.0,1010.0,801.0,988.5,950.0,1010.0,1045.0,984.1,980.26,958.04,940.51,989.69,977.77,963.71,958.49,UPTREND,SIDEWAYS,SIDEWAYS,57.4829,5.1944,0.0112,LOW,102.7251,83.3333,-8.3333,3968.0,3278.67,2672.5,3955674.0,3268860.0,2658895.0,White Marubozu,None,None,0.1167,0.005,0.005,0.0,9940.0,9940.0,-9634060.0,-27751390.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,127,994.0,0.0,0.0,994.0,994.0,994.0,9940.0,1000.0,801.0,970.5,921.0,1000.0,1035.0,981.95,973.44,952.61,939.66,982.0,972.11,959.28,956.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.2622,2.8109,0.0103,LOW,71.9258,78.6667,-12.0,1325.0,1143.33,925.0,1314628.0,1129056.0,913129.5,White Marubozu,Bullish Harami,None,0.1044,0.0463,0.0,9940.0,9940.0,9940.0,-9634060.0,-27736165.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,129,990.0,-10.0,-0.01,990.0,990.0,990.0,0.0,1010.0,801.0,963.0,920.5,1000.0,1035.0,995.5,986.4,966.37,941.16,993.32,984.05,970.0,962.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.4473,4.1581,0.0112,LOW,-54.611000000000004,72.6179,-41.3043,5016.0,5724.0,4484.0,4983845.5,5697991.67,4461699.75,White Marubozu,None,Three White Soldiers,0.1,-0.01,-0.01,0.0,0.0,9940.0,-9634060.0,-27756465.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,124,980.0,-10.0,-0.0101,980.0,980.0,980.0,0.0,1000.0,801.0,970.0,921.0,990.0,1020.0,977.95,954.34,936.81,939.76,975.18,960.57,948.73,950.58,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.9312,8.2844,0.0098,LOW,22.0318,61.1111,-50.0,766.0,2514.0,2459.5,747759.0,2460312.67,2403699.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0889,0.0,0.0,0.0,0.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,129,1000.0,5.0,0.005,995.0,995.0,1000.0,0.0,1010.0,801.0,980.0,950.0,1010.0,1045.0,983.45,979.06,957.18,940.34,988.08,976.66,962.88,958.03,UPTREND,SIDEWAYS,SIDEWAYS,55.8019,4.7738,0.0117,LOW,82.8715,80.5556,-16.6667,4366.0,2982.0,2431.5,4350553.0,2969486.67,2416593.0,White Marubozu,Bullish Engulfing,None,0.1111,0.0526,0.006,0.0,9940.0,9940.0,-9634060.0,-27751390.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,124,980.0,0.0,0.0,980.0,980.0,980.0,0.0,1000.0,801.0,970.0,921.0,989.0,1020.0,973.7,951.12,932.91,939.89,972.85,956.65,945.64,949.17,UPTREND,SIDEWAYS,SIDEWAYS,55.3313,10.3436,0.0105,LOW,44.0872,57.4754,-65.5738,3360.0,3005.33,2703.0,3290619.0,2938366.0,2633358.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0889,0.0,0.0,0.0,-4220000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,125,970.0,-22.0,-0.0222,980.0,970.0,980.0,0.0,1000.0,801.0,969.75,920.5,995.0,1030.0,982.8,961.24,942.18,939.95,981.2,966.67,953.32,952.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.2856,7.8716,0.0092,LOW,-92.964,62.6667,-100.0,305.0,486.0,1836.5,298211.0,474700.0,1797490.0,Black Marubozu,None,None,0.0778,-0.0251,-0.0251,0.0,0.0,-9644000.0,-9802000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,124,980.0,-20.0,-0.02,980.0,980.0,980.0,0.0,1000.0,801.0,969.75,920.5,1000.0,1035.0,956.3,946.33,925.87,940.23,960.3,946.0,938.64,946.17,UPTREND,SIDEWAYS,SIDEWAYS,58.6775,8.454,0.013000000000000001,LOW,117.6351,87.2121,-36.3636,2052.0,1820.67,1404.0,1987569.0,1753078.0,1350332.0,White Marubozu,Bullish Harami,None,0.0889,0.037000000000000005,-0.02,-4220000.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,124,995.0,5.0,0.0051,995.0,995.0,995.0,0.0,1000.0,801.0,975.0,945.0,1000.0,1035.0,981.2,956.46,938.66,939.89,978.35,963.03,950.45,951.41,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.6172,8.0754,0.0097,LOW,156.3488,76.6667,0.0,448.0,974.67,2297.5,436449.0,953632.67,2247011.0,White Marubozu,None,None,0.1056,0.0153,0.0153,0.0,0.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,129,1000.0,-9.0,-0.0089,1000.0,1000.0,1000.0,0.0,1010.0,801.0,995.0,950.0,1009.0,1040.0,991.4,984.14,962.59,941.02,993.86,981.8,967.16,960.51,UPTREND,SIDEWAYS,SIDEWAYS,54.0948,5.9768,0.0098,LOW,57.6324,85.7143,-20.4082,4762.0,3390.67,3018.0,4755367.5,3381933.0,3010257.75,White Marubozu,Bullish Harami,Three White Soldiers,0.1111,0.0,0.0,0.0,9940.0,9940.0,-9634060.0,-27756465.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
16,124,970.0,-10.0,-0.0102,990.0,970.0,990.0,0.0,1000.0,801.0,950.0,920.5,1000.0,1035.0,957.6,946.73,926.57,940.16,961.23,946.95,939.27,946.4,UPTREND,SIDEWAYS,SIDEWAYS,54.7625,8.939,0.0136,LOW,90.0773,69.697,-54.5455,4118.0,3237.33,2489.5,4012598.0,3140935.33,2412959.0,Black Marubozu,Bearish Engulfing,None,0.0778,0.0265,-0.03,-4220000.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
17,126,971.0,21.0,0.0221,970.0,970.0,971.0,0.0,1000.0,801.0,950.0,920.5,995.0,1030.0,978.05,967.62,946.98,939.38,974.11,966.86,955.19,953.84,DOWNTREND,SIDEWAYS,SIDEWAYS,48.786,2.1356,0.0087,LOW,-53.8198,0.0,-53.3333,488.0,417.33,468.0,473933.0,406365.33,455194.0,White Marubozu,None,None,0.0789,0.0221,0.0221,0.0,0.0,-4220000.0,-9644000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-06
18,129,963.0,-37.0,-0.037000000000000005,1000.0,963.0,1000.0,0.0,1010.0,801.0,962.0,920.5,1009.0,1040.0,993.55,985.0,963.73,940.96,991.45,981.74,967.71,960.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.8337,5.3798,0.0115,LOW,-140.0918,48.7528,-100.0,5672.0,4342.67,3865.0,5633037.5,4317057.0,3841962.25,Black Marubozu,Bearish Engulfing,None,0.07,-0.037000000000000005,-0.037000000000000005,0.0,9940.0,9940.0,-9634060.0,-27756465.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12
19,124,990.0,10.0,0.0102,990.0,990.0,990.0,0.0,1000.0,801.0,970.0,921.0,1000.0,1035.0,963.5,948.55,929.02,940.04,967.05,951.08,941.84,947.5,UPTREND,SIDEWAYS,SIDEWAYS,60.8397,10.0765,0.0126,LOW,122.9827,69.2216,-19.6078,4153.0,3367.33,2795.0,4059640.0,3279205.33,2714043.0,White Marubozu,None,None,0.1,0.0102,0.0102,0.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-04
20,124,980.0,0.0,0.0,980.0,980.0,980.0,0.0,1000.0,801.0,975.5,945.0,990.0,1020.0,968.2,949.6,930.62,939.97,969.4,953.3,943.33,948.14,UPTREND,SIDEWAYS,SIDEWAYS,56.4539,10.4037,0.0117,LOW,66.3771,66.7974,-40.0,4147.0,3421.33,2935.0,4057573.0,3337732.0,2852701.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0889,0.0,0.0,0.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-09
21,125,971.0,1.0,0.001,971.0,971.0,971.0,0.0,1000.0,801.0,970.0,920.5,995.0,1030.0,982.85,962.16,942.89,939.85,980.23,966.84,953.67,953.02,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8025,7.2625,0.0086,LOW,-109.00399999999999,0.0,-96.0,307.0,324.67,750.5,300154.0,316575.33,734431.5,White Marubozu,Bullish Harami,None,0.0789,-0.0241,-0.0241,0.0,0.0,-9644000.0,-9802000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-18
22,124,970.0,-10.0,-0.0102,980.0,970.0,980.0,0.0,1000.0,801.0,969.75,920.5,989.0,1020.0,974.95,951.42,933.61,939.81,972.58,957.17,946.12,949.38,UPTREND,SIDEWAYS,SIDEWAYS,50.7484,9.9412,0.0106,LOW,-14.6543,31.4754,-100.0,3368.0,3109.33,2710.0,3296769.0,3039447.33,2642169.0,Black Marubozu,Bearish Engulfing,None,0.0778,-0.0102,-0.0102,0.0,-4220000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-17
23,124,960.0,-10.0,-0.0103,969.0,960.0,969.0,-5424000.0,987.5,801.0,945.0,900.0,970.0,1000.5,947.05,941.04,921.51,940.57,947.98,938.38,934.17,944.47,UPTREND,SIDEWAYS,SIDEWAYS,56.37,5.0039,0.0116,LOW,155.3329,93.3333,-20.0,1437.0,997.33,840.0,1368446.0,948626.0,797978.75,Black Marubozu,Bearish Harami,None,0.0667,0.0159,-0.0103,-5424000.0,-5424000.0,-5424000.0,-5582000.0,-33722935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-15
24,126,1000.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1000.0,801.0,950.0,920.5,1002.0,1035.0,980.55,970.72,949.83,939.46,979.27,969.89,957.42,955.01,DOWNTREND,SIDEWAYS,SIDEWAYS,60.6905,1.903,0.0086,LOW,121.9512,88.8889,0.0,1402.0,959.33,853.5,1387456.0,949301.33,842833.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1111,0.0526,0.0204,0.0,0.0,0.0,-9644000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-13
25,124,980.0,-9.0,-0.0091,980.0,980.0,980.0,0.0,1000.0,801.0,970.0,921.0,990.0,1020.0,971.95,950.62,932.11,939.91,972.1,955.69,944.95,948.86,UPTREND,SIDEWAYS,SIDEWAYS,55.3313,10.4956,0.0113,LOW,50.403999999999996,66.0,-40.0,3681.0,3380.67,2738.0,3605532.0,3298652.0,2666381.0,White Marubozu,None,Three White Soldiers,0.0889,0.0,0.0,0.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-13
26,127,1010.0,30.0,0.0306,1000.0,1000.0,1010.0,0.0,1010.0,801.0,970.5,920.5,1015.0,1049.5,982.95,975.94,954.51,939.91,984.49,973.89,960.69,956.8,SIDEWAYS,SIDEWAYS,SIDEWAYS,60.2051,3.4775,0.0118,LOW,131.6015,82.6667,0.0,1360.0,1189.33,910.5,1352388.0,1175912.0,900182.0,White Marubozu,None,Three White Soldiers,0.1222,0.0632,0.0161,9940.0,9940.0,9940.0,-9634060.0,-27736165.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26
27,129,1000.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,1010.0,801.0,963.0,921.0,1009.0,1040.0,996.0,986.2,965.23,941.09,993.0,983.15,968.98,961.7,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.1383,4.6622,0.012,LOW,48.0,0.0,-21.2766,5435.0,5722.0,4900.5,5405235.5,5696558.33,4877894.25,White Marubozu,Bullish Harami,None,0.1111,0.0,0.0,0.0,0.0,9940.0,-9634060.0,-27756465.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-17
28,126,970.0,-1.0,-0.001,970.0,970.0,970.0,0.0,1000.0,801.0,969.75,920.5,971.0,1002.0,980.45,967.0,945.71,939.66,977.01,967.38,954.97,953.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3308,4.0837,0.0067,LOW,-86.8608,0.0,-100.0,461.0,486.0,576.5,447976.0,473127.33,561765.0,White Marubozu,Bullish Harami,None,0.0778,-0.0251,-0.001,0.0,0.0,-4220000.0,-9644000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-29
29,124,990.0,10.0,0.0102,990.0,990.0,995.0,0.0,1000.0,801.0,970.0,920.5,992.5,1030.0,979.95,955.74,937.71,939.86,976.59,961.73,949.55,950.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.794,8.1018,0.0101,LOW,147.519,76.6667,-20.0,692.0,2424.0,2466.0,675554.0,2372322.67,2410443.0,Gravestone Doji,None,None,0.1,0.0102,0.0102,0.0,0.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-26
30,126,950.0,-20.0,-0.0206,951.0,950.0,951.0,0.0,1000.0,801.0,945.0,900.0,971.0,1002.0,978.95,967.1,946.27,939.46,974.44,966.7,954.87,953.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,36.5082,3.0041,0.0079,LOW,-203.5461,0.0,-100.0,470.0,492.0,459.0,456482.0,478814.67,446465.5,Black Marubozu,None,None,0.0556,-0.0452,-0.0206,0.0,0.0,-4220000.0,-9644000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-30
31,125,995.0,0.0,0.0,995.0,995.0,995.0,0.0,1000.0,801.0,980.0,950.0,1000.0,1035.0,983.7,959.04,940.56,940.04,981.37,965.49,952.2,952.27,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.6172,8.2137,0.0084,LOW,113.1829,100.0,0.0,449.0,558.67,2065.0,437465.0,546042.67,2021498.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1056,0.0,0.0,0.0,0.0,-9644000.0,-9802000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-10
32,127,994.0,0.0,0.0,994.0,994.0,994.0,9940.0,1000.0,801.0,970.5,921.0,1000.0,1035.0,981.95,973.44,952.61,939.66,982.0,972.11,959.28,956.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.2622,2.8109,0.0103,LOW,71.9258,78.6667,-12.0,1325.0,1143.33,925.0,1314628.0,1129056.0,913129.5,White Marubozu,Bullish Harami,None,0.1044,0.0463,0.0,9940.0,9940.0,9940.0,-9634060.0,-27736165.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-22
33,124,980.0,0.0,0.0,980.0,980.0,980.0,0.0,1000.0,801.0,975.5,945.0,990.0,1020.0,968.2,949.6,930.62,939.97,969.4,953.3,943.33,948.14,UPTREND,SIDEWAYS,SIDEWAYS,56.4539,10.4037,0.0117,LOW,66.3771,66.7974,-40.0,4147.0,3421.33,2935.0,4057573.0,3337732.0,2852701.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0889,0.0,0.0,0.0,-9644000.0,-9644000.0,-9802000.0,-37942935.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-10
34,126,950.0,-20.0,-0.0206,951.0,950.0,951.0,0.0,1000.0,801.0,945.0,900.0,971.0,1002.0,978.95,967.1,946.27,939.46,974.44,966.7,954.87,953.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,36.5082,3.0041,0.0079,LOW,-203.5461,0.0,-100.0,470.0,492.0,459.0,456482.0,478814.67,446465.5,Black Marubozu,None,None,0.0556,-0.0452,-0.0206,0.0,0.0,-4220000.0,-9644000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-04
35,125,995.0,0.0,0.0,995.0,995.0,995.0,0.0,1000.0,801.0,980.0,950.0,1000.0,1035.0,983.7,959.04,940.56,940.04,981.37,965.49,952.2,952.27,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.6172,8.2137,0.0084,LOW,113.1829,100.0,0.0,449.0,558.67,2065.0,437465.0,546042.67,2021498.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1056,0.0,0.0,0.0,0.0,-9644000.0,-9802000.0,-27746105.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-07
