,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,126,5.63,-0.04,-0.0071,5.64,5.63,5.64,-56300.0,7.14,5.63,5.63,5.63,5.67,6.0,5.73,6.03,6.15,6.18,5.74,5.94,6.09,6.22,DOWNTREND,DOWNTREND,SIDEWAYS,35.4028,-0.1231,0.0124,LOW,-62.6413,12.1457,-100.0,80840.0,108586.67,121605.0,455963.1,614251.73,696516.95,Black Marubozu,None,None,-0.0343,-0.0209,-0.0071,-1906442.0,-5458791.0,-10027354.0,-22462355.0,654499.0,1.05,-0.3,5.36,0.0,0.15,0.0,2019-10-22
1,130,5.4,0.0,0.0,5.4,5.33,5.4,-164700.0,7.14,5.33,5.36,5.36,5.57,6.0,5.58,5.75,6.05,6.16,5.57,5.75,5.94,6.12,DOWNTREND,DOWNTREND,DOWNTREND,18.6857,-0.08,0.0081,LOW,-224.9062,0.0,-78.125,1444010.0,977586.67,750460.0,7801041.2,5284396.67,4060654.1,Dragonfly Doji,None,None,-0.0738,-0.0374,-0.027000000000000003,-164700.0,-2132522.0,-8756959.0,-16299576.0,-29069304.0,1.13,-0.3025,4.78,0.0,0.14,0.0,2019-12-03
2,128,5.57,0.0,0.0,5.57,5.57,5.57,0.0,7.14,5.57,5.57,5.57,5.62,5.89,5.62,5.82,6.08,6.17,5.64,5.8,5.98,6.14,DOWNTREND,DOWNTREND,DOWNTREND,31.044,-0.0779,0.0068,LOW,-156.0708,0.0,-100.0,35560.0,46766.67,72080.0,199417.2,262874.6,405818.55,White Marubozu,Bullish Harami,None,-0.0446,-0.0071,0.0,-359897.0,-3608738.0,-9249316.0,-18012654.0,-28904604.0,1.13,-0.3025,4.93,0.0,0.15,0.0,2019-11-20
3,130,5.3,-0.11,-0.0203,5.36,5.3,5.37,-115882.0,7.14,5.3,5.3,5.3,5.48,5.67,5.52,5.69,6.02,6.14,5.5,5.69,5.89,6.09,DOWNTREND,DOWNTREND,DOWNTREND,15.3577,-0.0886,0.0099,LOW,-146.498,15.625,-100.0,1912670.0,1297546.67,977020.0,10332723.2,7014311.07,5282461.65,Black Long Day,None,Evening Star,-0.0909,-0.0185,-0.0203,-414927.0,-2247629.0,-7171934.0,-15990243.0,-29319531.0,1.13,-0.3025,4.69,0.0,0.14,0.0,2019-12-09
4,125,5.9,-0.03,-0.0051,6.0,5.9,6.0,-144550.0,7.8,5.7,5.77,5.7,6.0,6.5,6.22,6.32,6.4,6.2,6.17,6.27,6.3,6.34,DOWNTREND,SIDEWAYS,SIDEWAYS,35.7949,-0.0775,0.0247,LOW,-121.3038,0.0,-100.0,10370.0,37033.33,44860.0,61749.8,230215.47,282059.6,Black Marubozu,None,None,0.012,-0.0605,-0.0605,-405128.0,-2667402.0,-10297877.0,-20204657.0,10469695.0,1.05,-0.3,5.62,0.0,0.16,0.0,2019-09-06
5,125,5.65,-0.01,-0.0018,5.65,5.64,5.66,-423950.0,7.14,5.64,5.64,5.64,5.89,6.28,5.93,6.2,6.27,6.2,5.92,6.1,6.2,6.29,DOWNTREND,DOWNTREND,SIDEWAYS,34.0826,-0.1132,0.0241,LOW,-177.6877,0.0,-98.4127,148260.0,103886.67,81405.0,857367.2,601541.27,471976.3,Doji,None,None,-0.0309,-0.0174,-0.0407,-1672245.0,-5640377.0,-8163229.0,-25749904.0,4936618.0,1.05,-0.3,5.38,0.0,0.16,0.0,2019-10-03
6,130,5.4,0.0,0.0,5.4,5.33,5.4,-164700.0,7.14,5.33,5.36,5.36,5.57,6.0,5.58,5.75,6.05,6.16,5.57,5.75,5.94,6.12,DOWNTREND,DOWNTREND,DOWNTREND,18.6857,-0.08,0.0081,LOW,-224.9062,0.0,-78.125,1444010.0,977586.67,750460.0,7801041.2,5284396.67,4060654.1,Dragonfly Doji,None,None,-0.0738,-0.0374,-0.027000000000000003,-164700.0,-2132522.0,-8756959.0,-16299576.0,-29069304.0,1.13,-0.3025,4.78,0.0,0.14,0.0,2019-12-02
7,128,5.57,0.0,0.0,5.57,5.57,5.57,0.0,7.14,5.57,5.57,5.57,5.62,5.89,5.62,5.82,6.08,6.17,5.64,5.8,5.98,6.14,DOWNTREND,DOWNTREND,DOWNTREND,31.044,-0.0779,0.0068,LOW,-156.0708,0.0,-100.0,35560.0,46766.67,72080.0,199417.2,262874.6,405818.55,White Marubozu,Bullish Harami,None,-0.0446,-0.0071,0.0,-359897.0,-3608738.0,-9249316.0,-18012654.0,-28904604.0,1.13,-0.3025,4.93,0.0,0.15,0.0,2019-11-21
8,130,5.24,-0.02,-0.0038,5.26,5.24,5.26,-157500.0,7.14,5.24,5.24,5.24,5.42,5.59,5.39,5.57,5.94,6.12,5.38,5.58,5.8,6.02,DOWNTREND,DOWNTREND,DOWNTREND,25.2993,-0.0937,0.01,LOW,-117.0013,2.2222,-100.0,1059330.0,1969240.0,1479360.0,5719407.5,10636329.8,7990696.65,Black Marubozu,Bearish Engulfing,None,-0.1012,-0.0296,-0.0038,-2193918.0,-4430940.0,-7841628.0,-17868982.0,-33699044.0,1.13,-0.3025,4.64,0.0,0.14,0.0,2019-12-23
9,125,6.0,0.01,0.0017,5.83,5.83,6.0,-226950.0,7.8,5.75,5.84,5.7,6.25,6.5,6.07,6.28,6.34,6.2,6.07,6.2,6.25,6.32,DOWNTREND,DOWNTREND,SIDEWAYS,45.2406,-0.0934,0.0296,LOW,-66.83800000000001,26.6667,-62.2222,79920.0,57540.0,62205.0,469657.4,338534.07,373513.0,White Marubozu,None,None,0.0292,-0.0446,0.0239,-3579598.0,-4189354.0,-8763338.0,-24037675.0,6686097.0,1.05,-0.3,5.71,0.0,0.17,0.0,2019-09-24
10,130,5.4,0.0,0.0,5.4,5.33,5.4,-164700.0,7.14,5.33,5.36,5.36,5.57,6.0,5.58,5.75,6.05,6.16,5.57,5.75,5.94,6.12,DOWNTREND,DOWNTREND,DOWNTREND,18.6857,-0.08,0.0081,LOW,-224.9062,0.0,-78.125,1444010.0,977586.67,750460.0,7801041.2,5284396.67,4060654.1,Dragonfly Doji,None,None,-0.0738,-0.0374,-0.027000000000000003,-164700.0,-2132522.0,-8756959.0,-16299576.0,-29069304.0,1.13,-0.3025,4.78,0.0,0.14,0.0,2019-11-29
11,125,6.1,0.1,0.0167,6.1,6.1,6.1,0.0,7.8,5.7,5.9,5.7,6.18,6.5,6.16,6.31,6.39,6.2,6.13,6.24,6.28,6.33,DOWNTREND,SIDEWAYS,SIDEWAYS,46.4718,-0.0926,0.0242,LOW,-20.2521,34.2105,-47.3684,13850.0,34633.33,36935.0,82552.4,214518.2,230466.7,White Marubozu,Bullish Harami,None,0.0463,-0.0287,0.0339,-348550.0,-2746402.0,-7367498.0,-20396377.0,10265695.0,1.05,-0.3,5.81,0.0,0.17,0.0,2019-09-16
