,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,127,14.88,0.02,0.0013,14.9,14.8,14.9,0.0,16.0,5.7,14.78,14.15,14.89,15.65,14.61,14.39,14.15,12.04,14.64,14.39,13.81,12.51,UPTREND,SIDEWAYS,SIDEWAYS,68.7448,0.1479,0.0156,LOW,91.8169,83.4625,-15.3846,415260.0,423446.67,356455.0,6112716.8,6188160.27,5197703.5,Hanging Man,None,None,1.5655,0.0262,0.0013,-41666.0,-33481030.0,-62057942.0,-318393380.0,-616552675.0,0.37,0.1212,40.22,0.0,3.69,0.0,2019-10-22
1,131,13.94,-0.02,-0.0014,13.68,13.5,13.94,-1915426.0,16.0,5.7,13.7,13.1,13.98,14.58,14.19,14.44,14.32,13.11,14.15,14.29,14.02,12.96,DOWNTREND,SIDEWAYS,SIDEWAYS,26.8954,-0.1439,0.0169,LOW,-95.5017,43.6647,-51.1111,119500.0,121000.0,122290.0,1661324.8,1694621.47,1727909.6,None,None,None,1.4034,-0.0014,-0.0014,-3487046.0,-12828592.0,-21801118.0,-84476980.0,-633002423.0,0.42,0.2727,33.19,0.0,3.4,0.0,2019-12-03
2,129,14.0,-0.1,-0.0071,13.9,13.9,14.0,-2253352.0,16.0,5.7,13.95,13.51,14.4,14.86,14.49,14.43,14.29,12.89,14.42,14.42,14.03,12.87,DOWNTREND,SIDEWAYS,SIDEWAYS,21.5082,-0.0394,0.0161,LOW,-220.6833,14.7884,-86.1111,121410.0,180020.0,226705.0,1726711.8,2590982.93,3271580.6,White Marubozu,None,None,1.4138,-0.0398,-0.0278,-5743326.0,-15024958.0,-26482764.0,-161476274.0,-627098480.0,0.42,0.2727,33.33,0.0,3.41,0.0,2019-11-20
3,131,13.86,-0.02,-0.0014,13.9,13.8,13.9,18086.0,16.0,5.76,13.67,13.06,13.94,14.44,14.06,14.41,14.3,13.2,14.06,14.22,14.01,13.0,DOWNTREND,SIDEWAYS,SIDEWAYS,26.6163,-0.1545,0.0178,LOW,-53.5445,55.6667,-28.0,91620.0,127473.33,112785.0,1266134.8,1773683.2,1576799.8,Spinning Top,None,None,1.3897,-0.0072,-0.0014,-3920006.0,-13736632.0,-23784914.0,-75523574.0,-634552058.0,0.42,0.2727,33.0,0.0,3.38,0.0,2019-12-09
4,126,14.24,-0.36,-0.0247,14.6,13.88,14.6,-2801224.0,16.0,5.7,14.06,13.54,15.01,15.65,14.4,14.14,13.65,10.71,14.46,14.12,13.25,11.8,UPTREND,SIDEWAYS,SIDEWAYS,45.6132,0.1748,0.021,LOW,-28.4802,51.7836,-70.9677,1525740.0,1525726.67,1505810.0,22378196.6,22224947.6,21736279.6,None,None,None,1.4552,-0.0365,-0.0365,-53100852.0,-150571282.0,-243488780.0,-247739784.0,-542608719.0,0.37,0.1212,38.49,0.0,3.53,0.0,2019-09-06
5,126,14.48,-0.02,-0.0014,14.5,14.22,14.5,-14206046.0,16.0,5.7,14.2,13.58,14.5,15.01,14.13,14.22,14.08,11.47,14.28,14.15,13.54,12.2,UPTREND,SIDEWAYS,SIDEWAYS,59.1399,0.0177,0.0191,LOW,94.0814,98.5816,-2.1277,239690.0,297706.67,510655.0,3439424.0,4184660.67,7131345.4,Hanging Man,Tweezer Tops,None,1.4966,-0.0014,0.0126,-16461048.0,-33983702.0,-186610764.0,-321448642.0,-600698726.0,0.37,0.1212,39.14,0.0,3.59,0.0,2019-10-03
6,131,13.96,0.0,0.0,13.96,13.96,13.96,0.0,16.0,5.7,13.77,13.06,14.0,14.58,14.22,14.45,14.32,13.09,14.17,14.3,14.02,12.95,DOWNTREND,SIDEWAYS,SIDEWAYS,27.7655,-0.1394,0.0156,LOW,-58.9954,34.9442,-57.8947,133910.0,112180.0,142485.0,1871385.4,1576306.8,2029056.7,White Marubozu,Bullish Harami,None,1.4069,0.0,0.0,-2176836.0,-11019748.0,-20103004.0,-98394302.0,-631086997.0,0.42,0.2727,33.24,0.0,3.4,0.0,2019-12-02
7,129,13.98,-0.02,-0.0014,13.92,13.9,13.98,-2441760.0,16.0,5.7,13.94,13.5,14.4,14.89,14.45,14.44,14.29,12.92,14.38,14.41,14.03,12.88,DOWNTREND,SIDEWAYS,SIDEWAYS,20.9786,-0.0571,0.0155,LOW,-192.6053,16.9048,-88.8889,139950.0,183133.33,231350.0,1977601.0,2622093.33,3325264.8,White Long Day,Bullish Harami,None,1.4103,-0.0412,-0.0292,-8186248.0,-17466718.0,-28374230.0,-160266962.0,-629500415.0,0.42,0.2727,33.29,0.0,3.41,0.0,2019-11-21
8,131,13.88,0.0,0.0,13.58,13.56,13.88,-109590.0,16.0,5.76,13.69,12.7,13.95,14.58,13.91,14.3,14.28,13.4,13.95,14.12,13.99,13.07,SIDEWAYS,SIDEWAYS,SIDEWAYS,32.8423,-0.1217,0.0215,LOW,-50.8475,76.0,-24.0,106510.0,108926.67,100370.0,1474240.6,1505035.6,1388451.4,White Long Day,Bullish Harami,None,1.3931,-0.0057,0.0,-3282404.0,-10672024.0,-21699062.0,-66085070.0,-640319285.0,0.42,0.2727,33.05,0.0,3.39,0.0,2019-12-23
9,126,14.3,-0.02,-0.0014,14.38,14.2,14.46,-220724.0,16.0,5.7,13.73,13.33,14.39,15.01,14.25,14.19,13.98,11.17,14.14,14.06,13.41,12.04,DOWNTREND,SIDEWAYS,SIDEWAYS,54.4121,-0.0558,0.0186,LOW,20.4182,58.5979,-34.4262,361860.0,812213.33,949380.0,4994481.2,11461834.8,13629604.2,None,None,None,1.4655,-0.0325,0.0099,-3016354.0,-86830036.0,-231440362.0,-304249252.0,-584185257.0,0.37,0.1212,38.65,0.0,3.55,0.0,2019-09-24
