,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,128,7772.23,100.62,0.0131,7689.59,7683.51,7772.23,210966743.9999,8182.43,6721.82,7642.66,7416.02,7847.02,8085.9,7649.32,7747.44,7750.01,7730.9,7688.15,7724.0,7721.47,7689.56,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.5547,-35.4444,0.0128,LOW,79.0749,82.3728,0.0,84831014.5,79981520.6,96477015.35,1408969169.4,1448338823.31,1509398159.37,White Long Day,None,None,0.0586,0.0233,0.0124,1638814495.5,658307019.0,86030335.5,-2890783379.5,-30538395744.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,132,7748.07,-31.99,-0.0041,7774.51,7724.03,7796.02,-34653382.0,8182.43,6977.75,7617.27,7361.08,7788.04,8051.6,7800.01,7746.5,7793.57,7726.61,7764.35,7772.45,7757.39,7719.15,DOWNTREND,SIDEWAYS,SIDEWAYS,48.3849,-11.5323,0.0123,LOW,-37.7579,44.965,-38.4392,287964989.0,238874258.47,211088634.2,2560740226.49,2390502191.29,2249780144.67,None,None,None,0.0553,0.0154,0.0154,-1128186052.0,-5559808743.5,-2916532784.5,-2429376632.5,-26775107730.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,130,7788.62,-18.37,-0.0024,7807.57,7751.7,7807.57,-123717598.4999,8182.43,6977.75,7759.53,7531.44,7830.69,8114.88,7849.55,7773.73,7796.61,7737.81,7824.83,7793.52,7763.93,7718.65,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.9694,33.2703,0.0113,LOW,-57.298,12.4403,-88.7038,134929790.9,118387418.27,114502683.6,1902134364.58,2094328233.68,2096959295.07,Hanging Man,None,None,0.0609,-0.0053,-0.0028,-746028354.0,417395412.0,2120405492.5,1402741238.5,-24101812061.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,132,7648.03,-102.79,-0.0133,7750.62,7648.03,7754.69,-260255681.5,8182.43,6977.75,7617.27,7340.36,7773.42,8114.88,7753.22,7738.56,7786.32,7721.64,7743.47,7762.03,7753.15,7718.49,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4185,-19.5561,0.0122,LOW,-96.2623,46.97,-78.4134,298467470.2,245663844.93,211367942.25,2893758172.29,2518957130.61,2308769969.41,Black Long Day,None,Evening Star,0.0417,0.0023,-0.0133,1161314191.0,-4267614170.5,-2921239486.5,-2055977502.5,-23454689591.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,127,7908.14,3.21,0.0004,7894.79,7894.79,7960.64,284930420.9997,8182.43,6569.21,7722.38,7467.34,7934.39,8412.12,7766.37,7811.9,7665.6,7649.19,7810.19,7776.05,7725.61,7676.47,UPTREND,SIDEWAYS,SIDEWAYS,55.4353,4.8852,0.0168,LOW,145.997,85.5076,-14.8767,169341438.7,156581340.87,138277287.5,1892363153.43,2051112553.23,1838642174.39,Inverted Hammer,None,None,0.0771,-0.0019,-0.0019,-452868012.5,-2003071903.0,-2870340928.0,-1077642962.0,-39431563917.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,127,7434.48,-95.65,-0.0127,7518.19,7419.75,7518.19,-52212396.5,8182.43,6569.21,7427.12,7023.82,7771.6,8077.35,7796.38,7803.09,7700.56,7711.82,7736.09,7769.86,7742.09,7695.11,DOWNTREND,SIDEWAYS,SIDEWAYS,28.968000000000004,-22.5278,0.0132,LOW,-239.2733,0.0,-97.0985,110676169.6,94301517.87,99925738.3,1894371514.0,1619366886.47,1656506211.46,Black Long Day,None,None,0.0126,-0.0212,-0.0374,-408956559.5,-615509420.0,-1425650016.5,-417513097.5,-34129701343.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,132,7780.06,149.63,0.0196,7642.27,7636.09,7780.06,202249849.5,8182.43,6977.75,7617.27,7340.36,7780.56,8114.88,7818.24,7748.26,7794.05,7728.04,7766.06,7773.44,7757.58,7718.86,DOWNTREND,SIDEWAYS,SIDEWAYS,50.5774,-8.7342,0.0125,LOW,-61.4258,27.7143,-35.6437,305146410.4,239591018.33,209087591.15,2778226140.8,2411553589.13,2370104960.9,White Long Day,None,None,0.0597,0.0196,0.0196,-3613707567.0,-5762748148.5,-2708531499.0,-2450573292.0,-27115487079.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,130,7755.15,-33.47,-0.0043,7789.42,7650.66,7789.42,-329082021.0,8182.43,6977.75,7702.9,7427.12,7824.19,8114.88,7849.77,7771.03,7797.13,7737.21,7818.2,7792.02,7763.76,7719.01,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.595,28.2996,0.0118,LOW,-107.7021,16.6501,-77.6018,139624281.3,117836318.87,117352088.95,1904352459.03,2044388549.44,2102826469.57,Hanging Man,None,None,0.0563,-0.0096,-0.0071,-850634195.0,-271269612.0,1988667984.5,1077962206.5,-24359885089.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,132,7681.07,81.42,0.0107,7586.81,7577.45,7681.07,6363336.0,8182.43,6977.75,7329.34,7102.14,7699.44,8114.88,7628.02,7734.92,7744.36,7703.47,7620.72,7691.67,7716.1,7702.35,DOWNTREND,SIDEWAYS,SIDEWAYS,51.951,-60.1604,0.0157,LOW,13.5283,52.4671,-16.1936,190336149.5,169123671.0,244401809.85,3327139708.59,2884899509.13,3110448940.44,White Long Day,None,None,0.0462,0.0066,0.0107,-249977244.5,-478595425.0,-6241343573.5,-3331262781.0,-23797970309.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,127,7825.44,-10.78,-0.0014,7834.14,7784.47,7839.73,338575500.4998,8182.43,6569.21,7795.64,7530.4,7898.44,8143.83,7862.96,7840.89,7697.14,7702.27,7847.38,7811.02,7756.25,7698.34,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.8609,21.3047,0.0126,LOW,-57.5864,45.4403,-69.4081,69610947.2,94704545.73,121468709.0,1554352604.19,1652008677.55,1622874128.07,Hanging Man,None,None,0.0659,-0.0123,-0.003,56901788.5,788192413.5,-2334720485.5,434818114.0,-33667182482.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
