,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,130,14.9,-0.1,-0.0067,14.92,14.9,14.92,0.0,16.4,6.89,13.67,12.88,15.03,15.58,15.03,15.23,15.48,13.72,15.05,15.18,14.92,13.63,SIDEWAYS,SIDEWAYS,SIDEWAYS,14.4037,-0.0774,0.0029,LOW,-344.3417,11.1111,-100.0,453630.0,344580.0,330920.0,6811357.4,5174631.87,4974296.0,Black Marubozu,None,None,0.8395,-0.0093,-0.0067,-2395492.0,-4019514.0,-9544310.0,-27306214.0,872773828.0,0.29,0.2083,51.38,0.0,2.68,0.0,2019-10-22
1,134,14.9,0.06,0.004,14.84,14.84,14.9,-378442.0,16.4,7.52,14.84,13.67,14.94,15.39,14.85,14.91,15.22,14.57,14.86,14.94,14.88,13.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.5278,-0.0238,0.0051,LOW,52.6316,37.037,-44.4444,860740.0,612106.67,521840.0,12772954.4,9082956.93,7745896.0,White Marubozu,Tweezer Bottoms,None,0.8395,0.0027,0.0027,-675664.0,-1477174.0,-6261618.0,-16433286.0,-286063664.0,0.25,0.3889,59.6,0.0,2.6,0.0,2019-12-03
2,132,14.8,0.0,0.0,14.84,14.8,14.86,-106752.0,16.4,7.28,14.62,13.67,14.91,15.37,14.8,14.98,15.27,14.35,14.85,14.97,14.88,13.85,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.4715,-0.0536,0.005,LOW,11.463,50.8772,-52.6316,156400.0,155053.33,216410.0,2322855.4,2301283.47,3196983.7,Black Long Day,None,None,0.8272,-0.0133,-0.0027,-445024.0,-1974474.0,-7535184.0,-24568010.0,-360550265.0,0.25,0.3889,59.2,0.0,2.59,0.0,2019-11-20
3,134,14.84,0.04,0.0027,14.84,14.84,14.86,-1240630.0,16.4,7.54,14.8,14.27,14.92,15.39,14.84,14.89,15.19,14.64,14.85,14.92,14.87,13.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.2721,-0.0184,0.0049,LOW,-25.0896,0.0,-77.7778,155760.0,668233.33,507260.0,2311678.6,9915676.93,7527199.7,Gravestone Doji,None,None,0.8321,-0.0013,0.0027,-7354150.0,-8089302.0,-10685820.0,-21365878.0,-282212730.0,0.25,0.3889,59.36,0.0,2.59,0.0,2019-12-09
4,128,15.36,0.02,0.0013,15.34,15.34,15.36,-230100.0,16.4,6.89,15.32,14.27,15.39,15.87,15.48,15.58,15.21,12.52,15.46,15.44,14.77,13.08,DOWNTREND,SIDEWAYS,SIDEWAYS,38.958,-0.0766,0.0072,LOW,-74.6157,13.1746,-80.0,525190.0,467933.33,544605.0,8087897.8,7212325.33,8453672.2,White Marubozu,None,None,0.8963,0.0026,0.0026,-6829182.0,-11885322.0,-17505562.0,-30423636.0,880034007.0,0.29,0.2083,52.97,0.0,2.77,0.0,2019-09-06
5,128,15.02,0.0,0.0,15.02,15.02,15.1,-270778.0,16.4,6.89,14.99,14.24,15.07,15.66,15.18,15.43,15.47,13.26,15.17,15.29,14.89,13.44,DOWNTREND,SIDEWAYS,SIDEWAYS,18.3006,-0.1036,0.0038,LOW,-99.1515,0.0,-100.0,249390.0,389106.67,399075.0,3764954.0,5908237.87,6071915.8,Gravestone Doji,Tweezer Bottoms,None,0.8543,-0.0013,-0.0013,-3228740.0,-6316662.0,-17311804.0,-31392292.0,875215375.0,0.29,0.2083,51.79,0.0,2.71,0.0,2019-10-03
6,134,14.84,-0.02,-0.0013,14.9,14.84,14.94,-279414.0,16.4,7.52,14.8,14.27,14.97,15.48,14.85,14.92,15.23,14.55,14.85,14.94,14.88,13.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.4901,-0.027000000000000003,0.0052,LOW,23.8095,25.9259,-77.7778,901770.0,609293.33,519260.0,13380971.4,9041236.93,7707630.0,Spinning Top,Bearish Engulfing,None,0.8321,-0.0013,-0.0013,-364494.0,-1125444.0,-5883176.0,-16358180.0,-302875558.0,0.25,0.3889,59.36,0.0,2.59,0.0,2019-12-02
7,132,14.82,0.02,0.0014,14.84,14.8,14.86,-109650.0,16.4,7.28,14.8,13.67,14.91,15.37,14.8,14.97,15.27,14.38,14.85,14.97,14.88,13.86,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.2905,-0.0511,0.005,LOW,18.1818,34.9123,-90.0,879010.0,638713.33,569105.0,13045617.0,9479773.47,8431238.7,Hanging Man,None,None,0.8296,-0.012,-0.0013,-481958.0,-1534070.0,-7551586.0,-24379724.0,-360840234.0,0.25,0.3889,59.28,0.0,2.59,0.0,2019-11-21
8,134,14.76,0.0,0.0,14.76,14.72,14.78,-118048.0,16.4,7.9,14.73,14.27,14.84,15.35,14.82,14.84,15.09,14.78,14.8,14.88,14.86,14.05,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.0783,-0.0239,0.0056,LOW,-149.5495,21.4286,-78.5714,972870.0,715633.33,564315.0,14374354.6,10577932.4,8343016.6,Doji,None,None,0.8222,-0.0067,0.0,-1347420.0,-10965718.0,-12091162.0,-22078914.0,-277268681.0,0.25,0.3889,59.04,0.0,2.58,0.0,2019-12-23
9,128,15.14,-0.02,-0.0013,15.14,15.14,15.14,-1100678.0,16.4,6.89,15.05,13.67,15.24,15.79,15.28,15.52,15.42,12.99,15.29,15.36,14.87,13.32,SIDEWAYS,SIDEWAYS,SIDEWAYS,24.9216,-0.091,0.0045,LOW,-158.7477,5.3419,-100.0,477780.0,468026.67,458040.0,7281361.0,7145411.47,7002720.6,White Marubozu,None,None,0.8691,-0.0117,-0.0026,-4879336.0,-6853826.0,-18652910.0,-30099002.0,878773295.0,0.29,0.2083,52.21,0.0,2.73,0.0,2019-09-24
