,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,131,430.6,0.2,0.0005,430.4,430.4,430.8,0.0,540.0,300.0,430.2,417.0,439.8,454.9,435.41,432.37,424.39,398.29,435.28,431.66,422.04,395.47,UPTREND,SIDEWAYS,SIDEWAYS,41.2406,1.6154,0.0203,LOW,-97.073,32.181999999999995,-78.8235,322.0,2495.33,2150.0,140144.0,1094876.67,940981.6,Spinning Top,Bullish Harami,None,0.3249,-0.0032,-0.0191,0.0,-91450.0,-87162.0,-1493804.0,-9061202.0,3.15,1.0724,136.7,0.0,38.86,0.0,2019-10-22
1,135,425.0,0.0,0.0,419.0,419.0,425.0,0.0,540.0,306.4,410.0,395.5,436.5,452.4,424.97,430.17,428.59,411.52,424.75,427.41,423.79,403.23,DOWNTREND,SIDEWAYS,SIDEWAYS,49.287,-2.4525,0.0308,NEUTRAL,-39.9348,0.0,-62.5,6134.0,4210.67,4461.5,2640986.2,1811991.87,1921925.2,White Marubozu,Bullish Harami,None,0.3077,0.0366,0.0366,127500.0,127500.0,140420.0,53258.0,-9628780.0,3.61,1.1111,117.73,0.0,35.33,0.0,2019-12-03
2,133,426.0,1.0,0.0024,418.0,418.0,426.0,0.0,540.0,306.4,418.6,395.6,430.9,457.4,428.47,432.19,427.87,408.35,428.21,429.61,424.07,401.43,DOWNTREND,SIDEWAYS,SIDEWAYS,46.4862,-1.8896,0.0264,LOW,-102.7778,24.7499,-70.5882,2593.0,1930.67,5769.0,1119420.8,832287.33,2547654.7,White Marubozu,None,None,0.3108,-0.0116,0.0162,0.0,12920.0,12920.0,-1567488.0,-8804370.0,3.61,1.1111,118.01,0.0,35.41,0.0,2019-11-20
3,135,427.8,2.8,0.0066,420.0,420.0,427.8,0.0,540.0,306.4,422.0,405.7,437.9,452.4,423.38,429.53,428.63,412.94,425.1,427.17,423.94,404.11,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.1875,-1.9108,0.0301,NEUTRAL,36.9291,39.8333,-55.5,10093.0,6950.67,5314.0,4356765.2,2998154.0,2291319.5,White Marubozu,None,None,0.3163,0.0434,0.0066,0.0,127500.0,140420.0,53258.0,-9628780.0,3.61,1.1111,118.5,0.0,35.56,0.0,2019-12-09
4,129,435.0,0.0,0.0,423.0,423.0,435.0,0.0,540.0,287.6,423.6,410.2,452.4,466.4,428.17,423.0,415.43,380.74,430.32,423.3,411.01,381.19,UPTREND,SIDEWAYS,SIDEWAYS,57.273,3.9215,0.0315,NEUTRAL,50.3868,45.283,-54.717,4265.0,5338.0,4304.0,1840709.8,2303635.73,1852957.7,White Marubozu,None,None,0.3385,0.0,0.0,13446.0,-1365746.0,-1406642.0,-1342948.0,-9861374.0,3.15,1.0724,138.1,0.0,39.26,0.0,2019-09-06
5,129,435.0,4.8,0.0112,429.0,429.0,435.0,8600.0,540.0,287.6,424.0,410.2,447.5,466.4,433.37,428.16,420.73,390.98,432.34,428.27,417.69,389.74,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.9262,1.3574,0.0258,LOW,27.4663,41.1554,-61.5764,4078.0,2811.33,2202.5,1783489.4,1229023.87,962331.4,White Marubozu,None,None,0.3385,0.0069,0.0005,8600.0,12888.0,-1352858.0,-1389356.0,-10439138.0,3.15,1.0724,138.1,0.0,39.26,0.0,2019-10-03
6,135,425.0,15.0,0.0366,412.0,411.0,448.0,0.0,540.0,306.4,410.0,395.5,437.5,452.4,425.22,430.27,428.54,411.2,424.72,427.51,423.76,403.01,DOWNTREND,SIDEWAYS,SIDEWAYS,49.287,-2.4819999999999998,0.0321,NEUTRAL,51.3555,0.0,-62.5,6136.0,4225.33,4458.0,2641869.2,1818184.8,1920456.7,None,None,None,0.3077,0.0366,0.0366,127500.0,127500.0,140420.0,53258.0,-9628780.0,3.61,1.1111,117.73,0.0,35.33,0.0,2019-12-02
7,133,416.0,-10.0,-0.0235,426.0,416.0,426.0,0.0,540.0,306.4,414.1,394.4,429.0,457.4,427.76,431.81,427.96,408.71,427.05,429.07,423.91,401.57,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8817,-2.1157,0.0269,LOW,-146.1678,18.6275,-100.0,399.0,1928.0,5775.0,169128.2,831114.4,2550194.7,Black Marubozu,Bearish Engulfing,None,0.28,-0.0348,-0.0076,0.0,12920.0,12920.0,-1567488.0,-8795400.0,3.61,1.1111,115.24,0.0,34.58,0.0,2019-11-21
8,135,436.0,0.0,0.0,436.0,435.0,436.0,0.0,540.0,312.2,426.9,410.0,437.3,457.4,426.83,428.89,429.24,415.91,429.11,428.33,425.05,406.39,UPTREND,SIDEWAYS,SIDEWAYS,58.7819,0.5523,0.0237,LOW,132.6879,66.0267,-38.961,257.0,4515.33,5276.5,110340.8,1949751.6,2276197.2,Dragonfly Doji,None,None,0.3415,0.0634,0.0,-4178.0,-4178.0,123322.0,44792.0,-7345724.0,3.61,1.1111,120.78,0.0,36.24,0.0,2019-12-23
9,129,430.0,0.0,0.0,420.6,420.6,430.0,0.0,540.0,287.6,424.8,412.1,435.0,452.4,434.52,427.16,418.87,387.04,431.93,426.79,415.4,386.61,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.1225,2.593,0.0229,LOW,-97.0106,45.3419,-40.2299,471.0,460.0,2379.0,202257.4,198140.67,1026536.3,White Marubozu,None,Three White Soldiers,0.3231,-0.0115,0.0,4288.0,8738.0,-1381450.0,-1359346.0,-10755180.0,3.15,1.0724,136.51,0.0,38.81,0.0,2019-09-24
