,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,133,123.7,0.7,0.0057,121.6,121.3,123.7,-12973111.0,148.9,87.3,120.65,114.8,129.9,137.85,121.2,126.7,133.2,126.34,122.6,126.23,128.08,124.03,SIDEWAYS,DOWNTREND,DOWNTREND,50.4262,-2.3298,0.0274,LOW,52.122,92.4731,0.0,1782971.0,1968904.0,1943133.0,215028242.5,236678167.8,234981428.2,White Long Day,None,None,0.237,0.0274,0.0164,42024957.0,-1174429832.0,-1591198436.0,-1352640341.0,1094214415.0,0.09,0.5,1374.44,0.0,150.85,0.0,2019-10-22
1,137,122.8,-1.2,-0.0097,119.8,119.8,124.1,-18110778.0,148.9,93.5,121.3,115.05,124.25,130.45,123.06,122.34,127.46,128.91,122.94,123.94,125.79,123.74,SIDEWAYS,SIDEWAYS,DOWNTREND,49.1118,-0.0892,0.0261,LOW,-39.3496,63.3597,-46.2687,1741841.0,1478443.33,1387300.0,213367493.2,180981803.87,170200463.1,White Long Day,None,Three White Soldiers,0.228,-0.0065,-0.0065,80401948.0,-98832307.0,14861250.0,-1507230826.0,1474228604.5,0.09,0.8,1364.44,0.0,146.19,0.0,2019-12-03
2,135,124.0,1.9,0.0156,121.2,119.9,125.9,17227148.0,148.9,93.0,120.8,115.05,124.95,129.9,122.88,124.04,129.42,128.3,122.91,124.41,126.37,123.82,SIDEWAYS,SIDEWAYS,DOWNTREND,53.3913,-0.2151,0.0268,LOW,59.0093,57.3333,-26.6667,1068879.0,1321044.67,1279179.0,131437077.7,162357842.07,157148437.1,None,None,None,0.24,0.0447,0.0147,-51341347.0,90196542.0,-287804325.0,-1381931860.0,1332948737.5,0.09,0.8,1377.78,0.0,147.62,0.0,2019-11-20
3,137,119.5,-0.5,-0.0042,120.2,118.2,120.9,-42570647.0,148.9,93.5,118.05,113.5,123.7,131.3,122.38,121.8,126.5,129.01,122.08,123.42,125.38,123.61,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.6555,-0.2618,0.0278,LOW,-175.9259,22.328000000000003,-72.7273,1575998.0,1576980.67,1435961.5,192258441.5,192300758.27,175253379.05,None,Tweezer Tops,None,0.195,-0.0332,-0.0042,-300834925.0,-315418219.0,-251842700.0,-1835241389.0,1463829398.5,0.09,0.8,1327.78,0.0,142.26,0.0,2019-12-09
4,131,131.0,3.6,0.0283,129.9,127.6,131.0,-11641459.0,148.9,87.3,125.75,120.0,134.6,144.85,129.07,135.31,135.33,121.59,130.43,132.76,131.33,123.71,UPTREND,DOWNTREND,SIDEWAYS,49.8601,-1.3556,0.0363,NEUTRAL,23.8454,45.4497,-40.678000000000004,2253159.0,1977480.0,2119369.0,292164728.1,255452809.33,272602572.45,Hammer,None,None,0.31,-0.0353,-0.0353,-88104296.0,220339074.0,164572564.0,415084811.0,1851234229.5,0.09,0.5,1455.56,0.0,159.76,0.0,2019-09-06
5,131,120.6,5.1,0.0442,115.5,115.0,121.1,-122028935.0,148.9,87.3,115.25,110.8,124.8,137.85,128.6,129.47,135.22,124.85,126.37,129.88,130.25,124.49,DOWNTREND,SIDEWAYS,DOWNTREND,39.4516,-1.8074,0.0348,NEUTRAL,-146.7408,0.0,-74.7748,1902539.0,1570076.0,1419410.5,235805032.0,196998069.93,179960533.3,White Long Day,None,None,0.20600000000000002,0.0017,-0.0155,-405218616.0,-623203084.0,-478466186.0,-365357736.0,1565111193.0,0.09,0.5,1340.0,0.0,147.07,0.0,2019-10-03
6,137,124.0,0.4,0.0032,121.5,121.5,124.5,20221258.0,148.9,93.5,121.7,115.05,124.25,131.3,123.17,122.48,127.65,128.86,122.96,123.99,125.85,123.75,SIDEWAYS,SIDEWAYS,DOWNTREND,54.4083,-0.1199,0.0251,LOW,56.1323,65.0571,-28.3582,1666173.0,1448416.67,1460651.5,204030978.5,177391066.13,179425572.9,White Long Day,None,Three White Soldiers,0.24,0.0032,0.0032,99244422.0,-80907298.0,34065023.0,-1503245137.0,1462351495.5,0.09,0.8,1377.78,0.0,147.62,0.0,2019-12-02
7,135,122.0,-2.0,-0.0161,121.0,120.8,125.0,-42647347.0,148.9,93.0,120.8,116.8,124.95,132.4,122.83,123.78,129.17,128.37,122.83,124.31,126.29,123.8,SIDEWAYS,SIDEWAYS,DOWNTREND,46.5331,-0.2065,0.0277,LOW,-2.6192,52.9444,-62.5,1150245.0,1429160.67,1341087.0,141010143.0,175502570.2,164611725.65,Inverted Hammer,None,None,0.22,0.0278,-0.0016,-39651135.0,84163887.0,-221837511.0,-1417606727.0,1357209152.0,0.09,0.8,1355.56,0.0,145.24,0.0,2019-11-21
8,137,128.3,-1.7,-0.0131,126.6,126.6,129.9,-23781981.0,148.9,98.0,126.25,117.0,135.0,144.85,124.55,123.35,125.52,129.47,125.81,124.72,125.7,123.93,UPTREND,SIDEWAYS,SIDEWAYS,56.4701,1.1281,0.0344,NEUTRAL,82.0118,69.0741,-37.2222,2996553.0,2463900.67,2286275.5,381565641.4,310657200.2,286912041.45,None,None,None,0.28300000000000003,0.038,-0.0131,247607268.0,-164760229.0,-245667527.0,-1331058142.0,2005355124.5,0.09,0.8,1425.56,0.0,152.74,0.0,2019-12-23
9,131,130.0,0.0,0.0,129.2,129.2,130.9,-2187820.0,148.9,87.3,129.55,125.75,132.4,137.85,131.49,132.32,135.87,123.92,131.34,132.47,131.49,124.66,UPTREND,SIDEWAYS,SIDEWAYS,47.361000000000004,-0.1218,0.0319,NEUTRAL,-53.6877,37.3333,-68.0,1170586.0,1167804.0,1366410.5,154323760.3,153010601.73,178786692.55,None,None,None,0.3,-0.0427,-0.0107,-191773917.0,-176640952.0,163521740.0,69121191.0,1941540744.0,0.09,0.5,1444.44,0.0,158.54,0.0,2019-09-24
10,137,123.6,0.4,0.0032,121.2,121.1,124.0,26576607.0,148.9,93.5,120.6,115.05,123.8,132.4,123.07,122.63,127.83,128.8,122.85,123.99,125.89,123.74,SIDEWAYS,SIDEWAYS,DOWNTREND,52.8339,-0.1646,0.0253,LOW,22.0183,61.7647,-35.2941,1586738.0,1405002.67,1506615.0,194080992.6,172040585.8,185009393.15,White Long Day,None,None,0.23600000000000002,0.0413,0.0148,42827244.0,-66268488.0,8249451.0,-1535107854.0,1429006414.0,0.09,0.8,1373.33,0.0,147.14,0.0,2019-11-29
11,131,137.2,5.8,0.0441,132.5,131.2,137.2,73280512.0,148.9,87.3,130.45,125.0,137.85,143.85,131.48,133.83,135.59,122.83,131.9,132.94,131.58,124.28,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.5313,-0.3817,0.0342,NEUTRAL,139.9445,62.8358,-10.0,1088114.0,1802250.0,1676542.0,142755095.2,235143402.6,218534569.85,White Long Day,None,None,0.37200000000000005,0.0103,0.0441,118566928.0,181045602.0,333223698.0,119851643.0,1946069843.5,0.09,0.5,1524.44,0.0,167.32,0.0,2019-09-16
12,133,121.3,0.3,0.0025,120.5,120.0,122.2,-17502734.0,148.9,87.3,116.8,110.8,121.75,132.4,122.75,126.96,133.74,125.92,122.56,126.85,128.53,124.09,DOWNTREND,DOWNTREND,DOWNTREND,44.79600000000001,-2.9308,0.0319,NEUTRAL,-26.1641,48.7455,-44.6154,2060750.0,2054726.67,1879007.0,246904248.8,247279358.27,229498176.05,None,None,None,0.213,0.0075,0.0108,-313685699.0,-1486369027.0,-1634802643.0,-1501405795.0,742693018.5,0.09,0.5,1347.78,0.0,147.93,0.0,2019-10-16
13,131,130.0,-1.1,-0.0084,131.1,127.3,131.1,-6972480.0,148.9,87.3,127.55,120.0,132.4,140.6,128.93,137.34,135.13,120.22,130.6,133.51,131.45,123.22,SIDEWAYS,DOWNTREND,SIDEWAYS,47.67100000000001,-2.6474,0.0396,NEUTRAL,13.2088,76.7816,-31.0345,2387447.0,2567266.67,2261769.0,305945884.5,327627585.53,290368854.25,Hanging Man,Tweezer Tops,None,0.3,-0.037000000000000005,-0.0174,40733150.0,199389450.0,102169139.0,520095433.0,1848434257.5,0.09,0.5,1444.44,0.0,158.54,0.0,2019-08-28
14,131,120.4,-2.1,-0.0171,122.5,120.0,122.9,-45724554.0,148.9,87.3,120.2,116.3,130.45,137.85,129.98,130.79,135.66,124.49,129.04,131.3,130.96,124.66,DOWNTREND,SIDEWAYS,SIDEWAYS,34.3915,-0.7525,0.0324,NEUTRAL,-241.702,2.9226,-97.8378,1540821.0,1396239.33,1314467.5,195935492.9,179962382.27,169345294.05,Black Long Day,None,None,0.204,-0.1134,-0.0171,-278468570.0,-368546689.0,-176178432.0,-141849153.0,1667334637.5,0.09,0.5,1337.78,0.0,146.83,0.0,2019-09-30
15,137,117.0,-2.5,-0.0209,117.6,117.0,119.3,-65216937.0,148.9,93.5,115.05,110.8,123.55,130.45,122.04,121.73,126.26,129.02,121.59,123.17,125.21,123.54,SIDEWAYS,SIDEWAYS,SIDEWAYS,33.5173,-0.3987,0.0279,LOW,-237.5594,20.0758,-100.0,1297189.0,1585411.33,1426970.5,157518029.0,192997538.13,173800759.9,Shooting Star,None,None,0.17,-0.0534,-0.025,-347941084.0,-377847419.0,-296006061.0,-1973738838.0,1521581189.5,0.09,0.8,1300.0,0.0,139.29,0.0,2019-12-10
