,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,134,6.6,0.0,0.0,6.7,6.59,6.9,-6850.0,8.23,3.1,6.51,6.18,7.02,7.36,6.59,6.74,6.07,5.5,6.62,6.53,6.2,5.78,SIDEWAYS,SIDEWAYS,UPTREND,49.5977,-0.0156,0.0476,NEUTRAL,36.72,56.5359,-50.9804,367770.0,387966.67,405450.0,2461747.5,2548860.13,2681242.6,Shooting Star,None,None,0.3608,-0.0294,-0.0337,-23096.0,2114904.0,1602181.0,1058566.0,-62997751.0,0.08,-0.7838,82.5,0.0,3.93,0.0,2019-10-22
1,138,4.05,-0.03,-0.0074,4.0,4.0,4.08,151700.0,6.09,3.18,4.02,3.9,4.62,5.74,4.81,4.85,4.83,4.24,4.64,4.78,4.68,4.41,DOWNTREND,SIDEWAYS,SIDEWAYS,35.1134,-0.1015,0.0724,HIGH,-141.7611,3.9628,-96.3158,439700.0,1135705.33,1174395.25,1969316.0,6603799.93,7174313.83,None,None,None,0.1281,-0.0426,-0.0426,944080.0,2179861.85,4840940.0,6957414.65,-80516742.55,0.11,-0.7027,36.82,0.0,2.31,0.0,2019-12-03
2,136,4.96,0.01,0.002,4.95,4.93,5.24,0.0,6.09,2.89,4.94,4.7,5.74,5.97,5.0,4.95,4.77,4.2,5.06,4.95,4.73,4.42,UPTREND,SIDEWAYS,SIDEWAYS,50.1243,0.0751,0.0662,HIGH,10.5919,33.0556,-76.6667,1913559.5,1339498.33,1135162.0,12367797.9,8657208.07,7348424.81,None,None,None,0.3816,0.0333,-0.1127,-1197588.1,1401071.45,4136027.0,6357848.9,-81950316.7,0.11,-0.7027,45.09,0.0,2.83,0.0,2019-11-20
3,138,3.95,0.08,0.0207,3.87,3.87,3.99,7880.0,6.09,3.18,3.87,3.63,4.06,5.74,4.6,4.76,4.84,4.25,4.41,4.65,4.62,4.4,DOWNTREND,DOWNTREND,SIDEWAYS,34.9588,-0.1962,0.0616,HIGH,-96.5332,0.0,-94.1606,315000.0,467953.33,970613.25,1300031.0,2111811.2,5605002.57,White Long Day,Tweezer Bottoms,None,0.1003,-0.0662,0.0207,378490.0,2115530.0,4964432.05,6939390.25,-81176733.8,0.11,-0.7027,35.91,0.0,2.26,0.0,2019-12-09
4,132,6.18,-0.11,-0.0175,6.3,6.11,6.3,-11267.0,8.23,3.1,6.0,5.27,7.06,8.06,6.89,6.13,5.55,5.13,6.71,6.29,5.82,5.47,UPTREND,UPTREND,UPTREND,44.1522,0.2442,0.0819,HIGH,-93.1224,7.5893,-91.5179,2979160.0,2883746.67,2475160.0,21271159.7,20595432.93,17495782.35,None,None,None,0.2742,-0.1911,-0.1911,-472489.0,794132.0,-566200.0,-1597007.0,-63290414.0,0.08,-0.7838,77.25,0.0,3.68,0.0,2019-09-06
5,132,6.25,-0.12,-0.0188,6.21,6.1,6.3,26128.0,8.23,3.1,6.18,5.98,6.95,7.36,6.63,6.73,5.84,5.37,6.68,6.49,6.09,5.67,UPTREND,SIDEWAYS,UPTREND,43.3087,0.0426,0.0632,HIGH,-108.4414,25.9259,-85.9259,907600.0,1382080.0,1321755.0,6237640.7,9433284.13,8905152.9,None,None,None,0.2887,-0.0809,-0.0942,-78438.0,-608234.0,717804.0,-2945105.0,-65422202.0,0.08,-0.7838,78.13,0.0,3.72,0.0,2019-10-03
6,138,4.08,-0.15,-0.0355,4.3,3.98,4.3,357970.0,6.09,3.18,4.03,3.9,4.62,5.74,4.85,4.88,4.83,4.24,4.7,4.81,4.69,4.42,DOWNTREND,SIDEWAYS,SIDEWAYS,35.5905,-0.0752,0.0759,HIGH,-150.3876,6.6931,-94.7368,572930.0,1208151.0,1179906.75,2657131.8,7132946.76,7227234.25,Black Long Day,None,None,0.1365,-0.0355,-0.0355,840020.0,2515541.55,4739603.1,6803723.4,-80573510.55,0.11,-0.7027,37.09,0.0,2.33,0.0,2019-12-02
7,136,4.75,-0.21,-0.0423,4.96,4.7,4.96,211920.0,6.09,2.92,4.72,4.56,5.74,5.97,4.99,4.95,4.78,4.2,5.03,4.94,4.73,4.42,UPTREND,SIDEWAYS,SIDEWAYS,45.703,0.0682,0.0681,HIGH,-73.3692,17.2222,-94.1667,1657526.5,1378311.67,1155240.5,10456182.12,8833260.86,7419849.47,Black Long Day,Bearish Engulfing,None,0.3231,-0.0104,-0.1503,401411.0,1612991.45,4304544.5,6024277.1,-81738396.7,0.11,-0.7027,43.18,0.0,2.71,0.0,2019-11-21
8,138,3.6,0.01,0.0028,3.6,3.51,3.69,172820.0,6.09,3.2,3.55,3.42,3.94,4.62,4.01,4.57,4.78,4.27,4.04,4.39,4.48,4.34,DOWNTREND,DOWNTREND,DOWNTREND,31.601999999999997,-0.2486,0.0679,HIGH,-137.1259,12.183,-89.8876,411300.0,360200.0,363150.0,1609183.0,1413178.67,1454607.0,Doji,None,None,0.0028,-0.1489,0.0028,687070.0,3731020.0,6246561.55,11423356.6,-78356542.55,0.11,-0.7027,32.73,0.0,2.06,0.0,2019-12-23
9,132,6.85,-0.47,-0.0642,7.4,6.85,7.41,-28956.0,8.23,3.1,6.68,6.0,7.36,7.94,6.7,6.55,5.75,5.29,6.74,6.45,6.0,5.6,UPTREND,SIDEWAYS,UPTREND,52.1125,0.0543,0.0683,HIGH,50.1093,72.9543,-40.0,2059530.0,1765260.0,2036505.0,14057410.6,11776495.27,13819577.1,Black Long Day,Bearish Engulfing,None,0.4124,-0.1034,0.0088,-118499.0,-1314318.0,385501.0,-3015920.0,-65006812.0,0.08,-0.7838,85.63,0.0,4.08,0.0,2019-09-24
