,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,135,8.09,-0.06,-0.0074,8.15,8.09,8.15,115857.0,14.0,7.4,8.04,7.69,8.24,8.69,8.05,8.23,9.06,10.57,8.14,8.42,9.05,10.08,UPTREND,SIDEWAYS,DOWNTREND,47.0882,-0.095,0.0276,LOW,18.9794,41.2121,-60.9091,338420.0,280200.0,299975.0,2797876.4,2290961.6,2440268.05,Black Marubozu,Tweezer Tops,None,-0.2368,0.0112,-0.0012,3809152.0,7383380.0,11273587.0,7233626.0,593098662.0,-0.01,-1.5,-809.0,0.0,44.94,0.0,2019-10-22
1,139,7.8,-0.1,-0.0127,7.81,7.75,7.81,58469.0,14.0,7.66,7.78,7.46,8.12,8.42,8.02,8.03,8.43,9.98,7.98,8.13,8.59,9.56,DOWNTREND,SIDEWAYS,DOWNTREND,43.5374,-0.044000000000000004,0.0267,LOW,-140.52700000000002,22.963,-88.8889,84690.0,84800.0,105550.0,672744.2,675727.73,851196.2,Hanging Man,None,None,-0.2642,-0.0076,-0.0076,477444.0,3529962.0,8589268.0,19746998.0,689726361.0,0.0,-1.0,0.0,0.0,45.88,0.0,2019-12-03
2,137,7.83,-0.04,-0.0051,7.85,7.83,7.87,70585.0,14.0,7.4,7.82,7.46,8.15,8.42,8.04,8.16,8.63,10.19,8.04,8.21,8.71,9.71,SIDEWAYS,SIDEWAYS,DOWNTREND,41.0907,-0.0335,0.0201,LOW,-141.4105,0.0,-100.0,119660.0,153246.67,160940.0,973432.0,1236489.33,1294851.8,Spinning Top,None,None,-0.2613,-0.0101,-0.0249,684535.0,4974801.0,14375638.0,9859826.0,661054492.0,0.0,-1.0,0.0,0.0,46.06,0.0,2019-11-20
3,139,7.8,0.1,0.013000000000000001,7.67,7.67,7.95,78488.0,14.0,7.57,7.64,7.46,7.88,8.2,7.93,8.0,8.34,9.88,7.91,8.08,8.53,9.49,DOWNTREND,SIDEWAYS,DOWNTREND,44.7253,-0.0646,0.027000000000000003,LOW,-77.6699,24.0791,-63.4921,80530.0,92873.33,94590.0,630447.8,731936.67,749523.15,None,None,None,-0.2642,-0.0076,0.013000000000000001,-357080.0,2435476.0,7540402.0,18194447.0,678478380.0,0.0,-1.0,0.0,0.0,45.88,0.0,2019-12-09
4,133,8.67,0.4,0.0484,8.29,8.27,9.0,-3270558.0,14.0,7.4,8.03,7.66,8.84,9.64,8.21,9.14,10.02,10.7,8.38,9.0,9.78,10.77,DOWNTREND,DOWNTREND,DOWNTREND,53.7391,-0.3475,0.0307,NEUTRAL,164.2512,60.7949,-33.0,371130.0,315946.67,397300.0,3126066.9,2635568.53,3319453.25,None,None,None,-0.1821,0.0586,0.0586,-5889404.0,-7226005.0,-4186448.0,-14793648.0,474132935.0,-0.01,-1.5,-867.0,0.0,48.17,0.0,2019-09-06
5,133,7.72,-0.08,-0.0103,7.8,7.7,7.98,-548884.0,14.0,7.4,7.71,7.46,8.24,9.01,8.43,8.55,9.34,10.67,8.25,8.65,9.34,10.36,DOWNTREND,SIDEWAYS,DOWNTREND,29.1939,-0.1312,0.0285,LOW,-145.6789,0.0,-98.3871,284090.0,264953.33,341920.0,2286257.0,2176114.0,2881915.25,None,None,None,-0.2717,-0.035,-0.0539,1442359.0,2565821.0,-3892456.0,-5519929.0,593133870.0,-0.01,-1.5,-772.0,0.0,42.89,0.0,2019-10-03
6,139,7.9,0.04,0.0051,7.9,7.9,7.95,12690.0,14.0,7.66,7.8,7.46,8.12,8.42,8.04,8.05,8.45,10.01,8.0,8.14,8.61,9.58,DOWNTREND,SIDEWAYS,DOWNTREND,46.218,-0.0403,0.0269,LOW,-76.1303,32.2801,-66.6667,87940.0,91873.33,113675.0,699033.9,733450.13,918309.55,Gravestone Doji,None,None,-0.2547,0.0051,0.0051,371403.0,2943048.0,8567138.0,19606281.0,683087800.0,0.0,-1.0,0.0,0.0,46.47,0.0,2019-12-02
7,137,8.19,0.36,0.046,7.82,7.75,8.2,1516934.0,14.0,7.48,7.79,7.46,8.2,8.69,8.04,8.15,8.61,10.18,8.05,8.21,8.7,9.7,SIDEWAYS,SIDEWAYS,DOWNTREND,53.744,-0.0337,0.0218,LOW,7.1341,0.0,-38.0282,142960.0,152580.0,172205.0,1157665.5,1231575.07,1383690.35,White Long Day,Bullish Engulfing,None,-0.2274,0.0354,0.0199,1713679.0,5312652.0,15849480.0,11544193.0,664899254.0,0.0,-1.0,0.0,0.0,48.18,0.0,2019-11-21
8,139,7.89,-0.01,-0.0013,7.88,7.81,7.89,8054667.0,14.0,7.57,7.65,7.46,7.9,8.2,7.81,7.97,8.17,9.64,7.83,7.98,8.39,9.33,DOWNTREND,SIDEWAYS,SIDEWAYS,51.3442,-0.0728,0.0247,LOW,42.3108,60.4651,-25.5814,454410.0,337186.67,267470.0,3518222.1,2611395.47,2074334.95,Hammer,Bullish Harami,None,-0.2557,0.0038,-0.0013,17852710.0,22517250.0,25460298.0,40547799.0,663754132.0,0.0,-1.0,0.0,0.0,46.41,0.0,2019-12-23
9,133,8.22,-0.23,-0.0272,8.45,8.21,8.45,0.0,14.0,7.4,8.03,7.46,8.58,9.01,8.47,8.79,9.52,10.71,8.53,8.86,9.54,10.53,UPTREND,DOWNTREND,DOWNTREND,38.8507,-0.0594,0.0296,LOW,-45.0314,34.2857,-81.9048,179260.0,324573.33,290985.0,1541551.9,2798732.4,2488381.65,Black Long Day,None,None,-0.2245,0.0037,-0.0329,450287.0,-4527040.0,-7238197.0,-12818737.0,613812432.0,-0.01,-1.5,-822.0,0.0,45.67,0.0,2019-09-24
