,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,136,1.76,0.0,0.0,1.76,1.76,1.76,0.0,2.29,1.63,1.75,1.66,1.86,2.05,1.85,1.9,1.87,1.93,1.83,1.87,1.9,1.99,DOWNTREND,SIDEWAYS,SIDEWAYS,41.1038,-0.0391,0.0319,NEUTRAL,-77.9259,4.2929,-95.4545,20600.0,17800.0,16500.0,36871.0,32210.67,30150.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0588,-0.0056,0.0,0.0,33500.0,33500.0,141020.0,463380.0,0.0,-1.0,0.0,0.0,1.44,0.0,2019-10-22
1,140,1.84,0.19,0.1152,1.84,1.84,1.84,0.0,2.29,1.65,1.65,1.64,1.89,1.99,1.74,1.85,1.85,1.9,1.75,1.81,1.85,1.96,SIDEWAYS,DOWNTREND,SIDEWAYS,55.8561,-0.0381,0.0359,NEUTRAL,179.7788,0.0,-34.4828,14200.0,29333.33,24150.0,25103.0,50948.67,41998.0,White Marubozu,None,None,-0.016,0.0698,0.0698,13200.0,265450.0,298950.0,406470.0,685840.0,0.0,-1.0,0.0,0.0,1.51,0.0,2019-12-03
2,138,1.71,-0.01,-0.0058,1.71,1.71,1.71,0.0,2.29,1.63,1.7,1.66,1.89,1.99,1.75,1.87,1.86,1.91,1.77,1.83,1.87,1.97,DOWNTREND,DOWNTREND,SIDEWAYS,41.5164,-0.0416,0.0322,NEUTRAL,-120.8333,18.0556,-95.8333,36200.0,27000.0,28400.0,62750.0,46882.0,49810.5,White Marubozu,None,None,-0.0856,-0.0116,0.0,0.0,252250.0,285750.0,393270.0,710430.0,0.0,-1.0,0.0,0.0,1.4,0.0,2019-11-20
3,140,1.83,-0.01,-0.0054,1.83,1.83,1.83,0.0,2.29,1.65,1.65,1.64,1.84,1.97,1.74,1.85,1.85,1.9,1.76,1.81,1.85,1.95,UPTREND,DOWNTREND,SIDEWAYS,54.9254,-0.0344,0.0339,NEUTRAL,140.2299,0.0,-37.931,14200.0,26066.67,23600.0,25163.0,45246.67,41047.5,White Marubozu,None,None,-0.0214,0.064,0.064,13200.0,184950.0,298950.0,386970.0,685840.0,0.0,-1.0,0.0,0.0,1.5,0.0,2019-12-09
4,134,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.32,1.63,1.92,1.83,2.07,2.14,1.95,1.92,1.9,1.95,1.97,1.93,1.93,2.02,UPTREND,SIDEWAYS,SIDEWAYS,53.2759,0.0241,0.049,NEUTRAL,74.5763,77.7778,-29.1667,20900.0,24133.33,26150.0,40097.0,46599.33,50296.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0695,-0.0338,-0.0338,0.0,0.0,107520.0,107520.0,454440.0,0.0,-1.0,0.0,0.0,1.64,0.0,2019-09-06
5,134,1.76,0.01,0.0057,1.76,1.76,1.76,0.0,2.29,1.63,1.75,1.66,1.79,2.07,1.9,1.92,1.88,1.93,1.86,1.89,1.91,2.0,DOWNTREND,SIDEWAYS,SIDEWAYS,41.1038,-0.0245,0.0424,NEUTRAL,-114.7912,0.0,-96.0,23900.0,19800.0,18400.0,43360.0,36223.33,34367.5,White Marubozu,Bullish Harami,None,-0.0588,-0.0056,0.0057,31600.0,33500.0,-26280.0,141020.0,463380.0,0.0,-1.0,0.0,0.0,1.44,0.0,2019-10-03
6,140,1.65,-0.07,-0.0407,1.67,1.65,1.67,13200.0,2.29,1.65,1.64,1.64,1.78,1.89,1.74,1.85,1.85,1.9,1.75,1.81,1.85,1.96,DOWNTREND,DOWNTREND,SIDEWAYS,37.0302,-0.0404,0.0342,NEUTRAL,-180.0071,0.0,-100.0,14600.0,29533.33,26250.0,25765.0,51290.0,45667.0,Black Marubozu,None,None,-0.1176,-0.0407,-0.0407,13200.0,265450.0,298950.0,406470.0,685840.0,0.0,-1.0,0.0,0.0,1.35,0.0,2019-12-02
7,138,1.71,-0.01,-0.0058,1.71,1.71,1.71,0.0,2.29,1.63,1.7,1.66,1.89,1.99,1.75,1.87,1.86,1.91,1.77,1.83,1.87,1.97,DOWNTREND,DOWNTREND,SIDEWAYS,41.5164,-0.0416,0.0322,NEUTRAL,-120.8333,18.0556,-95.8333,36200.0,27000.0,28400.0,62750.0,46882.0,49810.5,White Marubozu,None,None,-0.0856,-0.0116,0.0,0.0,252250.0,285750.0,393270.0,710430.0,0.0,-1.0,0.0,0.0,1.4,0.0,2019-11-21
8,140,1.66,0.0,0.0,1.66,1.66,1.66,-1660.0,2.21,1.65,1.65,1.64,1.84,1.93,1.73,1.84,1.85,1.89,1.74,1.8,1.85,1.95,DOWNTREND,DOWNTREND,SIDEWAYS,42.0864,-0.0322,0.039,NEUTRAL,-117.1205,22.9885,-96.5517,11100.0,20133.33,23000.0,19361.0,34900.67,39949.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1123,-0.0349,0.0,11540.0,181540.0,297290.0,255610.0,684180.0,0.0,-1.0,0.0,0.0,1.36,0.0,2019-12-23
9,134,1.79,-0.03,-0.0165,1.79,1.79,1.79,0.0,2.29,1.63,1.78,1.7,1.97,2.07,1.93,1.92,1.89,1.94,1.91,1.91,1.92,2.01,DOWNTREND,SIDEWAYS,SIDEWAYS,41.8632,-0.0005,0.0519,HIGH,-164.6341,0.0,-100.0,20000.0,18200.0,23800.0,37205.0,34640.0,45072.5,White Marubozu,None,None,-0.0428,-0.1353,-0.0324,1900.0,1900.0,-57880.0,109420.0,459280.0,0.0,-1.0,0.0,0.0,1.47,0.0,2019-09-24
