,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,137,10668.93,-21.18,-0.002,10690.9,10668.93,10720.38,-87066718.4998,12046.46,10203.07,10634.26,10228.92,10791.98,11147.56,10584.63,10797.29,11219.84,11378.07,10674.04,10835.72,11045.23,11169.39,UPTREND,SIDEWAYS,SIDEWAYS,47.9933,-68.1536,0.0096,LOW,64.038,78.1866,-21.5473,81217005.2,100992667.8,99021258.2,727998466.31,985219377.49,1017346179.83,None,None,None,-0.0258,0.0098,0.0024,-194816347.5,-168525836.5,-979800883.0,-2807602600.5,-8218320667.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,141,9675.6,-169.4,-0.0172,9887.41,9675.6,9887.41,-135807115.4998,12046.46,9675.6,9675.6,9675.6,9896.16,10575.05,10049.61,10364.78,10769.89,11185.63,10008.88,10329.43,10650.18,10918.48,DOWNTREND,DOWNTREND,SIDEWAYS,29.7676,-191.5398,0.013000000000000001,LOW,-90.7971,10.2176,-100.0,161027824.1,142921687.93,121881656.5,1018013460.21,951793678.26,903598966.68,Black Marubozu,None,None,-0.1165,-0.0108,-0.0108,-550705903.0,-2647264658.5,-4018976177.0,-4850421445.99,-11030487288.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,139,9989.76,-47.48,-0.0047,10038.94,9987.2,10073.96,-182934039.0004,12046.46,9987.2,9988.48,9988.48,10218.31,10655.61,10376.18,10575.45,10957.15,11272.6,10326.06,10559.97,10817.97,11023.78,DOWNTREND,SIDEWAYS,SIDEWAYS,26.2745,-113.5868,0.0107,LOW,-154.6275,1.9093,-99.61200000000001,82728484.8,74539066.6,74120994.15,768347358.37,818482546.64,850279695.59,None,Bearish Engulfing,None,-0.0878,-0.046,-0.0092,-949358161.0,-2073566861.0,-2602011081.0,-3943902228.0,-9745356951.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,141,9650.34,94.91,0.0099,9594.57,9577.35,9650.34,-27783882.0,12046.46,9555.43,9555.43,9555.43,9801.98,10441.84,9886.13,10282.9,10680.26,11147.99,9885.45,10226.97,10572.3,10868.26,DOWNTREND,DOWNTREND,SIDEWAYS,33.9816,-201.0855,0.0132,LOW,-101.1723,0.0,-81.6963,183740603.1,140169049.93,132388192.6,1125162806.45,962397990.75,928212917.79,White Long Day,None,None,-0.1188,-0.0134,0.0099,-671700330.0,-2335945636.0,-4159022192.0,-5542665565.5,-10968117419.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,135,10915.02,21.97,0.002,10911.51,10904.69,10942.71,-84054203.0003,12046.46,10126.79,10869.96,10520.21,11070.82,11416.76,10934.37,11376.71,11468.34,11386.73,11016.81,11230.72,11354.53,11342.59,SIDEWAYS,DOWNTREND,SIDEWAYS,42.402,-129.0244,0.0137,LOW,-4.3664,41.621,-64.632,142889733.2,139043117.6,132436164.15,1568365753.13,1502666519.13,1460209970.26,Inverted Hammer,None,None,-0.0033,-0.019,-0.019,-742277994.0,-911638034.5,-3078724397.0,-3781299726.0,-8807844184.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,135,10338.64,83.87,0.0082,10276.22,10203.07,10338.64,-69625902.9999,12046.46,10126.79,10228.92,10170.82,10604.2,11061.65,10785.92,10969.98,11302.8,11396.34,10710.9,10964.76,11165.16,11243.07,DOWNTREND,SIDEWAYS,SIDEWAYS,27.6722,-123.0705,0.0119,LOW,-166.1363,0.0,-84.21,88600276.1,88358138.87,97870639.6,1230224735.56,1096941914.78,1218864919.04,None,None,None,-0.0559,-0.0214,-0.0207,-545109707.5,-991743780.0,-1710744496.0,-5330787835.5,-8430182712.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,141,9845.0,63.71,0.0065,9881.85,9820.16,9890.94,-17622026.9995,12046.46,9700.73,9700.73,9700.73,9896.16,10635.33,10097.02,10388.38,10792.08,11195.64,10043.96,10356.11,10669.87,10930.98,DOWNTREND,SIDEWAYS,SIDEWAYS,35.013000000000005,-188.1425,0.0121,LOW,-68.808,13.7723,-79.7819,152489179.1,138007992.93,118465625.15,1003148051.43,943984600.58,909672398.83,None,None,None,-0.10099999999999999,0.0065,0.0065,-898704672.5,-2723187151.5,-4014886965.0,-4745521093.5,-10992147742.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,139,9880.67,-109.09,-0.0109,9979.83,9824.63,9979.83,-187031085.9993,12046.46,9824.63,9852.65,9852.65,10136.84,10650.11,10338.48,10553.74,10938.94,11263.34,10283.64,10533.33,10799.41,11012.41,DOWNTREND,SIDEWAYS,SIDEWAYS,23.2712,-125.6926,0.0112,LOW,-165.2362,3.8425,-93.1852,85202739.6,76568472.0,75312702.95,751479864.79,815133038.64,853781775.43,None,None,None,-0.0978,-0.0564,-0.02,-927058894.0,-2244833103.5,-2728761550.0,-4181477137.0,-9958680256.99,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,141,9654.32,286.73,0.0306,9391.35,9354.2,9654.32,-74249799.5002,12046.46,9291.64,9329.62,9329.62,9758.45,10055.72,9644.01,10097.8,10477.64,11050.91,9679.81,10008.24,10389.63,10744.25,DOWNTREND,DOWNTREND,SIDEWAYS,45.8411,-175.1339,0.0158,LOW,-64.355,35.1042,-27.9224,139029748.5,131196096.2,161385175.8,1188686337.96,1086090181.77,1156924572.2,White Long Day,None,None,-0.1184,-0.013000000000000001,0.0306,-1240448483.5,-1968696790.5,-4691883942.0,-6282626543.99,-12753944702.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,135,10810.96,-44.37,-0.0041,10865.56,10810.96,10873.96,-46800353.5003,12046.46,10126.79,10802.52,10358.04,11014.38,11412.13,10957.17,11154.14,11385.94,11406.72,10961.88,11121.73,11267.48,11297.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,38.7985,-61.5854,0.0101,LOW,-160.6661,16.762,-100.0,84728625.9,114773134.73,112611782.1,1031936531.56,1226265573.69,1298753759.74,Black Long Day,None,None,-0.0128,-0.0283,-0.0117,-266318327.5,-356522423.5,-1408748667.5,-3913457595.5,-7528568427.49,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
