,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,139,3.61,0.11,0.0314,3.61,3.61,3.61,0.0,8.2,3.05,3.05,3.05,3.89,5.38,4.61,5.25,5.99,6.73,4.44,5.12,5.75,6.46,DOWNTREND,DOWNTREND,DOWNTREND,32.0563,-0.3934,0.0655,HIGH,-113.8647,26.3118,-73.9535,9630.0,9000.0,7540.0,42673.5,41538.67,35327.5,White Marubozu,None,Three White Soldiers,-0.5598,-0.1506,0.0314,0.0,4400.0,4400.0,32650.0,-230804.0,0.18,-0.25,20.06,0.0,2.2,0.0,2019-10-22
1,143,4.6,0.4,0.0952,4.6,4.6,4.6,0.0,8.2,2.4,2.4,2.4,4.79,5.15,3.66,4.72,5.58,6.49,3.82,4.52,5.29,6.14,DOWNTREND,DOWNTREND,DOWNTREND,57.3266,-0.4733,0.0753,HIGH,116.3813,100.0,0.0,23500.0,17066.67,16410.0,79355.0,57976.0,60050.5,White Marubozu,None,Three White Soldiers,-0.439,0.0952,0.0952,269060.0,284060.0,288460.0,316710.0,136656.0,0.23,-0.2581,20.0,0.0,2.77,0.0,2019-12-03
2,141,3.2,0.09,0.0289,3.2,3.2,3.2,0.0,8.2,3.0,3.06,3.02,3.86,5.3,4.16,5.01,5.8,6.62,4.02,4.8,5.52,6.31,DOWNTREND,DOWNTREND,DOWNTREND,31.4847,-0.4783,0.0763,HIGH,-93.0132,8.7505,-89.899,8000.0,10486.67,9800.0,27560.0,42301.67,41543.5,White Marubozu,Bullish Harami,None,-0.6098,-0.171,0.0289,0.0,4400.0,4400.0,32650.0,-147404.0,0.23,-0.2581,13.91,0.0,1.93,0.0,2019-11-20
3,143,5.3,0.4,0.0816,5.1,5.1,5.3,20600.0,8.2,2.4,4.6,2.4,5.38,5.9,3.75,4.65,5.5,6.43,4.18,4.58,5.26,6.1,UPTREND,DOWNTREND,DOWNTREND,64.4892,-0.2176,0.0599,HIGH,162.3927,97.3291,0.0,23900.0,20000.0,15950.0,89979.0,73838.67,58769.5,White Marubozu,None,None,-0.3537,0.2619,0.0816,175200.0,459260.0,463660.0,491910.0,311856.0,0.23,-0.2581,23.04,0.0,3.19,0.0,2019-12-09
4,137,5.06,-0.02,-0.0039,5.1,5.06,5.1,0.0,8.2,5.05,5.05,5.05,5.3,5.9,5.36,5.63,6.32,6.94,5.33,5.69,6.15,6.73,DOWNTREND,DOWNTREND,DOWNTREND,35.741,-0.174,0.0256,LOW,-102.1639,3.4737,-98.0,4910.0,4620.0,6055.0,25393.0,24375.0,32911.5,Black Marubozu,Bearish Engulfing,None,-0.3829,-0.0453,-0.0453,0.0,0.0,28250.0,28250.0,-235204.0,0.18,-0.25,28.11,0.0,3.09,0.0,2019-09-06
5,137,3.05,-1.2,-0.2824,3.05,3.05,3.05,0.0,8.2,3.05,3.05,3.05,4.74,5.42,4.93,5.43,6.12,6.82,4.81,5.36,5.92,6.57,DOWNTREND,DOWNTREND,DOWNTREND,10.7801,-0.2695,0.0685,HIGH,-340.6082,0.0,-100.0,11690.0,8520.0,7110.0,55779.0,41036.0,34603.75,White Marubozu,None,None,-0.628,-0.2824,-0.2824,4400.0,4400.0,4400.0,32650.0,-230804.0,0.18,-0.25,16.94,0.0,1.86,0.0,2019-10-03
6,143,4.2,0.2,0.05,4.08,4.08,4.2,33060.0,8.2,2.4,2.4,2.4,5.02,5.3,3.68,4.74,5.61,6.51,3.74,4.52,5.31,6.16,DOWNTREND,DOWNTREND,DOWNTREND,53.1013,-0.5176,0.0815,HIGH,55.8031,76.1905,0.0,22500.0,16266.67,16065.0,74508.0,54192.67,58590.75,White Marubozu,None,Three White Soldiers,-0.4878,0.0881,0.75,284060.0,284060.0,288460.0,316710.0,136656.0,0.23,-0.2581,18.26,0.0,2.53,0.0,2019-12-02
7,141,2.4,-0.8,-0.25,3.35,2.4,3.35,15000.0,8.2,2.4,2.4,2.4,3.62,5.15,4.01,4.94,5.76,6.6,3.86,4.71,5.46,6.27,DOWNTREND,DOWNTREND,DOWNTREND,24.5609,-0.5033,0.1228,HIGH,-126.4621,5.1732,-100.0,15100.0,14880.0,13395.0,47808.0,53963.33,51793.5,Black Marubozu,Bearish Engulfing,None,-0.7073,-0.3782,-0.2283,15000.0,19400.0,19400.0,47650.0,-132404.0,0.23,-0.2581,10.43,0.0,1.45,0.0,2019-11-21
8,143,6.5,0.3,0.0484,6.2,6.2,6.5,3400.0,8.2,2.4,5.95,2.4,6.97,7.24,4.89,4.72,5.4,6.36,5.33,5.03,5.39,6.09,UPTREND,UPTREND,DOWNTREND,71.2236,0.3913,0.048,NEUTRAL,97.6302,95.5999,0.0,12280.0,13053.33,17640.0,74432.7,72499.13,79745.85,White Marubozu,None,None,-0.2073,0.5476,0.0484,357920.0,690495.0,945895.0,945895.0,823198.0,0.23,-0.2581,28.26,0.0,3.92,0.0,2019-12-23
9,137,4.25,-0.25,-0.0556,4.5,4.25,4.5,4400.0,8.2,4.25,4.25,4.25,5.02,5.52,5.06,5.49,6.17,6.84,4.99,5.46,5.98,6.61,DOWNTREND,DOWNTREND,DOWNTREND,19.7583,-0.2318,0.0312,NEUTRAL,-203.9474,0.0,-100.0,11600.0,8786.67,7370.0,55527.0,42582.67,36166.75,Black Marubozu,Bearish Engulfing,None,-0.4817,-0.1981,-0.0556,4400.0,4400.0,4400.0,32650.0,-230804.0,0.18,-0.25,23.61,0.0,2.59,0.0,2019-09-24
