,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,144,2.55,0.0,0.0,2.55,2.55,2.55,0.0,3.59,2.5,2.5,2.5,2.68,3.09,2.82,2.95,3.04,3.21,2.77,2.91,3.02,3.16,DOWNTREND,DOWNTREND,SIDEWAYS,32.3744,-0.0836,0.033,NEUTRAL,-134.6486,0.0,-90.0,167800.0,113133.33,90700.0,428430.0,289334.0,234113.5,White Marubozu,Bullish Harami,None,-0.2478,-0.1084,0.02,0.0,2980.0,2980.0,11710.0,-403558.0,-0.01,0.5,-255.0,0.0,-255.0,0.0,2019-10-22
1,148,2.36,0.12,0.0536,2.27,2.27,2.36,0.0,3.46,2.03,2.14,2.1,2.45,2.58,2.35,2.68,2.86,3.08,2.38,2.59,2.8,3.01,DOWNTREND,DOWNTREND,DOWNTREND,45.4851,-0.1273,0.0473,NEUTRAL,-17.9806,59.2593,-26.6667,37500.0,38933.33,49150.0,81243.0,86523.33,114672.5,White Marubozu,None,None,-0.3038,0.0536,0.0536,0.0,0.0,0.0,2980.0,-349698.0,-0.01,0.0,-236.0,0.0,-236.0,0.0,2019-12-03
2,146,2.31,0.0,0.0,2.48,2.31,2.48,0.0,3.46,2.24,2.28,2.26,2.45,2.84,2.44,2.76,2.92,3.12,2.46,2.68,2.86,3.06,DOWNTREND,DOWNTREND,DOWNTREND,36.4621,-0.1426,0.0436,NEUTRAL,-53.0831,26.0163,-82.9268,25500.0,43466.67,115350.0,59282.0,105658.0,290299.0,Black Marubozu,Bearish Engulfing,None,-0.3186,-0.061,-0.0455,0.0,0.0,2980.0,2980.0,-349698.0,-0.01,0.0,-231.0,0.0,-231.0,0.0,2019-11-20
3,148,2.27,-0.09,-0.0381,2.27,2.27,2.27,0.0,3.46,2.03,2.14,2.1,2.36,2.58,2.34,2.66,2.85,3.08,2.37,2.58,2.79,3.0,DOWNTREND,DOWNTREND,DOWNTREND,41.1228,-0.1226,0.0485,NEUTRAL,-63.3364,57.7778,-46.6667,37100.0,37000.0,46350.0,80321.0,82064.0,107553.5,White Marubozu,Bullish Harami,None,-0.3304,0.0134,0.0134,0.0,0.0,0.0,2980.0,-349698.0,-0.01,0.0,-227.0,0.0,-227.0,0.0,2019-12-09
4,142,2.86,-0.05,-0.0172,2.88,2.86,2.88,0.0,3.93,2.82,2.84,2.84,3.09,3.22,3.01,3.02,3.11,3.28,3.01,3.04,3.11,3.22,SIDEWAYS,SIDEWAYS,SIDEWAYS,40.3543,-0.0048,0.0396,NEUTRAL,-144.1544,23.6559,-87.0968,19200.0,16933.33,21350.0,56975.0,50335.33,63373.5,Black Marubozu,None,Evening Star,-0.1563,-0.0684,-0.0684,0.0,0.0,0.0,8730.0,-470538.0,-0.01,0.5,-286.0,0.0,-286.0,0.0,2019-09-06
5,142,2.85,-0.01,-0.0035,2.85,2.85,2.85,0.0,3.59,2.82,2.84,2.84,2.98,3.13,2.97,3.0,3.08,3.25,2.95,3.0,3.08,3.2,DOWNTREND,SIDEWAYS,SIDEWAYS,42.8495,-0.0289,0.0319,NEUTRAL,-108.1081,6.5668,-100.0,11800.0,11133.33,11350.0,34444.0,32728.0,33575.0,White Marubozu,None,Three White Soldiers,-0.1593,-0.0035,-0.0035,2980.0,2980.0,2980.0,11710.0,-403558.0,-0.01,0.5,-285.0,0.0,-285.0,0.0,2019-10-03
6,148,2.24,-0.05,-0.0218,2.22,2.05,2.25,0.0,3.46,2.03,2.1,2.1,2.31,2.6,2.36,2.69,2.87,3.09,2.38,2.6,2.81,3.02,DOWNTREND,DOWNTREND,DOWNTREND,37.2428,-0.1323,0.0495,NEUTRAL,-134.9089,55.5556,-53.3333,37100.0,39266.67,49300.0,80323.0,87354.67,115118.5,None,None,None,-0.3392,-0.0894,0.0275,0.0,0.0,2980.0,2980.0,-349698.0,-0.01,0.0,-224.0,0.0,-224.0,0.0,2019-12-02
7,146,2.18,-0.13,-0.0563,2.27,2.03,2.27,0.0,3.46,2.03,2.1,2.1,2.45,2.68,2.41,2.74,2.91,3.12,2.43,2.66,2.85,3.05,DOWNTREND,DOWNTREND,DOWNTREND,31.285999999999998,-0.1425,0.052000000000000005,HIGH,-174.136,19.4466,-75.8065,52200.0,61400.0,129100.0,115792.0,143568.0,319467.5,Hanging Man,None,None,-0.3569,-0.1138,-0.0992,0.0,0.0,2980.0,2980.0,-349698.0,-0.01,0.0,-218.0,0.0,-218.0,0.0,2019-11-21
8,148,2.25,0.36,0.1905,2.05,2.05,2.25,0.0,3.46,1.89,1.89,1.89,2.36,2.47,2.28,2.61,2.82,3.05,2.3,2.53,2.75,2.98,DOWNTREND,DOWNTREND,DOWNTREND,45.7923,-0.1201,0.0666,HIGH,-81.2349,0.0,-38.9831,50200.0,35933.33,37850.0,105373.0,75964.0,82327.5,White Marubozu,None,None,-0.3363,0.0045,0.1905,-2040.0,-2040.0,-2040.0,940.0,-351738.0,-0.01,0.0,-225.0,0.0,-225.0,0.0,2019-12-23
9,142,2.87,-0.11,-0.0369,2.87,2.87,2.87,0.0,3.59,2.82,2.86,2.84,3.0,3.13,2.99,3.01,3.09,3.26,2.97,3.02,3.09,3.21,DOWNTREND,SIDEWAYS,SIDEWAYS,43.8252,-0.0223,0.0362,NEUTRAL,-107.9443,27.956999999999997,-83.87100000000001,13000.0,13933.33,11850.0,38049.0,41293.33,35217.0,White Marubozu,None,Three White Soldiers,-0.1534,-0.0651,0.0,2980.0,2980.0,2980.0,11710.0,-467558.0,-0.01,0.5,-287.0,0.0,-287.0,0.0,2019-09-24
