,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,146,73.5,1.95,0.0273,71.95,71.95,73.7,48697069.5,75.55,41.3,71.18,68.78,73.92,76.28,71.93,71.1,68.78,66.2,72.11,71.11,69.11,66.29,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.4585,0.147,0.0266,LOW,53.1048,74.0741,-8.3333,1078931.0,1125826.67,1218600.0,77974202.0,80356412.53,87857664.05,White Long Day,None,None,0.3196,0.0138,0.0124,223828822.5,82559427.5,447188020.0,247550940.0,1648350833.5,2.43,0.7737,30.25,0.0,1.78,0.0,2019-10-22
1,150,79.0,1.0,0.0128,78.1,77.8,79.0,14468470.0,79.05,48.8,75.9,72.48,79.02,79.02,77.88,75.01,72.2,68.19,77.37,75.45,72.72,69.05,SIDEWAYS,UPTREND,SIDEWAYS,58.4891,0.9167,0.0239,LOW,159.3955,71.0145,0.0,1869206.0,1866160.0,1630666.0,144144798.5,144255662.2,126248069.05,White Long Day,None,None,0.4183,0.0273,0.0273,31584938.0,-28588489.5,603088140.0,1056474015.0,2659696226.5,3.1,0.4976,25.48,0.0,1.89,0.0,2019-12-03
2,148,77.8,-0.2,-0.0026,78.0,77.25,78.0,21089151.5,79.05,46.0,76.82,72.68,78.0,79.38,76.86,74.39,71.34,67.61,76.73,74.43,71.71,68.22,UPTREND,UPTREND,UPTREND,59.8627,1.3964,0.0214,LOW,50.838,78.6325,-21.3675,1401332.0,1476072.67,1475255.0,109035720.45,114524927.57,113249201.23,Hanging Man,Tweezer Tops,None,0.3968,0.0203,0.0,49107798.5,461234190.5,881364785.5,1300657524.0,2684087027.0,3.1,0.4976,25.1,0.0,1.86,0.0,2019-11-20
3,150,78.6,-0.3,-0.0038,78.9,77.8,79.0,-6028894.0,79.05,48.8,77.15,73.78,79.0,79.02,77.96,75.32,72.57,68.47,77.75,75.91,73.16,69.42,SIDEWAYS,UPTREND,SIDEWAYS,55.4297,0.809,0.0233,LOW,117.0543,81.9048,-11.4286,1964060.0,1602722.0,1683954.0,151745217.4,124016033.23,130454075.9,Hanging Man,None,None,0.4111,0.0221,-0.0038,34286686.5,-45396413.0,481575677.5,979890416.5,2948240555.0,3.1,0.4976,25.35,0.0,1.88,0.0,2019-12-09
4,144,71.0,-1.0,-0.0139,71.85,70.95,72.85,-46682573.0003,72.85,41.3,69.75,62.05,72.42,75.7,67.99,68.07,65.48,62.48,69.03,67.63,66.0,63.9,UPTREND,SIDEWAYS,SIDEWAYS,56.6485,0.7487,0.0323,NEUTRAL,114.0056,87.6152,-19.7861,2117553.0,1977976.0,1861226.0,146574502.3,134931790.8,125624066.23,None,None,None,0.2747,-0.0132,-0.0132,-43928178.5,112968670.5,-217937456.5,131539903.5,-250991255.0,2.43,0.7737,29.22,0.0,1.72,0.0,2019-09-06
5,144,69.0,-1.5,-0.0213,70.0,68.65,70.0,-102427433.0,75.55,41.3,68.82,65.88,74.52,78.6,73.39,69.96,67.23,64.96,72.42,70.68,68.35,65.56,SIDEWAYS,UPTREND,UPTREND,39.7153,1.1289,0.0284,LOW,-218.7042,15.7809,-94.9275,1769964.0,1631034.67,1609276.5,129647670.3,119969310.37,118051028.33,Black Long Day,None,None,0.2388,-0.0483,-0.0612,-136383261.0,212966442.0,440714271.5,298692792.5,1294509026.0,2.43,0.7737,28.4,0.0,1.67,0.0,2019-10-03
6,150,78.0,1.1,0.0143,76.9,76.4,78.65,43860156.5,79.05,48.8,75.9,71.32,78.55,79.02,77.88,74.91,72.11,68.12,77.2,75.31,72.59,68.95,SIDEWAYS,UPTREND,SIDEWAYS,55.0511,0.9591,0.0249,LOW,6.2139,45.0341,-27.5362,1837128.0,1867302.0,1741721.5,141559391.0,144295661.97,134946236.85,None,None,None,0.4004,0.0143,0.0143,-120667961.0,-43056959.5,616233175.0,1043860669.0,2595864372.0,3.1,0.4976,25.16,0.0,1.87,0.0,2019-12-02
7,148,77.95,0.15,0.0019,77.75,75.55,77.95,-21858734.5,79.05,46.0,76.58,72.75,78.0,79.38,77.06,74.48,71.44,67.68,76.85,74.57,71.84,68.32,UPTREND,UPTREND,UPTREND,60.5541,1.361,0.0221,LOW,21.2563,77.1168,-29.3333,1363716.0,1471292.67,1461010.0,105969232.15,114209700.5,112349866.48,Hammer,None,None,0.3995,0.0223,0.0019,25985853.0,424628961.0,868682597.0,1249941408.0,2684976409.0,3.1,0.4976,25.15,0.0,1.87,0.0,2019-11-21
8,150,81.7,1.6,0.02,80.9,80.5,82.0,35093299.5,83.0,54.15,76.1,73.78,81.85,82.45,78.79,77.14,73.7,69.13,78.97,77.15,74.34,70.39,UPTREND,SIDEWAYS,UPTREND,59.2585,0.7735,0.0272,LOW,182.1696,51.7483,-16.6667,2385466.0,1968280.67,2174763.0,189711833.7,156117661.7,170728525.55,None,None,None,0.4668,0.0624,0.02,-150761198.0,-169528591.0,-212585550.5,440804935.5,2960887824.5,3.1,0.4976,26.35,0.0,1.96,0.0,2019-12-23
9,144,74.5,0.35,0.0047,74.1,74.1,75.0,8222124.5,75.3,41.3,72.28,67.68,75.3,79.38,72.74,69.51,66.71,64.17,72.64,70.1,67.73,65.05,UPTREND,UPTREND,UPTREND,58.6812,1.6915,0.0278,LOW,86.854,88.7931,-13.7931,1626893.0,1545902.0,1628456.5,120983112.95,113776995.33,118224353.98,None,None,None,0.3375,0.0354,-0.0106,138049551.0,250610210.5,288448274.5,434778935.0,1213427801.5,2.43,0.7737,30.66,0.0,1.8,0.0,2019-09-24
