,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,147,5.5,-0.29,-0.0501,5.5,5.5,5.5,0.0,6.78,4.29,5.2,4.29,5.81,6.5,5.86,6.09,5.87,5.6,5.82,5.93,5.86,5.67,DOWNTREND,DOWNTREND,SIDEWAYS,45.2587,-0.1112,0.0903,HIGH,-57.6429,40.7094,-69.7842,12960.0,9200.0,7425.0,70538.7,50115.07,40807.1,White Marubozu,Bullish Harami,Three White Soldiers,-0.1888,-0.0501,-0.0501,0.0,-15231.0,-10612.0,-10612.0,115486.0,0.2,-0.8582,27.5,0.0,0.86,0.0,2019-10-22
1,151,5.45,0.4,0.0792,5.0,5.0,5.45,0.0,6.78,5.0,5.02,4.32,5.73,6.38,5.6,5.95,5.85,5.6,5.56,5.77,5.78,5.64,DOWNTREND,DOWNTREND,SIDEWAYS,47.728,-0.1693,0.0837,HIGH,-64.6427,23.504,-47.0588,6930.0,7913.33,9210.0,36087.8,42076.53,49248.2,White Marubozu,None,None,-0.1962,0.0481,0.0481,0.0,580.0,-14208.0,-10612.0,115486.0,0.19,-0.8633,28.68,0.0,0.85,0.0,2019-12-03
2,149,5.1,0.0,0.0,5.1,5.1,5.1,0.0,6.78,4.41,5.09,4.41,5.75,6.5,5.71,6.02,5.85,5.6,5.66,5.85,5.82,5.66,DOWNTREND,DOWNTREND,SIDEWAYS,41.4128,-0.1421,0.08900000000000001,HIGH,-116.1342,17.5808,-97.8022,2390.0,9066.67,7310.0,13097.0,49255.2,39845.35,White Marubozu,Bullish Harami,Three White Soldiers,-0.2478,-0.0727,-0.113,0.0,2308.0,-12452.0,-10612.0,115486.0,0.19,-0.8633,26.84,0.0,0.8,0.0,2019-11-20
3,151,5.35,-0.1,-0.0183,5.2,5.2,5.35,0.0,6.78,5.0,5.02,4.41,5.73,6.3,5.56,5.93,5.85,5.61,5.54,5.76,5.78,5.64,DOWNTREND,DOWNTREND,SIDEWAYS,46.6033,-0.1719,0.0825,HIGH,-58.2751,32.844,-56.7901,6870.0,5093.33,9425.0,35545.7,26616.4,50355.2,White Marubozu,Bullish Harami,None,-0.2109,0.0288,-0.0183,0.0,580.0,-14808.0,-10612.0,115486.0,0.19,-0.8633,28.16,0.0,0.83,0.0,2019-12-09
4,145,5.33,-1.17,-0.18,5.31,5.31,5.33,-20214.0,6.78,4.29,5.32,5.16,6.5,6.78,6.15,6.14,5.86,5.56,6.11,6.06,5.89,5.65,DOWNTREND,SIDEWAYS,UPTREND,41.3932,-0.0088,0.1076,HIGH,-214.3493,69.7674,-90.6977,5710.0,5286.67,4630.0,32580.6,31097.27,27548.5,White Marubozu,None,Three White Soldiers,-0.2139,-0.1775,-0.1775,-20862.0,-15595.0,-15595.0,-16751.0,110503.0,0.2,-0.8582,26.65,0.0,0.84,0.0,2019-09-06
5,145,5.79,0.0,0.0,5.3,5.08,5.79,0.0,6.78,4.29,5.2,4.41,5.83,6.5,5.89,6.1,5.87,5.6,5.86,5.95,5.87,5.67,DOWNTREND,DOWNTREND,SIDEWAYS,48.5611,-0.106,0.0886,HIGH,-52.2604,44.8042,-48.9209,11980.0,8666.67,7060.0,65164.7,47315.07,38861.25,White Long Day,None,Three White Soldiers,-0.146,0.0,0.0,580.0,-15231.0,-10612.0,-10612.0,115486.0,0.2,-0.8582,28.95,0.0,0.91,0.0,2019-10-03
6,151,5.05,-0.15,-0.0288,5.04,5.03,5.05,0.0,6.78,5.03,5.04,4.29,5.73,6.47,5.65,5.97,5.85,5.6,5.57,5.79,5.79,5.65,DOWNTREND,DOWNTREND,SIDEWAYS,42.5812,-0.1643,0.0904,HIGH,-124.9729,31.8732,-97.619,6850.0,10980.0,9205.0,35666.5,58360.53,49274.2,Spinning Top,None,None,-0.2552,-0.0288,-0.0288,0.0,1110.0,-14208.0,-10612.0,115486.0,0.19,-0.8633,26.58,0.0,0.79,0.0,2019-12-02
7,149,5.1,0.0,0.0,5.1,5.1,5.1,0.0,6.78,4.41,5.09,4.41,5.75,6.5,5.71,6.02,5.85,5.6,5.66,5.85,5.82,5.66,DOWNTREND,DOWNTREND,SIDEWAYS,41.4128,-0.1421,0.08900000000000001,HIGH,-116.1342,17.5808,-97.8022,2390.0,9066.67,7310.0,13097.0,49255.2,39845.35,White Marubozu,Bullish Harami,Three White Soldiers,-0.2478,-0.0727,-0.113,0.0,2308.0,-12452.0,-10612.0,115486.0,0.19,-0.8633,26.84,0.0,0.8,0.0,2019-11-21
8,151,5.89,-0.07,-0.0117,5.89,5.89,5.89,5890.0,6.78,5.0,5.2,5.0,5.96,6.47,5.45,5.79,5.83,5.61,5.54,5.68,5.73,5.63,SIDEWAYS,DOWNTREND,SIDEWAYS,54.983999999999995,-0.1234,0.0579,HIGH,142.4253,95.3472,-7.2917,24480.0,19506.67,15665.0,132895.9,104830.67,84281.2,White Marubozu,None,None,-0.1313,0.1327,-0.0117,10790.0,50790.0,53098.0,40178.0,166276.0,0.19,-0.8633,31.0,0.0,0.92,0.0,2019-12-23
9,145,5.8,0.4,0.0741,5.4,5.4,5.85,580.0,6.78,4.29,5.3,5.07,5.99,6.5,5.98,6.13,5.86,5.59,5.94,6.0,5.88,5.67,DOWNTREND,SIDEWAYS,UPTREND,47.9144,-0.0675,0.0932,HIGH,-44.0431,20.901999999999997,-58.3333,12150.0,8800.0,8840.0,65981.2,48281.87,48916.8,White Long Day,Tweezer Bottoms,None,-0.1445,-0.1049,0.0741,2308.0,-15879.0,-10612.0,-11768.0,115486.0,0.2,-0.8582,29.0,0.0,0.91,0.0,2019-09-24
