,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,148,4.5,-0.11,-0.0239,4.5,4.5,4.5,0.0,4.87,3.52,4.04,3.89,4.71,4.86,4.54,4.42,4.35,4.48,4.54,4.47,4.43,4.44,UPTREND,SIDEWAYS,SIDEWAYS,49.5623,0.035,0.0635,HIGH,-0.8109,77.9167,-31.25,15400.0,16200.0,46500.0,71068.0,72755.33,193196.0,White Marubozu,None,Three White Soldiers,0.2784,-0.0446,-0.0239,4710.0,9420.0,19060.0,87270.0,-1864331.0,-0.33,-0.1786,-13.64,0.0,1.64,0.0,2019-10-22
1,152,4.3,-0.1,-0.0227,4.3,4.3,4.3,0.0,4.87,3.52,4.0,3.86,4.5,4.71,4.48,4.43,4.35,4.5,4.47,4.46,4.44,4.44,DOWNTREND,SIDEWAYS,SIDEWAYS,44.615,-0.0012,0.0411,NEUTRAL,-77.5393,0.0,-100.0,22700.0,19400.0,19600.0,102426.0,88233.33,88592.0,White Marubozu,None,None,0.2216,-0.0227,-0.0227,-4430.0,4990.0,4990.0,39060.0,-1849401.0,-0.44,0.12,-9.77,0.0,1.65,0.0,2019-12-03
2,150,4.43,-0.07,-0.0156,4.4,4.4,4.43,-4430.0,4.87,3.52,4.42,3.98,4.59,4.74,4.5,4.44,4.36,4.5,4.52,4.48,4.44,4.44,UPTREND,SIDEWAYS,SIDEWAYS,47.788000000000004,0.0181,0.0453,NEUTRAL,-26.9795,56.8823,-66.6667,26100.0,22266.67,21350.0,118491.0,101311.33,95906.0,White Marubozu,None,Three White Soldiers,0.2585,-0.0156,-0.0156,-4430.0,4990.0,4990.0,63460.0,-1849401.0,-0.44,0.12,-12.31,0.0,1.7,0.0,2019-11-20
3,152,4.3,-0.1,-0.0227,4.3,4.3,4.3,0.0,4.87,3.52,4.0,3.86,4.5,4.71,4.48,4.43,4.35,4.5,4.47,4.46,4.44,4.44,DOWNTREND,SIDEWAYS,SIDEWAYS,44.615,-0.0012,0.0411,NEUTRAL,-77.5393,0.0,-100.0,22700.0,19400.0,19600.0,102426.0,88233.33,88592.0,White Marubozu,None,None,0.2216,-0.0227,-0.0227,-4430.0,4990.0,4990.0,39060.0,-1849401.0,-0.44,0.12,-9.77,0.0,1.65,0.0,2019-12-09
4,146,4.0,-0.72,-0.1525,3.95,3.95,4.0,0.0,4.87,3.52,3.98,3.52,4.75,4.9,4.59,4.44,4.32,4.46,4.53,4.45,4.41,4.43,SIDEWAYS,UPTREND,SIDEWAYS,42.4487,0.0929,0.1069,HIGH,-114.9401,63.3987,-84.3137,85000.0,66200.0,51750.0,345870.0,276451.33,215009.0,White Marubozu,None,None,0.1364,-0.1525,-0.1525,0.0,0.0,9640.0,73690.0,-1878151.0,-0.33,-0.1786,-12.12,0.0,1.46,0.0,2019-09-06
5,146,4.71,0.0,0.0,4.71,4.71,4.71,0.0,4.87,3.52,4.29,3.86,4.72,4.88,4.57,4.42,4.33,4.47,4.53,4.46,4.43,4.44,DOWNTREND,UPTREND,SIDEWAYS,53.1054,0.0287,0.07200000000000001,HIGH,49.7406,92.1958,-5.0,16800.0,59266.67,51050.0,74750.0,245104.0,211894.0,White Marubozu,Bullish Harami,Three White Soldiers,0.3381,0.0,0.0,9420.0,9420.0,19060.0,83110.0,-1868731.0,-0.33,-0.1786,-14.27,0.0,1.72,0.0,2019-10-03
6,152,4.4,0.05,0.0115,4.41,4.4,4.41,0.0,4.87,3.52,4.35,3.98,4.5,4.71,4.46,4.43,4.35,4.51,4.49,4.47,4.44,4.44,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.2691,0.0061,0.0415,NEUTRAL,-23.5265,0.0,-86.1111,22800.0,21333.33,20700.0,102918.0,97366.67,92972.0,Black Marubozu,None,None,0.25,-0.0222,-0.0068,-4430.0,4990.0,4990.0,43940.0,-1849401.0,-0.44,0.12,-10.0,0.0,1.69,0.0,2019-12-02
7,150,4.43,-0.07,-0.0156,4.4,4.4,4.43,-4430.0,4.87,3.52,4.42,3.98,4.59,4.74,4.5,4.44,4.36,4.5,4.52,4.48,4.44,4.44,UPTREND,SIDEWAYS,SIDEWAYS,47.788000000000004,0.0181,0.0453,NEUTRAL,-26.9795,56.8823,-66.6667,26100.0,22266.67,21350.0,118491.0,101311.33,95906.0,White Marubozu,None,Three White Soldiers,0.2585,-0.0156,-0.0156,-4430.0,4990.0,4990.0,63460.0,-1849401.0,-0.44,0.12,-12.31,0.0,1.7,0.0,2019-11-21
8,152,4.0,-0.12,-0.0291,4.11,4.0,4.11,-4110.0,4.87,3.52,3.98,3.86,4.3,4.71,4.45,4.43,4.35,4.48,4.36,4.41,4.41,4.43,DOWNTREND,SIDEWAYS,SIDEWAYS,36.9576,-0.0451,0.0377,NEUTRAL,-173.5254,0.0,-100.0,27500.0,22533.33,21500.0,119509.0,98851.33,95704.5,Black Marubozu,None,None,0.1364,-0.0909,-0.0291,-4110.0,-8540.0,880.0,34950.0,-1853511.0,-0.44,0.12,-9.09,0.0,1.53,0.0,2019-12-23
9,146,4.71,0.0,0.0,4.71,4.71,4.71,4710.0,4.87,3.52,4.04,3.86,4.75,4.9,4.59,4.43,4.33,4.47,4.49,4.44,4.41,4.43,DOWNTREND,UPTREND,SIDEWAYS,53.1054,0.0229,0.0835,HIGH,44.5247,72.7315,-8.8889,16500.0,56800.0,49750.0,72930.0,233459.33,205876.5,White Marubozu,Bullish Harami,Three White Soldiers,0.3381,-0.0021,0.0,4710.0,4710.0,14350.0,78400.0,-1873441.0,-0.33,-0.1786,-14.27,0.0,1.72,0.0,2019-09-24
10,152,4.4,0.05,0.0115,4.41,4.4,4.41,0.0,4.87,3.52,4.35,3.98,4.5,4.71,4.46,4.43,4.35,4.51,4.49,4.47,4.44,4.44,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.2691,0.0061,0.0415,NEUTRAL,-23.5265,0.0,-86.1111,22800.0,21333.33,20700.0,102918.0,97366.67,92972.0,Black Marubozu,None,None,0.25,-0.0222,-0.0068,-4430.0,4990.0,4990.0,43940.0,-1849401.0,-0.44,0.12,-10.0,0.0,1.69,0.0,2019-11-29
11,146,4.04,-0.66,-0.1404,4.04,4.04,4.04,0.0,4.87,3.52,3.98,3.65,4.72,4.88,4.57,4.43,4.32,4.46,4.46,4.42,4.4,4.43,DOWNTREND,UPTREND,SIDEWAYS,44.6798,0.0468,0.1082,HIGH,-103.7392,39.8693,-80.3922,79700.0,61933.33,52400.0,325164.0,254197.33,219189.0,White Marubozu,None,None,0.1477,-0.1441,-0.1404,0.0,0.0,9640.0,73690.0,-1878151.0,-0.33,-0.1786,-12.24,0.0,1.47,0.0,2019-09-16
12,148,4.5,-0.11,-0.0239,4.5,4.5,4.5,0.0,4.87,3.52,4.04,3.89,4.71,4.86,4.54,4.42,4.35,4.48,4.54,4.47,4.43,4.44,UPTREND,SIDEWAYS,SIDEWAYS,49.5623,0.035,0.0635,HIGH,-0.8109,77.9167,-31.25,15400.0,16200.0,46500.0,71068.0,72755.33,193196.0,White Marubozu,None,Three White Soldiers,0.2784,-0.0446,-0.0239,4710.0,9420.0,19060.0,87270.0,-1864331.0,-0.33,-0.1786,-13.64,0.0,1.64,0.0,2019-10-16
