,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,149,5.06,0.0,0.0,5.06,5.06,5.06,0.0,8.99,3.46,5.04,4.4,5.58,6.99,5.6,5.28,5.29,5.33,5.5,5.39,5.33,5.32,UPTREND,UPTREND,SIDEWAYS,44.5246,0.114,0.1092,HIGH,-114.6809,8.7102,-96.9849,12340.0,11306.67,20010.0,66895.5,61807.47,113160.75,White Marubozu,Bullish Harami,None,0.0498,-0.1321,-0.0899,0.0,0.0,0.0,0.0,0.0,0.43,-0.3175,11.77,0.0,0.45,0.0,2019-10-22
1,153,5.21,-0.01,-0.0019,5.21,5.21,5.21,0.0,8.99,3.8,5.2,5.04,5.25,6.64,5.39,5.43,5.3,5.34,5.41,5.4,5.36,5.33,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.3409,-0.0137,0.0669,HIGH,-46.0553,7.3301,-93.6508,3580.0,4460.0,4830.0,19459.9,24990.13,26581.6,White Marubozu,None,Three White Soldiers,0.0809,-0.0019,-0.0019,0.0,0.0,0.0,0.0,0.0,0.45,0.3636,11.58,0.0,0.47,0.0,2019-12-03
2,151,5.2,-0.45,-0.0796,5.2,5.2,5.2,0.0,8.99,3.54,5.09,4.16,6.02,6.64,5.52,5.43,5.32,5.34,5.53,5.44,5.37,5.34,UPTREND,SIDEWAYS,SIDEWAYS,46.17100000000001,0.0419,0.0953,HIGH,-72.6064,24.055,-91.7526,6290.0,6173.33,5585.0,35396.4,34049.6,30607.2,White Marubozu,None,None,0.0788,0.0216,-0.0877,0.0,0.0,0.0,0.0,0.0,0.45,0.3636,11.56,0.0,0.47,0.0,2019-11-20
3,153,5.21,0.0,0.0,5.21,5.21,5.22,0.0,8.99,3.8,5.2,5.04,5.22,6.64,5.38,5.42,5.3,5.34,5.39,5.39,5.36,5.33,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3409,-0.0248,0.0623,HIGH,-41.961999999999996,6.5256,-93.6508,1300.0,4466.67,4035.0,7095.7,24982.6,22268.95,Gravestone Doji,None,None,0.0809,-0.0019,-0.0019,0.0,0.0,0.0,0.0,0.0,0.45,0.3636,11.58,0.0,0.47,0.0,2019-12-09
4,147,5.5,0.21,0.0397,5.26,5.26,5.5,0.0,8.99,3.46,5.0,4.15,6.34,7.5,5.21,5.06,5.26,5.3,5.25,5.19,5.22,5.26,UPTREND,SIDEWAYS,SIDEWAYS,53.4655,0.0684,0.1202,HIGH,23.3648,29.9936,-67.2447,31330.0,23213.33,18220.0,180928.6,133078.4,103827.55,White Marubozu,None,None,0.1411,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.43,-0.3175,12.79,0.0,0.49,0.0,2019-09-06
5,147,5.78,-0.05,-0.0086,5.5,5.5,5.78,0.0,8.99,3.46,5.49,4.4,6.4,6.99,5.55,5.15,5.29,5.33,5.63,5.4,5.33,5.32,UPTREND,UPTREND,SIDEWAYS,52.5315,0.1793,0.1198,HIGH,43.7935,41.541000000000004,-60.803999999999995,13700.0,24506.67,20730.0,75572.9,139455.47,116981.6,White Marubozu,Bullish Harami,Three White Soldiers,0.1992,-0.0086,-0.0153,0.0,0.0,0.0,0.0,0.0,0.43,-0.3175,13.44,0.0,0.52,0.0,2019-10-03
6,153,5.22,0.01,0.0019,5.22,5.22,5.22,0.0,8.99,3.8,5.2,5.04,5.25,6.64,5.41,5.42,5.3,5.34,5.43,5.41,5.36,5.33,UPTREND,SIDEWAYS,SIDEWAYS,46.4893,-0.0016,0.0718,HIGH,-47.5605,8.3065,-93.1217,4840.0,4520.0,4875.0,27303.7,25291.4,26833.55,White Marubozu,None,Morning Star,0.083,0.0255,0.0038,0.0,0.0,0.0,0.0,0.0,0.45,0.3636,11.6,0.0,0.47,0.0,2019-12-02
7,151,5.2,-0.45,-0.0796,5.2,5.2,5.2,0.0,8.99,3.54,5.09,4.16,6.02,6.64,5.52,5.43,5.32,5.34,5.53,5.44,5.37,5.34,UPTREND,SIDEWAYS,SIDEWAYS,46.17100000000001,0.0419,0.0953,HIGH,-72.6064,24.055,-91.7526,6290.0,6173.33,5585.0,35396.4,34049.6,30607.2,White Marubozu,None,None,0.0788,0.0216,-0.0877,0.0,0.0,0.0,0.0,0.0,0.45,0.3636,11.56,0.0,0.47,0.0,2019-11-21
8,153,5.18,-0.02,-0.0038,5.18,5.18,5.18,0.0,8.99,3.8,5.09,4.16,5.74,6.64,5.43,5.46,5.28,5.35,5.36,5.38,5.35,5.33,DOWNTREND,SIDEWAYS,SIDEWAYS,46.4052,-0.0427,0.06,HIGH,-62.9478,0.0,-100.0,1240.0,2946.67,3765.0,6493.2,15909.53,20944.8,White Marubozu,None,Three White Soldiers,0.0747,-0.0077,-0.0038,0.0,0.0,0.0,0.0,0.0,0.45,0.3636,11.51,0.0,0.46,0.0,2019-12-23
9,147,6.4,-0.59,-0.0844,5.7,5.2,6.4,0.0,8.99,3.46,5.05,4.16,6.99,7.99,5.43,5.11,5.29,5.31,5.53,5.32,5.29,5.29,UPTREND,UPTREND,SIDEWAYS,58.5674,0.1229,0.1145,HIGH,84.8522,70.368,-29.6482,20730.0,24633.33,23420.0,112061.1,139592.33,132995.85,None,Bullish Harami,None,0.3278,0.28,0.2549,0.0,0.0,0.0,0.0,0.0,0.43,-0.3175,14.88,0.0,0.57,0.0,2019-09-24
