,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,150,5.11,-0.12,-0.0229,5.23,5.11,5.23,0.0,7.13,2.94,5.1,4.85,5.58,6.72,5.26,5.29,5.42,5.55,5.24,5.3,5.39,5.31,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.1518,-0.004,0.0816,HIGH,-38.7913,14.9123,-88.5965,9630.0,12826.67,16305.0,50261.2,76808.8,81499.8,Black Marubozu,Bearish Engulfing,None,0.0407,-0.0229,-0.0229,594.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,154,5.9,0.71,0.1368,5.9,5.9,5.9,0.0,7.13,4.6,5.04,4.85,6.47,6.72,5.28,5.29,5.43,5.53,5.31,5.32,5.39,5.32,UPTREND,SIDEWAYS,SIDEWAYS,56.6468,0.0108,0.1044,HIGH,101.8125,0.0,-57.0,114750.0,82640.0,66785.0,684786.6,488525.53,398870.15,White Marubozu,None,None,0.2016,0.1368,0.1368,0.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,152,5.19,0.15,0.0298,5.7,5.19,6.92,0.0,7.13,4.43,5.04,4.85,6.47,6.72,5.23,5.28,5.42,5.53,5.25,5.3,5.38,5.31,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.2017,0.0025,0.1173,HIGH,90.0322,0.0,-92.5,102050.0,76506.67,57805.0,605789.4,458226.87,345781.35,Shooting Star,None,None,0.057,0.0298,0.0298,0.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,154,5.9,0.71,0.1368,5.9,5.9,5.9,0.0,7.13,4.6,5.04,4.85,6.47,6.72,5.28,5.29,5.43,5.53,5.31,5.32,5.39,5.32,UPTREND,SIDEWAYS,SIDEWAYS,56.6468,0.0108,0.1044,HIGH,101.8125,0.0,-57.0,114750.0,82640.0,66785.0,684786.6,488525.53,398870.15,White Marubozu,None,None,0.2016,0.1368,0.1368,0.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,148,5.3,-0.3,-0.0536,5.32,5.3,5.32,0.0,7.13,2.94,4.85,4.43,6.61,6.85,5.3,5.32,5.43,5.54,5.27,5.33,5.41,5.32,DOWNTREND,SIDEWAYS,SIDEWAYS,50.2225,-0.013999999999999999,0.1133,HIGH,-2.7615,26.6469,-80.2632,13790.0,18526.67,31255.0,87218.3,91812.87,165682.95,Black Marubozu,None,Three Black Crows,0.0794,0.0928,0.0928,0.0,0.0,8055.0,45807.0,1008901.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,148,5.23,0.0,0.0,5.23,5.23,5.23,0.0,7.13,2.94,5.16,4.85,5.58,6.72,5.25,5.3,5.42,5.55,5.25,5.3,5.39,5.32,UPTREND,SIDEWAYS,SIDEWAYS,49.667,-0.0013,0.0841,HIGH,-18.6426,16.2281,-83.3333,18530.0,12920.0,16305.0,111681.0,77268.93,81489.2,White Marubozu,Bullish Harami,Three White Soldiers,0.0652,0.0,0.0,594.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,154,5.9,0.71,0.1368,5.9,5.9,5.9,0.0,7.13,4.6,5.04,4.85,6.47,6.72,5.28,5.29,5.43,5.53,5.31,5.32,5.39,5.32,UPTREND,SIDEWAYS,SIDEWAYS,56.6468,0.0108,0.1044,HIGH,101.8125,0.0,-57.0,114750.0,82640.0,66785.0,684786.6,488525.53,398870.15,White Marubozu,None,None,0.2016,0.1368,0.1368,0.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,152,5.19,0.15,0.0298,5.7,5.19,6.92,0.0,7.13,4.43,5.04,4.85,6.47,6.72,5.23,5.28,5.42,5.53,5.25,5.3,5.38,5.31,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.2017,0.0025,0.1173,HIGH,90.0322,0.0,-92.5,102050.0,76506.67,57805.0,605789.4,458226.87,345781.35,Shooting Star,None,None,0.057,0.0298,0.0298,0.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,154,5.22,0.04,0.0077,5.88,5.22,5.88,-1176585.0,7.13,4.6,5.18,4.85,6.41,6.61,5.32,5.26,5.42,5.51,5.28,5.31,5.38,5.32,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.2602,0.0136,0.1126,HIGH,-0.1489,8.1667,-91.0,135190.0,94066.67,76905.0,804605.0,556808.53,458359.35,Black Marubozu,None,None,0.0631,0.0058,-0.1153,-1177106.0,-1176512.0,-1176512.0,-1130705.0,-167611.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,148,5.2,-0.01,-0.0019,5.2,5.2,5.2,0.0,7.13,2.94,5.16,4.64,5.62,6.72,5.21,5.3,5.42,5.54,5.25,5.31,5.4,5.32,UPTREND,SIDEWAYS,SIDEWAYS,49.3233,-0.0004,0.0976,HIGH,-13.9132,14.9123,-84.6491,18700.0,17320.0,24340.0,112494.1,100657.0,118911.25,White Marubozu,None,None,0.0591,0.0722,-0.0019,594.0,594.0,594.0,46401.0,1009495.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
