,Unnamed: 0,Last,Change,%Change,Open,Low,High,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,151,11.38,-0.4,-0.034,11.8,11.38,11.8,669600.0,7681530.0,0.0,27.35,5.84,11.3,8.94,12.95,14.79,10.55,0.0,0.0,0.0,11.06,0.0,0.0,0.0,UPTREND,NONE,NONE,53.3238,-0.0881,0.0924,HIGH,67.6242,64.9289,-40.7583,2165000.0,1560293.33,1299425.0,25404265.5,18029889.87,14841048.9,Black Marubozu,None,None,0.0,0.1267,-0.0274,-166624.0,-347412.0,-266732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,155,11.48,0.42,0.038,11.06,11.04,11.5,327200.0,3737824.0,-42550.0,27.35,5.84,10.92,8.95,12.24,14.76,12.39,11.45,0.0,0.0,11.96,11.81,0.0,0.0,DOWNTREND,UPTREND,NONE,46.0254,0.0982,0.0675,HIGH,-99.4546,8.0276,-84.689,953100.0,1362566.67,1745275.0,11388442.2,17551294.53,23134597.4,White Long Day,Bullish Engulfing,None,0.0,0.0436,0.0436,-117050.0,794590.0,351776.0,73644.0,0.0,0.19,-0.24,60.42,0.0,2.95,0.0,2019-12-03
2,153,11.96,-0.46,-0.037000000000000005,12.52,11.82,12.52,1502100.0,18124170.0,0.0,27.35,5.84,11.89,10.96,14.56,14.85,12.28,11.38,0.0,0.0,12.38,11.85,0.0,0.0,UPTREND,UPTREND,NONE,48.5795,0.4819,0.0798,HIGH,-17.1167,29.9997,-80.0,2661550.0,1928006.67,1572615.0,36383390.4,26058134.93,20993857.1,Black Long Day,None,None,0.0,0.0584,-0.098,650370.0,449910.0,178566.0,684380.0,0.0,0.19,-0.24,62.95,0.0,3.07,0.0,2019-11-20
3,155,10.22,-0.38,-0.0358,10.46,10.0,10.6,607000.0,6220746.0,-13392.0,27.35,5.84,10.11,8.94,11.64,14.76,12.04,11.5,0.0,0.0,11.57,11.66,0.0,0.0,DOWNTREND,UPTREND,NONE,36.5923,-0.106,0.0735,HIGH,-144.5136,7.9728,-92.4138,600310.0,829640.0,1515790.0,6797428.6,9780986.4,19981828.8,None,None,None,0.0,-0.0709,-0.0358,-82212.0,-183046.0,312114.0,222766.0,0.0,0.19,-0.24,53.79,0.0,2.63,0.0,2019-12-09
4,149,9.9,-1.16,-0.1049,11.16,9.82,11.4,1425400.0,14953419.0,41052.0,27.35,5.84,9.8,7.0,11.75,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,47.7828,0.0,0.0,LOW,0.0,0.0,0.0,8779740.0,0.0,0.0,147486303.0,0.0,0.0,Black Long Day,None,None,0.0,-0.0934,-0.0934,1033762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,149,9.58,-0.22,-0.0224,9.7,9.51,9.7,172000.0,1645899.0,6706.0,27.35,5.84,9.54,9.54,10.46,13.06,10.68,0.0,0.0,0.0,10.68,0.0,0.0,0.0,DOWNTREND,NONE,NONE,43.7896,0.0,0.1531,HIGH,-116.3271,2.7225,-98.1818,507140.0,1132566.67,1263405.0,5259776.9,13223795.27,14405953.8,None,None,None,0.0,-0.0515,-0.0552,24246.0,110786.0,308797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,155,11.06,0.06,0.0055,11.3,10.88,11.3,233100.0,2568552.0,0.0,27.35,5.84,10.92,8.94,12.43,14.76,12.41,11.43,0.0,0.0,12.01,11.83,0.0,0.0,DOWNTREND,UPTREND,NONE,41.9812,0.1512,0.0722,HIGH,-128.5307,4.4704,-94.7368,999600.0,1857813.33,1745835.0,11999717.0,24861263.33,23148083.6,None,None,None,0.0,0.0055,0.0055,-72028.0,428568.0,371366.0,105694.0,0.0,0.19,-0.24,58.21,0.0,2.84,0.0,2019-12-02
7,153,11.6,-0.36,-0.0301,11.82,11.52,12.16,747700.0,8761116.0,8330.0,27.35,5.84,11.56,10.96,14.14,14.76,12.28,11.39,0.0,0.0,12.3,11.84,0.0,0.0,UPTREND,UPTREND,NONE,46.0501,0.4461,0.0803,HIGH,-45.0167,19.3382,-92.6829,2594890.0,1952533.33,1569885.0,35554412.2,26350821.6,20960263.4,None,None,None,0.0,0.0265,-0.1252,657562.0,446840.0,195986.0,504252.0,0.0,0.19,-0.24,61.05,0.0,2.98,0.0,2019-11-21
8,155,10.1,0.3,0.0306,9.84,9.8,10.14,231400.0,2310848.0,-2984.0,27.35,5.84,9.17,8.94,10.12,12.43,10.54,11.51,0.0,0.0,10.45,11.05,0.0,0.0,DOWNTREND,DOWNTREND,NONE,42.8895,-0.5393,0.0603,HIGH,-46.8396,33.3333,-59.1549,275080.0,346626.67,437695.0,2668201.4,3559976.0,4732815.0,White Long Day,None,None,0.0,-0.0818,0.0306,35096.0,-83206.0,345362.0,-18752.0,0.0,0.19,-0.24,53.16,0.0,2.6,0.0,2019-12-23
9,149,10.22,-0.28,-0.0267,10.54,10.14,10.86,319100.0,3318022.0,1078.0,27.35,5.84,10.18,9.7,11.68,14.79,11.29,0.0,0.0,0.0,11.46,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,46.6034,0.0,0.2072,HIGH,-91.9398,26.7703,-81.3472,1651690.0,1736660.0,2599325.0,19618328.4,19832633.8,31839664.05,None,None,None,0.0,-0.0641,-0.0607,10432.0,-38800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,155,11.0,-0.7,-0.0598,11.62,10.84,11.62,1444000.0,16053672.0,-16860.0,27.35,5.84,10.92,8.94,12.69,14.76,12.46,11.43,0.0,0.0,12.11,11.86,0.0,0.0,DOWNTREND,UPTREND,NONE,41.3987,0.2104,0.0753,HIGH,-129.9091,7.527,-96.4912,1170190.0,2114360.0,1787390.0,14232315.6,28298652.67,23650023.6,Black Long Day,None,None,0.0,-0.0265,-0.0969,-72028.0,383366.0,537566.0,146746.0,0.0,0.19,-0.24,57.89,0.0,2.83,0.0,2019-11-29
11,149,12.76,0.46,0.0374,12.44,12.4,13.36,3650600.0,47308664.0,-6300.0,27.35,5.84,10.19,7.0,13.06,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,58.5827,0.0,0.221,HIGH,0.0,32.5857,-46.3816,1979580.0,3870726.67,0.0,22494704.9,49451857.0,0.0,None,None,None,0.0,0.1685,0.0374,-195084.0,-415418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,151,11.7,0.38,0.0336,11.34,11.34,11.98,1030400.0,12062586.0,-70200.0,27.35,5.84,9.58,8.94,12.15,13.06,10.31,0.0,0.0,0.0,10.66,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,57.9795,-0.4262,0.0945,HIGH,120.6392,85.1406,-15.0602,1246650.0,995786.67,912480.0,13780537.8,10865996.33,9955309.0,None,Bullish Harami,None,0.0,0.1584,0.0263,-211080.0,-233448.0,-234788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,149,14.0,1.34,0.1058,12.52,11.8,14.8,9607000.0,132067912.0,188458.0,27.35,5.84,10.21,7.0,22.84,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,64.7507,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,-0.0667,180659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,149,10.1,-0.04,-0.0039,10.14,9.95,10.4,186400.0,1875791.0,-40580.0,27.35,5.84,9.92,9.7,10.73,13.06,10.87,0.0,0.0,0.0,11.04,0.0,0.0,0.0,DOWNTREND,NONE,NONE,46.3923,0.0,0.1716,HIGH,-93.5251,16.9527,-94.2197,918100.0,1448586.67,1448840.0,10365747.0,16808879.33,16430225.95,None,None,None,0.0,-0.0751,-0.0039,-39502.0,11160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,155,9.73,-0.49,-0.0479,10.2,9.48,10.22,546200.0,5347394.0,0.0,27.35,5.84,9.6,8.95,11.64,14.56,11.82,11.49,0.0,0.0,11.39,11.59,0.0,0.0,DOWNTREND,SIDEWAYS,NONE,33.4809,-0.1728,0.0771,HIGH,-165.3328,8.583,-92.6901,579050.0,813240.0,1155305.0,6400937.4,9480774.53,14579830.7,None,None,None,0.0,-0.1155,-0.0821,-39662.0,-183046.0,300864.0,229066.0,0.0,0.19,-0.24,51.21,0.0,2.5,0.0,2019-12-10
16,149,12.56,-1.44,-0.1029,14.5,12.0,15.58,8386900.0,115937408.0,-397910.0,27.35,5.84,12.18,7.0,22.84,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,58.4099,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,-0.1627,-443993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
17,152,11.78,-0.02,-0.0017,11.8,11.7,12.02,261100.0,3097792.0,0.0,27.35,5.84,11.2,9.01,12.09,12.95,11.44,11.04,0.0,0.0,11.38,11.28,0.0,0.0,UPTREND,UPTREND,NONE,55.3484,0.1397,0.0641,HIGH,58.0554,45.3216,-57.8947,483680.0,1098053.33,1324340.0,5604323.8,13163337.47,15504294.65,None,None,None,0.0,0.0425,0.0425,-15840.0,-137214.0,-300462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-06
18,155,9.79,-0.21,-0.021,10.16,9.62,10.18,237400.0,2310481.0,0.0,27.35,5.84,9.6,8.94,10.9,14.14,11.44,11.5,0.0,0.0,11.12,11.46,0.0,0.0,DOWNTREND,SIDEWAYS,NONE,35.2575,-0.2982,0.0747,HIGH,-132.8992,10.5263,-90.9357,517560.0,696833.33,978330.0,5566594.7,8020335.67,12048834.35,None,None,None,0.0,-0.11,-0.0764,-20542.0,-198526.0,248314.0,-14476.0,0.0,0.19,-0.24,51.53,0.0,2.52,0.0,2019-12-12
19,149,10.5,-0.72,-0.0642,11.3,10.2,11.3,895900.0,9454990.0,-37460.0,27.35,5.84,10.35,7.0,14.07,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,50.1412,0.0,0.0,LOW,0.0,0.0,0.0,16046600.0,0.0,0.0,244263883.7,0.0,0.0,Black Long Day,None,None,0.0,-0.0385,-0.0385,331974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-04
