,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,152,0.75,0.0,0.0,0.75,0.73,0.75,7300.0,1.1,0.71,0.73,0.62,0.76,0.79,0.74,0.76,0.8,0.83,0.74,0.76,0.79,0.84,DOWNTREND,DOWNTREND,DOWNTREND,51.2765,-0.0096,0.0228,LOW,38.4615,66.6667,-20.0,29300.0,28733.33,31650.0,21352.0,21001.33,23186.5,Dragonfly Doji,None,None,-0.1176,0.0274,0.0274,7300.0,43300.0,58980.0,254710.0,605370.0,0.11,0.2222,6.82,0.0,0.49,0.0,2019-10-22
1,156,0.75,-0.01,-0.0132,0.75,0.75,0.75,0.0,1.1,0.7,0.74,0.71,0.76,0.79,0.75,0.75,0.79,0.82,0.75,0.76,0.78,0.82,SIDEWAYS,SIDEWAYS,DOWNTREND,48.7035,0.0005,0.0203,LOW,-3.7453,66.6667,-37.5,70500.0,53933.33,46250.0,51865.0,39859.33,34160.5,White Marubozu,None,Three White Soldiers,-0.1176,-0.0132,-0.0132,175690.0,284180.0,327480.0,387050.0,889550.0,0.12,0.3333,6.25,0.0,0.5,0.0,2019-12-03
2,154,0.75,-0.01,-0.0132,0.73,0.73,0.75,0.0,1.1,0.7,0.72,0.62,0.78,0.82,0.75,0.75,0.79,0.82,0.75,0.76,0.78,0.83,UPTREND,SIDEWAYS,DOWNTREND,48.8023,0.0002,0.0258,LOW,-12.7772,70.8333,-37.5,57300.0,45933.33,43300.0,42070.0,33734.67,31711.0,White Marubozu,None,Three White Soldiers,-0.1176,0.0,-0.0132,73380.0,115790.0,176640.0,238980.0,713860.0,0.12,0.3333,6.25,0.0,0.5,0.0,2019-11-20
3,156,0.77,0.02,0.0267,0.77,0.77,0.77,85470.0,1.1,0.7,0.72,0.62,0.78,0.82,0.76,0.75,0.79,0.81,0.75,0.76,0.78,0.82,SIDEWAYS,SIDEWAYS,DOWNTREND,57.0933,0.0006,0.0228,LOW,95.8084,70.8333,-12.5,39400.0,59133.33,50000.0,29791.0,43876.67,37163.5,White Marubozu,None,None,-0.0941,0.0132,0.0267,127130.0,354920.0,433330.0,492900.0,985050.0,0.12,0.3333,6.42,0.0,0.52,0.0,2019-12-09
4,150,0.74,0.0,0.0,0.74,0.74,0.74,0.0,1.1,0.71,0.73,0.63,0.75,0.79,0.76,0.79,0.81,0.85,0.76,0.79,0.81,0.86,DOWNTREND,DOWNTREND,SIDEWAYS,38.2545,-0.0145,0.03,NEUTRAL,-101.9806,41.6667,-62.5,27300.0,52333.33,56300.0,20138.0,38980.67,42365.0,White Marubozu,Tweezer Bottoms,None,-0.1294,0.0,0.0,720.0,40410.0,38770.0,272460.0,537220.0,0.11,0.2222,6.73,0.0,0.49,0.0,2019-09-06
5,150,0.73,-0.02,-0.0267,0.73,0.73,0.73,0.0,1.1,0.71,0.72,0.62,0.75,0.79,0.75,0.78,0.8,0.83,0.75,0.77,0.8,0.84,SIDEWAYS,DOWNTREND,SIDEWAYS,41.9614,-0.0109,0.0307,NEUTRAL,-122.5139,65.0,-60.0,33600.0,32333.33,32300.0,24643.0,23719.33,23686.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1412,-0.0135,-0.0267,21600.0,46450.0,22670.0,258210.0,583670.0,0.11,0.2222,6.64,0.0,0.48,0.0,2019-10-03
6,156,0.75,-0.01,-0.0132,0.75,0.75,0.75,0.0,1.1,0.7,0.74,0.71,0.76,0.79,0.75,0.75,0.79,0.82,0.75,0.76,0.78,0.82,SIDEWAYS,SIDEWAYS,DOWNTREND,48.7035,0.0005,0.0203,LOW,-3.7453,66.6667,-37.5,70500.0,53933.33,46250.0,51865.0,39859.33,34160.5,White Marubozu,None,Three White Soldiers,-0.1176,-0.0132,-0.0132,175690.0,284180.0,327480.0,387050.0,889550.0,0.12,0.3333,6.25,0.0,0.5,0.0,2019-12-02
7,154,0.75,-0.01,-0.0132,0.73,0.73,0.75,0.0,1.1,0.7,0.72,0.62,0.78,0.82,0.75,0.75,0.79,0.82,0.75,0.76,0.78,0.83,UPTREND,SIDEWAYS,DOWNTREND,48.8023,0.0002,0.0258,LOW,-12.7772,70.8333,-37.5,57300.0,45933.33,43300.0,42070.0,33734.67,31711.0,White Marubozu,None,Three White Soldiers,-0.1176,0.0,-0.0132,73380.0,115790.0,176640.0,238980.0,713860.0,0.12,0.3333,6.25,0.0,0.5,0.0,2019-11-21
8,156,0.76,0.0,0.0,0.76,0.76,0.76,0.0,1.1,0.7,0.71,0.62,0.77,0.81,0.75,0.75,0.77,0.81,0.75,0.75,0.77,0.82,DOWNTREND,SIDEWAYS,SIDEWAYS,52.4519,-0.0022,0.0351,NEUTRAL,76.1246,54.1667,-25.0,28700.0,29666.67,28350.0,21611.0,22328.0,21311.5,White Marubozu,Bullish Harami,None,-0.1059,0.0,0.0,21770.0,219400.0,419100.0,520360.0,978360.0,0.12,0.3333,6.33,0.0,0.51,0.0,2019-12-23
9,150,0.74,-0.02,-0.0263,0.74,0.74,0.75,0.0,1.1,0.71,0.73,0.62,0.76,0.79,0.75,0.78,0.8,0.84,0.75,0.78,0.8,0.85,DOWNTREND,DOWNTREND,SIDEWAYS,43.4211,-0.0123,0.0301,NEUTRAL,-33.67,63.3333,-50.0,27700.0,31066.67,34250.0,20435.0,22874.0,25401.0,Gravestone Doji,None,None,-0.1294,0.0,-0.0263,0.0,-13570.0,51570.0,244410.0,562070.0,0.11,0.2222,6.73,0.0,0.49,0.0,2019-09-24
