,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,153,13.5,0.0,0.0,13.5,13.5,13.5,0.0,17.5,11.5,12.5,12.5,15.74,16.72,13.99,14.18,14.58,14.7,14.03,14.2,14.43,14.64,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.3755,-0.048,0.0483,NEUTRAL,-89.2388,44.7917,-55.3571,3550.0,3880.0,3250.0,49597.4,54145.47,45397.0,White Marubozu,Tweezer Bottoms,None,-0.0426,-0.0074,-0.0015,0.0,2720.0,6976.0,-91466.0,2242348.0,0.52,-0.4902,25.96,0.0,4.98,0.0,2019-10-22
1,157,13.98,-0.02,-0.0014,13.98,13.98,13.98,0.0,17.5,11.5,13.53,12.5,14.0,14.87,13.93,13.99,14.28,14.66,13.94,14.05,14.26,14.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.3811,-0.0366,0.0232,LOW,12.3648,74.836,-8.0,2180.0,1633.33,1365.0,30438.8,22757.07,19062.4,White Marubozu,None,Three White Soldiers,-0.0085,0.0,0.0,0.0,0.0,-8286.0,142.0,2104942.0,0.42,-0.5882,33.29,0.0,5.75,0.0,2019-12-03
2,155,14.0,0.46,0.034,14.02,14.0,14.02,0.0,17.5,11.5,13.54,12.5,14.01,15.74,13.98,14.06,14.37,14.67,13.9,14.07,14.31,14.55,DOWNTREND,SIDEWAYS,SIDEWAYS,50.6081,-0.0781,0.0357,NEUTRAL,11.5106,24.6377,-63.7681,540.0,1373.33,1620.0,7438.8,18738.4,22680.6,Black Marubozu,None,None,-0.0071,0.0,0.0014,0.0,-8286.0,-5566.0,-21052.0,2133622.0,0.42,-0.5882,33.33,0.0,5.76,0.0,2019-11-20
3,157,13.5,-0.4,-0.0288,13.5,13.5,13.5,0.0,17.5,11.5,12.5,12.5,13.99,14.87,13.86,13.97,14.24,14.65,13.9,14.01,14.23,14.48,UPTREND,SIDEWAYS,SIDEWAYS,42.17,-0.026000000000000002,0.0225,LOW,-143.6314,56.0,-100.0,3750.0,2933.33,2335.0,52099.0,40764.53,32439.1,White Marubozu,None,Three White Soldiers,-0.0426,-0.0343,-0.0288,0.0,0.0,-8286.0,142.0,-590016.0,0.42,-0.5882,32.14,0.0,5.56,0.0,2019-12-09
4,151,14.0,0.48,0.0355,14.0,14.0,14.0,0.0,17.5,13.44,13.52,13.48,14.49,15.0,14.22,14.48,14.9,14.78,14.2,14.45,14.66,14.79,DOWNTREND,SIDEWAYS,SIDEWAYS,46.7619,-0.1132,0.0312,NEUTRAL,-70.7602,0.0,-57.1429,1690.0,1273.33,1870.0,23763.0,17938.67,26480.9,White Marubozu,None,Morning Star,-0.0071,0.0,0.0,0.0,1452.0,-105542.0,-112342.0,2363372.0,0.52,-0.4902,26.92,0.0,5.17,0.0,2019-09-06
5,151,14.0,0.0,0.0,14.0,14.0,14.0,0.0,17.5,13.44,13.56,13.48,14.19,14.64,14.03,14.24,14.69,14.72,14.02,14.25,14.5,14.68,DOWNTREND,SIDEWAYS,SIDEWAYS,49.0785,-0.1196,0.0298,LOW,-15.1645,32.0513,-53.8462,3180.0,2453.33,2370.0,44367.0,34296.53,33169.3,White Marubozu,Bullish Harami,None,-0.0071,0.0294,-0.0127,2720.0,6976.0,8428.0,-91366.0,2281148.0,0.52,-0.4902,26.92,0.0,5.17,0.0,2019-10-03
6,157,14.0,0.02,0.0014,14.0,14.0,14.0,0.0,17.5,11.5,13.97,13.5,14.01,14.87,13.9,14.0,14.29,14.66,13.94,14.05,14.27,14.51,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.6906,-0.0432,0.0248,LOW,22.0624,56.3386,-4.0,1760.0,1353.33,1140.0,24562.8,18862.8,15904.9,White Marubozu,None,Three White Soldiers,-0.0071,0.0014,0.0014,0.0,0.0,-8286.0,142.0,2059702.0,0.42,-0.5882,33.33,0.0,5.76,0.0,2019-12-02
7,155,14.0,0.46,0.034,14.02,14.0,14.02,0.0,17.5,11.5,13.54,12.5,14.01,15.74,13.98,14.06,14.37,14.67,13.9,14.07,14.31,14.55,DOWNTREND,SIDEWAYS,SIDEWAYS,50.6081,-0.0781,0.0357,NEUTRAL,11.5106,24.6377,-63.7681,540.0,1373.33,1620.0,7438.8,18738.4,22680.6,Black Marubozu,None,None,-0.0071,0.0,0.0014,0.0,-8286.0,-5566.0,-21052.0,2133622.0,0.42,-0.5882,33.33,0.0,5.76,0.0,2019-11-21
8,157,13.5,0.0,0.0,13.5,13.5,13.5,0.0,17.5,11.5,12.74,12.12,13.99,14.87,13.7,13.85,14.16,14.63,13.61,13.84,14.11,14.4,DOWNTREND,SIDEWAYS,SIDEWAYS,47.2841,-0.1353,0.0231,LOW,-44.4756,60.3175,-39.6825,6560.0,5340.0,4615.0,88918.4,72793.2,63103.7,White Marubozu,Bullish Harami,Three White Soldiers,-0.0426,-0.0343,0.0,-1274.0,-1274.0,-9560.0,-2584.0,-432686.0,0.42,-0.5882,32.14,0.0,5.56,0.0,2019-12-23
9,151,14.28,0.28,0.02,14.28,14.28,14.28,0.0,17.5,13.44,13.52,13.48,14.36,14.88,14.18,14.34,14.78,14.74,14.18,14.37,14.58,14.74,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.7489,-0.08199999999999999,0.0297,LOW,27.2584,0.0,-29.6296,1110.0,1306.67,1270.0,15631.6,18390.27,17890.4,White Marubozu,None,None,0.0128,0.02,0.02,4256.0,4256.0,-15486.0,-108086.0,2352428.0,0.52,-0.4902,27.46,0.0,5.27,0.0,2019-09-24
