,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,154,0.107,0.0,0.0,0.106,0.106,0.107,0.0,0.138,0.09,0.1045,0.099,0.11,0.114,0.1069,0.1099,0.11,0.1148,0.1072,0.1088,0.1103,0.1136,DOWNTREND,SIDEWAYS,SIDEWAYS,47.6546,-0.0011,0.0184,LOW,-16.3522,50.0,-50.0,596000.0,876000.0,1252000.0,63120.0,93066.0,133559.5,White Marubozu,None,Three White Soldiers,-0.0446,-0.0093,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-10.7,0.0,0.89,0.0,2019-10-22
1,158,0.098,-0.002,-0.02,0.1,0.098,0.1,0.0,0.138,0.091,0.0975,0.09300000000000001,0.102,0.107,0.1028,0.1052,0.1079,0.1125,0.1023,0.1049,0.1073,0.1111,DOWNTREND,SIDEWAYS,SIDEWAYS,34.0185,-0.0013,0.0224,LOW,-152.3096,14.2857,-100.0,1600000.0,1504666.6667,1374500.0,160185.0,152210.6667,139813.0,Black Marubozu,Bearish Engulfing,None,-0.125,-0.0101,-0.0101,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-9.8,0.0,0.82,0.0,2019-12-03
2,156,0.105,0.002,0.0194,0.10300000000000001,0.10300000000000001,0.105,0.0,0.138,0.09,0.10300000000000001,0.099,0.106,0.11,0.105,0.1069,0.1091,0.1137,0.1049,0.1066,0.1086,0.1121,DOWNTREND,SIDEWAYS,SIDEWAYS,48.5492,-0.0009,0.0148,LOW,-34.5528,53.3333,0.0,1174000.0,1168000.0,1800000.0,122040.0,121348.0,189570.0,White Marubozu,Bullish Engulfing,None,-0.0625,0.0096,0.0096,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-10.5,0.0,0.88,0.0,2019-11-20
3,158,0.096,0.0,0.0,0.096,0.096,0.096,0.0,0.138,0.09300000000000001,0.0945,0.0915,0.099,0.105,0.1012,0.1042,0.1075,0.1118,0.1003,0.1036,0.1065,0.1106,DOWNTREND,SIDEWAYS,SIDEWAYS,30.0679,-0.0019,0.0183,LOW,-125.9259,0.0,-100.0,1449000.0,1261333.3333,1287500.0,143877.0,126351.3333,130248.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.1429,-0.0303,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-9.6,0.0,0.8,0.0,2019-12-09
4,152,0.11199999999999999,-0.001,-0.0088,0.11,0.109,0.11199999999999999,0.0,0.138,0.09,0.1105,0.1045,0.1155,0.122,0.1127,0.1112,0.1114,0.1133,0.1121,0.1116,0.1124,0.1157,DOWNTREND,SIDEWAYS,SIDEWAYS,50.3501,0.0005,0.0387,NEUTRAL,-54.5455,48.4848,-54.5455,3951000.0,3088666.6667,2902000.0,438331.0,343902.0,323446.0,White Long Day,None,None,0.0,0.037000000000000005,0.037000000000000005,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-11.2,0.0,0.93,0.0,2019-09-06
5,152,0.10800000000000001,-0.002,-0.0182,0.11,0.10800000000000001,0.11,0.0,0.138,0.09,0.105,0.099,0.11,0.1155,0.1096,0.1105,0.1103,0.1144,0.1092,0.1103,0.1114,0.1146,DOWNTREND,SIDEWAYS,SIDEWAYS,46.0152,-0.0009,0.0266,LOW,-37.3074,0.0,-57.1429,1625000.0,1352000.0,1369500.0,174691.0,146138.6667,148649.5,Black Marubozu,Tweezer Tops,None,-0.0357,0.0,0.0093,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-10.8,0.0,0.9,0.0,2019-10-03
6,158,0.1,0.001,0.0101,0.1,0.1,0.1,0.0,0.138,0.091,0.1,0.1,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.11,DOWNTREND,SIDEWAYS,SIDEWAYS,38.5472,-0.0012,0.0221,LOW,-130.5616,19.0476,-71.4286,1719000.0,1601333.33,1351500.0,172772.0,162494.0,137595.0,White Marubozu,None,None,-0.1071,0.0101,0.0101,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-10.0,0.0,0.83,0.0,2019-12-02
7,156,0.102,-0.003,-0.0286,0.10300000000000001,0.102,0.10300000000000001,0.0,0.138,0.09,0.099,0.09300000000000001,0.105,0.1085,0.1048,0.1067,0.1089,0.1136,0.1046,0.1064,0.1084,0.11199999999999999,DOWNTREND,SIDEWAYS,SIDEWAYS,38.4805,-0.0009,0.0162,LOW,-152.8455,40.0,-100.0,1191000.0,1232666.6667,1800500.0,123527.0,127908.6667,189341.0,Black Marubozu,None,None,-0.0893,-0.0192,-0.0192,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-10.2,0.0,0.85,0.0,2019-11-21
8,158,0.091,-0.001,-0.0109,0.09300000000000001,0.091,0.09300000000000001,0.0,0.138,0.09,0.0905,0.0905,0.095,0.102,0.0961,0.1015,0.1059,0.11,0.0959,0.1003,0.1041,0.109,DOWNTREND,DOWNTREND,DOWNTREND,26.5804,-0.0026,0.0192,LOW,-127.9509,18.0952,-85.7143,1369000.0,1028000.0,1409000.0,128297.0,96701.3333,136087.0,Black Marubozu,Bearish Engulfing,None,-0.1875,-0.0808,-0.0109,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-9.1,0.0,0.76,0.0,2019-12-23
9,152,0.11,0.001,0.0092,0.109,0.10800000000000001,0.111,0.0,0.138,0.09,0.11,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3311,-0.0003,0.0253,LOW,-80.226,0.0,-60.0,851000.0,1376666.67,2376500.0,93761.0,152086.67,263318.5,None,None,None,-0.0179,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,-11.0,0.0,0.92,0.0,2019-09-24
