,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,155,0.109,0.0,0.0,0.109,0.109,0.109,0.0,0.14,0.095,0.1055,0.0975,0.11,0.1175,0.1087,0.1132,0.1151,0.1169,0.1094,0.1122,0.1151,0.1203,SIDEWAYS,DOWNTREND,SIDEWAYS,47.6141,-0.0014,0.0317,NEUTRAL,37.5335,57.1429,-28.5714,341000.0,741333.3333,1511500.0,36681.0,79296.0,160247.0,White Marubozu,Bullish Harami,None,-0.0522,-0.0091,0.0283,-76720.0,-738230.0,-2621580.0,-3197620.0,-5472359.9997,-0.01,0.0,-10.9,0.0,0.99,0.0,2019-10-22
1,159,0.10300000000000001,0.001,0.0098,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,0.14,0.095,0.099,0.095,0.105,0.11,0.1067,0.1085,0.1137,0.1165,0.1057,0.1088,0.1122,0.1178,DOWNTREND,SIDEWAYS,DOWNTREND,41.7341,-0.0015,0.0301,NEUTRAL,-103.5354,0.0,-63.6364,1125000.0,998666.6667,826000.0,115949.0,103325.3333,85833.0,White Marubozu,Bullish Harami,None,-0.1043,0.0098,0.0098,-76300.0,-506930.0,-636940.0,-3504910.0,-5806949.9997,0.03,4.0,3.43,0.0,0.94,0.0,2019-12-03
2,157,0.10800000000000001,0.003,0.0286,0.10400000000000001,0.10400000000000001,0.10800000000000001,0.0,0.14,0.095,0.1045,0.0975,0.109,0.1145,0.1086,0.1103,0.1142,0.1167,0.1085,0.1106,0.1136,0.1189,DOWNTREND,SIDEWAYS,SIDEWAYS,47.5753,-0.0008,0.0289,LOW,-78.3133,38.8889,-33.3333,881000.0,663333.3333,627000.0,92650.0,70066.0,66424.5,White Marubozu,None,Three White Soldiers,-0.0609,0.0,0.0,-372840.0,-402000.0,-3007290.0,-3493850.0,-5804909.9997,0.03,4.0,3.6,0.0,0.98,0.0,2019-11-20
3,159,0.106,0.001,0.0095,0.10300000000000001,0.10300000000000001,0.106,0.0,0.14,0.098,0.0985,0.095,0.10800000000000001,0.1145,0.1063,0.1082,0.1138,0.1166,0.1057,0.1086,0.1119,0.1176,DOWNTREND,SIDEWAYS,DOWNTREND,49.0276,-0.0016,0.0316,NEUTRAL,-26.3566,55.8081,-27.2727,737000.0,988000.0,822500.0,75160.0,102109.3333,85398.0,White Marubozu,None,Three White Soldiers,-0.0783,0.0392,0.0392,-39160.0,-506930.0,-636940.0,-3506030.0,-5806949.9997,0.03,4.0,3.53,0.0,0.96,0.0,2019-12-09
4,153,0.114,-0.001,-0.0087,0.115,0.11,0.115,-33000.0,0.14,0.095,0.1085,0.1045,0.12,0.124,0.1177,0.1193,0.1205,0.1189,0.1173,0.1184,0.1194,0.1239,DOWNTREND,SIDEWAYS,SIDEWAYS,44.41,-0.0009,0.062,HIGH,-96.7078,63.7908,-35.2941,998000.0,815333.3333,822000.0,111575.0,91487.3333,92971.0,Hanging Man,None,None,-0.0087,-0.05,-0.05,-33000.0,-500460.0,-607830.0,-1357560.0,-1149619.9997,-0.01,0.0,-11.4,0.0,1.04,0.0,2019-09-06
5,153,0.11,-0.001,-0.009000000000000001,0.11,0.11,0.11,0.0,0.14,0.095,0.11,0.1,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,DOWNTREND,DOWNTREND,SIDEWAYS,46.0665,-0.0023,0.0321,NEUTRAL,0.0,70.9259,-25.0,2682000.0,2148666.67,1882500.0,283813.0,228884.67,201564.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0435,0.0,0.0,-637380.0,-2494570.0,-2867970.0,-3194740.0,-4438350.0,-0.01,0.0,-11.0,0.0,1.0,0.0,2019-10-03
6,159,0.10300000000000001,0.001,0.0098,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,0.14,0.095,0.099,0.095,0.105,0.11,0.1067,0.1085,0.1137,0.1165,0.1057,0.1088,0.1122,0.1178,DOWNTREND,SIDEWAYS,DOWNTREND,41.7341,-0.0015,0.0301,NEUTRAL,-103.5354,0.0,-63.6364,1125000.0,998666.6667,826000.0,115949.0,103325.3333,85833.0,White Marubozu,Bullish Harami,None,-0.1043,0.0098,0.0098,-76300.0,-506930.0,-636940.0,-3504910.0,-5806949.9997,0.03,4.0,3.43,0.0,0.94,0.0,2019-12-02
7,157,0.10800000000000001,0.003,0.0286,0.10400000000000001,0.10400000000000001,0.10800000000000001,0.0,0.14,0.095,0.1045,0.0975,0.109,0.1145,0.1086,0.1103,0.1142,0.1167,0.1085,0.1106,0.1136,0.1189,DOWNTREND,SIDEWAYS,SIDEWAYS,47.5753,-0.0008,0.0289,LOW,-78.3133,38.8889,-33.3333,881000.0,663333.3333,627000.0,92650.0,70066.0,66424.5,White Marubozu,None,Three White Soldiers,-0.0609,0.0,0.0,-372840.0,-402000.0,-3007290.0,-3493850.0,-5804909.9997,0.03,4.0,3.6,0.0,0.98,0.0,2019-11-21
8,159,0.10099999999999999,0.005,0.0521,0.098,0.098,0.10099999999999999,20580.0,0.14,0.086,0.086,0.086,0.106,0.11,0.1027,0.1064,0.1126,0.1163,0.1014,0.106,0.1103,0.1165,DOWNTREND,DOWNTREND,DOWNTREND,47.8481,-0.0028,0.0439,NEUTRAL,-41.6667,45.0216,-28.5714,766000.0,606000.0,827000.0,76535.0,60953.3333,84717.0,White Marubozu,None,Three White Soldiers,-0.1217,-0.0098,0.1744,17760.0,-116330.0,-625430.0,-3139910.0,-5591959.9997,0.03,4.0,3.37,0.0,0.92,0.0,2019-12-23
9,153,0.106,-0.003,-0.0275,0.109,0.10400000000000001,0.109,-1549270.0,0.14,0.095,0.105,0.0975,0.111,0.12,0.1123,0.1174,0.1178,0.1179,0.11199999999999999,0.1153,0.1175,0.1223,DOWNTREND,DOWNTREND,SIDEWAYS,36.04,-0.0022,0.040999999999999995,NEUTRAL,-168.4106,31.3725,-82.3529,2082000.0,1742000.0,1540500.0,221655.0,186821.3333,166630.5,None,Bearish Engulfing,None,-0.0783,-0.1167,-0.0364,-1542730.0,-1565560.0,-2035830.0,-2244250.0,-3530889.9997,-0.01,0.0,-10.6,0.0,0.96,0.0,2019-09-24
10,159,0.102,0.003,0.0303,0.10400000000000001,0.102,0.10400000000000001,-39160.0,0.14,0.095,0.099,0.095,0.1055,0.11,0.107,0.1089,0.1138,0.1165,0.106,0.109,0.1124,0.11800000000000001,DOWNTREND,SIDEWAYS,DOWNTREND,39.1045,-0.0014,0.032,NEUTRAL,-130.2251,0.0,-72.7273,1126000.0,1016000.0,845000.0,116062.0,105200.6667,87907.0,Black Marubozu,Bearish Harami,Three Black Crows,-0.113,-0.0556,-0.0467,-131950.0,-536090.0,-636940.0,-3504910.0,-5806949.9997,0.03,4.0,3.4,0.0,0.93,0.0,2019-11-29
11,153,0.11,0.0,0.0,0.11,0.11,0.111,2200.0,0.14,0.095,0.11,0.1,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,DOWNTREND,SIDEWAYS,SIDEWAYS,39.9454,-0.0016,0.0502,HIGH,-107.0069,41.1765,-58.8235,1035000.0,1011333.33,826500.0,114093.0,112502.0,92161.0,Gravestone Doji,Bullish Harami,None,-0.0435,-0.0833,0.0,10170.0,-371190.0,-606440.0,-1153930.0,-2321680.0,-0.01,0.0,-11.0,0.0,1.0,0.0,2019-09-16
12,155,0.10800000000000001,-0.001,-0.0092,0.105,0.105,0.10800000000000001,0.0,0.14,0.095,0.105,0.0975,0.11,0.1145,0.109,0.1142,0.1158,0.11699999999999999,0.1099,0.1128,0.1156,0.1208,SIDEWAYS,DOWNTREND,SIDEWAYS,43.7263,-0.0017,0.0352,NEUTRAL,-81.2395,71.4286,-42.8571,266000.0,1833333.3333,1625500.0,28747.0,193983.3333,173030.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0609,-0.0182,-0.0182,-24130.0,-2528570.0,-2548230.0,-3000500.0,-5153479.9997,-0.01,0.0,-10.8,0.0,0.98,0.0,2019-10-16
13,153,0.111,0.001,0.0091,0.115,0.111,0.115,-3370.0,0.14,0.095,0.11,0.106,0.11900000000000001,0.1235,0.1186,0.1183,0.1213,0.1192,0.1175,0.1187,0.1196,0.1242,DOWNTREND,SIDEWAYS,SIDEWAYS,39.0719,-0.0007,0.0582,HIGH,-154.6499,0.0,-93.3333,687000.0,738666.6667,613500.0,78059.0,84513.3333,70295.0,Black Marubozu,None,None,-0.0348,-0.075,-0.0263,-348360.0,-470270.0,-551640.0,-1324560.0,-1266199.9997,-0.01,0.0,-11.1,0.0,1.01,0.0,2019-08-28
14,153,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.14,0.095,0.11,0.1,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.12,DOWNTREND,DOWNTREND,SIDEWAYS,45.8737,-0.0024,0.0323,NEUTRAL,-23.416,44.2424,-40.0,2610000.0,2082000.0,1822500.0,275995.0,221678.67,195044.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0435,-0.0833,0.0,-2495640.0,-2478930.0,-2979390.0,-3185940.0,-4429550.0,-0.01,0.0,-11.0,0.0,1.0,0.0,2019-09-30
15,159,0.106,0.001,0.0095,0.10300000000000001,0.10300000000000001,0.106,0.0,0.14,0.098,0.0985,0.095,0.10800000000000001,0.1145,0.1063,0.1082,0.1138,0.1166,0.1057,0.1086,0.1119,0.1176,DOWNTREND,SIDEWAYS,DOWNTREND,49.0276,-0.0016,0.0316,NEUTRAL,-26.3566,55.8081,-27.2727,737000.0,988000.0,822500.0,75160.0,102109.3333,85398.0,White Marubozu,None,Three White Soldiers,-0.0783,0.0392,0.0392,-39160.0,-506930.0,-636940.0,-3506030.0,-5806949.9997,0.03,4.0,3.53,0.0,0.96,0.0,2019-12-10
16,153,0.11900000000000001,0.008,0.0721,0.11,0.11,0.12,0.0,0.14,0.095,0.11,0.10400000000000001,0.1195,0.1235,0.1185,0.1185,0.1212,0.1192,0.1176,0.1187,0.1196,0.1242,DOWNTREND,SIDEWAYS,SIDEWAYS,51.2198,-0.0008,0.0564,HIGH,-23.9044,0.0,-40.0,618000.0,731333.3333,622000.0,70229.0,83562.0,71240.5,White Long Day,Bullish Engulfing,None,0.0348,-0.0083,0.0439,-348360.0,-470270.0,-551640.0,-1324560.0,-1223979.9997,-0.01,0.0,-11.9,0.0,1.08,0.0,2019-08-29
