,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,156,50.0,-1.0,-0.0196,55.0,50.0,55.0,0.0,75.0,25.05,36.0,26.4,63.0,65.0,45.37,49.7,48.76,52.6,46.31,47.92,49.53,51.82,SIDEWAYS,DOWNTREND,SIDEWAYS,52.178000000000004,-1.5418,0.1586,HIGH,60.4947,49.2455,-51.4403,1840.0,1261.33,1023.5,89045.05,60833.57,49474.18,Black Marubozu,Bearish Engulfing,None,0.1111,0.8939,0.0,0.0,-54720.0,-54720.0,73611.5,103030.5,0.71,0.0441,70.42,0.0,2.88,0.0,2019-10-22
1,160,46.05,1.0,0.0222,46.05,46.05,46.05,0.0,75.0,25.05,45.02,40.2,51.72,56.5,47.72,47.42,49.26,51.46,46.72,47.51,48.85,51.08,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9583,-0.2361,0.1039,HIGH,-48.5462,40.5852,-60.339,1000.0,976.67,911.5,46820.0,46154.03,43673.75,White Marubozu,None,Three White Soldiers,0.0233,-0.0406,-0.0315,0.0,0.0,-54720.0,-54720.0,131054.5,0.83,1.2432,55.48,0.0,2.59,0.0,2019-12-03
2,158,48.5,0.85,0.0178,54.8,48.5,54.95,0.0,75.0,25.05,43.32,26.4,51.72,64.5,46.68,47.92,49.54,51.72,46.86,47.69,49.04,51.26,DOWNTREND,SIDEWAYS,SIDEWAYS,51.5355,-0.2744,0.1246,HIGH,51.8859,37.1454,-55.8511,1229.0,1090.67,1246.0,57847.05,52386.33,60694.78,Black Long Day,None,None,0.0778,0.0104,0.0683,0.0,0.0,-54720.0,-54720.0,131054.5,0.83,1.2432,58.43,0.0,2.73,0.0,2019-11-20
3,160,46.05,1.0,0.0222,46.05,46.05,46.05,0.0,75.0,25.05,45.02,40.2,51.72,56.5,47.72,47.42,49.26,51.46,46.72,47.51,48.85,51.08,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9583,-0.2361,0.1039,HIGH,-48.5462,40.5852,-60.339,1000.0,976.67,911.5,46820.0,46154.03,43673.75,White Marubozu,None,Three White Soldiers,0.0233,-0.0406,-0.0315,0.0,0.0,-54720.0,-54720.0,131054.5,0.83,1.2432,55.48,0.0,2.59,0.0,2019-12-09
4,154,41.05,0.0,0.0,41.05,41.05,41.05,0.0,60.95,25.05,29.3,28.3,50.0,52.5,47.95,50.36,49.42,53.29,46.78,49.06,50.43,52.49,DOWNTREND,DOWNTREND,SIDEWAYS,41.291000000000004,-1.6255,0.0798,HIGH,-124.3632,56.2056,-43.2367,207.0,8530.0,9338.5,9903.3,425864.53,461054.4,White Marubozu,Bullish Harami,Three White Soldiers,-0.0878,0.401,-0.0563,0.0,0.0,0.0,128331.5,190014.5,0.71,0.0441,57.82,0.0,2.36,0.0,2019-09-06
5,154,26.4,-25.8,-0.4943,26.4,26.4,26.4,0.0,60.95,25.05,25.72,25.72,52.2,54.5,45.82,49.36,48.84,52.87,44.93,47.87,49.69,52.01,DOWNTREND,DOWNTREND,SIDEWAYS,37.9686,-2.0497,0.2465,HIGH,-221.4984,66.5056,-100.0,1042.0,798.0,6892.5,48253.3,37300.87,342422.4,White Marubozu,None,None,-0.4133,-0.3569,-0.2468,-54720.0,-54720.0,-54720.0,73611.5,135294.5,0.71,0.0441,37.18,0.0,1.52,0.0,2019-10-03
6,160,46.05,1.0,0.0222,46.05,46.05,46.05,0.0,75.0,25.05,45.02,40.2,51.72,56.5,47.72,47.42,49.26,51.46,46.72,47.51,48.85,51.08,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9583,-0.2361,0.1039,HIGH,-48.5462,40.5852,-60.339,1000.0,976.67,911.5,46820.0,46154.03,43673.75,White Marubozu,None,Three White Soldiers,0.0233,-0.0406,-0.0315,0.0,0.0,-54720.0,-54720.0,131054.5,0.83,1.2432,55.48,0.0,2.59,0.0,2019-12-02
7,158,47.55,-0.95,-0.0196,47.55,47.55,47.55,0.0,75.0,25.05,43.35,36.0,51.72,64.5,47.74,47.81,49.47,51.67,46.92,47.68,49.01,51.23,DOWNTREND,SIDEWAYS,SIDEWAYS,50.5416,-0.2518,0.1194,HIGH,-12.3028,41.6896,-58.7079,1168.0,1128.0,1271.0,54956.15,54128.67,62095.03,White Marubozu,None,None,0.0567,-0.0094,0.0474,0.0,0.0,-54720.0,-54720.0,131054.5,0.83,1.2432,57.29,0.0,2.68,0.0,2019-11-21
8,160,41.55,0.0,0.0,41.55,41.55,41.55,0.0,75.0,25.05,40.2,26.4,48.0,56.0,46.53,46.92,48.96,51.21,45.88,47.07,48.54,50.86,DOWNTREND,SIDEWAYS,DOWNTREND,44.0091,-0.3998,0.1054,HIGH,-143.8276,23.7288,-90.8475,560.0,826.67,865.5,26578.0,38466.33,40835.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0767,-0.0977,-0.1344,-4155.0,-4155.0,1065.0,-58875.0,126899.5,0.83,1.2432,50.06,0.0,2.34,0.0,2019-12-23
9,154,49.9,14.85,0.4237,50.0,49.9,50.0,0.0,60.95,25.05,35.05,29.3,50.0,52.5,47.14,49.94,49.15,53.07,46.32,48.6,50.11,52.27,DOWNTREND,DOWNTREND,SIDEWAYS,52.1134,-1.9684,0.1049,HIGH,41.4685,75.7649,-0.4831,1016.0,1484.67,6883.5,47403.3,71579.87,342212.4,Black Marubozu,None,None,0.1089,0.2156,0.4237,-59940.0,-59940.0,-59940.0,68391.5,130074.5,0.71,0.0441,70.28,0.0,2.87,0.0,2019-09-24
10,160,46.05,1.0,0.0222,46.05,46.05,46.05,0.0,75.0,25.05,45.02,40.2,51.72,56.5,47.72,47.42,49.26,51.46,46.72,47.51,48.85,51.08,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9583,-0.2361,0.1039,HIGH,-48.5462,40.5852,-60.339,1000.0,976.67,911.5,46820.0,46154.03,43673.75,White Marubozu,None,Three White Soldiers,0.0233,-0.0406,-0.0315,0.0,0.0,-54720.0,-54720.0,131054.5,0.83,1.2432,55.48,0.0,2.59,0.0,2019-11-29
11,154,35.05,-14.95,-0.299,35.05,35.05,35.05,0.0,60.95,25.05,29.3,28.3,50.0,52.5,47.15,50.0,49.2,53.11,45.94,48.55,50.12,52.29,DOWNTREND,DOWNTREND,SIDEWAYS,39.0908,-1.9322,0.128,HIGH,-176.3472,61.5137,-72.2222,967.0,1485.33,9589.5,44957.3,71449.2,477514.4,White Marubozu,None,Three White Soldiers,-0.2211,-0.1462,-0.1462,-59940.0,-59940.0,-59940.0,68391.5,130074.5,0.71,0.0441,49.37,0.0,2.02,0.0,2019-09-16
12,156,38.95,12.55,0.4754,33.05,33.05,39.0,0.0,60.95,25.05,26.4,25.72,52.2,54.5,45.27,49.06,48.72,52.77,44.36,47.52,49.47,51.88,DOWNTREND,DOWNTREND,SIDEWAYS,46.2416,-2.2321,0.1783,HIGH,-86.5965,0.0,-51.3566,1131.0,824.67,1249.0,51552.8,37900.53,59534.65,White Long Day,None,Three White Soldiers,-0.1344,0.4754,0.4754,5220.0,-54720.0,-54720.0,73611.5,135294.5,0.71,0.0441,54.86,0.0,2.24,0.0,2019-10-16
13,154,41.05,0.0,0.0,41.05,41.05,41.05,0.0,60.95,25.05,29.3,28.3,50.0,52.5,47.95,50.36,49.42,53.29,46.78,49.06,50.43,52.49,DOWNTREND,DOWNTREND,SIDEWAYS,41.291000000000004,-1.6255,0.0798,HIGH,-124.3632,56.2056,-43.2367,207.0,8530.0,9338.5,9903.3,425864.53,461054.4,White Marubozu,Bullish Harami,Three White Soldiers,-0.0878,0.401,-0.0563,0.0,0.0,0.0,128331.5,190014.5,0.71,0.0441,57.82,0.0,2.36,0.0,2019-08-28
