,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,157,0.51,0.01,0.02,0.51,0.48,0.51,0.0,0.75,0.46,0.49,0.48,0.52,0.54,0.52,0.51,0.5,0.53,0.51,0.51,0.51,0.53,DOWNTREND,SIDEWAYS,SIDEWAYS,49.5524,0.0007,0.0486,NEUTRAL,-84.6253,53.3333,-40.0,57800.0,160666.67,264500.0,28245.5,79621.67,134086.75,Dragonfly Doji,None,None,-0.0893,-0.0377,0.0,0.0,0.0,0.0,23500.0,-246690.0,0.0,0.0,0.0,0.0,6.38,0.0,2019-10-22
1,161,0.5,-0.01,-0.0196,0.5,0.485,0.51,0.0,0.75,0.46,0.48,0.47,0.52,0.54,0.5,0.51,0.51,0.52,0.5,0.51,0.51,0.52,DOWNTREND,SIDEWAYS,SIDEWAYS,48.2287,-0.0022,0.0429,NEUTRAL,-56.7581,62.963,-44.4444,296300.0,202533.33,160400.0,143443.5,98124.33,77914.75,Doji,None,None,-0.1071,0.0,0.0,0.0,0.0,0.0,0.0,-246690.0,0.0,0.0,0.0,0.0,6.25,0.0,2019-12-03
2,159,0.51,0.0,0.0,0.51,0.5,0.51,0.0,0.75,0.46,0.5,0.49,0.53,0.56,0.51,0.51,0.5,0.53,0.51,0.51,0.51,0.53,UPTREND,SIDEWAYS,SIDEWAYS,50.9736,-0.0002,0.0371,NEUTRAL,14.6961,33.3333,-66.6667,22800.0,34200.0,41800.0,11545.0,17153.33,20766.75,Dragonfly Doji,None,None,-0.0893,0.0,0.0,0.0,0.0,0.0,23500.0,-246690.0,0.0,0.0,0.0,0.0,6.38,0.0,2019-11-20
3,161,0.5,0.0,0.0,0.485,0.485,0.5,0.0,0.75,0.46,0.49,0.48,0.52,0.54,0.5,0.51,0.51,0.52,0.5,0.5,0.51,0.52,DOWNTREND,SIDEWAYS,SIDEWAYS,48.2287,-0.0021,0.0384,NEUTRAL,-62.8571,55.5556,-44.4444,73400.0,200066.67,154700.0,35713.5,96876.33,74972.0,White Marubozu,None,None,-0.1071,0.0,0.0,0.0,0.0,0.0,0.0,-334590.0,0.0,0.0,0.0,0.0,6.25,0.0,2019-12-09
4,155,0.49,-0.005,-0.0101,0.495,0.485,0.495,0.0,0.75,0.46,0.49,0.47,0.5,0.54,0.5,0.5,0.5,0.54,0.5,0.5,0.51,0.54,DOWNTREND,SIDEWAYS,SIDEWAYS,44.8022,-0.0008,0.0422,NEUTRAL,-78.2278,25.9259,-77.7778,262100.0,258266.67,253050.0,127976.5,125944.33,124124.0,None,Tweezer Tops,None,-0.125,-0.02,-0.02,0.0,23500.0,23500.0,122500.0,-243340.0,0.0,0.0,0.0,0.0,6.13,0.0,2019-09-06
5,155,0.51,0.0,0.0,0.51,0.495,0.51,0.0,0.75,0.46,0.5,0.48,0.53,0.56,0.51,0.51,0.5,0.54,0.51,0.51,0.51,0.53,UPTREND,SIDEWAYS,SIDEWAYS,48.6591,0.0055,0.0513,HIGH,-37.037,28.5714,-71.4286,616500.0,490600.0,417450.0,317584.5,251808.67,213594.0,Dragonfly Doji,None,None,-0.0893,-0.0377,-0.0377,0.0,0.0,23500.0,23500.0,-246690.0,0.0,0.0,0.0,0.0,6.38,0.0,2019-10-03
6,161,0.51,0.01,0.02,0.51,0.5,0.52,0.0,0.75,0.46,0.48,0.47,0.52,0.54,0.51,0.51,0.51,0.52,0.5,0.51,0.51,0.52,DOWNTREND,SIDEWAYS,SIDEWAYS,52.4768,-0.0021,0.0416,NEUTRAL,61.5942,51.8519,-22.2222,290700.0,200000.0,159550.0,140681.0,96873.67,77553.0,Doji,Tweezer Bottoms,None,-0.0893,0.02,0.02,0.0,0.0,0.0,0.0,-246690.0,0.0,0.0,0.0,0.0,6.38,0.0,2019-12-02
7,159,0.5,-0.01,-0.0196,0.51,0.485,0.51,0.0,0.75,0.46,0.49,0.48,0.51,0.54,0.51,0.51,0.5,0.53,0.51,0.51,0.51,0.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.3209,-0.0003,0.0387,NEUTRAL,-129.9435,29.9145,-76.9231,65200.0,64266.67,53250.0,32269.5,31888.33,26428.0,None,Bearish Engulfing,None,-0.1071,-0.0196,-0.0196,0.0,0.0,0.0,0.0,-246690.0,0.0,0.0,0.0,0.0,6.25,0.0,2019-11-21
8,161,0.5,0.0,0.0,0.485,0.485,0.5,0.0,0.75,0.46,0.49,0.48,0.52,0.54,0.5,0.5,0.51,0.51,0.5,0.5,0.51,0.52,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.2287,-0.0015,0.0346,NEUTRAL,-28.4757,72.2222,0.0,13500.0,15266.67,43450.0,6583.0,7477.67,21148.25,White Marubozu,Bullish Harami,Three White Soldiers,-0.1071,0.0,0.0,0.0,-485.0,-485.0,-485.0,-516695.0,0.0,0.0,0.0,0.0,6.25,0.0,2019-12-23
9,155,0.53,0.02,0.0392,0.53,0.52,0.56,0.0,0.75,0.46,0.5,0.49,0.54,0.56,0.5,0.5,0.5,0.54,0.51,0.5,0.51,0.53,UPTREND,SIDEWAYS,SIDEWAYS,62.8415,0.0029,0.0498,NEUTRAL,180.2697,57.037,-40.0,483400.0,359133.33,316750.0,249470.0,184356.33,162345.75,Doji,None,None,-0.0536,0.06,0.0192,0.0,0.0,23500.0,122500.0,-246690.0,0.0,0.0,0.0,0.0,6.63,0.0,2019-09-24
