,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,159,2.85,-0.01,-0.0035,2.83,2.83,2.86,0.0,5.85,2.0,2.84,2.72,2.88,2.99,2.85,2.78,2.89,3.68,2.85,2.85,3.05,3.55,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.8263,0.0204,0.0231,LOW,-0.4198,65.873,-35.7143,43400.0,42933.33,53750.0,124165.0,122646.0,153145.0,White Long Day,None,None,-0.4294,0.0106,-0.0035,5720.0,-107250.0,-295410.0,-2231670.0,-39461630.0,-0.08,-1.1569,-35.63,0.0,1.43,0.0,2019-10-22
1,163,2.5,0.0,0.0,2.5,2.5,2.5,-15000.0,5.85,2.0,2.49,2.25,2.59,2.79,2.64,2.75,2.77,3.38,2.62,2.71,2.88,3.34,DOWNTREND,DOWNTREND,SIDEWAYS,26.343000000000004,-0.0582,0.0216,LOW,-106.2124,10.8659,-88.4615,51600.0,41600.0,40600.0,131573.0,107211.33,105609.0,White Marubozu,Bullish Harami,None,-0.4995,0.0,0.0,-186940.0,-237640.0,-270860.0,-566270.0,-5564918.0,-0.15,-1.8333,-16.67,0.0,1.4,0.0,2019-12-03
2,161,2.6,-0.08,-0.0299,2.67,2.6,2.68,0.0,5.85,2.0,2.57,2.27,2.72,2.87,2.74,2.8,2.82,3.48,2.73,2.78,2.95,3.42,DOWNTREND,SIDEWAYS,SIDEWAYS,29.5519,-0.027000000000000003,0.0224,LOW,-133.9525,22.8758,-100.0,41200.0,43800.0,46000.0,110102.0,117500.0,125260.0,Black Long Day,Tweezer Tops,None,-0.4795,-0.0299,-0.0335,0.0,-33220.0,-140470.0,-376870.0,-5347438.0,-0.15,-1.8333,-17.33,0.0,1.46,0.0,2019-11-20
3,163,2.58,0.08,0.032,2.58,2.58,2.58,-23220.0,5.85,2.0,2.48,2.25,2.59,2.76,2.6,2.73,2.75,3.34,2.59,2.68,2.85,3.31,DOWNTREND,DOWNTREND,SIDEWAYS,44.2438,-0.0638,0.0207,LOW,-9.6438,28.7879,-45.4545,42500.0,50600.0,45100.0,106737.0,128306.0,115479.0,White Marubozu,None,None,-0.4835,0.032,0.032,-150120.0,-372760.0,-405980.0,-701390.0,-5190278.0,-0.15,-1.8333,-17.2,0.0,1.45,0.0,2019-12-09
4,157,2.72,0.02,0.0074,2.74,2.66,2.76,0.0,5.85,2.0,2.68,2.57,2.74,2.93,2.68,2.84,3.19,4.06,2.71,2.86,3.23,3.82,SIDEWAYS,DOWNTREND,DOWNTREND,47.9856,-0.0531,0.0344,NEUTRAL,95.9032,75.2381,-26.6667,187500.0,163933.33,168300.0,505452.0,439762.0,449155.0,None,None,None,-0.4555,0.0149,0.0149,-8240.0,-42950.0,-2184480.0,-5612900.0,148122180.0,-0.08,-1.1569,-34.0,0.0,1.36,0.0,2019-09-06
5,157,2.89,0.0,0.0,2.89,2.89,2.89,0.0,5.85,2.0,2.73,2.64,2.92,3.07,2.82,2.76,2.94,3.82,2.82,2.84,3.1,3.65,UPTREND,SIDEWAYS,DOWNTREND,59.8407,0.0189,0.0319,NEUTRAL,119.2412,76.6667,-23.3333,65500.0,64333.33,103100.0,186029.0,182108.0,290421.0,White Marubozu,Bullish Harami,None,-0.4214,0.0248,0.0321,-47160.0,-188160.0,-236400.0,-2847710.0,147983864.0,-0.08,-1.1569,-36.13,0.0,1.45,0.0,2019-10-03
6,163,2.5,0.0,0.0,2.5,2.48,2.5,-50000.0,5.85,2.0,2.49,2.25,2.59,2.79,2.65,2.76,2.77,3.39,2.63,2.72,2.89,3.35,DOWNTREND,DOWNTREND,SIDEWAYS,26.343000000000004,-0.0551,0.0233,LOW,-127.2243,13.2697,-89.2857,51600.0,43933.33,43450.0,131681.0,113453.33,113244.5,Dragonfly Doji,None,None,-0.4995,0.0,0.0,-171940.0,-222640.0,-250140.0,-554010.0,-5549918.0,-0.15,-1.8333,-16.67,0.0,1.4,0.0,2019-12-02
7,161,2.55,-0.05,-0.0192,2.55,2.49,2.55,0.0,5.85,2.0,2.52,2.27,2.7,2.86,2.72,2.79,2.81,3.47,2.71,2.77,2.94,3.41,DOWNTREND,SIDEWAYS,SIDEWAYS,25.9331,-0.0312,0.0243,LOW,-224.6117,0.0,-80.0,35900.0,41000.0,43400.0,95486.0,109571.33,117469.0,Dragonfly Doji,None,None,-0.4895,-0.0485,-0.052000000000000005,0.0,-5920.0,-137650.0,-387590.0,-5347438.0,-0.15,-1.8333,-17.0,0.0,1.43,0.0,2019-11-21
8,163,2.46,-0.03,-0.012,2.5,2.46,2.5,-71870.0,5.85,2.0,2.45,2.22,2.58,2.68,2.51,2.66,2.7,3.23,2.53,2.62,2.79,3.23,DOWNTREND,DOWNTREND,SIDEWAYS,39.0958,-0.0505,0.0228,LOW,-95.4598,53.3333,-80.0,42100.0,44266.67,42300.0,105180.0,110638.67,105958.5,Black Marubozu,None,None,-0.5075,-0.016,-0.012,-284620.0,-751100.0,-973740.0,-1189370.0,-5805090.0,-0.15,-1.8333,-16.4,0.0,1.38,0.0,2019-12-23
9,157,2.83,-0.02,-0.006999999999999999,2.85,2.83,2.87,-56800.0,5.85,2.0,2.76,2.65,2.87,2.96,2.76,2.78,3.0,3.9,2.78,2.84,3.14,3.71,UPTREND,SIDEWAYS,DOWNTREND,54.4945,0.0077,0.0341,NEUTRAL,84.1779,69.0476,-35.7143,136200.0,149733.33,151400.0,384049.0,415709.33,416954.5,None,None,None,-0.4334,0.055999999999999994,-0.006999999999999999,-56800.0,-54140.0,61070.0,-4802270.0,148127512.0,-0.08,-1.1569,-35.38,0.0,1.42,0.0,2019-09-24
10,163,2.5,-0.03,-0.0119,2.52,2.5,2.52,-50300.0,5.85,2.0,2.48,2.25,2.6,2.79,2.66,2.76,2.78,3.4,2.64,2.73,2.9,3.36,DOWNTREND,DOWNTREND,SIDEWAYS,26.343000000000004,-0.0516,0.0245,LOW,-136.3744,21.1566,-89.6552,46200.0,42866.67,42200.0,118468.0,111434.0,110554.5,Black Marubozu,None,None,-0.4995,-0.0672,-0.0385,-172640.0,-189350.0,-200140.0,-498610.0,-5499918.0,-0.15,-1.8333,-16.67,0.0,1.4,0.0,2019-11-29
11,157,2.85,-0.05,-0.0172,2.91,2.85,2.91,0.0,5.85,2.0,2.75,2.62,2.92,3.1,2.72,2.8,3.09,3.98,2.76,2.85,3.18,3.76,UPTREND,SIDEWAYS,DOWNTREND,59.1591,-0.0146,0.0353,NEUTRAL,184.7759,77.433,-26.6667,208900.0,190600.0,174100.0,577273.0,522630.0,474865.0,Black Marubozu,None,None,-0.4294,0.0634,-0.0172,0.0,-58960.0,-444560.0,-5161650.0,148194812.0,-0.08,-1.1569,-35.63,0.0,1.43,0.0,2019-09-16
12,159,2.88,0.0,0.0,2.88,2.88,2.89,0.0,5.85,2.0,2.79,2.7,2.89,2.99,2.84,2.77,2.91,3.72,2.84,2.85,3.06,3.58,UPTREND,SIDEWAYS,DOWNTREND,56.5918,0.0223,0.0281,LOW,96.3391,74.4444,-26.6667,38700.0,49800.0,57650.0,110224.0,141981.33,163571.5,Gravestone Doji,None,None,-0.4234,0.0213,0.0,0.0,-188130.0,-303870.0,-2681890.0,147870894.0,-0.08,-1.1569,-36.0,0.0,1.44,0.0,2019-10-16
13,157,2.67,-0.01,-0.0037,2.68,2.66,2.68,0.0,5.85,2.0,2.62,2.27,2.72,2.93,2.68,2.89,3.32,4.15,2.72,2.92,3.31,3.9,DOWNTREND,DOWNTREND,DOWNTREND,42.4665,-0.0831,0.0407,NEUTRAL,-3.9875,55.6322,-48.2759,132700.0,177133.33,599650.0,353521.0,472492.0,1613327.0,None,Bearish Engulfing,None,-0.4655,-0.0761,-0.0111,10720.0,-385020.0,-2372120.0,-5537790.0,148250600.0,-0.08,-1.1569,-33.38,0.0,1.34,0.0,2019-08-28
14,157,2.82,0.02,0.0071,2.85,2.82,2.96,8640.0,5.85,2.0,2.72,2.62,2.9,2.99,2.79,2.76,2.96,3.85,2.79,2.84,3.11,3.67,UPTREND,SIDEWAYS,DOWNTREND,53.6509,0.0124,0.0354,NEUTRAL,110.7047,47.1829,-46.6667,76600.0,122333.33,142750.0,216454.0,345200.0,396863.5,Shooting Star,None,None,-0.4354,0.0522,0.0071,-185270.0,-185270.0,-228220.0,-3613090.0,147986754.0,-0.08,-1.1569,-35.25,0.0,1.41,0.0,2019-09-30
15,163,2.53,-0.05,-0.0194,2.49,2.46,2.58,-191060.0,5.85,2.0,2.48,2.25,2.58,2.75,2.58,2.72,2.75,3.32,2.58,2.68,2.85,3.3,DOWNTREND,DOWNTREND,SIDEWAYS,38.0239,-0.0628,0.023,LOW,-58.9243,40.9091,-50.0,47800.0,56400.0,47700.0,120118.0,142966.0,121846.5,None,None,None,-0.4935,0.012,0.012,-326180.0,-563820.0,-597040.0,-892450.0,-5393138.0,-0.15,-1.8333,-16.87,0.0,1.42,0.0,2019-12-10
16,157,2.69,0.02,0.0075,2.7,2.67,2.7,-53400.0,5.85,2.0,2.64,2.56,2.72,2.93,2.69,2.88,3.3,4.14,2.72,2.91,3.3,3.89,DOWNTREND,DOWNTREND,DOWNTREND,44.3003,-0.0792,0.0383,NEUTRAL,-3.6036,55.1724,-41.3793,146600.0,160533.33,487650.0,390881.0,425276.0,1350780.0,Hanging Man,None,None,-0.4615,-0.0692,-0.0037,-42680.0,123430.0,-2425520.0,-5591190.0,148181940.0,-0.08,-1.1569,-33.63,0.0,1.35,0.0,2019-08-29
17,160,2.79,0.14,0.0528,2.7,2.7,2.79,2700.0,5.85,2.0,2.64,2.56,2.86,2.96,2.8,2.79,2.85,3.58,2.77,2.81,2.99,3.48,DOWNTREND,SIDEWAYS,SIDEWAYS,50.7286,-0.0176,0.0201,LOW,-42.7447,24.0,-40.0,50900.0,49733.33,51450.0,139452.0,138278.67,143877.5,White Marubozu,None,None,-0.4414,0.040999999999999995,0.040999999999999995,10790.0,-10790.0,-311920.0,-194050.0,-5305644.0,-0.15,-1.8333,-18.6,0.0,1.57,0.0,2019-11-06
18,163,2.5,0.0,0.0,2.5,2.5,2.5,-25000.0,5.85,2.0,2.46,2.25,2.58,2.7,2.56,2.71,2.74,3.3,2.57,2.66,2.83,3.29,DOWNTREND,DOWNTREND,SIDEWAYS,34.8576,-0.0609,0.0228,LOW,-72.5907,44.1176,-58.8235,53600.0,53333.33,50700.0,134348.0,134066.0,128794.0,White Marubozu,Bullish Harami,None,-0.4995,0.0,0.0,-338980.0,-614120.0,-620040.0,-942750.0,-5443438.0,-0.15,-1.8333,-16.67,0.0,1.4,0.0,2019-12-12
